,drug,condition,rating,duration,review_date,upvotes,review,username
0,Spironolactone,Hirsutism,10.0,Taken for 1 to 6 months,"January 13, 2021",8,"I’ve been on spironolactone for over two weeks now and I absolutely love it! My endocrinologist had put me on it due to my acne and unwanted hair that grew all over due to my PCOS. At 25mg two pills a day, It has been a total and 100% life saver! I actually have the greatest confidence level now and it also helps with high blood pressure! It runs in both of my parents sides and knowing this helps, it’s  just an added bonus! I could not be happier with this selection! I know everyone is different and reacts differently to medicines, but this has been a total game changer for me. Especially being 30 years old! I don’t feel much dizziness or drowsiness, however diarrhea does come and go. But nonetheless, I’d recommend this to anyone who is experiencing horrible acne.",D
1,Spironolactone,Hirsutism,7.0,,"January 8, 2021",9,"I had taken spironolactone(100mg) for 6 months before 5 years ago for hirsutism. I got some positive result for hirsutism but didn’t get much of it's side effects. For a few months I have noticed that my facial hair growth again increased and I'm also experienced irregular period. So I again took it 15 days ago. But this time I am experiencing huge amount of side effects. Like, trouble in breathing, diarrhoea, bad mood swing, feeling uneasy to walk, abdominal pain, headache, vibration on the parts of the body! I knew that it was the only effective medication for hirsutism. But this time my body doesn’t adjust with it. So, I'm feeling so worried about it. Because this situation with excess facial hair is finishing me!!After all I'm agreeing that its really an effective medication for PCOS with hirsutism.",Monika
2,Spironolactone,Hirsutism,3.0,Taken for 10 years or more,"November 16, 2020",8,"I've been on spironolactone for many, many years, 100mg.  I find it doesn't work anymore at diminishing my facial hair.",Anne
3,Spironolactone,Hirsutism,9.0,Taken for less than 1 month,"November 16, 2020",10,So I have been taking spironolactone for a little over two weeks and I am actually surprised at how fast it works for my facial hair. I have already notice my hair not coming in as thick or fast. Hopefully it’s not all in my head. We will see.,Anonymous
4,Spironolactone,Hirsutism,9.0,,"October 5, 2020",22,"I have PCOS and have suffered from coarse facial and body hair for years. I recently started noticing male-pattern baldness around my temples and knew this was a hormonal problem, as I was tested for high testosterone. I started noticing results within days of taking the spironolactone, way sooner than I thought I would. Within a week I was only having to shave my face every other day rather rather than every day, then every three days. My hairline has stopped receding and is slowly growing back. It's only been three weeks and I'm already so happy with the results.I have only had minor side effects. The only one that bothers me at all is breast tenderness. I had some hot flashes the first week but they went away quickly. Sometimes I'm a little nauseous or headachy, but only if I don't drink enough water. Since this is a diuretic, you need to stay on top of your water consumption and try to drink as much as you can every day.",Cam
5,Spironolactone,Hirsutism,1.0,Taken for 1 to 6 months,"May 30, 2020",39,"I've been on 100mg for about 3 months now. I haven't had any negative side effects. I rarely get that fuzzy feeling, like when you have low blood sugar; only if I'm dehydrated or get up fast. I already drank a lot of water, so haven't noticed a change in my water intake or need to use the bathroom.Buuuuut I also haven't seen any benefits yet! My body hair is the same, facial hair is the same, skin the same.Not sure if I'm going to go on 200mg or go off of it. I'll update at a later date with anything new.",Cara
6,Spironolactone,Hirsutism,9.0,Taken for 1 to 6 months,"April 29, 2020",50,"I am 25, 5ft4 and weigh 15stone. I have PCOS and do the excess hair growth with all things combined has just been awful. My last resort was Spironolactone. The first week or so it definitely made me dizzy, especially when getting up etc. I’ve been on this tablet for 3 and a half months now and I can 100% see a difference. My once black facial hair is almost blonde now. I am on an 800cal diet and have lost 3 stone since starting this (was 17stone). I believe the weight loss and the medication is helping this. I am really happy to be honest.",Danielle
7,Spironolactone,Hirsutism,1.0,Taken for less than 1 month,"April 3, 2020",21,"Awful. Just awful for me. I have a mental illness called borderline personality disorder which causes me to have extremely poor mood regulation and intense bouts of anger to the point of boiling rage. The spironolactone exacerbated this tenfold until I was blowing up at people every single day over the dumbest little things. It got to the point where I almost had to go back inpatient for my mental problems. It was absolute nightmare for the couple weeks that I took it, and if you have any mental health diagnoses, I would urge you to think twice about spirolactone, or at least monitor yourself and your moods verrrry carefully. Depression also got a little worse. Oh, and I guess only two weeks of taking it isn’t long enough to tell if it worked for hirsutism and my hormonal acne, but so far, it didn’t do much.",Candychan
8,Spironolactone,Hirsutism,1.0,,"February 10, 2020",31,"I started Spironolactone 3 weeks ago at 100 mg. These past weeks I have experienced nausea, tiredness, headaches, and dizziness. 2 days ago I actually fainted and fractured my jaw by smashing it on a counter I fell on when fainting. I am now undergoing surgery for my jaw and having teeth removed. I have never experienced this before. My blood pressure has gone from 120/85 to 85/55 in the past 2 days. Spironolactone has caused me new medical conditions.",Nicki
9,Spironolactone,Hirsutism,1.0,Taken for 1 to 6 months,"February 8, 2020",16,"I have had PCOS since I was 16 and I’m now 54. I’ve spent most of my adult life battling extreme hirsutism. I have spent thousands on Lazer, electrolysis, medicines and it’s worse now more than ever. Just started on Spironolactone  (1 month) and it’s worse instead of better. I was on 1000mg of metformin but I thought this drug would be better. I have other autoimmune illnesses that I take meds for. I was so hoping this would help! I’m so disappointed. The mood swings and more hair growth is awful. I hate to give up only after one month but I don’t think it’s going to work for me.",Sjc
10,Spironolactone,Hirsutism,10.0,Taken for 6 months to 1 year,"December 22, 2019",59,"I’ve been using spirolatone for nearly a year now for facial hair. I started out at 25 mg, I increased to 50 mg and noticed the darkness going away.  Increased to 100 mg and the coarseness has gone away.  Now I’m taking 200 mg and it’s AMAZING!  I’ve gone through Electrolosis, laser, plucking and now waxing.   I was waxing every week, now I can go 2 weeks.  Even the hair on my arm are lighter.  I told my doctor it’s a miracle medication.   I recommend everyone to try...",Sarah
11,Spironolactone,Hirsutism,1.0,,"October 20, 2019",8,"I am facing excessive hair growth on my Face. After Lazer treatment my dermatologist advise me tablet Spironolactone 100mg tablet for a month, after one week use I am suffering headache and am depressed. I am disappointed",Ayesha
12,Spironolactone,Hirsutism,2.0,Taken for 1 to 2 years,"August 28, 2019",6,"I suffer of hirsutism for while now, more in my face area. I had take Spironolactone 50mg about 2 years ago and didn't see any change. I was constantly having headaches and I stop taking them for a while.  A few month ago my Dermatology prescribed Spironolactone 100mg.  This time I'm using a different pharmacy and the pills have a minty taste and smell compared to  the one from my previous pharmacy 2 years ago.  I decided to stop taking them again this time because I'm staring to get headaches again and my hair is thinner than before, causing my hair to break easily. So now that I stop taking Spironolactone I'm losing my hair like CRAZY. I don't now why this is happening and if it will stop eventually. Just beware of this side effects.",Juli
13,Spironolactone,Hirsutism,2.0,,"August 18, 2019",20,"Be very careful of spirolactone if you have any history of depression, anxiety, or just general stress. Before I started taking spirolacton for PCOS-related hirsutism I had a tendency towards stress and mild anxiety but never a disorder - soon after I started on it my anxiety increased to a level I had never experienced before, and I had my first panic attack while just walking down the street and began having panic attacks almost daily. I had a feeling that this new anxiety was linked to starting this medication and a few months ago I found a study online in a medical journal that found that a single dose of spiro increases the release of cortisol (the stress hormone that floods your brain to cause panic attacks) by 100% within an hour of taking it. I immediately stopped taking the medication and since then I feel much better but still I am left with lasting daily anxiety. I wish I had been warned about spiro's effects on cortisol levels because I would have never started taking it.",mb8658
14,Spironolactone,Hirsutism,9.0,Taken for less than 1 month,"July 30, 2019",44,"So its been one week and I suffer with PCOS. Specifically the symptom I hate the most is the excess facial hair growth. I can say when I was in my doctor’s office one week ago I had a full lady beard. And usually if I pluck it, it will grow full one week later. So its been one week on Spironolactone  later and I had nothing but little stubbles here and there. I can’t believe no one told me about this medicine before for facial hair. I’m actually impressed.",Jenevieve
15,Spironolactone,Hirsutism,1.0,Taken for 1 to 6 months,"July 27, 2019",7,"I have PCOS with all the classic symptoms. I see spiro as the a awful drug, the side effects are too much. When I was taking it along with other b/c pills, it helped lower my testosterone level and hair growth but the excessive peeing (will the time), excessive fatigue and mood swings it gave me was too much. I had to stop it. And all the symptoms came right back, even the acne it cured. I feel sad because it works but I'm so scared of going back to it even though I have a reduced dosage now, I still haven't talked myself into taking the pills again. Maybe it effects me so bad because I'm African. May  it doesn't suit Africans. I wish it would just work for me without all the side effects.",Cindy
16,Spironolactone,Hirsutism,7.0,Taken for 6 months to 1 year,"April 19, 2019",64,"I started taking spirolactone about 10 months ago for PCOS, hirsutism, and to lower my free testosterone, it was at 11. Starting dosage 25mg twice daily for 4 months = free testosterone lower to 8.5. Doctor increase dosage to50mg twice daily for 6 months = Free testosterone is at 7.9, slightly less facial hair, facial skin is clear and smooth (previously had orange peel skin), slightly less oily skin too, no weight gain. Doctor has increase dosage to 100mg twice a day to continue to lower free testosterone and hopefully be less hairy. Will post update in 6 months.",Matador78
17,Spironolactone,Hirsutism,1.0,Taken for 6 months to 1 year,"April 4, 2019",25,"I was diagnosed with Polycystic Ovaries at age 19 in 2003.  My doctor started me on spironolactone for the hirsutism on my sideburns, chin, lip, and belly area.  I took the medication for several months and never noticed a decrease in the hair growth or the hair growth becoming lighter.  Apparently, it doesn't work for all patients with PCOS.",MissLeopard83
18,Spironolactone,Hirsutism,10.0,Taken for 1 to 2 years,"October 3, 2018",41,I started to get hairs on my face and kneck when I turned 24 years old.  After that it just got worse to the point of having a full beard. Very embarrassing. I did lazer hair removal which didn't help since they didn't know what was causing the growth. I have been taking 100mg of spirolactane twice a day now for around a year. There are less hairs my leg armpit hairs etc. Grow at a normal rate now. I still have a fair amount of unwanted hair but it is fine and blonde now rather than course and black. I can grow my chin hairs out to wax them without people staring at me like I'm a mutant now so that's a plus. I will never stop taking these pills and may eventually see if my doc will up the dosage again.,Nell
