,drug,condition,rating,duration,review_date,upvotes,review,username
0,Synthroid,Hypothyroidism After Thyroid Removal,2.0,,"July 20, 2021",11,I had a thyroidectomy and I'm on synthroid. This medicine just doesn't work like they told me it would. It doesn't work!!!! My nails are falling off and ripping more easily. My hair which was always so beautiful and long is looking like a dollar store mop. It has breakage really bad and it's so thin and just yucky. Also gained 70 pounds,Not-Haopy
1,Synthroid,Hypothyroidism After Thyroid Removal,7.0,,"November 22, 2020",5,"I had large thyroid nodules and was advised to have a Thyroidectomy which I did 5 months. It seem that it is hard to adjust my dosage of thyroxine which started at 11/mcg, 88 mcg and now down to 50mcg’s . I was told that my thyroxine level was low? Is this usually normal after having a Thyroidectomy.  The nodules were benign.",Jossie
2,Synthroid,Hypothyroidism After Thyroid Removal,10.0,Taken for 10 years or more,"September 20, 2020",3,"Synthroid in high doses can precipitate hyperthyroidism and in severe cases thyroid storm, cardiac shock, severe tremor, etc.  It is often given with other medications which interact such as lithium, and therefore some chemical synchrony and finesse would be required.  Mistakes can be avoided that way.  The opposite of course is hypothyroidism.  I hope we can have a collaboration between chemists and doctors in polypharmacy.  Experience has taught me quite a bit.  Cheers",mmmousemaid
3,Synthroid,Hypothyroidism After Thyroid Removal,1.0,,"August 6, 2020",34,"Many doctors have begun to realize that many people are allergic to the ten or more additives in Synthroid.I had papillary thyroid cancer over 30 years ago. I had surgery and I have been sick for over 30 years. The brain fog was terrible. I have fired more than 20 doctors over this time. They always said, ""Your lab report says your levels are fine"".On my second visit to a holistic doctor, she changed me to Tirosint, which has no additives. Tirosint is relatively new and in produced in Europe.TRY TIROSINT. Please….You will not be sorry.",rick
4,Synthroid,Hypothyroidism After Thyroid Removal,1.0,Taken for 2 to 5 years,"December 28, 2019",64,I had a total thyroidectomy in 2016 after being on thyroid pills for ten years for hyperthyroidism and graves . I also had huge nodules and tumors. After surgery I started on a low dose of Levothyroxine and without even reading my blood work after surgery my Endocronolgy doctor changed my meds I felt fine and wasn’t gaining weight . Then he kept changing it and I started gaining . I went from 90 lbs to 155 lbs in three years and I barely even eat . My current thyroid doctor won’t do a full thyroid panel nor change my dose-age and ignoring my symptoms. I felt better at 125 mcg of Levothyroxine because I was able to lose but he put me back on 100 . I barely eat and get exercise yet I still can’t lose and keep gaining it’s very frustrating.,Cookie
5,Synthroid,Hypothyroidism After Thyroid Removal,1.0,Taken for 5 to 10 years,"August 7, 2019",34,Lately I have been experiencing flu like body pains. Feeling achy weak legs and arms. This medicine is ruining my life. Every time I increase the dosage even by small amounts I feel so nervous and withdrawn.,JaclynB
6,Synthroid,Hypothyroidism After Thyroid Removal,2.0,,"June 14, 2019",36,"I have been on a roller coaster ride for the last 3 to 4 years. Every time my levels are checked then come back off. I had been on levoxyl 100 for years and don’t recall having any issues. Due to health insurance change I was switched to levothyroxine 100 and problems started happening. On levothyroxine 100 my levels would be out of whack and the doctors switched the dosage to 112 and I thought I was dying. Within a couple of days my joints, back, neck and feet would ache. Started getting palpitations felt like I was having a heart attack. Ended up in ER because of fast heart rate and heaviness and numbness of the left side of my body. Doctors thought I was having a stroke. I was switched to Syntheroid 100. 6 days on it. I have such bad pain through out my body and joints. My legs feel as if they are swelling. I have tried armour and immediately developed double violin and dizziness. I have stomach issues and gluten sensitivity.",Alex
7,Synthroid,Hypothyroidism After Thyroid Removal,9.0,Taken for 5 to 10 years,"April 10, 2019",134,"I'm so sorry to read all of the terrible experiences some people have had. I can only speak to my situation. I  had my thyroid ablated about 5 years ago. It was absolutely the right & necessary thing for me. I am currently taking 88mcg Synthroid, daily. It works great for me. I'm extremely sensitive to meds, so my dr opted to start me on a low dose & check my levels every month until I  got a ""normal"" result. It took a few months. I now am tested every year, but also go by how I'm feeling. My dr is very understanding. FIND A GOOD DR. This med has worked great for me. I'm able to maintain a healthy weight, my hair stopped coming out, my nails are stronger, I have plenty of energy. My other lab numbers are great. I hope this helps someone.",RD
8,Synthroid,Hypothyroidism After Thyroid Removal,10.0,,"August 10, 2018",63,"It was discover that I had a nodule/goiter on one my thyroids and the other wasn't functioning at all. After all the tests, I was put on Levothyroxine generic. I had all the symptoms named in all the other comments. But to come to find out, I couldn't take the generic. I was switched to synthroid and have been on it for over 30 years. I had to get it adjusted correctly, over the years,  finally got it settled. All the symptoms gradually went away and I have been doing great since. This one has done the job for me. The only thing I have to say is that once on this medication, the weight maintenance has been constant with good diet and exercise. I have always separated vitamins and thyroid med, vitamins in the morning and meds at night. It has worked so far and feeling great. I will continue on this medication. To all, do not give up. There is something that will work with your body and it will be like a miracle. This was my miracle.",Thyroid Girl
9,Synthroid,Hypothyroidism After Thyroid Removal,1.0,Taken for 6 months to 1 year,"February 8, 2018",27,"After taking synthroid for less than a year, I have been confined to a wheelchair and have permanent breathing/respiratory issues.",NoMoreSynthroid
