,drug,condition,rating,duration,review_date,upvotes,review,username
0,Prednisolone,Inflammatory Conditions,4.0,Taken for 1 to 6 months,"September 29, 2021",0,"I have mucus problem fom 20 years.And am taking prednisolone since 2 months. It is only effective when you were taking it. If u miss the dose the problem may come back. It may have some serious side effects like.-Erectile dysfunction-Back pain-Pain in liver in between in 1.5 inch diameter-Swelling-Some time CNS failure when you were running on sprint and get pain in thigh-Fatigue very fast-When you were start taking it... Mood swings and anger-Oily face-Pimple and acne over your forehead-Less sleep only 5 hrs. After that you may automatically wake up.Conclusion:-     Have a lot of side effects but it is the only meds I found in 20 years from running from dr. to dr. Which one is effective.It has to be taken with diethylcarbamazine, betamethsasone, acelofinac and paracetamol may give a better results. I have spitting phelgum problem from 20 years and at every 5 min i spit. I got this because I had pneumonia when I was a child.I hope this may help a lot.",Mohd shuaib Ans
1,Prednisolone,Inflammatory Conditions,1.0,Taken for less than 1 month,"September 27, 2020",6,"I took prednisone  as prescribed from my doctor as I had inflammation in my liver, I had been given 8  x 5 mg tablets a day.  I took  8 tablets and my side effects were that I had blurred vision, my heart started racing at really fast pace  so I ended up in A&E thought I was having a heart attack .These tablets are very strong.  The doctor told me to take them 4 at a time now.  I did but I nearly passed out for 4 hours after taking them. I have to go back to my doctor as I don't think I can take them but I do want to get well again.",Anonymous
2,Prednisolone,Inflammatory Conditions,1.0,Taken for less than 1 month,"September 19, 2020",2,Started on prednisolone today I usually take the Teva brand but they have decided they are not make any it anymore so I took accords brand prednisolone and my throat has played up all day I am on antibotics as well. I have been on them on and off for ages on the website for accord it says it's discontinued 5mg prednisolone with out saying why I have last stage emphysema I don't appreciate being given discontinued drugs what's going on why has it been discontinued ???!,Dispair
3,Prednisolone,Inflammatory Conditions,10.0,,"May 4, 2020",5,"I was put on prednisolone for an inner ear problem caused by a hormonal imbalance. I'm very sensitive to medication and I knew this when taking the full dose prescribed. I took 20 mg's 3 times the first day and found that I could not sleep that night and had anxiety and a headache. I dropped down to 40 mg's at 8 am and 12 pm the next day and slept very good. No anxiety and no headache. I do take the pills with food. It has greatly decreased the inflammation I felt in the back of my head near my ear. I'm feeling better. Although, I'm on an antibiotic too. I was scared to take this after reading many poor reviews but, I'm so glad I did. I suffered for a long time before knowing it was my ear causing the problem and I'm so glad I was prescribed this medication. I'm only taking them for 5 days though.",Jeni
4,Prednisolone,Inflammatory Conditions,2.0,,"February 18, 2020",1,"Have been on this drug  prednisolone for 4 days to help bring down swelling around my right knee as my body has Psoriatic  Arthritis I also have diabetes type 2. The dose was 25mg twice a day. Everything seemed fine, till early in the evening of Tuesday 17/2/20 thats when my blood glucose  hit the roof. I was up way too high. Its a wonder I didn't go into a coma. I didn't realise the side effects were that bad, since reading some of the other comments of side effects of others who have taken this drug, I did notice I had similar. The drug may have its good points for some, for me over all, it's not worth it,  I'll discontinue taking them. I am more concern about the blood glucose getting out of hand, and increase of infections, as diabetes type 2 is known to develop gangrene, when infections get worse or not treated.",Some body
5,Prednisolone,Inflammatory Conditions,10.0,Taken for less than 1 month,"February 2, 2020",3,I was diagnosed with sarcoidosis on the skin have really bad skin lumps and rashes just started taking prednisone it seems to be working. The lumps seems to be going down although my appetite has increased a lot and I have gained a few pounds while taking the medications,Nene
6,Prednisolone,Inflammatory Conditions,10.0,,"September 18, 2019",11,"I have ankylosing spondylitis that started in my middle 20s, and have suffered chronic back pain most of my life, this disease was never pick up by doctors until I asked for blood test for this disease, which I had done in my early 50s. My spine  is totally wrecked with disk's worn out, most disk's are bulged and have even slipped,  been on so many pain killers but they do nothing but just take the edge of pain in mornings. I have been on this course of Prednisolone just over a year ago for about 2 weeks and it was very good for pain. Well I have just started another course as my pain is very bad, this medication is fantastic for the pain I'm in and I will keep taking them for longer than I have before. I take 5 pills ( 25 mg total ) in mornings and with no food, the only down fall I have with Prednisolones is they make me very sad, I can cry at anything? But that's all, much better to be sad than be in the pain I was going through, I'm now in my 70s",sally44
7,Prednisolone,Inflammatory Conditions,7.0,Taken for less than 1 month,"May 2, 2019",3,"I was prescribed this medication for a tooth that needed a root canal. My dentist was unable to finish my initial visit because even after 12 shots of Novocaine, I could still feel it when he hit that nerve. So he prescribed this. I took the first 6 tablets in 2 doses since I received it late in the day. Day 2 was great! I had no tooth pain, and I felt 15 years younger! No knee pain, neck pain, or back pain either. I did notice a couple of incidents of heart palpitations that evening, but I sometimes get those anyway, so I wasn't too concerned. I did notice that I was extremely thirsty while on this medication. By day three I noticed my tooth throbbing an hour or so before I was due for the next dose, but I toughed it out. Day four was the same but since the doses were further apart, it was hard to ignore the pain. By day 5 I was supplementing with Advil every 6 hours. Day 6 I had a little vertigo, but not too terrible.",Dee Dee
8,Prednisolone,Inflammatory Conditions,,Taken for 1 to 6 months,"December 12, 2018",9,"I had suspected Temporal Arteritis, had biopsy, came back negative but as a precaution was prescribed 60mgs per day for 1 month then decrease to 50mg, 40mg,30mg and so on right down to 1mg per day over 1 year.Am now on 5 weeks and decreasing myself weekly.  Can I do this safely and on what regime.  the side effects are horrendous and outweigh the 'cure' and it is not sure that I have the problem anyway.",Wombat
9,Prednisolone,Inflammatory Conditions,,Taken for less than 1 month,"June 28, 2017",0,just starting,misterjohn
