,drug,condition,rating,duration,review_date,upvotes,review,username
0,Plavix,Ischemic Stroke,5.0,Taken for 1 to 6 months,"August 30, 2021",0,"Plavix causes severe itching, on A 1/2 dose every two days, so I can’t take it or take pletal.",Hornor209
1,Plavix,Ischemic Stroke,1.0,Taken for 1 to 6 months,"June 23, 2020",29,"After the stroke, the Neurologist put me on Plavix with a strict warning about excessive bleeding. I was even told not to use a blade when shaving. I had a bad stroke and a difficult recovery with all kinds of issues, but after a paper cut that bled for 4 hours and a couple of all-day nose bleeds I ask to be taken off. The GP put me on low dose aspirin, which has worked well for me. I feel better and bleed normally now.",Robertec2
2,Plavix,Ischemic Stroke,9.0,,"May 15, 2020",12,"In 2010 I had a moderate (ha ha) stroke that was eventually attribute to a newly discovered PFO. Was put on aspirin first, then warfarin after some odd  neurological symptoms a couple of months later. Hated it. Four months later was enrolled in a study of PFO closure and streamed into the medical arm, meaning plavix. Been on it since. Had a couple of minor neurological symptoms along the way (global amnesia) but otherwise have do e well, live normally and no complaints. Now age 65.",Douglas
3,Plavix,Ischemic Stroke,10.0,Taken for 1 to 6 months,"September 15, 2019",30,"I was placed on Plavix after having a stroke it was a silent stroke and I did not even know I had a stroke until I had an MRI and a CAT scan done. The cause of my stroke apparently was high cholesterol very high. I was placed on a starting dose of 300 mg then on a daily dose 75 mg for 90 days I am currently at the two month mark and will be taken off of it in October. I have not even noticed that I am on this medication, other than some bruises that I have developed mysteriously on my legs that are about The size of a dime to a half a dollar and about six of them at any given time.",Alf007
4,Plavix,Ischemic Stroke,,Taken for 6 months to 1 year,"May 2, 2019",10,"For nursing mom's looking for answers  and reviews on breastfeeding and being on Plavix (clopidogrel) I was told this drug never been tested for nursing mom's and they recommended I quit nursing, another doctor thought I should be okay so I have nursed for 6 months on this medicine had my baby blood drawn twice  and baby is completely fine!",Anonymous
5,Plavix,Ischemic Stroke,,,"June 25, 2018",46,"Small stroke:  Only medicine I was on after Patent Foramen Ovale (PFO) Closure to fix a heart defect was Plavix and 81 Mg Aspirin. Was Tasked with being on plavix and aspirin for 90 days.  First 3 weeks after PFO closure was great- no problems.  Muscle & Joint pain presented itself with legs feeling heavy during 4th week along with extremities being cold. Started to become very tired & fatigue throughout the day. Knee and wrist hurting several time a day which continued for 5-6 weeks. Muscle pain did subside somewhat around week 9. Taste changed throughout use of Plavix which was accompanying by burning mouth and tongue. During last 4 weeks of use my vision became very blurry with constant low grade headache in back of head. Last but not least experienced tingling sensation in face, hands and toes during last 2 months of use. Had eye test, MRI on brain, a lot of blood work and exams by DR to check these symptoms out.- All normal.  I'm hopeful this drug worked for my PFO but it did not agree with me at all.",Slider
6,Plavix,Ischemic Stroke,8.0,Taken for 2 to 5 years,"September 1, 2017",12,Causes extensive bruising but is effective in it's  role as a blood thinner.,dtilotta
7,Plavix,Ischemic Stroke,1.0,Taken for 1 to 6 months,"March 31, 2015",47,"Problems:Nose bleedSignificant Memory Loss and confusionExtreme Constipation",Danost
8,Plavix,Ischemic Stroke,10.0,,"July 25, 2013",60,Was using generic clopidogrel and after having nose bleeds etc. Am now back on Plavix and have had no problems since.  Will continue to use Plavix.  I now receive the Plavix brand thanks to the card I received from the company.,Clifford Churchill
9,Plavix,Ischemic Stroke,9.0,Taken for less than 1 month,"April 4, 2013",42,I switched from Crestor to Plavix after my doctors guidance and couldnt be happier with results.,Mickey_76
10,Plavix,Ischemic Stroke,1.0,Taken for 1 to 6 months,"October 25, 2012",107,"Fatigue, weakness, bad bruising, bleeding, stomach pain, diarrhea, headache.",11tilt68
11,Plavix,Ischemic Stroke,10.0,,"September 1, 2008",178,Plavix has done wonders for me. I've tried other anti-clotting medicines; Plavix has provided a better quality of life for me.,NOBUKO OBAKA EZAKI
