,drug,condition,rating,duration,review_date,upvotes,review,username
0,Imiquimod,Keratosis,3.0,Taken for 1 to 6 months,"January 16, 2022",0,Zyclara (imiquimod):I use this 2 weeks on 2 off on  my nose and forehead. Minimal reaction. No side effects.Have previously used it with success.,Herman
1,Imiquimod,Keratosis,10.0,Taken for 1 to 6 months,"November 17, 2021",0,"Treatment was for 4 weeks M-F at bedtime. Noticeable redness and irritation started after the third day. Intense itching, burning and stinging increased each week. By week three I experienced some light bleeding and wounds were weeping. Benadryl gave temporary relief but for the most part the discomfort was a continuous thing.",Jax
2,Imiquimod,Keratosis,9.0,Taken for 1 to 2 years,"February 19, 2021",0,"This is my second round of treatment. The first was a year ago. I have had no generalized symptoms such as flu like symptoms as many have described. My doctor always prescribes an oral antiviral to take each day during the treatment. She said it is to prevent fever blisters but maybe it  prevents the flu like symptoms too.  Many of the crusty, scaly  spots on my nose and cheeks but not all were smooth after the first treatment.  I misunderstood and did not use  the cream long enough the first time. This time I will do it correctly.",windows 10 mail
3,Imiquimod,Keratosis,10.0,,"January 26, 2021",0,"This is the second winter using imiquimod cream. Last winter I did the back of my neck, ears, forehead, chin and the décolletage area of my chest. I got a robust reaction on all area and good results. Side effects were nasal congestion, low back pain, painful skin where treated and massive itching. Skin also had weeping and oozing. This winter I started treatment on my entire chest area. Started applications 2/3 x a week. Definitely getting a good reaction with sores developing with moderate weeping/oozing. I’m having flu like symptoms, fatigue, more nasal congestion and even more pain and itching than last year. No low back pain. Benadryl helps with itching and Aquaphor helps with pain and healing. This treatment is not for the faint of heart so definitely not for everyone. However, it does a great job attacking and getting rid of those precancerous cells.",Reggie
4,Imiquimod,Keratosis,1.0,Taken for less than 1 month,"August 18, 2019",1,This stuff is caustic (use extreme caution) applied twice to  pre-cancerous spot on my lip and it destroyed the tissue.  Blistered and pocked my lower lip for weeks. After two applications. Only apply very very thin coat.  Packaging is confusing as it states one application on each individual package.  See if there is a better alternative!!,Mikey O
5,Imiquimod,Keratosis,8.0,Taken for 1 to 6 months,"July 24, 2019",9,"Zyclara (imiquimod):I have had a recurring actinic keratosis on my temple( beside my eye) on and off for several years, plus several eczema-like lesions on my cheeks, neck and behind my ears. I have gone through the recommended 6-week Zyclara treatment and my skin is much better, almost completely clear, with just a few little areas remaining for which my dermatologist has recommended a further 'cycle' of 6 weeks. which will start in the next few days.I had the usual unsightly red scabs on one side and then the other. They were rather sore and itchy, but not unbearably so. Many friends have commented on how much better my skin looks, which is encouraging!I also have a compromised immune system, due to a chronic leukaemia, but no obvious side effects.I live in Spain, so have had to be careful about further sun exposure.",Justin
6,Imiquimod,Keratosis,8.0,,"March 19, 2019",6,"Zyclara (imiquimod):I'm on the second round of applying Zyclara, week two after using it for 2 weeks on and 2 weeks off. The first round I had no side effects and very minimal skin changes until day 13. I saw my dermatologist on day 15 and she said she would consider it a mild to moderate reaction. I had a crusty place on the bottom side of my nose, and a pimple like place on the skin next to my nose and one on my nose. I'm on day 8 of round 2 and noticed a pimple like place on the skin next to my nose in the same place as before. I was so scared to try this lotion after seeing the pictures of what could happen. I had MOH's surgery on my nose last summer and would like to avoid having that again if at all possible. I had good results, very minimal scarring and it's not noticeable now but the whole process of the surgery just grossed me out.   My doctor wants me to apply the Zyclara for 3 two week on and two weeks off sessions. I hope this does the trick, it seems to be working.",Dakota123
7,Imiquimod,Keratosis,7.0,Taken for 1 to 6 months,"January 3, 2019",5,"Zyclara (imiquimod):Used Zyclara for basal cell carcinoma behind my ear just smaller than an eraser head. 6 weeks straight. Did the trick with no scarring other than from the punch biopsy. No side effects other than the huge ugly scar that formed but I just wore my hair in a way that hid it. Previously used Aldara on my chest but did experience mild, brief episodes of nausea for a couple days but quite tolerable.",Cursed
8,Imiquimod,Keratosis,10.0,Taken for 5 to 10 years,"December 11, 2018",22,"Zyclara (imiquimod):58 yo female, fair but I do tan. First basal cell at 27; MOHs  surgery x2 . Also squamous cells and ##AKs & SKs frozen every 6 months. Aldara too intense. Been using Zyclara every winter for YEARS. Haven’t been brave enough to do my face but need to. Takes 5-7 days to start seeing effect; usually stop around day 10. It’s like trying to stop a speeding train - continues to intensify for several days after stopping. Oozy, itchy just like everybody says but it works! Flu-like symptoms because Zyclara stimulates an immune response. NOT topical chemo. I do one area at a time and rotate - back or chest or arms or legs. Stimulated lymph nodes are a normal immune response. If I feel flu I hold off for 2 days. Believe me the train keeps running but the symptoms reside. Every other day from there then it’s time to stop. I love that it flares spots I can’t see and heals better than burn/scrape or freeze.  It’s a drag but I’m glad to have the option.",Sdollar
9,Imiquimod,Keratosis,8.0,,"August 7, 2018",4,"It's a relief to find here that all the side-effects others have listed I also am experiencing.  I went 7 or 8 days before taking 2 days off.  I'm bald and so, for now, the treatment area is all on the top of my head.  I have about 30 growing red bumps; the pain and itching are manageable.  The worst part is flu-like symptoms, low energy (can barely take care of daily essentials), loss of appetite, and inability to sleep (this side effect just started last night so hoping it subsides quickly).  I'm about 2 weeks in now with 3 or 4 weeks to go.Yes, it's highly unpleasant for many but still, as others have commented, perhaps the best alternative to lesser-effective treatments.BEFORE YOU TAKE THIS MEDICINE:  If possible, have someone that will grocery shop for you and walk the dogs, etc.  There will be days when you're too weak and nauseated to do this if you're like me.",Brad
