,drug,condition,rating,duration,review_date,upvotes,review,username
0,Ciprofloxacin,Kidney Infections,3.0,Taken for less than 1 month,"March 1, 2022",0,"I was given these from the hospital for a severe kidney infection. The dosage was two 500mg for 5 days. Worst tablets I've ever been on, they made me want to self detonate. They have even gave me Jaundice which is a 1 in 1000 chance. They were very fast acting towards the kidney and kidney pain which is good but side effects were very very nasty.Side effects I experienced: - severe nausea - dry mouth - vomiting - dizziness - abdominal pain -headache - muscle aches- confusion - extreme fatigue - fever and cold sweats - jaundice (yellowing of skin, eyes and urine) I've been off the tablets for about 48 hours now (thank God) but now need time be treated for jaundice. Only good thing I can say about these is that they are very fast acting. I wouldn't recommend these at all even if you are desperate please ask for something else.",Pearl28
1,Ciprofloxacin,Kidney Infections,8.0,Taken for less than 1 month,"March 1, 2022",0,"Currently on day 4 of 7 of my Ciprofloxacin regiment for a kidney infection. I haven't had a nightmare of an experience by any means but this is definitely one nasty drug. Within 20 mins of ingesting, I experience quite intense abdominal cramping on my left and it's worse than my kidney pain. This lasts about 30min-1 hour until my muscles relax again so I take an Advil in preparation for it which helps. I've also been experiencing heavy night sweats. It's a little hard to determine what is the result of my infection and what is a side effect of the medication but I'm quite confident about these two in particular. I take the pill with about 500ml-1L of water. Food doesn't seem to make much of a difference for me. The restrictions for dairy also make the morning scheduling super annoying as yogurt and granola is my go to. All that said, my kidney infection pain is all but gone now and I feel like I'm on the road to recovery so it is effective; it's just a pain the way it goes about it.",DanJoe
2,Ciprofloxacin,Kidney Infections,,Taken for less than 1 month,"February 14, 2022",0,"I would strongly caution you about taking this drug for anything. While it is widely prescribed, the side effects are not obvious on the leaflet you get from the pharmacy. I spoke to gps, a nurse, and a pharmacist and they didn’t know about the risks of the drug induced neuropathy I started experiencing after taking just two pills. I was experiencing pins and needles, numbness in my leg and foot. It was scary and I am a 31 year old female who has never had a reaction to antibiotics except a small rash. The FDA warns this is side effect is 50% more likely with this class of drugs! There are so many other options of antibiotics out there. At the first sign of trouble, I stopped this drug immediately and took bromelain, magnesium, b6 and was switched to amoxicillin. The side effects started to regress two days after stopping. Please be careful!",Sc123
3,Ciprofloxacin,Kidney Infections,7.0,Taken for less than 1 month,"January 1, 2022",0,"Cipro (ciprofloxacin):Went to the doc with the typical symptoms of kidney infection.  While my UA was clear, the doc Rx'ed Cipro.  I'd had a bad reaction in the past (depression) but decided to try again since I was desperate for relief.  This time it hit me completely different--more of a mood lift than anything.  I recall Levaquin making me feel almost hypomanic like this too, which I didn't mind.  More importantly, the infection seems to be improving.  Make sure to read the package insert & follow the dosing instructions carefully.  Take with food & a large glass of water (or two).  Avoid caffeine in any form, calcium/magnesium supplements & sunlight as well as NSAIDs.  If you're worried about tendon rupture, avoid exercise.  Most people don't bother reading the dosing instructions or think they don't apply to them then wonder why the med made them sick.  Obviously fluoroquinolones are heavy duty meds that can cause damage but that goes for many things in life.  Risk vs. benefit.",Lady Xo
4,Ciprofloxacin,Kidney Infections,8.0,Taken for less than 1 month,"October 20, 2021",0,"I would not recommend this drug for people like myself that have an allergic reaction to penicillin and sulfa. This is about all I can take for a kidney infection. The side effects aren’t too bad for me and I don’t really get dizzy from it. I just make sure I rest a lot and drink lots of water. My dreams do tend to be a little scary on it, but if that’s what it takes to get rid of a serious infection then I’ll do it. The infection scares me more than side effects. Everyone’s body reacts different though!",ash
5,Ciprofloxacin,Kidney Infections,3.0,Taken for less than 1 month,"August 26, 2021",0,"Currently taking medication for bladder infection (2x a day for 7 days) I was having vaginal soreness and urgency and pelvic pain. I’m on day 4 now, and those symptoms are now gone but I’m having some back pain or kidney pain on my left side and a sore throat. I never had any side effects from medication before.",Ash
6,Ciprofloxacin,Kidney Infections,1.0,Taken for less than 1 month,"August 4, 2021",0,"Cipro (ciprofloxacin):Don’t take this. I’ve been taking it for three days and I can’t sleep, I’m in pain, my Achilles’ tendons hurt. My legs have pins and needles and they are extremely restless. My heart beat is irregular and fast. My mental health has plummeted. I don’t know what to do I can’t take this for five more days I have to stop I just want these side effects to be over this is a nightmare.",Anonymous
7,Ciprofloxacin,Kidney Infections,1.0,,"July 15, 2021",0,I have taken this drug for 14 days. I’m not well. My tummy is so sensitive and my tastebuds bitter. I had two blood work on Kidneys. 6/7 when I have left the hospital my creatinine were 1.0. 6/15 my creatinine were 1.05. 7/13 my creatinine is 1.12. My doctor told me that I have to wait two more weeks for another blood work.  Two more weeks wait and see??? Please anyone help me!!!,Ann
8,Ciprofloxacin,Kidney Infections,1.0,,"March 28, 2021",4,"I'll start off saying I have never had a reaction to medication in my life, and have NKA (no know allergies). I should have known better after reading the three pages of warnings, but given my positive track record with medications I figured I'd give it a go, which was a bad decision. The first day on Cipro was mostly uneventful. I did have a small problem with blood sugar levels, but that was expected since it was listed as a possible mild side effect. By day two I started noticing pain in my inner thighs. Not a lot at first, but by day three the tendons in both legs felt like they were on fire. I called my doctor and was told to stop. It's been three days since I stopped taking Cipro and the pain continues. I am unable to sleep unless I pass out from exhaustion. I require assistance with walking, and have difficulty concentrating. I wish I had read the reviews before taking this stuff. As others have said, you are rolling the dice with Cipro. It really needs to be removed from the market.",WishingCiproneverexhisted
9,Ciprofloxacin,Kidney Infections,1.0,Taken for less than 1 month,"March 8, 2021",2,"I used Ciprofloxacin last year for an infection last year. I would not say it helped. Added to this suddenly I started experiencing severe pain in rotar cuff, left arm. The pain was so severe I could not sleep. Months of physiotheraphy followed. Slight improvement. I recently was once again prescribed Ciprofloxacin for a UTI. I took one pill and broke out in huge red flat blotches all over my body. I stopped taking all meds and went to the Dr. The Dr told me to try again and take no other meds to see if it was indeed the Ciprofloxacin as by the next day the blotches had disappeared. Once again after taking another Ciprofloxacin I broke out in huge red flat blotches and my eyes started to itch and my throat started closing up. I stopped taking it immediately. By the following day red blotches had disappeared almost entirely. Since then the severe pain in my rotar cuff is back. This after taking only two Ciprofloxacin tablets.",Samatha
