,drug,condition,rating,duration,review_date,upvotes,review,username
0,Midazolam,Light Sedation,1.0,Taken for less than 1 month,"February 16, 2022",0,"Versed (midazolam):I also am an RN and had Versed today for cataract surgery (I do not know the dosage - I was dosed x 2, but asked post-op what I had been given) with absolutely no affect. Fortunately, the numbing eye drops that they used many times kept me from feeling any pain.",Deborah
1,Midazolam,Light Sedation,1.0,Taken for less than 1 month,"January 23, 2022",0,Versed (midazolam):Does not work on me at ALL! I've been given the most you can give a person and still had a panic attack during 4 different procedures. I think it shouldn't be used for patients like myself with anxiety and panic disorder. It's useless.,Dragon_Mom
2,Midazolam,Light Sedation,1.0,Taken for less than 1 month,"January 14, 2022",0,I had 7mg for an  NJplacement and it did absolutely nothing,Teags
3,Midazolam,Light Sedation,1.0,,"December 28, 2021",3,Versed (midazolam):I tell the nurses and dr each time I have a procedure that this medication does not work for me. They totally ignore me. I had a trial stimulator put in my back today after telling every nurse and dr they still used it. I was totally awake until they finished. Horrible experience. It was so painful. I am not happy!!!,Upset
4,Midazolam,Light Sedation,10.0,Taken for less than 1 month,"November 1, 2021",0,"Appropriate sedation, convenient short term memory loss.",Versed
5,Midazolam,Light Sedation,1.0,Taken for less than 1 month,"October 6, 2021",0,"I had an endoscopy yesterday and was told I would be under twilight sedation.  I have had that before and it has worked they way it was supposed to… I remembered nothing.  But, for some reason, yesterday was different.  They gave me Midazolam and it only made me feel like I had taken a breath of laughing gas… basically it did NOTHING.  It was a terrible experience.  I read my file afterwards and even took photos of it.  They gave me 3 doses of Midazolam equalling 7mg and I was still wide awake and remember every moment of the endoscopy.  I’ll be requesting General Anaesthetic next time!!!",mskim
6,Midazolam,Light Sedation,,,"October 2, 2021",0,"Versed (midazolam):I just had an injection in my back and was given Versed. The anesthesiologist knew that the first experience I had with an injection in my back went very badly and was extremely painful. After this terrible terrible injection, the anesthesiologist told me he even gave me more Versed because of the previous experience. I’ve felt everything they did and it was excruciatingly painful. I don’t think I can blame the anesthesiologist though. It may just be my reaction to the drug but I’m totally traumatized now and I can’t imagine ever getting a third injection in my back after this experience. This better work is all I can say!",Jennifer Chapma
7,Midazolam,Light Sedation,10.0,Taken for less than 1 month,"October 1, 2021",0,"I've had Versed twice; 10 years ago for an EGD and two days ago for a hysterectomy. When I had it 10 years ago I remember giggling as I went to sleep. Two days ago when I had it I remember laughing hysterically while they wheeled me down the hall to the OR and saying that Versed was great and that I wanted some to take home with me. I remember continuing to laugh hysterically as I moved onto the OR table, and I also remember looking at the big lights over the OR table and saying, ""This is so cool!"" After that I was out. Hope I didn't annoy the staff too much. I know it knocks me for a loop and makes me very giddy. I stay groggy from it longer than other people, but am totally fine the next day. It does affect everyone differently.",Lisa S
8,Midazolam,Light Sedation,1.0,,"September 5, 2021",0,Had this drug several times for colonoscopy and endoscopy. Does not work at all on me but told there was no alternative. Can this be true that there's no alternative?,Recycledbarbg
9,Midazolam,Light Sedation,1.0,,"August 29, 2021",0,"Omg, Had a 2mg of midazolam to have my stomach looked ,at with a gastroscope, I was wide awake and felt every thing. I was gagging and heaving and felt like I was being choked. It was horrendous. That was two days ago. I have had nightmares about it since, I will never ever have it done again. I was confused for the rest of the day too.",looby
10,Midazolam,Light Sedation,1.0,Taken for less than 1 month,"August 28, 2021",0,Versed (midazolam):I had a vertebroplasty done on two back fractures.  Have had versed in past and worked fine.   Not this time. I felt every minute of dr working  on me.   Not sure it worked in past but not this time,Chris
