,drug,condition,rating,duration,review_date,upvotes,review,username
0,Abilify,Major Depressive Disorder,9.0,Taken for less than 1 month,"March 31, 2022",0,"I rate this medication highly. I’ve been on it about a week, on 5mg and I feel so different. My moods don’t fluctuate nearly as much and I’m not getting depression.",Anna
1,Abilify,Major Depressive Disorder,10.0,Taken for less than 1 month,"March 3, 2022",1,After months of circumstantial and seasonal depression I'm finally asked for some help. I have treatment resistant depression and don't respond well to most antidepressants. After only one week of trying abilify (generic/2mg) I am back to myself...good to go! I am absolutely amazed with a difference it made in such a short period of time. No side effects other than a few hot flashes and those have subsided. I couldn't be happier that my doctor recommended me to try this!,Good2go
2,Abilify,Major Depressive Disorder,10.0,Taken for 1 to 6 months,"February 12, 2022",2,"The medicine added to an antidepressant that was pooping out was a dream come true! I now wonder how well it may work alone… with no antidepressant drug along with it? So, it was a miracle for me— how it will effect you may be altogether different!",Rogue
3,Abilify,Major Depressive Disorder,10.0,Taken for less than 1 month,"February 11, 2022",1,"I was born with major depression and suffered abuse, so reactive depression was also an issue. Although I was internally sad all the time, I was very successful in school, ballet, piano, violin, art, singing and had lots of friends.  I had learned the poem that begins, Sunday's child is full of grace,""so one day I asked my mother what day I was born, and she scoffed and told me my numeric birthday.  I told her,"" No, the day."" A Wednesday! Wednesday's  child is full of woe. "" At the age of six, I felt doomed. I went through life very successful and sad. In my forties, my doctor prescribed antidepressants which helped, but didn't completely alleviate the depression and sad mood. I saw commercials that touted medicines that added to your  antidepressant would help.  I went to see my doctor, discussed my situation with him, and he suggested trying 5 mg Abilify. After the third day of adding Abilify to my other medicines,I woke up feeling ""normal"" and good. I finally have the ability to be happy!",Reverend R
4,Abilify,Major Depressive Disorder,1.0,Taken for 1 to 2 years,"November 23, 2021",2,"I've never been diagnosed as Schizophrenic but this made me paranoid and delusional. Strong twitching and noticeable jerking movements, intense anger, frustration, anxiety, unwanted intrusive thoughts, weight gain and various other symptoms. In response, my psychiatrist increased the dose of aripiprazole and added additional meds to combat the symptoms. I stopped seeing friends, stopped attending events I had been going to on a weekly basis for years. Eventually I couldn't even go into a grocery store. 2 days after discontinuing aripiprazole (with new doc's blessing) I landed in a psychiatric ward. It never occurred to me that it was the medication's side effects and not me, my mind, my inability to just put on my ""big girl pants"" and deal with life. Approx 6 years since then and my mind is not the same, I'm not the same. The fallout is real. Then, I was working full time, just promoted and in school. Now, I'm on disability. It works for some but please proceed with caution.",Anonymous
5,Abilify,Major Depressive Disorder,10.0,Taken for less than 1 month,"November 20, 2021",4,"I was exhausted and depressed with what mimicked chronic fatigue syndrome. I could barely stay awake everyday and getting through the work day was next to impossible. I also counterintuitively had horrible insomnia and took as many non addictive meds such as Serequel, Melatonin and Hydroxyzine to get to sleep. Even with these meds I still could barely get to sleep and stay asleep. I started back on my Abilify at 5mg two weeks ago and it’s changed my life. I now naturally wake up everyday at 7(ish) and have cut my sleep meds in half. I don’t take my Hydroxyzine anymore. I sleep throughout the night. I still drink coffee because I like it. But I am drinking 10 times less coffee now. I used to just down coffee in hopes that it would help my chronic fatigue, but it was to no avail. I’m not jittery. I’m not wired. I’m just alert and awake. I’m also less depressed.",RyRy
6,Abilify,Major Depressive Disorder,10.0,Taken for less than 1 month,"November 15, 2021",2,"Abilify is great, within a week my 2.5 year MDD was going away, no side affects, I feel great",steve s
7,Abilify,Major Depressive Disorder,1.0,Taken for less than 1 month,"November 8, 2021",3,"Didn't work and the side effects were awful. I constantly threw up, had fevers, blurred vision, and the worst stomachaches and headaches I've ever had. I'm generally sensitive to drugs, though, so take what I say with a grain of salt.",Anonymous
8,Abilify,Major Depressive Disorder,10.0,Taken for 6 months to 1 year,"September 30, 2021",0,"Abilify 2mg added on to my regular SSRI took me out of the nightmare pit I was living in and brought me back to stable.  The fatigue with this drug is indescribable; I could sleep 20 hours a day if I didn’t force myself to work.  I am finally off if, but I had to taper with a 1ml syringe and use a liquid form.  It took me 4 months.  If you want to discontinue, please taper very very slowly.",Taperslowly
9,Abilify,Major Depressive Disorder,6.0,Taken for less than 1 month,"September 29, 2021",1,"First 2 weeks I felt great taking 2mg a day.  Third week,  this week,  my intrusive, negative thoughts, anxiety and panic disorders are back with a vengeance.  Hoping to get better regulation of my emotions soon!",Anonymous
10,Abilify,Major Depressive Disorder,10.0,Taken for 1 to 2 years,"September 11, 2021",1,"I am on 10 mg of Abilify and to say that it's helped me is an understatement. It has given me my life back! I am excited when I wake up, mind you, I used to not be a morning person, well now I am! I take 10 mg tab at night and I wake up feeling refreshed, happy and ready to take on the day! No side effects for me! I absolutely love Abilify! All of my intrusive, lonely, depressing and suicidal thoughts have disappeared! It feels like how I looked at life when I was a child, happy and worry free! My thoughts are organized, I am able to function as a person, wife, daughter and mother. Stick with it and find your happy dose! Much luck to you and I hope you reap all of the great benefits that I find in Abilify!",southerngurl
11,Abilify,Major Depressive Disorder,9.0,Taken for less than 1 month,"September 8, 2021",1,"I have spent the past 2 years in bed feeling so useless and miserable. I had absolutely no interest in anything, I felt like that was just my life,  after trying so many SSRIs and anxiety meds. I even self medicated with alcohol and ANYTHING ELSE I could try to just feel any little bit of normalcy. Finally my Dr put me on Abilify 5mg and literally the next day it was like I was a COMPLETELY different person THE PERSON I ONCE WAS. I'm excited about life AND happy about small things. I even went and got a part-time job which was amazing because I haven't worked in 12 years. I recommend this medication for anyone who has been struggling to find themselves. Huge life changer!",Tiff1111
12,Abilify,Major Depressive Disorder,1.0,Taken for less than 1 month,"September 3, 2021",3,I went on the generic Abilify for days and I started having suicidal ideation and ended up in the ER. I had inpatient psych stay at a hospital for a week. During my stay I continued having suicidal thoughts . I've never had either serious thoughts like this before this medication. I also developed akathisia and could not sleep. The medication was discontinued and I have gotten better but am still having sporadic thoughts a week later. I hope they continue to lessen as time goes on...,Anonymous
13,Abilify,Major Depressive Disorder,10.0,Taken for less than 1 month,"August 2, 2021",2,"I started on 5mg Abilify 6 days ago and I can honestly say I'm at least 50% better! I'm also taking Remeron to help with sleep and also may help along with the Abilify! I was so so so depressed!!! Didn't want to see or talk to ANYONE!!!! Yesterday I called my Son and we talked for an hour then after that I texted back and forth with my best friend for a while. I feel the FOG lifting, I'm very happy so far and I'm thinking it will only get better from here!!! Also I love listening to music and before Abilify, I didn't even care to listen to music. Yesterday I was jamming with the volume all the way up and dancing around my apartment singing as loud as I could and dancing!!! I couldn't tell you how long it's been since I've done that. At least a year!!!! 10/10 on the Abilify.",Deb
14,Abilify,Major Depressive Disorder,2.0,Taken for 1 to 2 years,"July 21, 2021",16,Abilify has made me RAPIDLY gain 40 pounds. Because of it I now am obese and have type 2 diabetes. I took it as an augmentation to my antidepressant to see if it would help with my treatment resistant depression. It helped a little but at what price? I'm so ashamed of how I look. I'm in the process of weaning off this horrible drug. Drug companies apparently don't care about terrible side effects....they just care about making money.,Mr. Obese
15,Abilify,Major Depressive Disorder,,Taken for less than 1 month,"July 2, 2021",1,"I wish I could tout the glorious benefits of this medication,  but I can't. I has made me super tense. As someone struggling with Borderline Personality Disorder - That is totally unacceptable. I was already uptight and too intense! I also feel as though my focus is dull and aggravated. I have zilch interest as far as my mind goes. It has now been at least 9 hours and I am STILL struggling.If you are someone who has to endure tension and stress on a daily basis, I don't think this medication is for you. Hopefully this will wear off soon. I hope so.",Heatherd
16,Abilify,Major Depressive Disorder,4.0,Taken for 5 to 10 years,"July 2, 2021",1,"I have been on Willburtrin Hcl for years and it stopped working so I was put on Prozac w/Willburtrin Hcl. That combo didn't seem to work. So now I am trying Prozac, Willburtrin Hcl and Abilify. I hope something works. Let you know in a month.",Help4one
