,drug,condition,rating,duration,review_date,upvotes,review,username
0,Cymbalta,Major Depressive Disorder,3.0,Taken for 1 to 2 years,"March 27, 2022",0,"I was on cymbalta for over a year. When I started, I had significant fatigue which I countered with Adderall. What I wasn't aware of at that time was the intense brain fog and impact on my cognitive abilities. It's difficult to be aware of changes like this as they are happening. I noticed memory problems such as not recalling conversations with my partner, and forgetting tasks at work. I  realized the extent of the impact only once I decided to stop taking Cymbalta. I tapered off very slowly as I had read the horror series of others quitting too abruptly. Even slowly, the cessation was difficult. Its now been over 6 months since I quit and I am still dealing with insomnia which I believe is an after effect caused by Cymbalta. I would warn people against taking this medicine as the memory problems alone are not worth it, especially with so many other medicines on the market. Take only as a last resort for significant depression. The trade-offs aren't worth it for mild cases.",DiscountPuppies
1,Cymbalta,Major Depressive Disorder,10.0,,"January 27, 2022",1,I suffer from clinical depression and this is without a doubt the best antidepressant with the least side effects  I  also have arthritis and it helps with the pain cycle . Only antidepressant  I've never had a problem with .,wlr726
2,Cymbalta,Major Depressive Disorder,10.0,Taken for 10 years or more,"January 19, 2022",1,I have been on Cymbalta since it came on the market. Over 15 years. It saved my life. I have to use brand name as generic does not work for me. If you have long term depression a few temporary side effects are nothing  compared to getting your life back.,Ann
3,Cymbalta,Major Depressive Disorder,10.0,Taken for 1 to 6 months,"January 13, 2022",1,"I’ve been on cymbalta for a little over 2 months now and I feel it works well for me, I take it alongside buspirone. I take 60mg at night. Does a good job at keeping my depression at bay, if I do feel sadness, it’s very minor compared to how it used to be. Also does well at controlling my anxiety, which is a nice bonus! You see people giving this drug a bad review but don’t let them scare you away, the truth of the matter is, everyone reacts to medication differently, works well for some and terrible for others, the only way you will know that is if you try it for yourself.",Knight987
4,Cymbalta,Major Depressive Disorder,9.0,Taken for 1 to 6 months,"December 17, 2021",1,"Not too shabby, has done me well. I’m far from suicidal and I don’t experience anxiety at all. I’m finally happy, only side effect for me is a decreased ability to experience empathy and I’m on 120mg.",Crey
5,Cymbalta,Major Depressive Disorder,10.0,Taken for 1 to 6 months,"November 23, 2021",16,"I don't even know how to start.. In basic terms, Cymbalta is something I never could have imagined possible.I was also extremely suicidal, self loathing, always denied anything happy or would get pissed off at just the idea of it, anxiety through the roof constantly and stressed out and over thinking about every little thing, super isolative to the point where I can quite literally stay in my room for weeks and weeks as well as skip personal hygiene for similar durations. I actually got my first job while I started Cymbalta, which says a lot coming from me and where I've been in life. This medicine is truly a divine experience for me. To go from the depths of the void into everything I seemingly had no awareness of or could see before taking it... It's mind boggling to me even still",Orphanatom
6,Cymbalta,Major Depressive Disorder,1.0,Taken for less than 1 month,"November 7, 2021",3,"I had tried prozac, zoloft, and before cymbalta, lexapro. None had worked so my doctor prescribed me cymbalta to see if I just needed to be on another type of antidepressant. Cymbalta sent me into the worst suicidal episode I ever had in my life and It became so bad that I was sent to the psych hospital. I got prescribed anxiety meds and wellbutrin, but even after a few weeks of that, I was still stuck in the episode that cymbalta triggered. I've had my wellbutrin dose increased to 300mg and am taking buspar and I finally feel normal. If you are like me and have multiple serious mental disorders, please be cautious with this medication :(",Mandy
7,Cymbalta,Major Depressive Disorder,5.0,,"August 28, 2021",4,"On cymbalta 60 mg  for 5 years. At 11 months I was hospitalized  with myocarditis. I continued taking it as doctors said that there was no connection. Although I had my doubts . Still have. It made me into another man, I was fearless, full of energy, it cured my depression and  GAD - it is a real motivation drug. But not forever. Liver enzymes and cholesterol high. I decided to stop taking it cause I got scared of these side effects . My doctor helped me. I had the worst time of my life for about 2 1/2 months. The withdrawals are unbearable. Brain zaps, vomiting, headaches, insomnia, fatigue and tinnitus. I was prescribed clonazepam to control side effects. I'm off for about 7 months and I feel like I was living in a dream for 5 years on this drug. I don't know if it's good or bad. Was this the real me, or just the drug changed my brain function? For sure it helped me but not without price. I am frustrated. Either you are mental healthy or physical? Be careful if you are on Cymbalta and drinking alcohol. It makes you more resistant",TonyTonic
8,Cymbalta,Major Depressive Disorder,7.0,,"August 8, 2021",1,"I had been on Lexapro for 10 years with good results. Until last fall when the world was going down the drain. I became super super depressed. Doc switched me to Cymbalta 60mg per day. It worked and felt so much better. However these last 3 mo or so I've noticed my happiness has definitely gone down hill. And I've noticed I've become very short tempered, agitated, and angry. I'm contacting my Doc today about switching me back to Lexapro....",Skippy
9,Cymbalta,Major Depressive Disorder,10.0,Taken for 1 to 2 years,"July 15, 2021",53,"People please stop saying ""don't recommend""Just like birth control, everyone reacts differently to meds. Just because it didn't work for you, doesn't mean it won't work for someone else. And maybe it will work for someone, it could totally change their life, and because of your review they may never want to try it.My sister tried Cymbalta and it didn't work for her, yet she told me to give it a try and it changed my life.",KGalRu
10,Cymbalta,Major Depressive Disorder,7.0,Taken for 2 to 5 years,"June 26, 2021",1,"Got prescribed Cymbalta for depression, anxiety and panic attacks. It quickly started working to alleviate all of them and I have not experienced a panic attack since. After being on the med for 3+ years, its effects on depression weren't adequate anymore. I begged my psychiatrist to increase the dose, and by the time they did, it was a bit late and I had an increase in suicidal thoughts & behaviour. Finally after 4 years I was weaned off to try something else. I was having a reaction to another medication so I'm not sure how much of the discomfort was the reaction or if it was the withdrawal. Overall a great med to try if you're anxious *and* depressed, especially since they tend to fuel each other.",tyhmyydenylistys
11,Cymbalta,Major Depressive Disorder,6.0,Taken for 1 to 6 months,"June 1, 2021",4,"Ok so this (Cymbalta) one worked good, but I had a bad experience with it. This stuff really peps up your mood and works quickly and will make you feel happy and energetic. However I forgot my meds when I flew from CO to TX for my sister's wedding and went into a horrible withdrawal I could not think straight and had unnerving thoughts and felt the lowest I've ever felt in my life, nasty experience. It worked well but the withdrawal I had from forgetting my meds scared me from taking it again. However it will help with depression, but has a few bad side effects.",Crod8309
12,Cymbalta,Major Depressive Disorder,4.0,,"May 11, 2021",8,"I was put in Cymbalta about 2 years ago for severe depression. I also suffer from chronic pain, osteoarthritis, severe hypertension, anxiety, & insomnia. The only thing my 60 mg have done for me is stop me from crying at the drop of a dime. My Dr. has now diagnosed me with Major Depressive Disorder (MDD), my depression has become debilitating. No energy, no drive, no strength to leave my bedroom. I was on Vyvanse for almost 2 years.  I really needed a stimulants to animate me, I had energy and had function. I changed doctors and she took me off of it and I've been like this ever since.   She put me on 30 more mg. In the afternoon and also prescribed Wellbutrin XL 150 mg. Cymbalta has not touched my Chronic pain or anxiety. We shall see what happens in a month.",Nanny
13,Cymbalta,Major Depressive Disorder,2.0,Taken for 1 to 2 years,"May 9, 2021",6,"I was on Cymbalta for over a year at 60 mg. I asked my doctor to adjust my dosage due to depression getting worse, I had a reaction to it. Then the doctor wanted me to tamper off of it in a 4 day period. The dosage caused another reaction. I am now on day 4 of withdraw. I am have to be on a medication to help me withdraw. As well as the new anti depressant doctor put me on. I feel so very very awful. I strongly recommend you do not take this medicine. It does more harm than good.",Dog/lizard mom
14,Cymbalta,Major Depressive Disorder,1.0,,"April 3, 2021",10,"Cymbalta is the WORST medication I've ever taken. I've never experienced a worse withdrawal. I started Cymbalta after Lexapro stopped working for me. After starting Cymbalta, things got worse. The little bit of work that Lexapro was doing was more effective than Cymbalta. I went from being barely functional to being in a catatonic state. I was on it for 5 weeks before my psych. took me off of it. Big mistake. Despite tapering the medication & starting Prozac, I was met with nausea, vertigo, lightheadedness, brain zaps, hot flashes, & fatigue. They tapered me off more slowly. Still didn't work. Yesterday was my first day back off of Cymbalta and I ended up vomiting, on top of the other symptoms I mentioned. And you know what happened when I took it again last night? All those symptoms went away. The physical dependency that this med. creates due to its short half-life is insane. Not recommended. Cymbalta is an ineffective drug with a severe withdrawal.",Ponyo
15,Cymbalta,Major Depressive Disorder,10.0,Taken for 1 to 6 months,"February 12, 2021",26,"I have probably tried 15 or more meds for MDD & GAD. I also was diagnosed Bi Polar but another Dr didn't think so...anytime I felt like it should be better they would tell me I wouldn't ever be 100%, it was just supposed to help. I was ready to give up and went to a new place and they prescribed me Cymbalta. I am on buspar and iron. But I think the Cymbalta is the best thing I have ever tried. I felt a little difference after  1 dose of 30mg. I'm an now a month in and I feel the best I ever have and I literally was ready to give up. I was so miserable feeling that way. So after 10 years of struggling. I'm so happy. I feel like a different person. All my drs tried me on SSRIs and never a SSNRIs...I have faith in meds now.",DD
16,Cymbalta,Major Depressive Disorder,8.0,,"January 18, 2021",8,"Cymbalta is the best anti-depressant I have been prescribed since my diagnosis of MDD in 2016. I have been taking 90mg nightly shortly before I go to sleep. With my depression, anxiety creeps up on me at night, causing severe insomnia. In combination with Trazodone, my body actually gets a full 8 hours of sleep. Though there are downsides, around 12-16 hours after my dosage, I do feel the same unpleasant thoughts creeping up on me, yet very much have improved. With Cymbalta, missed dosages WILL NOT go unnoticed. Physically, my body rejects sleep, loss of appetite and tremors come back after 24 hours without a dose. Brain zaps and skin tingling are unpleasant, and taking this medication every day is vital to preventing a relapse. To me, the pros outweigh the cons. I am alive! At one time, as I was newly prescribed Cymbalta 14 months ago, I didn’t see that as attainable. Nighttime is helpful for me, and time of day to take this drug is an important inquiry for your psychiatrist.",Livvy
17,Cymbalta,Major Depressive Disorder,7.0,Taken for 6 months to 1 year,"January 15, 2021",4,"I take Cymbalta for my depression, anxiety and fibromyalgia. I was diagnosed MD in 1999 and over the years I have tried several medications. Lexapro was working great and I was on that for a few years until I found out I had fibro and the specialist recommended a change from Lexapro to Cymbalta. I was hesitant because the Lexapro worked GREAT! I was well balanced and able to self-regulate my emotions, but I was also taking Lyrica for the pain and I liked the idea of the Cymbalta helping with nerve pain. I was hopeful that I could stop the Lyrica. My PCP started me at 30mg a day. I knew it took 4-6 weeks to kick in and I was a wreck. At the 2 month mark I called my PCP in a mad panic asking him to bump it up because I was ready to let my inner screams out. He told me to start taking 60mg. I've been on that dosage for 9 months and I have cut my Lyrica down to just one in the morning from 3 times a day. It isn't as good as the Lexapro for me, but it helps with my nerve pain.",Bengal76
18,Cymbalta,Major Depressive Disorder,1.0,Taken for 1 to 6 months,"January 8, 2021",4,"I have been struggling with GAD and MD for a long time now. I have been on most all antidepressants for one things or another and Cymbalta was by far the worst as far as side effects.I had pretty bad side effects with effexor as well so it is possible that class of drug for some reason does not agree.Cymbalta made me feel really high when I first began taking it, my pupils became enlarged.I even call the emergency psychiatrist after hours but was told my body was just adjusting.Cymbalta sent me full blown into a state it was horrible.I also had the strangest pain in my head, almost migraine like but throughout my whole head.I became delusional and had very strange beliefs during that period. It helped my chronic back pain, however, the benefits were outweighed by how it impacted my neurological functioning.Terrifying experience!",Em
19,Cymbalta,Major Depressive Disorder,1.0,Taken for less than 1 month,"January 5, 2021",6,"I started this medication to try to treat both my depression and fibromyalgia in one go, and it did not go well. My first dose was taken at around 10am, and by 7pm that day I was not feeling well. I was disoriented, dizzy, nauseous. An hour later my heart rate shot up to 145 (resting is 62), I was vomiting violently, shaking, and felt like I was drunk. I was admitted to the hospital, started on ondansetron. I was intermittently nauseous and dizzy, followed by extremely tired, weak, and cold. Symptoms stopped rather abruptly by 8pm the next day (lasted approx 24 hours).",stillsad
20,Cymbalta,Major Depressive Disorder,1.0,Taken for less than 1 month,"January 3, 2021",2,"I was on the prescription brand name pills Cymbalta 60mg 1x daily for 2 weeks. I was supposed to increase the dosage to 120mg daily per my physician at the 2 week mark.  I experienced almost every side effect there is and some other terrible symptoms.  I stopped cold turkey since I was having cold turkey symptoms also. My doctor and I believe I had bad reaction to it. It took me about two weeks to recover to my previous baseline issues, I was pretty thankful. It made me terrified to try any other anti depressant in going forward; it was a pretty bad experience.",Metim
21,Cymbalta,Major Depressive Disorder,5.0,,"December 29, 2020",3,"Works great for my chronic muscle pain, and knocks out my sciatica pain...which I LOVE, but it doesn't really seem to work so much as well for my depression...although it seems to keep my anxiety under control, just doesn't seem to lift my mood at all, feel more so ‘numb' I guess is the feeling.",Graham
22,Cymbalta,Major Depressive Disorder,2.0,,"December 19, 2020",7,"18F. I was recently diagnosed with MDD, but have had symptoms of this illness since at least 14. When I turned 18, I was recommended Cymbalta by my PCP. I started at 20 mg daily for 1 month and was bumped up to 40 mg after. Though I don't necessarily regret taking this medication, it was most definitely NOT for me. My depression worsened and I experienced intense emotional blunting/dissociation. For a good 2 weeks, I did not get out of bed except to use the bathroom. No showers, no brushing teeth, not much eating. My anxiety shot through the roof. A 20 minute trip to Costco left me in the fetal position on the bathroom floor for 2 hours, sobbing. Suicidal ideation increased, I got closer to a suicide attempt than I ever had before. I started abusing Adderall again. Libido was ok, definitely lowered a bit though. I quit the medication cold turkey, the withdrawal symptoms weren't too terrible - likely because my dosage was relatively low. Keep fighting the good fight, everyone.",Anonymous
23,Cymbalta,Major Depressive Disorder,10.0,Taken for 2 to 5 years,"December 14, 2020",16,"I switched to Cymbalta because my previous med combination (2 meds) wasn't helping my anxiety whatsoever, and I hate taking more pills than absolutely necessary.   For the first time in my life (50s), both my anxiety AND major depression are under control.  The first few months, this drug knocked me out cold, best taken at night.   After being on it for three years, the only side effect I have is major lag in orgasm (I'm a woman)--I'm looking at reducing my dosage if possible to see if that changes things, as enjoying sex is important to me.  (no change in libido!).   I truly hope this med continues to work for me forever.",Loving Life Now
24,Cymbalta,Major Depressive Disorder,,Taken for 1 to 6 months,"October 17, 2020",15,"I started this medication Cymbalta about 5 weeks ago after a suicide attempt. Seems to be working great thus far. Uplift in mood and slight ""zippy"" feeling, almost like a very light dose of Adderall which I used to be prescribed. Only 2 major side effects: trouble initiating sleep (but once I do get to sleep I do so with less frequent interruptions than before, and its easier to fall back asleep after a bathroom trip) and increased sweating (but I actually like leaving puddles at the gym so this is a bonus for me). 8/10. Any higher of a rating and I would be tempted to abuse this drug.",Gymguy
