,drug,condition,rating,duration,review_date,upvotes,review,username
0,Viibryd,Major Depressive Disorder,3.0,Taken for 1 to 6 months,"March 23, 2022",0,"The side effects I experienced while taking Viibryd overwhelmed the benefits. Six months prior to trying Viibryd I had been on 150mg of Effexor for two years, but its effectiveness plateaued and the GI issues I had, made it no longer a good fit. I started on 10mg of Viibryd for three weeks and initially,I felt more energized, less agitated and slightly more upbeat along with intestinal distress, headaches and insomnia, which I expected for a short period. After three weeks, both the benefits and side effects waned, so I titrated up to 20mg with stronger side effects plus anxiety which started to increase as the medicine started to build up in my system. I had a non-stop headache, ridiculous insomnia and worsening anxiety. I became so exhausted from never sleeping and disappointingly my depressive symptoms did not improve. I stopped taking Viibryd a week ago, but I continue to have insomnia and intestinal discomfort.",Hannah821
1,Viibryd,Major Depressive Disorder,3.0,Taken for 6 months to 1 year,"March 23, 2022",0,"I was on Viibryd for around 6 months. I’m going to be completely honest with you it didn’t change anything at all. I felt the exact same on it as I did off of it so I decided to finally wean myself off of it because it’s such a pain to get a prescription for, expensive, and not worth the hassle.",Anonymous
2,Viibryd,Major Depressive Disorder,10.0,Taken for 1 to 2 years,"March 10, 2022",1,"I have taken so many different anti-depressants and all of them either did not work or made me feel worse. Not Viibryd! I feel amazing on this medication, a life I've always wanted to live feels possible because of it. I've been on it for almost 2 years now and cannot tell you the turn around in my life. From suicidal and hopeless and now I am happy, motivated, and positive. I hope to what ever higher power exists that it never stops working for me and I can always afford it.",Applegir44
3,Viibryd,Major Depressive Disorder,10.0,Taken for 2 to 5 years,"February 11, 2022",0,I had been on multiple antidepressants with little results or side effects that I could deal with on a daily basis.  I was put on viibryd 2 years ago and my life is normal again.  Insurance quit covering it and the price sky rocketed so I switched to Trintellix.  Within 2 weeks I couldn't move or find any motivation.  After 2 months I went back to viibryd and am back to my normal self again.  My doctor was able to write to the insurance company and have the price reduced.,Finally!
4,Viibryd,Major Depressive Disorder,9.0,Taken for 10 years or more,"January 24, 2022",0,"I was given Viibryd by my general practitioner who recognized my depression. He gave me all of his samples, three months worth, and the stuff started working miraculously within 2 weeks. That was in 2007. Saved my life. But I warn you, the vivid nightmares are not just when you are asleep and not just black and white. These are Technicolor tactile recurring and god-awful.",thom
5,Viibryd,Major Depressive Disorder,1.0,Taken for 1 to 6 months,"December 29, 2021",1,"I've been on Viibryd 10mg for @ 5 months in combination with Wellbutrin XL 150mg. I've been reading that this is a ""duplicate therapy"" meaning both drugs have almost identical side effects. I have HORRIBLE INSOMNIA & a lot of anger. I was on Wellbutrin years ago & never any problems. I believe discontinuing the Viibryd 10mg all together would be best. I felt a slight boost in my behavior during the first week & thats it. I don't feel any better. Actually just more ""Blah"". Any thoughts/suggestions?",Karen
6,Viibryd,Major Depressive Disorder,10.0,Taken for 2 to 5 years,"December 27, 2021",2,"I have been on a total of 10 antidepressants throughout my life. Viibryd is amazing and the only med that really helps me. It keeps me level and my depression at bay. If I miss a pill I am depressed the next day. The 40 MG pill really upset my stomach everyday. So the Dr dropped me down to 20 MG. At one point I was struggling so he told me to take 40 MG until I was better. I took two 20 MG pills did not hurt my stomach. So I'm not sure what the difference is in the pills.If I miss a dose, when I start back I also get a headache and upset stomach for 1 day. It does get rid of my sex drive. I don't even really ever think about it anymore. But the pay off of not struggling mentally is completely worth it. It is SUPER  expensive even with insurance. So my Dr sends them a note letting them know I have tried 9 other meds so this one is medically necessary. So insurance pays for it completely.",Angel
7,Viibryd,Major Depressive Disorder,7.0,Taken for 1 to 6 months,"November 16, 2021",3,I don't have a lot of experience with trying different meds. The first one I tried made me extremely tired which was kind of nice because my mind was quiet. Viibryd is nice because I have energy and I feel stable as in the same for many months with no depressive episodes. Sometimes I get annoyed that my thoughts are just bouncing around my head with no purpose. Especially when I'm trying to sleep and I'm thinking about all kinds of weird things. They used to be repetitive and somewhat destructive but at least they seemed to have a purpose. During the day I don't notice it because I'm busy but when I'm sleeping I have weird thoughts and weird dreams. They aren't bad or anything just weird.,Monstar.
8,Viibryd,Major Depressive Disorder,2.0,Taken for less than 1 month,"November 13, 2021",2,"I have been on prozac for 25 years but it no longer helps my depression.   After the first 20mg dose of Viibryd I became flat of affect and very edgy mean.  On the second day a strange worry about every little detail about life on earth started.  I began a worry loop about losing my job, my brain started replaying ever interaction I had with other humans and starting feeling paranoid.  By day 3 I was felt like screaming and running down the street.  I've never had a reaction like this.  The mental worry-loop it induced was terrifying.  Day 4 was worse. I stopped taking it on day 5.  This was a very scary experience.",33rdExile
9,Viibryd,Major Depressive Disorder,1.0,Taken for less than 1 month,"October 21, 2021",1,"This was  a very bad medication for me, I got tons of bad side effects. I felt like I had the flu at first. Does it just kept getting worse  Hope other people have better luck.",Connie
