,drug,condition,rating,duration,review_date,upvotes,review,username
0,Wellbutrin,Major Depressive Disorder,10.0,Taken for 6 months to 1 year,"March 16, 2022",3,Wellbutrin or Bupropion is by far the best medicine I've taken for relieving depression.  It takes time on this med so don't give up too soon.  I have been on 300mg for 6 months and I am seeing results that I never saw with other antidepressants and I have taken most of them at one time or other. Every antidepressant I've taken in the past caused me such apathy I can't function. I now have pleasant or even joyous thoughts occasionally and I am getting interested in life again.,GrNana
1,Wellbutrin,Major Depressive Disorder,1.0,Taken for less than 1 month,"February 18, 2022",1,"I had high hopes starting on Wellbutrin given that it was much different than the previous antidepressants I had tried. The side effects though within just the first two weeks were awful. I had dealt with many medications side effects before, but with this, I could not stop shaking and my heart was constantly racing (120+ bpm constantly). I was throwing up, yet also not hungry at all. On multiple occasions, I almost passed out, feeling almost feverish. I had wanted to stick it out and see if they went away, but I felt so awful I didn’t even have it in me to try and wait any longer.",Anonymous
2,Wellbutrin,Major Depressive Disorder,3.0,Taken for 1 to 2 years,"February 12, 2022",1,All this drug does is amp me up and keep meawake all night. That’s just my experience from being on it for awhile,slesperance94
3,Wellbutrin,Major Depressive Disorder,2.0,Taken for 1 to 6 months,"December 18, 2021",3,"I got this medication prescribed for MDD, ADD and as an aid to quit smoking and since I heard a lot of positive reviews on the internet I was hyped, but I've been on 150mg for 3 months, 300mg for 2 months and 450mg for 1 month now and I don't notice a thing. Just as suicidal as ever, maybe even worse, since I'm so disappointed. It's the 4th anti-depressant I've tried so far and nothing works.",Insalubrious ID
4,Wellbutrin,Major Depressive Disorder,5.0,Taken for less than 1 month,"December 14, 2021",10,"I appreciate this space & every person's experience. I've been 10 days into this medicine and I'm sleeping better, depression is horrible, the crying , fear of death , losing my family, friend's, pets . I want to be happy. I read how many found happy I want to know that feeling. I pray that my outcome is like many of your stories. Thank You all for the encouragement in your personal stories you've graciously shared. Abby",abby1961
5,Wellbutrin,Major Depressive Disorder,1.0,Taken for less than 1 month,"October 23, 2021",1,"Although I hoped it would work (I had Wellbutrin XL), it resulted in a sharp chest pain, tight chest, and blurred vision about 2 days after starting, and 5-6 hours after the dosage. The next few days I was on it, the effects became worse, including terrible mental effects (although I am an 18 year old male, and I knew that as it had a black box warning, it had a possibility).",E1880
6,Wellbutrin,Major Depressive Disorder,9.0,Taken for 1 to 2 years,"September 15, 2021",2,"It took about 2 months for me to begin to feel the effects, but it was worth it. Prior to starting Wellbutrin I tried Lexapro, Zoloft, Prozac, Cymbalta, and a fifth I can't remember, and none of them had any effect on me. After wellbutrin kicked in, my motivation returned, I was able to focus a little easier, and I reduced my stress eating. I have found that my depressive symptoms correlate strongly with my ADHD (a bad ADHD day will be a bad MDD day, and vice versa) and wellbutrin works well to combat this. The only downside is that my insomnia has become even worse, but until can find a better solution than wellbutrin, this is something I will have to put up with.",Conquistador
7,Wellbutrin,Major Depressive Disorder,2.0,Taken for 1 to 6 months,"August 22, 2021",4,"Currently on this medication 150mg daily. I expected the side effects to be bad after reading some reviews here and they were lol. Thought so many people said it would calm down after the first month but it's been longer than that. Usually for me the nausea is the worst thing. I never want to eat anything, food just disgusts me most of the time now. I felt like it was really helping the depression a few weeks ago but now I am more suicidal than ever. Also my anxiety is horrible. Many days I don't want to leave the house. I used to be agoraphobic about 10 or so years ago (in my teens) and now I feel myself heading that direction again. It also has really affected my sleep. Or at least that's what I'm assuming. I have been having a very hard time getting to sleep and then if I wake up from something it's even harder to fall back asleep. It just sucks. The only plus is that it doesn't increase my appetite. Hope this helps.",Anonymous
8,Wellbutrin,Major Depressive Disorder,4.0,,"August 19, 2021",3,"I believe this is an overall fantastic drug, but likely not the best fit for those with a history of chronic insomnia. I was prescribed Wellbutrin after quitting Lexapro (to avoid sexual dysfunction associated with SSRIs) and experienced a temporary decrease in my depression, but developed horrific insomnia that lasted the entire duration of my use of Wellbutrin. Because I was chronically underslept for a period of 6 months, my depression and panic disorder worsened exponentially to a critical point which resulted in me quitting Wellbutrin. Thankfully, Wellbutrin was much easier to taper off and quit than conventional SSRIs! No brain zaps or severe withdrawals. Give this drug a chance but be weary if you already battle with sleep.",Veronica
9,Wellbutrin,Major Depressive Disorder,8.0,Taken for 2 to 5 years,"July 14, 2021",7,I started taking Wellbutrin 150mg SR about 3 years ago. It didn't help my depression very much. I finally started seeing a psychologist that told me it has to be taken 12 hours apart. So I was taking it at 8am and sometimes wouldn't take it till 11 pm or I'd forget a dose. I was finally switched to 300 mg 1x along with buspar for anxiety & a mood stabilizer. The mood stabilizer is the best medication I've ever taken. It's helped me 100%. With the Wellbutrin XL I started out with tons of energy and no appetite but after awhile that stopped. So if you're taking the SR and it's not working I'd switch to the SL once a day. Once I switched it started working.,Somer21311
