,drug,condition,rating,duration,review_date,upvotes,review,username
0,Yaz 28,Menstrual Disorders,10.0,Taken for 1 to 2 years,"November 29, 2021",0,"I’ve had nothing but a great experience with this birth control. Not only is it an effective birth control but it has helped keep my endometriosis at bay. Another plus is I haven’t had a real period since starting it, I’ve had a few days of light spotting here and there but nothing major. Fabulous birth control!",JOs
1,Yaz 28,Menstrual Disorders,5.0,Taken for less than 1 month,"May 16, 2020",0,I have been on this pill for a few days now. I switched from Lo Loestrin Fe because it was making me break out. I went on accutane awhile go. So getting acne again was the worst thing ever for me because I thought my fight was over. I got off for a month then started this new drug. Everything is going good expect that I am very nauseous. I even woke up last night throwing up. I hope this goes away very fast because  don’t know if I can keep doing this.,syd
2,Yaz 28,Menstrual Disorders,9.0,Taken for 1 to 6 months,"November 29, 2019",1,"I started taking generic Yaz for anxiety (including social anxiety), acne, heavy bleeding, and depression. I'm in the middle of month three and here are the results- slight positive effect on acne, reduces bleeding but I'm still getting a seven day period (still better than it was!), and has helped A LOT with anxiety/depression. After taking Yaz for a few days my anxiety completely disappeared. I think my anxiety was caused by hormonal imbalance, and Yaz corrects this. There was a one week period where I didn't have Yaz and I slipped into a depression. Started back on the next pack and the depression disappeared.        Lower libido and pretty bad heartburn are the only side effects I have noticed. But I can live with this since my mental/emotional state is so much improved and so stable.        Overall, I would definitely recommend this birth control pill for treating anxiety.",Leyla
3,Yaz 28,Menstrual Disorders,1.0,Taken for less than 1 month,"July 2, 2018",3,"My periods have gotten longer over the last year. My doctor suggested mirena or the pill. I figured it would help balance my hormones and shorten my 7-8 day periods.I started taking Gianvi and not long after taking it, I felt severely depressed. I had nausea, vomiting, fatigue, was lightheaded, stomach pains, and heavy bleeding w/ blood clots. I bled through clothes and constantly had to use the bathroom. After 10 days of bleeding along the other miserable symptoms, I called my Gyn. She told me to go to the ER if I felt lightheaded. I decided to go and discovered I had small fibroids. Even though the ER doc told me to finish the pack, I decided not to (I was 15 days in). I did some research on Yaz and found a lot of women suffering with the same symptoms. It’s crazy that taking a pill for only 15 day can wreak such havoc on your body. I’m going on day 17 of bleeding and it’s finally getting lighter. Worst experience ever!",Sunny
4,Yaz 28,Menstrual Disorders,3.0,Taken for 6 months to 1 year,"April 11, 2018",0,"Taking Yaz  for endometriosis for 6 months, it caused difficulties breathing and sharp retrosternal pain. Difficulties sleeping as well as pain during defecation.",NerdyNix
5,Yaz 28,Menstrual Disorders,10.0,Taken for 6 months to 1 year,"March 9, 2018",3,"Gianvi (drospirenone / ethinyl estradiol):I have been on several pills over the past year and a half. Gianvi has been amazing for me! The first month, my period was light and my cramps were way less. I typically had 2 days of very heavy cramping and heavy bleeding for 3-5 days. After the first month, the periods kept getting lighter and lighter. I’m at month 6 now and haven’t had a period in 2 months! The first month I broke out a bit, but now my skin is completely clear! I love this pill and hope they never stop making it. If you’re just starting Gianvi, I suggest giving it a few months before throwing in the towel. I’m so glad I did.",MamaB
6,Yaz 28,Menstrual Disorders,7.0,Taken for 1 to 2 years,"February 23, 2018",5,"Loryna (drospirenone / ethinyl estradiol):I’ve been on this  since late 2016. The doctor told me I can skip placebo weeks for up to 3 months. So I did that and started spotting so I took it down to 2 months. Things were ok for a year but coming into 2018 I started spotting in between periods. Like non stop pink discharge. And I don’t know if I’ve always had them but I noticed tiny spider veins in my leg. I’m tan so you can barely see them but I notice them. I went to the doctor and told him my issues and he said to keep doing what I’m doing. So I said hell no, transferred all my records to an OBGYN office and hopefully getting an IUD on Monday. But I’ve heard horrible side effects on this pill. It has both estrogen and progesterone which can really cause issues but here’s what I experienced: weight loss, clearer skin, much higher sex drive. Literally the only issue is my spotting and the one spider vein. I’m so sorry for everyone who has apparently been through hell on this. I had great side effects",Berry
7,Yaz 28,Menstrual Disorders,7.0,,"January 21, 2018",2,"Loryna (drospirenone / ethinyl estradiol):The good: I started taking Loryna about 6 weeks ago. I have endometriosis. I have since had one menstrual cycle that was normal and virtually painless (yay!) Concerns: Anyone experienced dizziness or slight vertigo more easily after starting this pill? I have been on a few different BC pills for 20 years, but I don't quite remember this feeling. Looking down at something I'm reading or doing downward dog pose repeatedly or for longer durations makes me feel dizzy and nauseous. My breasts are tender and sore (that took 5 weeks to kick in!) and my face is breaking out all of a sudden. If you've taken this and had dizziness/nausea easily, please let me know what you did to help stop it! Or whether I should stop the pill?",MtnClimber
8,Yaz 28,Menstrual Disorders,10.0,,"January 14, 2018",8,"Loryna (drospirenone / ethinyl estradiol):I have been on this pill for over a year now. I have not had any negative side effects. No cramping or spotting or any weight gain. My bra size went from a 32B to a 32D, can't complain about that. I have endometriosis, and my periods without this pill were a painful nightmare. I was fainting due to the severity of my cramps, I was also vomiting due to the pain. I became anemic due to it too, but since going on this pill it is a breeze. I usually skip the inactive pills and just not have a period, but when I do it is about 3-4 days long with moderate cramping. Not as bad as before. I have no complaints or problems.",MayBrynn
9,Yaz 28,Menstrual Disorders,9.0,,"December 13, 2017",1,"Yasmin (drospirenone / ethinyl estradiol):I was prescribed Yasmin for my extremely painful periods and adult acne. I can honestly say that in terms of my period, Yasmin has been life changing. Before I was crippled and taking a combination of 50 pain relief tablets over a 5 day period, waking up in the night in pain and also struggling to work. Now I have basically no period pain at all and have to take zero pain relief medication...such a difference! My period was always pretty light but now it’s almost nothing! First month I had lots of break through bleeding but now nothing. In terms of my skin, I can definitely see a big improvement. It’s working much slower for his however (I’ve been on it 3 months). Otherwise no real side effects- my mood is good and no weight loss or gain.",Lily91
10,Yaz 28,Menstrual Disorders,,Taken for 1 to 6 months,"December 10, 2017",2,"Yaz (drospirenone / ethinyl estradiol):I am 23 year old lean PCOS girl (high dheas and lh/fish ratio off - no cysts). I started to take this pill in order to help my PCOS symptoms ( depression, anxiety, fatigue, hirsutism, hair loss, irregular cycles). I knew it would take around 3 months for my body to get used to this pill and I ended up taking it for 4. I really wanted this pill to work for me. However, the first 2-3 months were an extreme emotional roller coaster. My appetite increased dramatically and I gained a few pounds. I felt slightly better in the 3rd month, however my mood went downwards in the 4th month. I had extreme mood swings and would feel depressed, emotional like I had bad PMS two weeks out of the month. Pills can affect your thyroid! Be cautious!",PcosGirl23
11,Yaz 28,Menstrual Disorders,2.0,,"November 15, 2017",1,"Yasmin (drospirenone / ethinyl estradiol):Recommended to me by gynae to manage pain while on waiting list for excision surgery for my endometriosis. pros:Made skin & hair absolutely beautiful, cleared spots up & solved oily skin problem. Body hair  grew in much slower/ thinner! Only had a period every 3 months - nice break from pain (The period I had was hellish tho ): ) cons: Severely amplified pre-existing mental health problems. I don't want to scare anyone but yeah it was so bad I had to come off it. I wish I was able to stay on it longer. So if like me you already have mental health stuff going on I urge u to take that into consideration when trying this medication. I'm not saying don't take it, just make sure u have a support network in place to help you through. Be safe and look after yourselves",HanR
12,Yaz 28,Menstrual Disorders,,Taken for 1 to 2 years,"November 13, 2017",2,"Loryna (drospirenone / ethinyl estradiol):I LOVE  LORYNAThis is the only birth control where I feel great & it regulates my periods on time everytime. The flow is always super light!I will say that I gained a good amount of weight on this pill, but who doesn't gain wait on birth control in general??",MimiCita
13,Yaz 28,Menstrual Disorders,1.0,Taken for 1 to 6 months,"October 3, 2017",2,"Vestura (drospirenone / ethinyl estradiol):I got switched to this from yaz. The worst month of my life. Terrible mood swings, anxiety, not to mention I bled through the entire pack. I don't recommend this to anyone",Anonymous
14,Yaz 28,Menstrual Disorders,7.0,,"September 28, 2017",5,"Yasmin (drospirenone / ethinyl estradiol):I only gave this pill a 7 because it hasn't done WONDERS for me (I was hoping my skin would become flawless I guess) but I have lost about 4-5lbs since I started taking this pill. I just started my third pack 4days ago and the weight is still dropping. Not to say that will continue, I'm sure my hormones will level out in a month or two, but I am thankful I'm not gaining weight. I don't exercise anymore but I am semi-conscience about what I eat. I'm a firm believer that everybody's body is completely different and can and will react differently to different medications. I was put on this for PCOS bc my testosterone was high so it is supposed to help with that and I believe it has even as reluctant as I was to start taking BC again.",Sidcc
15,Yaz 28,Menstrual Disorders,,Taken for 1 to 6 months,"September 26, 2017",3,Loryna (drospirenone / ethinyl estradiol):I had such a horrible experience with this Birth control. The first week was fine. Week 2 to month 2 I bled the entire time and it wasn't break through bleeding it was full on period for two months. As soon as I stopped it within 4 days I completely stopped bleeding. I only give it two stars because it helped my light acne. This birth control is horrible for trying to regulate or stop periods.,CRivs85
16,Yaz 28,Menstrual Disorders,7.0,,"September 20, 2017",5,"Loryna (drospirenone / ethinyl estradiol):I switched from lo loestrin Fe, because it made me stop having periods and made me nervous that I was pregnant because I didn't get my period. I switched to loryna and my periods came back and weren't irregular anymore, fairly light and less cramps. I have barely any acne besides some occasional acne on my backside. I've been having mood swings, low and high periods that last a week or so. It started affecting my relationship in a negative way and I've had more anxiety attacks than I did without it. Didn't make me gain weight at all, although it did make my depression a bit worse. I recommend this birth control but advise to be careful and if you notice it taking a toll on your mental health then switch. I've haven't switched yet",Natralala
17,Yaz 28,Menstrual Disorders,,,"August 15, 2017",0,I started using daylette 2 weeks ago because I didn't have a normal cycle.So this really helps your periods to be lighter.Everything's great.Except for blood  and my libido is low.,Spica27
18,Yaz 28,Menstrual Disorders,,Taken for less than 1 month,"July 24, 2017",3,"Yasmin (drospirenone / ethinyl estradiol):I am suffering from irregular menstrual cycle, heavy flow, intolerable cramps and mood swings. I went to a doctor and she found that I had myoma in my uterus; it has been causing the heavy flow and pain. She put me on Yasmin saying that it will ease the pain, decrease my flow and make the cycle regular. The first pack made me so miserable because I couldn't stopped bleeding, I bled for 29 days straight with heavy flow, like it was the first day of my period. The doctor made me stop taking it because I was bleeding too much, she said that my body is reacting too much to the pill. Other than this, decreased appetite, better mood, bigger boobs. Couldn't see a difference in my acne.",Samdarko
19,Yaz 28,Menstrual Disorders,2.0,,"July 12, 2017",1,"Yaz (drospirenone / ethinyl estradiol):I was on Yaz for about 4 months. In the beginning, it was terrible.  I've never been so depressed, moody. I almost lost my fiancé because of it.  Even now, while I'm still on it, I cry often and feel depressed and insecure.  However, it didn't make me gain weight, which was my issue with other birth controls in the past. I just switched today to Reclepsin, so we'll see how it goes, but the SEVERITY of my depression on Yaz can't be stressed enough. It killed me! (And caused me to bleed out on my wedding, honeymoon, and for two weeks after... so much for sex, right?)",lovelylu12
20,Yaz 28,Menstrual Disorders,10.0,,"July 12, 2017",1,"Gianvi (drospirenone / ethinyl estradiol):I've been taking Gianvi for about three years, and have never experienced any negative side effects. I've noticed my periods have gradually become shorter and lighter, decreasing from about 4-5 constant days of heavy/moderate bleeding to 2-3 days of moderate bleeding and another day of light spotting. Additionally, prior to taking Gianvi, my periods were fairly painful for the first two days, but this medication seems to have helped dramatically with my cramping. Now I typically only experience one day of cramping, and sometimes it's so light that I don't need to take painkillers. Finally, I always know the exact day my period will begin. Gianvi has made my periods so much more manageable, and as an added bonus, my acne cleared up too!",Anonymous
