,drug,condition,rating,duration,review_date,upvotes,review,username
0,Linezolid,Methicillin-Resistant Staphylococcus Aureus Infection,10,Taken for less than 1 month,"February 1, 2018",10,"Zyvox (linezolid):Within 12 hours this potent drug is a beast, it gets in theRE and knocks the hell out of MRSA. Rationing of these MRSA staph infection drugs is unacceptable when you've been verified by lab. The stuff coming out of my nose looked like movie alien. It was wicked to get my first dose of ZYVOX. I was relieved I got it.  I got it after CAT scans, 3 more hours ER, I was quarantined at ER. Well that's my nightmare of MRSA.  Just demand ZYVOX your only downside is diarrhea so get some Pepto and immodium.  It is a  small price to get rid of MRSA. It's amazing my nasal passages are open I can breathe.",NA$
1,Linezolid,Methicillin-Resistant Staphylococcus Aureus Infection,10,Taken for 1 to 6 months,"January 7, 2018",11,Zyvox (linezolid):Had an infection that would not clear...nosocomal..after surgery.  Was the only med that got RID of it completely.  No further problems OR recurrences!  I had no side effects.,Pro-Z
2,Linezolid,Methicillin-Resistant Staphylococcus Aureus Infection,5,Taken for less than 1 month,"June 22, 2017",4,"I'm taking oral Linezolid, 600 mg.  Dosage is every 12 hours.  I'm in a rehab center for an amputation below the knee.  I'm 61 year old male with type 2 diabetes.  At first I felt nothing, but now into my 13th day, I feel nauseous at times,  loss of appetite, and tired/sleepy.  I also feel weaker than before and harder to do my physical therapy.  I can't wait for my 14 day period to end.",Steven G.
3,Linezolid,Methicillin-Resistant Staphylococcus Aureus Infection,8,,"February 28, 2016",11,"Zyvox (linezolid):I have osteomyelitis of temporal bone. In the hospital for 1 wk, sent home on IV Vancomycin & Cephrine. After 4 wks back to Hospital for chills & fever.  In for a wk, low blood & increased iron...all due to IV.  Sent home on Zyvox & Levaquin for 30 days, hoping infection has cleared (will find out after finish meds). Side effects: nausea, diarrhea, dizziness, cannot eat as nothing taste right, GERD, pressure in the sterum area, extremely tired, short of breath, yeast infection, insomnia, muscle & joint aches, emotional and today red spots on skin.  Needless to say I feel horrible! Hopefully this will all be over soon but don't feel I will ever be the same. If this works then it's an amazing, wonderful drug.  However, it's very expensive. Thank goodness for patient assistance!",Sharon R
4,Linezolid,Methicillin-Resistant Staphylococcus Aureus Infection,10,,"January 8, 2016",18,"Zyvox (linezolid):I am a CF patient that has MRSA in my lungs. Any time I have a flareup, I'm always given oral Zyvox and it knocks the infection out quickly and keeps it away for months! Great drug, minimal side effects, very rare for resistance to develop, etc. Only downside is the price, but luckily my insurance covers it with just a 1 dollar or so copay.",SWB
5,Linezolid,Methicillin-Resistant Staphylococcus Aureus Infection,10,Taken for less than 1 month,"September 3, 2015",10,"Zyvox (linezolid):I got a breast infection that was found to be mrsa.  I was admitted for IV antibiotics.  I was exclusively nursing a 6 week old.  I continued to nurse my newborn with the infection and on the medication.  My baby or I had no side effects.  (no yeast, digestive issues)  It cleared up my infection fast.  I got 3 days of IV and 7 more days of oral medication.",A nursing mom
6,Linezolid,Methicillin-Resistant Staphylococcus Aureus Infection,10,,"October 31, 2013",26,"Zyvox (linezolid):I had MRSA inf. last 8 yrs, all around the body. One heals and other one starts, went to my heart twice too. Now this many years of this, I end up to get Sepsis, I have no words to tell, how bad I feel...too bad, I guess. God Bless You All, who went true this bad infection.",one of you guys
7,Linezolid,Methicillin-Resistant Staphylococcus Aureus Infection,9,Taken for less than 1 month,"June 1, 2013",18,"Zyvox (linezolid):I use Zyvox to control MRSA infections in my lungs. Works fairly well on other bacteria too, gives good coverage.The Liquid tastes like mediciney cream cicle.  Goes down easier with apple juice for children.",CF Patient
8,Linezolid,Methicillin-Resistant Staphylococcus Aureus Infection,10,Taken for less than 1 month,"July 29, 2012",37,Zyvox (linezolid):I had a MRSA staph infection when I was 14. I had almost died from the infection and due to my heart problems it made things even more complicated with treatment. I was in the hospital and had to get surgery on my right had to remove the mass of it. I was released days later after Zyvox started to kill off the rest of it. I took the medicine for 2 weeks and a charity started by the Zyvox company covered most of the expenses.,Anonymous
9,Linezolid,Methicillin-Resistant Staphylococcus Aureus Infection,8,Taken for less than 1 month,"June 21, 2012",34,"Zyvox (linezolid):I contracted MRSA in my right foot second toe. My Dr. Gave me Zyvox because I had MRSA before and it was very hard to heal. It worked very well in clearing it up.  It was the worst 2 weeks of my life. I had nausea, diarrhea. Weakness, I felt horrible. I suppose it was better than losing my toe. It worked for me. I would use it again if the need arose. I am just glad my insurance paid for it or I couldn't have used it.",Anonymous
