,drug,condition,rating,duration,review_date,upvotes,review,username
0,Robaxin,Muscle Spasm,9.0,Taken for less than 1 month,"October 29, 2021",0,"Ended up in the hospital with severe back pain. I had a ruptured disc between L1 & S1. I could not sit, stand or walk. My spine has numerous bulging disc from old injuries & the vertebras are eaten up by multiple myeloma. After 2 doctors tried to force me up & out of bed after adding morphine shots and Dilaudid IV’s to my twice a day 15mg extended release morphine tabs with no relief. The 3rd doctor was great & didn’t force me to move. He put me on 6mg of Dexamethasone, 1000mg of Robaxin & 5mg of Valium. With in a matter of hours I could sit up, after a couple of doses I could stand & walk with a walker & after a day & a half I was walking on my own & was discharged from the hospital. Thank God for Robaxin & the other 2 drugs!",Bad bad back
1,Robaxin,Muscle Spasm,1.0,Taken for less than 1 month,"October 24, 2021",0,"I took Robaxin with 600mg Ibuprofen for pain. There's an aspect of muscle tension or contractures with Neurogenic Thoracic Outlet Syndrome (NTOS) so muscle relaxers been be used to try and manage pain. The idea behind the 600mg Ibuprofen and Robaxin was to have a muscle relaxer with an anti inflammatory working at the same time, I guess to get as close to an analgesic as possible. Day one I could hardly sleep at all and felt like my anti anxiety medication had been negated, very wired and anxious, feeling somewhat mentally off like on the verge of mania. After a week of taking this on the seventh day I felt very strange. I started feeling dizzy but not a spinning dizzy, more like a head rush type dizzy. I started getting hot and cold flashes and felt like my face was going white; I felt very faint. I started to feel every beat of my heart, it felt slow and hard. Then I started seeing little green spots and red tracers; ultimately I just felt sick. I felt like I was either going to have a heart attack or pass out, maybe both",Jinks
2,Robaxin,Muscle Spasm,8.0,Taken for less than 1 month,"September 17, 2021",1,"I began taking this after suffering an extremely painful hamstring injury, which rendered me virtually unable to walk or even sit comfortably, and it put me out of work for a few miserable weeks. It doesn't stop the pain completely but it makes it much more manageable. I can take a couple of these and make it through the day. I recommend mixing it with ibuprofen, just be careful with the dosage. One 750 mg tablet and two 250 mg ibuprofen every 6 hours does the trick for me, but you should check with a doctor first. This isn't a magical pill that will fix you completely, but it definitely helps. The first day I took it, it had no noticeable effect on me, but the second day I felt much better, so it may take a few doses for your body to get used to it. It's no miracle pill but it definitely helps.",Jake
3,Robaxin,Muscle Spasm,8.0,Taken for 1 to 2 years,"August 13, 2021",0,This medication is the only one that gives flexibility to the top of my spine where the spondylitis troubles me. The relief allows me to participate at a competitive level of pool and relieves the pain of the condition better than other significant analgesics I am prescribed. I cannot say I have suffered any side effects that have had any impact on me going about my daily business or normal activities. Overall it is an effective drug and gives the relief I need when used as prescribed.,JayCue
4,Robaxin,Muscle Spasm,10.0,Taken for less than 1 month,"July 18, 2021",2,This medication is like a miracle pill for me. I wish I could take it regularly and not just as PRN. It makes my body feel so good. I had injuries from whiplash and muscle spasm and this pill took what was debilitating levels of pain and made me able function again. I only wish I could take it with other medications!,Fay
5,Robaxin,Muscle Spasm,9.0,Taken for 6 months to 1 year,"July 16, 2021",1,"I was in a car accident & suffered a concussion & whiplash. It has been 8 months since my accident & I still have a lot of issues.  I had dropped down to one pill a day but then the severe head pain came back.  I  have now started back to 3 a day at 750 mg. I still have pain but I can function. Everything else I have tried has made me very sleepy & groggy. I have also had a nerve block, 10 injections in my neck, dry needling & 6 1/2 months of PT which was very helpful. I don't loike pills & am very sensitive to most but Robaxin seems to be the only one I can tolerate.",Joy
6,Robaxin,Muscle Spasm,1.0,Taken for less than 1 month,"July 4, 2021",0,This drug did nothing for my spasms but intensify them. I am shaking all over and feel like I'm  jumping out of my skin.,Noel
7,Robaxin,Muscle Spasm,4.0,Taken for less than 1 month,"January 5, 2021",8,"Took one 750mg Robaxin pill last night for chronic spasm I am in hangover affect I don't think I take anymore. The spasms are still with me. This drug is not for me, there are too many side effects",Tigget
8,Robaxin,Muscle Spasm,3.0,Taken for less than 1 month,"November 22, 2020",7,"Took half a Robaxin 750 mg, threw up twice within 20 minutes. Itchy and drowsy. Maybe only 1/4 pill and see how that goes. On oxy too, so maybe if I don’t take them together?",Melancholy
9,Robaxin,Muscle Spasm,8.0,,"September 21, 2020",49,I have been taking a generic brand of Methcarbamol  500mg  for several years. I have found it to be very helpful with muscle spasms and degenerative disc disease. I alI already take Celebrex  so I can't take ibuprofen  or Aleve just acetaminophen. It doesn't relieve all the pain but it makes the pain tolerable and it's better then narcotics.,Ziggy
