,drug,condition,rating,duration,review_date,upvotes,review,username
0,Adderall,Narcolepsy,6.0,Taken for 10 years or more,"December 19, 2021",2,"I've been taking Generic Adderall for 11 Years. In my opinion, Teva is the most effective generic, Mallinckrodt has been the worst, it makes me tired and gives heartburn which I never have normally. I just pick up a refill, new mfg, Alvogen. Took it a hour ago and keep nodding off. Looks like another generic to avoid.",tired in NY
1,Adderall,Narcolepsy,7.0,Taken for 1 to 2 years,"December 15, 2021",0,"It helps bring my fatigue levels from a 2/10 to probably a 5/10. Not a cure all but definitely gives me more energy than I am able to have on my own. It does give me tachycardia for about an hour after taking it, and I'm a 34 Year old without heart issues. That is the only down side.I do not feel ""high"" or ""speedy"" on this, but maybe because I'm so chronically low I'd have to take a substantial dose to feel overwhelmed like that. I have taken 15 MG for 1.5 years now for chronic fatigue syndrome.",Theanthean
2,Adderall,Narcolepsy,9.0,Taken for 1 to 6 months,"November 17, 2021",2,"I was diagnosed with Idiopathic Hypersomnia and ADD in May, and this was taken with Modafinil twice a day (10mg). While Modafinil is a different story, Adderall has been wonderful for me. I take Amphetamine Salts and those worked a lot better than the generic, Dextroamp-Amphetamine. It's a nice boost in wakefulness and it's changed my life being able to finally focus on daily activities, and classes too. I'm quitting Modafinil because it interferes with my asthma and really screws with my heart rate, and will look into either 20mg twice a day, or maybe even Adderall XR. But the Salts have worked great for my sister, and same for me!",Mark
3,Adderall,Narcolepsy,2.0,Taken for 1 to 6 months,"August 20, 2021",0,I have been taking generic Adderall for many years and have never had any problems until I started taking the Lannett generic. It does not seem at all to be working and it actually makes me drowsy. It also caused sores inside my mouth.,Lannett
4,Adderall,Narcolepsy,7.0,,"January 6, 2021",18,"I was diagnosed with a severe case of narcolepsy about a year ago. I always thought it was my chronic fatigue that made me feel so sleepy all the time. I was finally referred to a sleep specialist who ordered a night and day time sleep study. When I received the results he told me I was a very sleepy person, his worst case in many years. I have been taking 20MG Adderall 3x a day. It does help but I'm still extremely tired throughout the day. The sleep doctor advised me in September that there's a newer medication that can be added to my Adderall but insurance didn't like to approve it and that in 6 months hopefully it will be easier to prescribe. I've seen somewhere that 60MG a day is the max for treating ADHD but that 90MG is the max for treating narcolepsy. I'm curious if that dose would improve my symptoms. Overall I'm happy with the medication as I never notice any side effects. I just want to feel more awake and less sleepy.",Decaf920
5,Adderall,Narcolepsy,3.0,,"November 25, 2020",8,"Adderall worked well for a year then it wore off even with medication free holidays. When trying a new medication and stopping I didn’t realize how out of breath it was making me, I thought it was because I was fat.",Suthernkimby
6,Adderall,Narcolepsy,10.0,Taken for 2 to 5 years,"October 10, 2020",36,I was switched to Adderall but after 2 years switched to Ritalin. Adderall seems to open up parts of your brain best left closed. I started to see a 12 year old boy in the yard during the day he would be gone when I went to talk with him. My neighbors told me that in the 1970s he died here. You have to watch the dosage,jjhoff
7,Adderall,Narcolepsy,6.0,,"October 9, 2020",12,I have been soooo sleepy for the past 15 years of my life. I finally found a PA that listened to me about my sleepiness. She has been great. I can not afford the recommended sleep study. I am currently taking 10mg extended release. It has helped but I am still falling asleep at work. My PA will meet with me in after a month on it. I’m not sure if I need an increased dosage or if it’s not working on me. It’s a struggle still. I don’t want to feel hopeless that I can’t find help.,LexinTex
8,Adderall,Narcolepsy,10.0,Taken for less than 1 month,"September 17, 2020",54,"This medicine is god send. I have been suffering with narcolepsy for about 5 years. Had no idea what I was doing wrong that I cannot keep my eye open. I am talking about sleeping for 8-9 hours and then waking up and wanting to go back to sleep. I am a public school teacher and I had no choice but to be at work all day. That was a struggle and I was embarrassed to even tell my coworkers. This summer, so many unpleasant events happened in my life, I decided to talk to my psychiatrist about unable to concentrate and the excessive sleeping pattern. He wanted me to try adderall and bam!! I haven’t taken a nap since August . I do not have any side effects, not glittery, no overworking , nothing. Just ready to start the day and get in with my life. I usually go to bed around 9:30pm and sleeps well. I take 20 mg twice a day. But if you miss a dose, back to square one. I am religiously on a schedule and take them at the same time everyday. I am in my mid 40’s.",MP
9,Adderall,Narcolepsy,6.0,Taken for 5 to 10 years,"April 12, 2020",248,Generic Adderall is not the same. I feel immediately awful when I realize they switched me to generic dextro amp (amp salts works not sure what brand. I heard Teva might have moved distribution centres and have been alternating approved cheaper alternative ingredients. Well guess what they don’t work AT ALL. Check the generic brands when you get your script filled and see how you feel. The old generic brand I took worked just fine. I cannot get out of bed for weeks because whatever similar generic cheap alternatives they are using do not make the cut. Welcome back debilitating fatigue!,trinehundop3
