,drug,condition,rating,duration,review_date,upvotes,review,username
0,Ritalin,Narcolepsy,9.0,Taken for 2 to 5 years,"January 27, 2021",5,"In 2017 after years of struggling with sleep issues I got myself a sleep study.  It turned out I had Narcolepsy without cataplexy after a full night time study and MSLT. At first I was taking 10mg of Ritalin 2x a day, that wasn't working so she switched me to 10mg of Ritalin 4x daily. I was finding that I'd get terrible headaches from it so she tried me on Provigil 200mg. That alone wasn't working as your body adjusts to it. I started supplementing with 10mg of Ritalin 1x a day. That also wasn't working. I now take Provigil 200mg at 5am and supplement that with 20mg of Ritalin at noon and move on to another 10mg of Ritalin around 4pm and I'm getting through my 12 hour work days, plus still have energy when I get home!  It's absolutely wonderful to feel like a normal functioning human being again. No headaches, no anxiety, concentration is perfect and I feel like me again. Adjust your meds if it's not working, fight to feel better.",Emah
1,Ritalin,Narcolepsy,9.0,,"October 11, 2020",5,"In a single year, I was diagnosed w/intracranial hypertension, narcolepsy + severe sleep apnea. I use an ASV bc My brain forgets to breathe at night. Before Ritalin, my ASV didn't help much. I'm a 35 yr old F + I've tried Provigil, Nuvigil, Adderall, Sunsoni, & only 80mg of Ritalin ÷ in doses of 40mg 2× day has WORKED. My life is back & my apnea scores are lowest EVER. My neurologist can't believe it. Ritalin keeps my brain active so I breathe at night. Push thru the side effects; they WILL GO AWAY!",Punky
2,Ritalin,Narcolepsy,3.0,Taken for 10 years or more,"September 7, 2020",11,"I was diagnosed with excessive daytime sleepiness in the 90's.  I took Ritalin twice a day for more than a decade.  I found it was like being on a roller coaster.  My first dose was mid-morning and it would take at least 30 minutes before it started kicking in.  It ""peaked"" about 2 hours after consuming the dose where I felt awake, alert and full of energy for a very short time.  Then it's effects slowly wore off, leaving me feel completely out of it, depressed, slow, un-motivated.  I took the 2nd dose mid-afternoon, and it's effectiveness ran the same course.  It was a struggle getting through every day.",NotCoolMom
3,Ritalin,Narcolepsy,5.0,,"July 26, 2020",6,"This drug killed my creative spirit. I began taking it 1.5 years ago for excessive sleepiness. I was diagnosed with sleep apnea and got a CPAP, but in the meantime I was on this.It kept me awake, but after I got the CPAP, it became my morning boost.I write romance novels, and around the time I went on this I began struggling to write. I went from producing a book every 2-3 months to producing NOTHING for over a year.I got a therapist to discuss my problems writing. One day, I succeeded in telling her exactly what the problem was. ""It's like everyday life, and dishes and children and laundry are all the crazy waves on the top of the ocean, and in order to write, I need to sink down deep into the sea. Not only do I have no desire to go there, I actively avoid it."" As soon as I heard myself, I realized, IT'S THE RITALIN.I stopped taking it and saw a huge change. Within a month, my creative life returned to normal. This can be an amazing drug, but proceed with caution!",Amy6152
4,Ritalin,Narcolepsy,5.0,Taken for 1 to 6 months,"November 4, 2019",6,I started to have narcolepsy episodes when I started to take Ritalin,lingiaca
5,Ritalin,Narcolepsy,9.0,Taken for 6 months to 1 year,"August 11, 2019",19,I started on Ritalin for narcolepsy at 10mg twice a day. Did not keep me awake. Went to 20mg twice a day still didn't work well. 30 mg twice a day is working well. I feel so much better and I'm more active than I have been in years.,Dickandjane
6,Ritalin,Narcolepsy,9.0,Taken for less than 1 month,"August 21, 2018",30,"I was recently diagnosed with narcolepsy after a sleep study. I was nearly passing out while driving so often that it was hindering my life. I couldn't play with my 3 year old, and I couldn't clean or take care of myself. After a bad experience with Nuvigil, I was prescribed ritalin, and I take 15mg 2x a day. I am happier, I can drive and spend time with my daughter without having to lay down every hour. I'm able to do my college course work without putting it off until the last moment. Ritalin has changed my life.",Yooji
7,Ritalin,Narcolepsy,1.0,Taken for 1 to 6 months,"July 29, 2018",13,"I have narcolepsy w/cataplexy and was prescribed Ritalin.Doc started me on a low dose to be taken twice day. The first 2 days I felt awake & alert, didn’t nap till 4:30 pm.  After that, I just got sleepy.  Never had that get-up-and-go like those first few days. Now after being on it for over a month, about 15 min after dosing I’m falling asleep. Literally head bobbing. I nap off and on all day long like before I was on Ritalin or I feel sick. I also notice that my chronic pain is heightened. Everything seems magnified on live wire. My eyes hurt, I’mmore sensitive to light & have daily headaches on top of my chronic migraines.I finally see my neurologist tomorrow & hopefully he’ll have an alternative plan for me.",“Sleepy-all-the-time”
8,Ritalin,Narcolepsy,8.0,,"July 21, 2018",19,"Let me start by stating that I am a 24 year old female with history of Idiopathic Hypersomnia, coarctation of the aorta and patent ductus arteriosus (PDA). I was recently in a car accident and received my second concussion. Upon visiting my neurologist for headaches/migraine complaints I brought to his attention my debilitating fatigue I've experienced since the last concussion. I've been to multiple doctors and they pushed aside this symptom. I was almost in tears when my neurologist prescribed Ritalin. Day 3: improved concentration AND more energy!. So far so good. I was worried I would have problems because of my heart conditions but it is anatomic and not rhythmic so I'm okay! He also assured this will help with weight loss which is great! Hope to continue to see great results with this medication.",ncos3
9,Ritalin,Narcolepsy,8.0,Taken for 1 to 6 months,"April 11, 2018",9,"Had Narcolepsy from age 5 due to brain swelling. Ritalin has definitely helped. I can do a lot of things other than sleeping when I am on it.... When I am on it  sometimes I Hyperventilate however. I take in everything around me (sounds, sights, smells). And I do worry sometime does it overload my brain and in long term would that end up making more problems down the road? Also because I need to be put on a higher does because my body becomes use to it. Pupils are always big on these meds (so I wear sunglasses to look after my eyes when I am out. Heart rate resting sits around 130bpm and goes up when going to the gym or working out. And cannot do long distances running. My hands shake a lot often need help from husband to drink tea as it can be difficult. All in all I guess it does sound bad my side effects but it gives me my life back. I gives me time were I am not tired so I will do it.",ShortyGirl
