,drug,condition,rating,duration,review_date,upvotes,review,username
0,Lorazepam,NauseaVomiting,6.0,,"March 9, 2022",0,I took 0.5 mg last night and vomited this morning. Still gagging.,Naydia
1,Lorazepam,NauseaVomiting,8.0,Taken for 6 months to 1 year,"March 1, 2022",0,"I was recently diagnosed with CVS (it's been just under a year now). CVS, or Cyclical Vomiting Syndrome, causes episodes/flare up, or 'flares' of severe vomiting & nausea. For me these flares of uncontrolled vomiting & nausea can last anywhere between 1-2 days all the way up to 10 days+, with medication sometimes that time can be shorter.Due to all my current medications, allergies and multiple underlying health conditions I was prescribed Lorazepam 1mg, to take twice a day PRN (only for flares)I've found this to be the best medication I've tried that has helped to control my symptoms when starting or in the middle of flare (if I manage to catch it early enough, I can sometimes sleep through it. Although this has only happened once).",Gem
2,Lorazepam,NauseaVomiting,10.0,Taken for 10 years or more,"January 10, 2021",4,"I've been on this stuff for 14 years now. It was originally prescribed to me when I was 15 years old because my bad back was causing severe nausea and cyclic vomiting. Besides helping with nausea it also works great for sleep, I get a few interdose withdrawals here and there but they aren't severe, after an interdose withdrawal the medication will work like a charm again.",Nikki
3,Lorazepam,NauseaVomiting,10.0,Taken for 2 to 5 years,"July 18, 2020",9,"I have been taking Ativan for five years now for nausea and anxiety. Originally it was just for nausea.They gave me Zofran which worked but I couldn't take the side-effects and Compazine which didn't seem to do anything. When they gave me Ativan at 1mg taken three times per day as needed, my nausea went away and I was calm.The only thing is (and I'm sure it's the doctor's fault) I get 60 pills in one bottle to take 3 times per day. I'd run out of pills in 20 days! So I have to use them sparingly. I don't know how I made it through back when I was on the Cisplatin / Taxol combination. It helped tremendously but sometimes wore off a couple of hours early and I'd start vomiting. But with all the other chemo drugs it worked like a charm. I guess Cisplatin is just an extremely strong drug. Maybe if they gave me 2mg I'd have fared better.",Remington Steele
4,Lorazepam,NauseaVomiting,1.0,Taken for less than 1 month,"May 5, 2020",7,Ativan (lorazepam):Don't you believe it! I was admitted to hospital for colitis. They gave me every nausea medicine and it didn't work then gave me Ativan. It didn't work either. The only reason they gave it to me was by then they thought my complaint was psychosomatic and wanted to prove me a liar by showing  that Ativan stopped my symptoms so my complaints were not real only anxiety. Useless drug Ativan. Don't use it.,Anonymous
5,Lorazepam,NauseaVomiting,10.0,Taken for 5 to 10 years,"April 12, 2020",14,Use for anxiety and nausea. Works great for me.,Kathie
6,Lorazepam,NauseaVomiting,9.0,Taken for 1 to 2 years,"July 7, 2019",28,"I was prescribed lorazapam for anxiety, and while it works fine for that, I have found that it treats my undiagnosed nausea and dizzy spells the best! When the lightheadedness begins, I take one and 15 mins later I'm fine. Since it doesn't make me sleepy at all, I can go about my day no problem.",dizzyat35
7,Lorazepam,NauseaVomiting,10.0,Taken for less than 1 month,"June 14, 2019",19,"I was miserable with gastroparesis, then because I have several other conditions, my doc gave me Ativan. OMG it has practically eliminated gastroparesis! No nausea, no pain, I am still constipated but am successfully dealing with that!",Kath
8,Lorazepam,NauseaVomiting,10.0,Taken for 5 to 10 years,"May 14, 2019",10,SMAS (Superior Mesenteric Artery Syndrome) syndrome makes me vomit all the time but lorazepam helps me stop vomiting.... Its a miracle,Smas09
9,Lorazepam,NauseaVomiting,10.0,Taken for 1 to 6 months,"December 24, 2018",37,"Ativan (lorazepam):Ativan is a wonderful medicine.  The people that abuse it, are ruining it for everyone.  I got food poisoning followed by 3 rounds of what doctors called ""stomach flu.""  They couldn't figure out how to help me.  Ativan is the only thing that helped my nausea.  The stomach issues I had also caused me anxiety that I never had in my life before.  Ativan helped both nausea and anxiety with zero side effects.  Took Ativan for 6 weeks then switched to Klonopin to wean off.  Both of those meds are far better than any other SSRI which seem to have so many side effects.",blue-sky
