,drug,condition,rating,duration,review_date,upvotes,review,username
0,Zofran ODT,NauseaVomiting,10.0,Taken for 10 years or more,"March 9, 2022",0,"I have been taking Ondansetron, 4 mg ODT for years to treat severe nausea after I eat too many carbs during a meal.  When I feel the nausea starting, I put 2 tablets under my tongue followed by a Chewy Tum and a Prilosec ODT.  I was given Promethazine before Zofran was available to me which worked fantastic cuz it puts you to sleep and you sleep thru the nausea episode which is not practical when you are working. Zofran saved me by allowing me to recover from nausea episodes taking 30 minutes out of my day vs 1/2 or entire day off work. Great drug!!!",Renee
1,Zofran ODT,NauseaVomiting,2.0,Taken for less than 1 month,"January 8, 2022",0,"Took for a few days after getting food poisoning which turned into a stomach virus. It worked for a hour or two, but the nausea came back worse. No vomiting surprisingly but didn’t really help my nausea.",Stomach ache
2,Zofran ODT,NauseaVomiting,10.0,Taken for 1 to 2 years,"December 26, 2021",0,"I have been suffering with cyclic vomiting syndrome for around 5-6 years now and zofran is the only thing that works. My nausea and vomiting is so severe that I do need to take double the recommended dose, however it does work. I have never had a single side effect from Zofran. I understand this drug might not work for some people, but for me it is great!",Abby1573646
3,Zofran ODT,NauseaVomiting,10.0,Taken for 10 years or more,"December 13, 2021",0,"Frequent migraines and Cervicogenic headaches often make me extremely nauseous, which subsequently may cause me to vomit, not a good occurrence with massive headaches. I’ve also had intractable vomiting, and received zofran IV or suppository (effective but unpleasant). I’ve tried other anti nausea medications to little effect. 1 dissolving tablet at the onset of pain-related nausea works extremely well for me. In over a decade of taking it (including while pregnant) I’ve had no side effects despite being on a number of medications.",MDDMom
4,Zofran ODT,NauseaVomiting,10.0,Taken for 6 months to 1 year,"November 30, 2021",0,"Zofran is a miracle drug for me. I always have some on hand. I suffer from GERD, IBS, gastritis, malabsorption, endometriosis, and the list goes on. Nausea is a nagging symptom that I have often, and I vomit on a regular basis. Zofran has kept me out of the ER on many occasions due to severe vomiting. It also gets me through the occasional rounds of antibiotics as they really mess with my stomach. It does cause some pretty bad headaches when taken on a regular basis, but I will take a headache over vomiting any day. Could not recommend enough! It has been a total lifesaver!",Anonymous
5,Zofran ODT,NauseaVomiting,1.0,Taken for less than 1 month,"November 22, 2021",0,"I took ondansetron swallow-pill at 4mg and it was starting to help. My physician increased the dose to 8mg but it was now a mouth dissolving-format and made my nausea FAR WORSE.  Pharmacy says the can distribute 8mg in the swallow pill form, but the doctor has to prescribe it in that format.",Dissolve is BAD
6,Zofran ODT,NauseaVomiting,7.0,,"June 11, 2021",4,"I’ve been using Zofran for a couple years after it was given to me in the hospital for nausea, following surgery.  It has always worked beautifully in combatting those days when I or a friend have felt nauseated. But the last time I took one , in February, during the night when awakened by stomach pain and nausea, it actually made things worse by adding an immediate head ache, and extreme heart palpitations..that lasted a good half hour, with out helping my initial nausea at all. I’ve been afraid to use it ever since.  Turns out I was experiencing a gallbladder attack, and I’m not certain that wasn’t the reason the Zofran failed.  Today, I’m having one of those icky nauseated days, two doses of Emetrol have not helped, so I took a Zofran and cut it in half, yes, they are already small, but I was nervous.  Im happy to report, it seems to have worked. Nausea is nearly gone now. No headache, no increased heart rate. I'm hoping Zofran is once more my friend.",Cindy Halloween
7,Zofran ODT,NauseaVomiting,1.0,Taken for 1 to 2 years,"April 20, 2021",28,"This medication makes me more nauseous than before taking it. After 3 surgeries and multiple nausea filled days due to a chronic health condition, I’ve concluded that this drug makes things worse for me. I kept hoping it was all in my head, but other anti nausea meds (and even peppermint) work almost immediately, at least to a certain extent. Whereas this always makes me 10x worse to the point of vomiting. It also gives me really bad headaches and I don’t ever get headaches in general. It’s the only medication that gives me this side effect. So I think this either works very well for people, or makes it worse. I’m wondering if it has to do with brain chemistry since it’s a serotonin blocker? I’m severely ADHD with mild OCD and depression. Perhaps certain brain wiring just doesn’t benefit. I’d love more research to be done on this since it’s the standard anti nausea treatment given in hospitals.",Pickled
8,Zofran ODT,NauseaVomiting,1.0,Taken for less than 1 month,"February 22, 2021",10,"Horrible drug for me. Actually makes me nauseous and throw up. Nothing tastes right on this medication. One dose had me throwing up and nauseous, not able to eat for a couple days. One dose had me constipated for about 5 days before I was back to normal (with taking stool softeners Rx after surgery). May work for some but for me it’s a NO go.",Catstone
9,Zofran ODT,NauseaVomiting,10.0,Taken for 6 months to 1 year,"February 4, 2021",9,I have extreme anxiety which causes me to have stomach issues to be constantly nauseous. I love this medication but the only side effect I have is constipation but I usually just take a Senakot or just eat the Fiber 1 bars. It works quickly. Doesn't taste the best but absolutely worth it,Ginger
10,Zofran ODT,NauseaVomiting,1.0,,"July 29, 2019",10,I have nausea and vomiting from the flu and this medication either did nothing or made me more nauseous.,Wingnut
11,Zofran ODT,NauseaVomiting,10.0,Taken for 6 months to 1 year,"October 9, 2018",7,This medication is amazing! The dissolving version is so convenient and I can carry 1 part of a blister pack in my wallet.,Evilmage
12,Zofran ODT,NauseaVomiting,10.0,Taken for less than 1 month,"August 21, 2018",9,Works well with me. Stopped my nausea and vomiting right away,Hatchet
13,Zofran ODT,NauseaVomiting,8.0,Taken for 6 months to 1 year,"April 6, 2018",7,"I get debilitating migraines that cause vomiting, and I have several GI issues, my doctor ordered zofran pills to begin with and they did nothing for me. Although I still feel a little nauseous at times I can stop the vomiting with the zofran ODT by putting it under my tongue.",Tls570
14,Zofran ODT,NauseaVomiting,10.0,,"August 2, 2017",10,"I take Zofran ODT to relieve the severe medication withdrawal symptoms I experience when I accidentally miss a dose of my prescribed daily medication.  Severe medication withdrawal symptoms such as brain zaps, nausea, vomiting, headaches, and dizziness. ",Oakley Girl 2
15,Zofran ODT,NauseaVomiting,9.0,Taken for 1 to 2 years,"May 20, 2017",4,"I use this when I am driving and have nausea and was under doctor's instructions to take it twice a day until I was prescribed the scolopamine patch for nausea. Now, I just take it on the times I feel nauseated with the patch, which is not much. I like the dissolvable tablets because they are quicker than the pills to absorb and I can just carry them with me in my purse, unlike the phenergan suppositories, which have to be refrigerated or kept in a cooler when going somewhere.",Gastroparesis Girl
16,Zofran ODT,NauseaVomiting,8.0,,"April 27, 2017",4,"First time I took it I felt better almost instantly- it was truly crazy! The second time was the same but the third time it didn't help as much. However, it helped some and has so far kept me a little less feeling like I'm gonna puke. Better than nothing.",Lila W.
17,Zofran ODT,NauseaVomiting,10.0,,"April 11, 2017",6,"This stuff works like a dream and quickly! I take over 20 meds a month, and sometimes I just get flat out nauseated from my ""cocktail from hell"". I have also had it administered in an IV, and it cant be beat. The only downfall is the cost...the last I heard it is $20 per pill, and Medicaid balks at paying for it.",Dmp1967
18,Zofran ODT,NauseaVomiting,2.0,Taken for 1 to 6 months,"December 27, 2016",25,The directions say to dissolve in the mouth but it's very bitter. Does anyone else have this problem?,Bjcg
19,Zofran ODT,NauseaVomiting,1.0,Taken for less than 1 month,"December 12, 2016",12,"I was rxed the ODT for extreme nausea and vomiting, due to a norovirus. The minty flavor really drove me over the edge, and only made matters worse. Then my doc gave me the regular tablets that you swallow with a tiny bit of water, but it didn't help at all, either. I remember being awed by the knowledge that they give this med to sick cancer patients, when it is so horribly ineffective.   Evidently, it does work like gangbusters for some people, but I'm not one of them.",Little C.
20,Zofran ODT,NauseaVomiting,1.0,,"August 18, 2016",18,This medicine did nothing except constipated me and give me a headache!,Chantel23
21,Zofran ODT,NauseaVomiting,10.0,,"July 10, 2016",17,"Had kidneys stone. Took pain meds for it. Got super nauseous at night. Took zofran, and within 10 minutes I was not nauseated at all. Amazing medicine.",Googe
