,drug,condition,rating,duration,review_date,upvotes,review,username
0,Amitriptyline,Neuropathic Pain,10.0,Taken for 10 years or more,"February 1, 2022",1,"I have lupus which is very painful and I used to get into a downward spiral of pain interfering with sleep which let to even worse pain. After 4 or 5 days of this I was basically not functioning at all. Amitriptyline is a wonder drug for me as it breaks the cycle. I only take it when I need it and I snip the tablets into bits to get the right amount, I've played around with the dosage and rarely need more that 10mg. Experiment and find what's right for you (within reason!) If you're feeling woolly headed the next day, take less.....snip a bit off your tablet!!!!!",Tina
1,Amitriptyline,Neuropathic Pain,3.0,Taken for 1 to 6 months,"February 1, 2022",1,"I started taking 10mg amitriptyline at night in September 2021 for peripheral neuropathy. I've just weaned myself of them a week ago, January 2022. I was having terrible night sweats and palpitations, dizziness, bunged up nose,  dry mouth. The pain is back but I no longer feel like I'm going to drop dead.",Cliff
2,Amitriptyline,Neuropathic Pain,1.0,Taken for 1 to 2 years,"October 26, 2021",1,"Gained 46lbs and began to have myoclonic jerks while taking this. It helped for headaches but not much for other pains. It also put me to sleep every night. When I had to stop, I had really bad withdrawals. Now I don't know how to go to sleep either.",Barista
3,Amitriptyline,Neuropathic Pain,9.0,Taken for 10 years or more,"September 26, 2021",1,"I’ve taken this for chronic pain, sleep & intractable migraine prophylaxis since 1984. Otherwise, MD was going to place me in medical induced coma for deadly insomnia (only 1-2 hrs sleep daily for months). Came off twice unsuccessfully & nearly miscarried fetus 3X. It is a wonder drug that has helped immensely for decades at a very small dose.",Renee'
4,Amitriptyline,Neuropathic Pain,2.0,Taken for 5 to 10 years,"September 17, 2021",2,"Initially it helped me sleep through pain and worked as intended for over a year.I ran out of medication for 2 weeks due to circumstances out of my control and it caused horrible withdrawal and gave me a psychotic episode.  The effects of which I’m still dealing with today. It no longer works for me.Also, don’t take this with alcohol. nothing terrible happens, it just makes you feel really weird.dosage 10/mg every day, been on it for over 4 years.",Anonymous
5,Amitriptyline,Neuropathic Pain,10.0,Taken for 6 months to 1 year,"September 11, 2021",3,"After dealing with bowel cancer, radiation and extensive chemo plus multiple operations I was left with excruciating nerve pain in my finger tips, legs and feet (feet are the worst) I was finally prescribed this after other meds made no difference. I’m seeing a massive difference with my sleep quality and the pain during the day is also less. (I recently tried to reduce the dosage and feel the neuropathic pain is worse",It works!
6,Amitriptyline,Neuropathic Pain,5.0,Taken for 5 to 10 years,"August 28, 2021",2,"Varies in time for effect on sleeping. Moderate nerve pain relief noticed following day, if you haven't fallen out of bed in the night. I will normally take 50 mg per night but not every night as I don't like waking up on floor. For sleeping, can take 30 mins to 2 hours to work. So no late meals. Caused me to nod off at work following morning DURING calls. I'd wake up and be talking to a new patient! No one seemed to notice luckily as phonelines were quite bad. And I always requested late shifts anyway, due to meds. But I do mind about falling out of bed. But then I mind about sciatic pain it sucks.",Shesawomble
7,Amitriptyline,Neuropathic Pain,3.0,Taken for 10 years or more,"July 22, 2021",4,"Watch out for this bad drug. It helped my bad back pain but withdrawal from it is nothing short of horrific. I was on it for many years, withdrew very slowly. Now 9 weeks off of it and my back pain is bad and I never sleep more than 3 hours. Stay away from this drug unless you intend to commit to it for the rest of your life. You might think you are ok on it now, but just wait until you want to get off of it. Awful.",Halo
8,Amitriptyline,Neuropathic Pain,5.0,Taken for 2 to 5 years,"June 5, 2021",7,"I've been taking Amitriptyline 125 mg for  3 years now. It relieves my shingles and pancreatic-related nerve damage in my back, and eases my anxiety. I've been suicidal when trying to reduce my dosage. It makes it impossible to wake up in the mornings, and I have urinary retention issues. I've had repeated episodes of excruciating chest pain with very sudden onset. I take nitroglycerin spray to control them. My doctors have assumed that the chest pain was a result of Sphincter of Oddi dysfunction following gallbladder removal. This week I had dental work (2 days in a row), and was given Septocaine 4% with 1:100,000 epinephrine. Both days, after returning home, I developed excruciating chest pain. The only way to stop the pain was 3 hits of nitroglycerin spray. It turns out that there is a serious interaction risk between Amitriptyline and Epinephrine -- enough to cause a heart attack. Amitriptyline by itself has heart attack as a potentially fatal complication.",vedawms
9,Amitriptyline,Neuropathic Pain,10.0,Taken for 2 to 5 years,"May 27, 2021",4,"Using amitriptyline responsibly and keeping a low dosage, this drug has helped massively combined with pregabalin, same with the dosage.I use this for Chiari malformations, degenerative disc disease, spondylitis and crushed discs Because of the chronic pain I was left debilitated, in agony and as a result depressed.The two above-mentioned drugs, give me some normality back and they seem to stay in your system for 24 hours.I can't thank my old Dr enough for trying various medications until these two worked. No side affects other than drowsiness so taken before bed",Sheeeeela
