,drug,condition,rating,duration,review_date,upvotes,review,username
0,Pregabalin,Neuropathic Pain,10.0,Taken for 6 months to 1 year,"March 10, 2022",1,Med takes 30 minutes to reduce pain from 8/10 to 2/10.Like gabapentin but less sleep inducing.,Anonymous
1,Pregabalin,Neuropathic Pain,3.0,Taken for 2 to 5 years,"March 10, 2022",0,I have used both original name Lyrica and the generic. I have found out that Lyrica works much better even though they say it's the same thing it's not this cut with something different because the generic does not work is good but you know how  insurance works and you have to abide by their rules so I'm still having pain I would give Lyrica a 10,I have used
2,Pregabalin,Neuropathic Pain,2.0,Taken for less than 1 month,"February 28, 2022",0,Not very efficient to remove nerve pain and gives you bad headaches!,Flo
3,Pregabalin,Neuropathic Pain,1.0,Taken for 1 to 6 months,"February 21, 2022",1,I have been taking Pregabalin for a couples of weeks @ 50 mg I know it is a low dose but  I am not seeing any results. Is it because the dose is too low. I am a diabetic but my doctor seem to think that could have nerve damage.,Anonymous
4,Pregabalin,Neuropathic Pain,10.0,Taken for 1 to 6 months,"February 17, 2022",1,"Lyrica CR (pregabalin):Severe nerve pain after shoulder surgery and also numbness in my feet, the only drug that helped is Lyrica.  The side effects are minimal, a bit sleepy, but it helps me sleep at night.",daviso
5,Pregabalin,Neuropathic Pain,4.0,Taken for 1 to 6 months,"February 12, 2022",0,It does help me to sleep at night but does nothing in the daytime. I have better relief with CBD gummies.,anastasiaa
6,Pregabalin,Neuropathic Pain,8.0,Taken for 1 to 6 months,"February 9, 2022",0,I had a pinched sciatic nerve at L5 S1 in 2021.  The problem was caused by disc degeneration and stenosis.  I was put on Oxycodone and Pregabalin for the nerve pain in my foot.  My foot was having bouts of shooting severe shooting electrical type pain as well as a feeling of a burn on the top of my foot.  I also suffered from drop foot when I walked.  I was on Oxycodone first for about a month and then Pregabalin.  The Pregabalin appeared to help with the shooting pains.  I could feel them coming on like before but they hardly ever seemed to fire off like before.  It did not help much with the constant burning sensation on my skin.  A month or so after surgery my drop foot started to disappear.  The intense shooting pain is gone.  The only side effect from the Pregabalin is that I believe it’s causing a skin rash on my thighs and calves.  I would classify it as eczema.  Cortisone cream controls the itching but it never completely goes away. Will talk to doc about it.,Jmm
7,Pregabalin,Neuropathic Pain,1.0,Taken for 1 to 6 months,"February 7, 2022",1,"Pregabalin did absolutely nothing for my neuropathic pain, but I did feel quite good while taking it.",K from Essex
8,Pregabalin,Neuropathic Pain,1.0,Taken for less than 1 month,"February 6, 2022",0,"Lyrica (pregabalin):After five doses of Lyrica, I started hallucinating. It was terrifying. In an attempt to stop the hallucinations, both visual and auditory, I accidentally overdosed on several medications. I almost died. I will never take Lyrica again.",EMD
9,Pregabalin,Neuropathic Pain,1.0,,"February 5, 2022",0,"I just took 150 mg that was prescribed to me because I’m out of my other medication I usually take, do not do this to yourself unless you absolutely have to probably start with a lower dose. I feel like I am so drunk right now and I don’t even drink anymore ever. This is made my vertigo way worse I feel like the room is spinning and I’m having trouble walking. I hope this wears off soon I will never take this again.",None
10,Pregabalin,Neuropathic Pain,1.0,Taken for less than 1 month,"January 24, 2022",2,"Lyrica (pregabalin):I was on it for 4 days, started with one pill at night.  By day 2 I started noticing my cravings for food were picking up by day 4 I was all out bingeing on EVERYTHING I could eat!  Day 4 I had gained 4 lbs and the heaviest I have ever been, up a whole pants size.  Mostly in my lower legs and feet. I stopped the drug at that point.  I noticed a bit of dry mouth and was drinking more water but actually more along the lines of what I should be drinking, no other symptoms.   I am already dealing with the fall out from the weight gain related to all the biologics, prednisone, dmards etc from the last two years of trials.  This just pushed me over the edge and I said enough.  I loath being this heavy.It did nothing for the pain but I do recognize I was not on it long enough.  I made more progress going to the chiropractor and the low glutamate diet. I am just horrible with the self-control needed for diets.",Daniellesdrugchecker
11,Pregabalin,Neuropathic Pain,4.0,,"January 20, 2022",2,"Lyrica (pregabalin):I took Lyrica for nerve pain in my legs. The pain was so bed I had no choice. This is the worst medication I've ever taken and couldn't wait to get off of it. I was lucky to find a Chiropractor to help me with my pain and after being on the medication for 4 months I was ready to come off of it. While the medication helped with my pain it unfortunately mad me feel like a zombie and gain 15 pounds. It made me clumsy and I couldn't think right because of the brain fog. I had to taper off of the 225mg that I was taking. After taking the last pill I had extreme agitation, headaches, nausea, diarrhea really bad and this lasted 6 days. I will never take this awful medication again.",Molly
12,Pregabalin,Neuropathic Pain,10.0,,"January 17, 2022",1,I was taking gabapentin for post op nerve pain from back surgery but had significant issues primarily restless leg syndrome. I got off the gabapentin and started pregabalin and had a much better control of my leg nerve pain.,Michael
13,Pregabalin,Neuropathic Pain,8.0,Taken for 1 to 6 months,"January 11, 2022",1,Switched to pregabalin after 18 years of gabapentin use.  The pregabalin helps with the neuropathy,stan
14,Pregabalin,Neuropathic Pain,2.0,Taken for 1 to 6 months,"December 18, 2021",1,Doesn't seem to get rid of my pain at all. Been on it for a month now. Unable to sleep through the night because I'm in too much pain. I'm taking 4 pills a day. Only real side effect that I've noticed is it makes me really spacey.,Me1234
