,drug,condition,rating,duration,review_date,upvotes,review,username
0,Qsymia,Obesity,1.0,Taken for less than 1 month,"January 16, 2022",0,"Took the 2 week starter dose. It made me feel lethargic and apathetic. I didn't feel like exercising. I would have been content to spend the day in a chair. I lost 4 pounds changing nothing. I think it was water weight. I then took the next dose for one week. I got terribly constipated with abdominal pain. I lost no weight on the increased dose. It did not change my appetite and it took away my energy. I stopped taking the drug after 3 weeks total . 61 year old woman, 5 foot 3 180 pounds.",DNW
1,Qsymia,Obesity,,Taken for less than 1 month,"December 9, 2021",0,Went to Dr prescribe Qysmia. I'm 59 yrs old and 4ft 8lnch. 182 pds. Start on the 3.75mg dosage for 2 weeks and then go to 7.5mg . See Dr in 6 weeks wish me luck. Also sending me to a dietician. My insurance company doesn't cover this medication but I have a plan at work that will reimburse me for it. I'm on husband's insurance plan. Mine is free through my work.,Lilmawmaw
2,Qsymia,Obesity,7.0,Taken for 1 to 6 months,"August 15, 2021",1,"Qysmia helped me lose 10 pounds in  5 months. My doctor started me out on the lowest dose and it increased to the highest dose. The side effects I had were tingling in my hands and feet and sometimes fatigue. At my last doctor visit, she and I decided I could try this journey on my own to see how I will do. Shoot, I gained 4 pounds back in one week!!! I'm still on the same diet and exercise program. I have read a lot of success stories on this site and I wish everyone that has a positive story much luck!! No hard feelings... It just wasn't for me.",Dissatified
3,Qsymia,Obesity,,Taken for less than 1 month,"May 8, 2021",23,"I am a 58 yr old female.  173 lbs ,4ft 8. Today is my first day on the med. I had a little numbness in my hands. But subside in no time. I'm not hungry. Tried to eat a half of a sandwich and took 2 bites and wasn't hungry. We celebrate mother's day tonight at my daughters with her family. Will order pizza from our favorite place, will see what happens. I'm drinking splash flavored water.  Good luck every one. Go to dr on 5/28/21. Will let you know what happens.",Elfie
4,Qsymia,Obesity,5.0,Taken for 6 months to 1 year,"May 23, 2020",36,"I gave Qsymia multiple chances as it seemed to work on the outset. In January 2017, I started on the trial, gradually moved up to the maximum dosage. I then had to stop due to the expense. I lost 20 lbs in 8 weeks. I gained lost weight back.In April 2019, I started again on the drug, this time at full strength. I lost about 30 lbs in 8 weeks. However, being on antidepressants (citalopram/Celexa) for depression, I believe Qsymia caused me to have suicidal thoughts and actions. I discontinued the medicine in July 2019 because of these suicidal thoughts. I was prescribed a new antidepressant (fluoxetine/Prozac) which boosted my mood considerably for a few months afterward. I gained all weight lost back.In April 2020, I tried Qsymia one last time as my weight was back up. Still on fluoxetine, within 3 weeks, my depression worsened and the suicidal thoughts came back. After stopping the medicine for two days, the thoughts seemed to dissipate.",Sardonicus
5,Qsymia,Obesity,10.0,Taken for less than 1 month,"November 20, 2019",65,I am 48 year old female started on 7.5 mg Qsymia. My starting weight was 238lb and six days later my weight was 221.lb The first couple of days I had very low energy and felt a little groggy but I had to learn to force myself to eat because I don’t have an appetite. I do have slight blurred vision at times. I feel like it’s worth it for the weight loss. I have dry mouth as well. I have done absolutely no exercise at all but plan to start.,Jackie
6,Qsymia,Obesity,,,"October 16, 2019",10,Qsymia is Horrible medication!  Doesn't work...  Worst customer service I ever experienced!  Do yourself a favor and choose another medication.  The people who work for Qysmia don't care about you they are only in it to make a profit!!  NO people skills!,Anonymous
7,Qsymia,Obesity,10.0,Taken for less than 1 month,"October 6, 2019",27,I take the medications separately so my insurance will cover the Topamax. I take 37.5 of the Apidex and am on 25 mg of the Topamax. I have been on the Topamax for 9 days. I am very pleased with this medicine as I have lost four pounds so far. It makes soda taste horrible so I have not had soda for 9 days. That is where 300-600 calories a day was coming from. If the medicine does nothing else it is worth it to kick my soda addiction. The only other side effect I have is being tired. I still have cravings for sweets and my appetite has been the same. I will be increasing my dosage to 50 mg in 5 days. I am hoping that will cause my cravings for sweets to cease.,Soda Addict
8,Qsymia,Obesity,8.0,Taken for 1 to 6 months,"August 4, 2019",45,"It started off slowly and at one point I thought it was doing nothing but a couple of week’s I could feel and see the change. Hunger became minimal and from there the pounds literally in my case fell off.  I started out at 262lbs and I’m down to 209.4lbs in 3 months (yes 3 months). The weight loss is not just because of Qsymia but it definitely helped, I also rode my peloton (exercise)  pretty much every day and also stayed away from white carbs. So would I recommend Qsymia as part of diet/weight loss plan absolutely, it definitely helps it takes away the hunger in between in meals.",Steven
9,Qsymia,Obesity,8.0,,"July 17, 2019",50,"I have been on Qsymia now since last May of last year, it is now July. I have now lost a total of 62 pounds. I have always been a bit heavy hovering around 185/190lb but ballooned to about 252lb due to my Thyroid issues getting out of control. The biggest side effects for me have been brain fog, and sleeplessness.   I read an article that said they are testing the drug for use on other addictive behaviors as well. I  have a lot of energy. Some people have reported mood swings, but I have always been moody so I cannot comment on this. Some days I forget to take my meds and I've been on the drug so long I do not find myself hungry or even thinking about food. The drug made food with sugar taste bad which means I rarely reach for anything sweet now or that is carb heavy. I find myself interested mostly in protein or salty foods when I do decide to finally eat.",evilelf
