,drug,condition,rating,duration,review_date,upvotes,review,username
0,Topamax,Obesity,,Taken for less than 1 month,"March 1, 2022",6,"I used food to fix everything in my life, my entire adult life. Have lived in a fat suit my entire adult life. 2-18-2022 (270lbs)  I was given Topiramate to try for weight loss because I was tired of trying stimulants that caused high blood pressure which I only needed to take yet another pill for. grrrrr.It has now been 11 days. I went to the same Dr. office, but to see the PT this time. Snuck over to the scale...(260lbs!)10 LBS in 11 DAYS!!!!WOW!!!!  I FEEL FREE OF THE SHACKLES OF FOOD!!!!!!!!!!!!!!!!!! THANK YOU TOPIRAMATE",FINALLY FREE!
1,Topamax,Obesity,8.0,Taken for 1 to 2 years,"January 23, 2022",2,"I started taking topamax after quitting seroquel because I gained 20lbs in 3 months from the seroquel. I lost most of the weight quickly, it made me not eat much by feeling full, even with foods I like, I just ate less of them. But I got extreme cognitive issues from it which has caused a lot of problems so I’ve stopped taking again. Even my own doctor called it dopamax. Pay close attention to your tasks to see if it affects you. I wasn’t even able to clean my house. Great to help with appetite in the short term if you don’t get side effects.",Dopey
2,Topamax,Obesity,5.0,Taken for 1 to 6 months,"October 26, 2021",0,I started topamax 25mg at night and lomaira 8mg in the day. All was fine with topamax until I hit the 1 month mark and my cycle came. I was passing a crazy amount of huge blood clots and had the heaviest period I had ever had in all my years so I stopped taking it. The bleeding was just horrible. Other than that I had tingling feet sometimes and it made me cranky the first 2 weeks.  It did curb my appetite but not sure if it or lomaira made me lose the weight.,Cupcake
3,Topamax,Obesity,10.0,Taken for 1 to 6 months,"August 3, 2021",5,Was prescribed for appetite suppression due to ADHD and disordered binge eating.  Have been losing weight finally after trying hard at everything and ruining it by binging. The suppression is moderate to mild. I can eat like a normal person or just one meal a day. I push my plate away when I’m full and so not get any urges to over eat until I’m uncomfortable. 50 mg a day at night before bed.Only side effects are pins and needles in door and fingers a half hour to an hour after space and it last for about 5-10 minutes.,MA
4,Topamax,Obesity,9.0,Taken for less than 1 month,"July 30, 2021",9,This medication was actually prescribed to me by my psychiatrist because of my binge eating issue. I was very hesitant because at first taking this I didn’t notice a difference I’ve been taking it for almost the full four weeks now and it’s finally starting to work. My appetite is starting to be suppressed now and within the last week and a half I went from 220 lbs to 207 lbs! Crazy. I will admit I feel a little foggy but I’m also on abilify (which is another reason I got put on topamax the abilify makes my binging worse) and Wellbutrin so I'm normally a little foggy so it’s hard to tell if the topamax is causing it to be worse. Either way. It’s helping me with my binge eating and I’m actively losing weight.,Binge Eating
5,Topamax,Obesity,10.0,Taken for 1 to 6 months,"June 3, 2021",85,"I've been on topamax for a month today. I couldn't lose weight for anything. I was originally prescribed it for headaches, working great for the headache  as well! I went back to my prescriber today, I've lost 8 pounds in a month on such a low dose so it works and it is absolutely awesome!",Elizabeth Bandy
6,Topamax,Obesity,1.0,Taken for less than 1 month,"May 25, 2021",17,"I took a low dose for almost two weeks,  I lost my vision the headache the pain around my eyes went immediately to a optometrist and my pressure around both eyes were 56 I was vomiting and passed out they worked on me for 5-6 hours to bring the pressure down, I had acute glaucoma in both eyes that is rare.  Topamax says as a side effect could cause blindness and it’s true I still go to the doctor to monitor my eye sight to make sure the pressure is still coming down.  DO NOT TAKE THESE MEDS VERY DANGEROUS.",Phishsam
7,Topamax,Obesity,8.0,Taken for less than 1 month,"April 13, 2021",28,I just started topamax so far I get the tingling feeling and the brain fog nothing major though and I zone out a lot. I barely eat and when I do it’s healthy I hope this works I’ve tried everything I’ll update in a month.,Sweetface
8,Topamax,Obesity,9.0,Taken for 10 years or more,"April 3, 2021",28,"At 5’7, I weighed 208 after giving birth at age 31. Developed what they thought was fibromyalgia. After 6 years was put on Topiramate - 200mg per day. Dropped 50 pounds in about 6 months. Went off it, eventually gained the weight back plus another 30.14 years since the first time: Back on it, have lost 40 pounds in 3 months. Still need to lose around 60-75 pounds... The fibromyalgia turned out to be MS. Haven’t been able to exercise in 20 years. I miss that, badly... But since I have no metabolism, it’s either starve or take the Topiramate. I’ve never noticed any negative side effects... But then, my resting state is pretty messed up; it would be hard to distinguish any new negative stuff from the plethora of negative stuff I already suffer regularly. ;)",Scottie
9,Topamax,Obesity,1.0,Taken for 1 to 6 months,"February 24, 2021",6,"My doctor prescribed this for obesity and I was on it 2-3 months. I didn't lose a single pound. It didn't even make me tired or sleepy, a side effect I would have welcomed. I discontinued it because it was giving me painful and disturbing pins and needles in my feet and legs at night. It wasn't worth waiting to see if I would lose weight further down the line. Plus I was fearful about the side effect I read about concerning vision.",Elly
