,drug,condition,rating,duration,review_date,upvotes,review,username
0,Sublocade,Opiate Dependence - Maintenance,10.0,Taken for 1 to 6 months,"March 26, 2022",2,I've been an opiate addict for 20 years now. After 5 years on Suboxone I was looking for a new solution. I ended up going with Sublocade.  I had two 300mg injections and one 100mg. It's been 2 months now since my last injection and I'm still feeling great. The only side effects I had while on the injection was tiredness and constipation. I would absolutely recommend this to anyone who is ready to be sober.,Katy03
1,Sublocade,Opiate Dependence - Maintenance,10.0,Taken for 6 months to 1 year,"March 18, 2022",1,I’ve had the best possible outcome with the sublocade shot. it saved my life! I definitely recommend it to any and everyone with opioid dependent treatment!!,dspjr
2,Sublocade,Opiate Dependence - Maintenance,10.0,Taken for 1 to 6 months,"February 15, 2022",2,"Getting the Sublocade Shot has been the best decision I've ever made. Had a bad H addiction for about 6 years. This shot has been a life saver. Going on my 3rd shot and completely sober and couldn't feel any better. The shot has kept me from getting the usual depression that seems to come no matter what, the first few months of being sober. For the first time in a while I look forward to life. No cravings, no withdrawal. I highly recommend sublocade, my only regret is not getting on this sooner.",MJ1
3,Sublocade,Opiate Dependence - Maintenance,8.0,Taken for 2 to 5 years,"February 15, 2022",4,"I started on Suboxone 2 years ago. It was fine. No side effects really except constipation. I didn't like taking it daily,  the whole routine of it, and absolutely didn't like the taste. So I switched to sublocade. I didn't notice the transition except being really tired for about two months. I have nothing but good things to say about it and it's kept me opiate/heroin free for two years. I have absolutely no desire to use so I've decided to go off sublocade cold turkey. After reading the reviews I'm quite confident.",Pretty in red
4,Sublocade,Opiate Dependence - Maintenance,10.0,Taken for 1 to 6 months,"February 14, 2022",1,"After many years on ~10 mg Subutex, I switched to a provider that offered Sublocade injections. I had lost most of my previous prescription during a move and decided I didn't want to live always afraid my pills would be lost/stolen, random U/A tests, random pill counts. I received my first injection and except for some tiredness (difficulty staying awake on grave shifts), I had no side-effects. I was prepared to complete the series. When I arrived to my appointment for my second shot, it was not there. The specialty pharmacy would not release it b/c my name on my ins and ss card is spelled differently than on my license and birth cert. I would need a legal name change in order to get the injection released to my provider. So, my doc put me back on the Subutex to start when withdrawal symptoms began. I took a small piece of a pill here and there, but never experienced any real discomfort. This was in Nov. I haven't had a shot, any Subutex or any withdrawal since. I am finally DONE!",Hapless
5,Sublocade,Opiate Dependence - Maintenance,10.0,Taken for 1 to 6 months,"January 27, 2022",3,"Best decision I’ve ever made, been on suboxone 12mg for years, maybe 10 years or so, but on my second 300mg shot and the whole last month had been a breeze, never felt better hope it continues!",KCM
6,Sublocade,Opiate Dependence - Maintenance,10.0,Taken for 6 months to 1 year,"January 13, 2022",3,"I have been addicted to opioids for almost 10 years. I have been in and out of rehab, on methadone and prescribed Suboxone. With the help of an all women’s rehab and the Sublocade shot I feel amazing. The cravings are gone and I haven’t thought about drugs like I used to while taking suboxone. I am beyond grateful for this. The numbing shot pinches and the medicine can sting but it is worth it. I am afraid of the withdrawals-but for right now, it’s not broken so I’m not going to try and fix it!",Life saver
7,Sublocade,Opiate Dependence - Maintenance,2.0,Taken for 1 to 6 months,"November 15, 2021",2,"So sublocade was really working for me after being on suboxone for a while. I didn’t have to think about taking strips every day and didn’t have ups and downs. But I did some research on the ingredients on what is in sublocade and in the gel, it consists of NMP, a solvent used in paint thinners. Known for reproductive toxicity, neurotoxicity, and known to cause miscarriages among many other side effects. NMP is banned in Europe as a poisonous chemical. When I read this,  ( look at FDA website for ingredients, and other reputable website for further information) I felt so betrayed that doctors and the FDA has allowed this to be put into our bodies. I will no longer use sublocade and switch back to suboxone. I want to have a family someday and have no idea what other things could happen after long term use of this chemical in my body. I just want you to all be aware. There is other options. If not suboxone, methadone. Good luck!",Yougotthis
8,Sublocade,Opiate Dependence - Maintenance,10.0,Taken for less than 1 month,"September 22, 2021",5,"I took Suboxone for nearly 15 years.  I loved that it gave my life back, however when trying to quit the withdrawals was horrible.  Just recently I took a 100 mg injection of sublocade for one month.  Now, it has been nearly a month since the sublocade ran out and I have felt great.  I really haven’t had any withdrawals, besides maybe a hot flash here and there.  Nothing that I couldn’t handle and nothing like any other withdrawals I’ve had before. No others withdrawals and now it’s over and I’m living a blessed life.  It’s amazing.",Anonymous
9,Sublocade,Opiate Dependence - Maintenance,9.0,Taken for less than 1 month,"September 6, 2021",2,I echo pretty much all of the reviews here. I had my first 300 mg injection about ten days ago. It burned like anything through the entire injection. It’s definitely working because I haven’t had any withdrawals and it’s nice not to live waiting for my next strip. I like knowing that I can’t over take it like I’d done with strips. My issue here is about the wound. I tried to attach a photo but couldn’t. I’ve got this ugly black/yellow scab surrounded by a red ring. The whole thing measures about 3-1/2 cm. Any feedback? Not sure if it’s a normal reaction.,Ree
