,drug,condition,rating,duration,review_date,upvotes,review,username
0,Codeine,Pain,10.0,Taken for 2 to 5 years,"January 24, 2022",0,"Very good medication, I take 30 to 60 mg during tooth pain and it helps massively, this saved me from long ER visits Medication also has a sedative effect.",Petey
1,Codeine,Pain,1.0,Taken for less than 1 month,"January 4, 2022",0,Severe toothache on a waiting list for wisdom teeth to be removed hasn't helped one bit still in absolute agony,Anonymous
2,Codeine,Pain,1.0,Taken for 1 to 2 years,"October 18, 2021",0,This is golden for pain but it gave me too much nausea to continue - even more so than the much heavier and stronger Morphine Sulfate XR!,Muffin Top
3,Codeine,Pain,8.0,Taken for less than 1 month,"March 6, 2021",0,Works great! No issues whenever I've taken it so far.,Hoppimike
4,Codeine,Pain,,,"January 5, 2021",0,Prescribed for Crohn's disease but only take it when absolutely necessary due to the terrible indigestion and nausea it causes,Hal
5,Codeine,Pain,7.0,Taken for less than 1 month,"January 28, 2020",6,This drug worked amazingly for my pinched nerve in my neck it dulled the pain HOWEVER I got severe case of constipation after taking it over a week and a half. I do want to try it again but I’m going to see my GP about how I can combat this.,Ney
6,Codeine,Pain,9.0,,"November 30, 2019",21,"I *need* Codeine for the pain of Fibromyalgia and take 8 codeine phosphate daily. But I'm going to be tapered off due to the addition epidemic. It's unfair on genuine patients  that some abuse it, which put changes to guidelines on prescriptions. Just cos some go on their crusades to change laws puts pressure on others.",Dexy
7,Codeine,Pain,5.0,Taken for 6 months to 1 year,"May 5, 2019",7,I find solpadeine to be very effective for pain but the side effect for me outweigh the pain relief. 1.dry mouth2.Swollen eyelids3.Bloating4.Cough5.Addiction,Jan
8,Codeine,Pain,9.0,Taken for 1 to 2 years,"October 29, 2018",29,"I am 20 years old. I have been suffering from Generalized Anxiety Disorder for 4 years. For me, the biggest problem of the wide range related to chronic anxiety is chronic pain: huge muscle cramps in shoulders and neck, as well as back pain, bruxism during day and night and frequent headaches. Codeine 30 mg every 6 hours helps me level all of these issues so that I am able to study my University subjects. It has been the only painkiller that helped me so far... I am lucky to have an understanding doctor, given how  much are demonizing this helpful medication, due to some irresponsible people.",PainPatient97
9,Codeine,Pain,5.0,Taken for 1 to 2 years,"June 6, 2018",6,Moderate pain reliever.  Causes dizziness and sleepiness and also worsens my mood.  I get more irritable when I take it.,Tammy
10,Codeine,Pain,10.0,Taken for 10 years or more,"November 10, 2017",17,"I have been taking codeine 15yrs+ with diazepam & Tylenol. I can no longer take anti-inflammatories too, unfortunately. I have a huge tolerance, regularly taking 240-300mg a day (8-10 tablets). On pain free days I need to take a 1 tablet about every 12hrs or withdrawal starts after about 18. That is a bit like having a dose of flu for a few days, combined with severe diarrhoea in my case. During rare pain-free periods it isn't worth weaning myself off completely cos the pain is never away long.Everyone different; 60mg gives me 2 hrs max. relief. No constipation, dizziness or nausea-the latter often experienced briefly on 1st use (inc. posters here) -dose probs too big. Constipation is common & worse than the pain, I'm told, so go easy.",Eadwig
11,Codeine,Pain,,,"July 5, 2017",17,After hurting my back I was sent home with some Endone which did not relieve my pain. The hospital gave me some Asprin/Codiene dissovable tablets. It was like a warm feeling of relaxation and pain was gone. My back healed within one week and I stopped taking them afterwards. I highly recommend this to someone with spinal pain.,Mr S
12,Codeine,Pain,10.0,Taken for 1 to 6 months,"June 22, 2016",27,"I am an early 60's male with chronic neck pain as result of too many skiing accidents over many years. Normal pain killers like Aspirin or Naprosan wouldn't even touch the pain however l found Paracetamol / Codeine 500mg / 30mg worked wonders. I take 1 tablet at first and if pain too intense increase to 2 tablets. Because of stomach upsets and slight dizziness l limit myself to 4 tablets daily. Talking to my GP about situation and the fact that l did not want to stay long-term on the Paracetamol / Codeine and he suggested acupuncture which l started to have 2 times a week (10 very sharp but small needles) over a period of 6 weeks and, as result l have only had 1 of my tablets for the last fortnight which is a wonderful turn-around for me.",Homestay
