,drug,condition,rating,duration,review_date,upvotes,review,username
0,Etodolac,Pain,10.0,Taken for less than 1 month,"September 30, 2021",0,"My sister recommended this. I have significant arthritis pain, bone spurs on my spine, bursitis in my heel, spinal stenosis, & carpal tunnel.  Feel like a new person! Highly recommend.",CJE
1,Etodolac,Pain,10.0,Taken for 10 years or more,"June 6, 2020",11,"Lodine (etodolac):Spending 8-12 hours a day on cement floors teaching I developed inflamed heel tendons, a sort of tendonitis. I could hardly put any weight on my heels, so my arches and balls of my feet were taking the brunt of it. I was getting lots of foot and leg cramps. Podiatrist gave me heel cups to wear and Lodine to take twice a day. It worked super well for me. I always need to drink or eat with the pill, but then no side effects I've noticed. It just eliminates the pain, within about ten minutes. It can come back quickly though if I do things that will make the problem worse, i.e. walking the dog, bending over to do gardening, going for a walk, lifting too much weight. Later on, I developed osteoarthritis and I've been taking the Lodine as needed for the pain. I like that it's non-addictive and it works for me, completely. Walgreen's stopped providing them and I don't know why.  I'm going to look into it because I really need them when I need them.",teachertype
2,Etodolac,Pain,1.0,Taken for less than 1 month,"January 9, 2020",13,"Usually don’t post reviews however Etodolac made me very sick. Awful stomach ache, body aches and fever. Stopped taking after 3 doses. I was hoping it would work. Oh well.",Tmoney
3,Etodolac,Pain,,Taken for less than 1 month,"August 14, 2019",15,"Lodine (etodolac):I was prescribed Lodine for pain and stiffness. For the two days I took it for I was pain free,  marvellous, but I suffered a side effect of diarrhoea, have stopped it.",Linda
4,Etodolac,Pain,8.0,Taken for 5 to 10 years,"May 1, 2019",19,"I’ve had osteoarthritis of my back and degenerative disc disease for several years and painful neuropathy of my feet for no good reason.  I noticed Etodolac helped my back right away and took the should muscle pain away that I had in the morning.  It took a few days for it to help my feet.  It was a wonder drug for several years.  I took 400 mg three times a day and omeprazole twice a day. It works somewhat on my back now, not nearly as much - but now I have osteopenia too. It still helps my foot pain but not as much so the doc added Neurontin which helps but lots of side effects.  And that’s all they can do for life except increase Neurontin.  Oh, did I mention that now they are threatening to take me off Etodelac because I’ve turned 60 and my chances of bleeding are higher?  And of course increase Neurontin to three times a day  so I can sleep my life away.",Me
5,Etodolac,Pain,10.0,Taken for 1 to 6 months,"November 30, 2018",11,I've got some sort of longstanding knee injury that will sporadically act up. Etodolac 400 mg twice a day (along with Prevacid 15 mg once daily) is the only thing I can take that actually treats the pain without giving me severe stomach pain.,Anon
6,Etodolac,Pain,7.0,Taken for less than 1 month,"November 14, 2018",14,I recently was put on etodolac 300 for costochondritis. I suffered 5 months of pain inside my chest. I took it right after I got the prescription filled and it had no effect. The next day I took it again and I felt so much better. I'm supposed to take it 2x a day but I only take it when needed. For now it works for me. Good luck all.,Anonymous
7,Etodolac,Pain,1.0,Taken for less than 1 month,"May 21, 2018",16,"Side effects  of etodolac included indigestion, constipation, painful urination, pain in kidneys, pain in chest below the breastbone and mental confusion.  I had to stop usage in about a week. Horrible stuff. Stay away.",Jesse
8,Etodolac,Pain,1.0,Taken for less than 1 month,"April 4, 2018",11,Given for toothache until I can see the oral surgeon but it does absolutely nothing to ease the pain. I'm in agony...,Jean
9,Etodolac,Pain,6.0,Taken for less than 1 month,"March 22, 2018",7,"I was prescribed this after I got a root canal on my bottom back molar or number 30. It does help with the pain, but it makes my stomach hurt very bad and causes me to feel a little weird. I am sensitive to pharmaceuticals but I still try, hoping I can find of that helps. I'd almost prefer the tooth pain over the stomach pain, but the tooth pain sucks. Especially since I am unaware when I start grinding my teeth, I've ground that bottom tooth twice now and am kicking myself. Anyway, this did help with the pain, it didn't take it all away.",FatLemur
10,Etodolac,Pain,,Taken for less than 1 month,"January 12, 2018",11,I was perscribed this for a toothache and swollen jaw  and it did nothing for the pain. It was equivalent to taking an aspirin. In guessing the E.R. doctors doesn't know what they are doing.,Someone in pain
11,Etodolac,Pain,10.0,,"December 21, 2017",23,"I was having heel pain for the past 4 months following back surgery L4 & L5 fusion. I finally had to go see a Podiatrist on 12/15/17. The doctor prescribed me Etodolac 400MG. Instantly this medication has helped my pain go completely away. Although I am instructed to take one pill 2x a day with food, so far taking 1 pill per day has certainly worked for me after nearly one week. I am looking forward to walking my six miles 3 times a week following the holiday. I hope that I was helpful.",MFClayton
12,Etodolac,Pain,10.0,Taken for 2 to 5 years,"February 2, 2017",18,Could hardly walk and was in severe pain in both knee's. Had both knee's drained of fluid buildup and have been taking two 500mg. every day for the past two years (1 in am and 1 in pm) have not had and side effects to date.,Jim427
13,Etodolac,Pain,9.0,,"January 15, 2017",16,Got prescribed this for a terrible earache/infection. It has helped so much!  The pain was unbearable before. Now my ear is feeling alot better and finally draining!,Em.C8
14,Etodolac,Pain,8.0,,"September 8, 2016",40,"I have bulging disks / pinched nerves in my neck causing radiating pain down my arm.  The drug was awesome for the first few days then has gradually lost efficacy for me.  However, it is still better than the Meloxicam I had been taking, which did almost nothing for me.  I have had minor side effects.  First and second day on it, my pain went from a 7-8 down to a 2.  Now it is about at a 4, which is still better than I was.",ScottATL
15,Etodolac,Pain,10.0,Taken for less than 1 month,"August 11, 2016",21,Lodine (etodolac):awesome.  no pain.  speechless.,mary frances vester
16,Etodolac,Pain,9.0,Taken for 1 to 6 months,"August 4, 2016",25,"I have fibromyalgia and was first prescribed Gabapentin, which helped some of my issues, but I needed something more to ease my widespread pain. My doctor than added Etodolac 400 mg every 6 hrs as needed. At first I only took it periodically but I didn't see results. Then I began taking it 3 times spread throughout the day. I can now move and walk and my pain has almost disappeared. I did have some bloating and gas side effects, but can totally tolerate that versus the pain that I was in.",mmmtam
17,Etodolac,Pain,4.0,,"March 12, 2016",20,"Was given this drug for tennis elbow. Although it helped the pain in a small way. It didn't outweigh the hours of burning pain in my stomach, the copious amounts of gas I passed and sleep I lost because I couldn't lie down due to the heartburn it caused.  Turmeric works just as effectively with out these side effects.",Parsleysage
18,Etodolac,Pain,5.0,Taken for less than 1 month,"February 18, 2016",24,"I herniated a disc in my back and was in severe pain.  I waited one week to go to the doctor thinking it would get better on its own.  She prescribed Etodolac 400mg to be taken twice a day.  It took almost a week before I felt any relief at all.  It took away the excruciating pain but my back still hurt when I would bend over to pick something up, getting up in the mornings, getting in and out of my car and just standing up in general.  It also makes me drowsy.  Two weeks ago yesterday I hurt my back and I've been on Etodolac one week yesterday.  In the future if I should hurt myself again, I will ask my doctor to give me something else.",linkays
19,Etodolac,Pain,7.0,Taken for 1 to 6 months,"February 12, 2016",23,"Spent 1.5 months on this. I always took it with food and plenty of water and had no adverse side effects, even though many new meds tend to make me nauseous.It helped my pain somewhat, but not enough. I'm trying something new now. Again I had no side effects, but for me it just isn't effective enough.",CBar1
20,Etodolac,Pain,2.0,,"January 31, 2016",18,Does me nothing for me,fix the pain
21,Etodolac,Pain,1.0,,"December 4, 2015",20,"I tried this and wanted it to work. It made my stomach hurt so bad, it made me forget all other pain.",85308
22,Etodolac,Pain,10.0,Taken for 5 to 10 years,"December 3, 2015",25,"Was given this for a sore shoulder, but it didn't work any better than ibuprofen.  Fortunately, before I gave it up I noticed the effect it has on my gout.  It is like magic.  Taking a double dose and drinking lots of water stopped a major gout attack in hours rather than the usual ten days.  I now use it somewhat irregularly (whenever I feel I need some general pain relief, usually several times a week, but less often than the officially listed usage).  It's now been five or six years since I've had any problem with gout.  It apparently doesn't work for everyone, but for me it really works.",X
23,Etodolac,Pain,10.0,,"October 5, 2015",19,"Have shoulder and neck pain, making light exercise very difficult.  After taking one, one and half or two 400mg tablets, per day as necessary I'm able to function normally.",Bobby racer/pilot.
24,Etodolac,Pain,10.0,Taken for 2 to 5 years,"August 28, 2015",29,"I switched to this due to nausea from ibuprofen, used it for back, head, neck, and tooth aches, for me it has been the best thing I ever took, much better than the ibuprofen, worked as well as narcotic pain killers without all the drowsiness, so I could take anytime and still live a normal life!",Daa1969
25,Etodolac,Pain,1.0,,"August 9, 2015",7,"Back pain, bone spurs",Kjh0
26,Etodolac,Pain,10.0,Taken for 1 to 2 years,"July 22, 2015",35,"I have herniated discs. This drug helped tremendously, reducing my inflammation and therefore my pain as well, both when I was in severe trauma, and years later when I pull my back now and then. It increases mobility which is important, because then I can walk, cope in limited daily functions without being confined to bed, and I can instead help my muscles loosen and heal. I highly recommend this drug for herniated or bulging discs etc, etcsince it reduces I flammation, not just masks pain. The other meds I tried did almost nothing. Also, I have not experienced any side effects now, or when I was taking it every 12 hrs for those many difficult months.",Anonymous
27,Etodolac,Pain,9.0,Taken for 5 to 10 years,"July 17, 2015",55,"This drug is a lesser known gem.  I had taken various other NSAIDS and Narcotics and Etodolac is the only drug I have stayed with since IT WORKS.  No real side effects that I am aware of.  AND it is inexpensive.  I have degenerative discs, spinal stenosis and arthritis.  My back pain is constant without taking this drug.  While taking this, my pain levels are drastically reduced and I am way more functional.  I convinced two other family members to talk to their doctor about Etodolac and they too have had great results.  This is a no brainer to highly recommend.",Big Nut
28,Etodolac,Pain,8.0,,"May 30, 2015",19,I have been having incredible TMJ pain and back pain in ages soo it seems(10 years)  I have been on countless pain medications for my back pain and more recently TMJ pain after undergoing athroscopy surgery.  The pain in my TMJ has been horrendous and then some and been recently been prescribed Lodine and its almost been so good to believe.  Its a medication that can work very good and definetly worth a try and see if it works for you.. :),Rick107
29,Etodolac,Pain,10.0,,"May 22, 2015",23,Dentist prescribed it to me after a really rough wisdom tooth removal. Took away the pain and swelling completely. Never got such great results from any other painkiller.,maltt
30,Etodolac,Pain,10.0,,"May 6, 2015",23,I have a history of headaches so extremethat I had to go to the hospital and get shots. When I started using etodolac it resolved my headache issues without narcotics and I have been using it for years now. Etodolac doesn't fit under headache relief but in my case it works wonders and I would never be without it. Try it the next time you have a big headache.,"Dr Duane A Martin, ""Doc"""
