,drug,condition,rating,duration,review_date,upvotes,review,username
0,Kadian,Pain,1.0,,"April 7, 2012",71,"After reading so many people say that Kadian gave them so much relief from their chronic pain I was willing to give it a try. I had been taking Oxycodone 30mg 4 X's a day and felt amazing but they are now trying to get rid of all Oxycodone and Oxycontin because it has become such an epidemic on the street. So, we had to switch to something else. She started me on Kadian 60mg 2 X's a day with Percocet 10s every 6 hrs. The Kadian does absolutely nothing for my pain so she increased it to 80mg and still no relief. I have degenerative disc disease, a bulging disc and fibromyalgia. Oxycodone was the only thing that seemed to help.",Anonymous
1,Kadian,Pain,9.0,,"September 8, 2011",41,"I've been taking Kadian 60mg 2x day for severe back, knee, hip and hand pain. I have a failed knee replacement from 10 years ago and have been taking Kadian ever since.  Controlled pain mostly but also taking Norco 10/325 two pills 3x day for breakthrough.  Just yesterday my pain doctor increased the Kadian to 80mg in the morning and 60mg at night.  I can't imagine what my life would be like without the pain relief I get from Kadian.  I tried Fentanyl patch with no relief (then I heard of the deaths caused by the patch), and tried Oxycontin and again no relief, so Kadian is for me.  Only issue is it is extremely expensive.",Gouchybear
2,Kadian,Pain,8.0,,"July 6, 2011",35,"I have had six spine surgeries in the past four years. All of them some type of fusion. Have been on every type of pain medicine there is. Plus all the injections and nerve burns, even some radiation treatments. Doctor had me on Embeda for several years and then it was recalled. I have been taking Kadian for six months now and it helps me get through the day. I also take oxycodone six times along with it . Kadian does not take all the pain away but along with the other drugs at least I can function. Good luck all!",Screwed spine
3,Kadian,Pain,10.0,,"December 12, 2010",29,Kadian is the only pain medicine that has worked wonders for pain and staying on the dose my physician gave me. Unfortunate that not all physicians understand pain.,sickerthanu
4,Kadian,Pain,9.0,,"November 25, 2010",31,"Chronic pain associated with ulcerative colitls and multiple bowel surgeries. Had large intestine removed, now have permanent ileostomy. I have a ridiculously high pain tolerance, and after trying out the fentanyl transdermal patch (50 mcg every 48 hrs) and taking 10-12 Percocet 10/325 a day, my pain management doctor prescribed Kadian 30 mg every 12 hrs and Percocet for my breakthrough pain. Kadian has been amazing and is helping me get back to my day-to-day life.",Anonymous
5,Kadian,Pain,8.0,,"October 22, 2009",34,"I am 54 years old. Started having back problems in 1985. Have endured 2 lower back surgeries, the latter being a spinal fusion. I've been on Kadian for about 3 1/2 years. Prior to that I was on Darvocet, Oxycontin, and methodone, but had adverse reactions to all of them. When my doctor tried me on 20mg of Kadian it wasn't strong enough. But I slowly elevated to 80mg and it's been better than anything I've ever had.",painmagnet
6,Kadian,Pain,9.0,,"October 7, 2009",35,"I was in a car wreck about 2.5 years ago, which broke the Harrington rods I had in my back for scoliosis since the age of 15. I am now 28 and feel like I am 80! I have been on Tylenol 3s & 4s, Vicodin 10mg, Oxycodone 15mg, and then Kadian finally helped me. I have been on the Kadian 30mg twice a day for about 9 or 10 months. It gave me hope, although it does take a couple weeks to start to really kick in. No high feeling, and really takes the base pain away. Soon I will have the rod taken out and that probably wont help the C2,3,4 in my neck and the L5 and S1 discs that are smashed and pushing into my spinal cord. But I can give my 5 year old a bath, walk the dog, etc. It is about $383 per month insurance covering the cost! Saved my life!",Anonymous
7,Kadian,Pain,8.0,,"October 5, 2009",45,"I was disabled in law enforcement and have had 27 orthopedic surgeries to my knees and 2 to my right arm and 4 to my right shoulder and 3 partial disc removals from L4-L5 then permanent fusion to L4-L5. I am in constant pain for over 20 yrs. Went to pain management doctor's who did everything from temporary to permanent nerve burns, injections you name it. They finally put me on Kadian and it was the best thing ever.  I was finally able to get back to work, stop walking with a cane, and enjoy my life a lot more than what I had over the last 12 years of the 20 in pain.  I was to the point of almost wanting to end it. The only drawback is they are no longer going to make the 100mg capsules that I take, and they are expensive.",Scott L 58
8,Kadian,Pain,1.0,,"September 25, 2009",23,"One 60mg tablet made me so sick. I threw up all day. When I wasn't throwing up, I was sleeping. ",Anonymous
9,Kadian,Pain,8.0,,"September 20, 2009",36,"I have been on the Fentanyl Patch for 8 years and decided that I was so tired of the brain fog that I had from this drug that I asked the doctor to put me on Kadian and I don't have the brain fog anymore and Kadian keeps my pain level down enough for me to function in everyday life, I have CRPS and spondylosis in my neck with two bulging disc so no surgery for me. My only complaint is constipation.",kasie50
