,drug,condition,rating,duration,review_date,upvotes,review,username
0,Naproxen,Pain,10.0,Taken for 1 to 6 months,"March 18, 2022",0,Naproxen 500mg should be taken alongside Omeprazole 20mg. I was prescribed this and all was OK. Taken without and Omeprazole effects the stomach lining.,Darren
1,Naproxen,Pain,2.0,Taken for 2 to 5 years,"January 26, 2022",0,Does not help immediate pain must take for 2-3 weeks before any effect. Arthritis pain. Does not take away full pain not worth the long-term effects,Naproxen
2,Naproxen,Pain,1.0,Taken for less than 1 month,"October 1, 2021",0,Aleve (naproxen):2 aleve  and 1 more after 12 hours later did nothing for my  hurting knee,sighnsofchaod
3,Naproxen,Pain,10.0,Taken for 5 to 10 years,"August 19, 2021",0,"My dose is 500 Mg twice daily for chronic pain syndrome.  Then, 2 Tylenol 500 Mg at bedtime. Reduces my body pain.",Jean
4,Naproxen,Pain,10.0,Taken for less than 1 month,"July 29, 2021",1,"Naprosyn (naproxen):I am compelled to review about this medicine , I was suffering from severe joint pain ( knee, ankle, wrist ).I got the treatment from several doctors, in several Hospitals at different place ,I was getting relief but only for few months and after few months I used to same pain.  I suffered approximately 10 years from this pain . Finally or you can say luckily I had treatment from one of Doctors from his private clinic in Chennai , and he wrote only this TABLETS along with OCID 20. and now I am 100 % free from pain since last 7 years .I am very grateful to that Doctor and this medicine .One of my acquaintance was suffering from same kinds of pain and I suggested him to take the same tablet and now he is all right.Once again thanks a lot to this tablet and that Doctor",Antony
5,Naproxen,Pain,1.0,Taken for less than 1 month,"March 22, 2021",0,Aleve (naproxen):This medicine does nothing for my pain.,kell
6,Naproxen,Pain,10.0,Taken for 10 years or more,"February 16, 2021",5,"Naprelan (naproxen):This drug was and is a godsend. I blew my knee out. Tried me on everything, including Vicodin. Did nothing. dr. Had samples of this tried, 2 days, heaven. I had to wait for knee replacement due to age. This worked better than Vicodin. 4 years later surgery. By then both knees and my Doctor messed up. Now on this 12 years. Now on SSI. No coverage $800.00 a month. Why? Worse they slowed down making it. All the bottles I have same lot number. All expired 2020. Even bottles filled few months before. This drug stopped me from having to take 10-325 Percocet. None of my pain Dr. heard of it. Pharmacist. I use to have bad migraines my whole life. I don’t recall any all these years on this drug. The lower dose did not work. But four 5-325 Percocet don’t work and one 10-325 does.  God forbid when I run out. Why people end up on stronger meds. Best anti-inflammatory out there. .",Lynette
7,Naproxen,Pain,2.0,,"February 2, 2021",11,"I’ve been using naproxen tablets for three months until one night I was sick, my vomit had red blood in it and blood that was real black colour and I had stomach cramps. I saw my doctor and he said I have had a bleed in the stomach to come off of the tablet straight away. The naproxen tablets had caused a bleed. I am now on another lot of tablets to repair my stomach. Stay away from these tablets, do not use.",Tom
8,Naproxen,Pain,10.0,Taken for less than 1 month,"December 20, 2020",1,Aleve (naproxen):Aleve is best for TMJ it works miracles more than any other OTC pain reliever take between 2-4 depending how much you weigh you should feel relief with in 1-2 hours,Dan
9,Naproxen,Pain,1.0,Taken for less than 1 month,"December 19, 2020",3,"Naproxen has never worked well for me.  I thought it was odd when the doctor told me it was the strongest thing available.  I took 600 mg which worked for 2 hours. I spent the next 10 hours looking at the clock, crying and thinking of how to get illegal drugs for the 1st time in my life. The doctor would not give me anything stronger. I have never used any other person's prescription, but I finally got an oxycodone pill from a relative who recently had surgery.  I took one, slept through the night and the pain was much more bearable for the next few days.  One pill worked.",Sarah
