,drug,condition,rating,duration,review_date,upvotes,review,username
0,Ultram,Pain,1.0,Taken for 1 to 6 months,"January 26, 2022",0,Ineffective for pain. Same as tramadol. If you have more than slight pain it's as though you never took anything. Aspirin works better,Ultram
1,Ultram,Pain,1.0,Taken for less than 1 month,"November 21, 2020",6,"I was given Ultram after an eye surgery that repaired a blown out eye socket.Originally given Tylenol #3 but found I reacted to it with rash and severe itching.I only used two doses of the Ultram and experienced worse headache than not taking it. Its useless for post op pain.Doctors now days are careful (as they should be) when prescribing opiates, however,  not all patients are seeking a high. It's frustrating to be put into a fishbowl with drug users.If a patient is seeking any kind of medication for a ""high"" then any class of opiates should not be prescribed.  The possible side effects of Ultram in my opinion are scary just as the side effects of Norco and such.That's why you listen to your body and watch for any side effects. For those who are increasing the dose is stupid as well as dangerous. But if taken as directed,  although like me after 2 doses I knew it was pointless , there shouldn't be any real problems.",Anonymous
2,Ultram,Pain,1.0,Taken for less than 1 month,"December 21, 2019",21,I was prescribed this medication from the ER doctor because I have a muscle in my neck/shoulder/ head that has been in a spasm for 4 years & occasionally it will flare up worse than normal to the point I can’t turn my head/neck or use my left arm.It has done absolutely nothing for the pain.I’ve found other narcotic pain relievers that do work much better than Tramadol.,Me
3,Ultram,Pain,1.0,,"November 16, 2019",35,"This stuff is at best a little better than an 800 mg. ibuprofen tablet.  I would call it a ""placebo"" that is now offered to patients instead of real medication for real pain management.",broken shoulder
4,Ultram,Pain,7.0,Taken for less than 1 month,"October 4, 2019",25,"Years ago I used Ultram for migraines and one day took more than 2 in a smaller period of time and had a seizure. Scariest thing ever, thankfully I had a great neurologist who knew it was this medication and I stopped immediately.  Never had another, the medicine was decent though while I had taken it and it didn’t  make me feel like I was taking a prescription pain reliever. ( if anything it has the feeling of too much caffeine)  Just be careful on dosage.",Rebecca
5,Ultram,Pain,1.0,Taken for less than 1 month,"June 20, 2019",15,This Ultram medication is a joke. I was given this post op gallbladder removal and it was no better than Tylenol.,Becky
6,Ultram,Pain,3.0,Taken for less than 1 month,"March 3, 2019",21,"I was given Tramadol for osteoarthritis and back pain from falling off a ladder. It didn’t work any better than Tylenol. I took it after a painful gynecological biopsy (they didn’t administer anesthetic.....). It didn’t work. My son was given Tramadol for joint pain and for Scoliosis. It didn’t work any better than Tylenol and he can’t have NSAIDS..... My mother was given Tramadol for pain. It never worked. She didn’t take any opioids on a regular basis either, so there goes the excuse of being hooked on any other opioid......The stuff doesn’t work. An almost full prescription sits unused. Now that I know that it also affect Serotonin Receptors, I really won’t touch it. No wonder people get addicted. One might as well be on Antidepressants. No Bueno!",Cookie361m
7,Ultram,Pain,10.0,Taken for 1 to 6 months,"April 30, 2018",25,"For ""me"" Ultram/Tramadol has saved my back along with a muscle relaxater. I have whole spinal arthritis. I take as prescribed so I can stay on top of the pain. I'm going into my 2nd month and for ""me""  the two are a God send.Thank you.",Te
8,Ultram,Pain,1.0,,"August 27, 2017",9,I was prescribed this for a tooth infection. It did nothing to help elevate pain except when I added Tylenol and ibuprofen. I was also taking antibiotics at the time. Since I had to combine so many medications it would not be fair to discuss side effects. I hope this medicine works better for others.,Winchester Jenn
9,Ultram,Pain,9.0,Taken for 1 to 6 months,"March 24, 2017",34,"Took severe pain away. Hand and neck arthritis. Take with 2 Tylenol or ibuprofen  every other dose for best relief. Brand name ultram 50 mg every 5-6 hrs if needed. For me, took most pain away! Better than vicodin and not sure why but so happy I have it. Cons: occasional nausea and big time constipation-take with laxative or colace. I started pill slowly- two 25mg per day over period of a week and worked up to 50 3 x per day over 3 weeks.",Ksattie
10,Ultram,Pain,2.0,Taken for 1 to 6 months,"February 22, 2017",21,"This medicine did not touch my pain, and it gave me insomnia as well.",Crazylady308
11,Ultram,Pain,10.0,Taken for less than 1 month,"January 15, 2017",39,This med works better than other pain meds. Knee pain was so bad from implants I was considering getting back on my crutches. No crutches needed and gained back a little energy.,Al Crapone
12,Ultram,Pain,10.0,,"January 12, 2017",48,I have taken Tramadol for year and have found it very helpful with my body pain especially my back pain.  I usually have to take ONE 50 mg of the pill and that really helps.  There are many days that I may NOT have to take it.  I don't find it addicting at all.  I take it only if I really need it.  My prescription says to take it 4 times a day.  I would never do that.  It helps with only one.  It can be constipating and that is why I only take one to give me  a lot of relief.  I take it now with a stool softener.  I am sorry if people find it addictive but I don't feel that at all.  Perhaps they are taking 4 a day. I do not plan on dropping this pill for my pain any time soon.,Raleighgk
13,Ultram,Pain,1.0,Taken for less than 1 month,"January 1, 2017",41,Dose not work only made me anxious and angry I wasted my money and my chance to not be in pain after surgery.  Stop peddling this rubbish.  All  the Dr round here  are prescribing it thanks to some pharmaceutical rep but you're ruining people's rights to quality of life. You know it does not work.,Csyinde
