,drug,condition,rating,duration,review_date,upvotes,review,username
0,Buspar,Panic Disorder,3.0,Taken for 2 to 5 years,"March 23, 2022",3,"15mg twice a day, have been on this medication for about 3 years. I do agree that it does work for the anxiety, but the side effects for me are personally not worth it. I started seeing shadows, had really bad anger outbursts, and really bad heart problems. Not to mention the brain fog whenever I would take a dosage. It was just too much to handle. Probably one of the worst meds I've ever taken.",Avoidance
1,Buspar,Panic Disorder,2.0,Taken for 1 to 6 months,"January 10, 2022",1,This SSRI doesn't work for me! It was supposed to replace Sobril . I will try SNRI instead,Tester1234
2,Buspar,Panic Disorder,2.0,,"November 11, 2021",2,"I was prescribed Buspar for panic attacks. I started out on 5mg twice a day. I was feeling great for a few weeks, and then once I was bumped up to 10mg twice a day, I felt lousy. Constant headache around the eyes, drowsy, little appetite, and weak. I do not recommend taking this drug.",Nicole
3,Buspar,Panic Disorder,9.0,Taken for 6 months to 1 year,"October 24, 2021",3,"Buspar holds a really special place in my heart. It was the first psych med I tried that worked for my anxiety and didn’t give horrendous side effects like all the antidepressants I tried. I took buspar for several months after my first bipolar depressive breakdown and it held me over while docs figured out my diagnosis and got me on mood stabilizers, which took many months. I was on the highest dose, split into 3 or 4x a day. The fact that it helped hold me over while I cycled through manic and depressive episodes says a lot. It started working almost immediately. It definitely was a bandaid medicine and I was still pretty rocky with my mood swings, but I’m grateful. It calmed me down and lifted the depression a bit. Only downside is that the effects wore off every 4 hours. I was able to stop taking it once my bipolar meds got figured out but if I ever hit a rough patch with anxiety I'd go back on it in a heart beat.",CBI
4,Buspar,Panic Disorder,10.0,Taken for 10 years or more,"October 15, 2021",5,"I've been taking buspirone HCL on and off for the last 15 years. Before that I was taking Valium or Xanax, back in the days when it was easy to get. I really enjoy the benzodiazepines, but admittedly, too much. With BuSpar I do get light headed and a mild mini-anxiety attack about 10 minutes after taking 15mg twice a day with possible related weight gain, but it works well.  I usually stop after a few months of feeling better and adjusting to life's changes:  divorce, wrongful imprisonment, parents death, and now losing my son. I also took lithium and anti-depressants in the past, but to be honest, I don't mind depression and I kind of enjoy my mania, but shortness of breath, the feeling of impending doom, and now heart palpitations are never pleasant. I take it until the discomfort of the side effects outweigh my current state, and I start up again when the side effects are nothing compared to what I feel. Maybe 3 months at a time, maybe 6. It kicks in right away, for me.",kcal58
5,Buspar,Panic Disorder,10.0,Taken for 1 to 6 months,"October 15, 2021",4,It has worked really well for me. It stopped my panic attacks completely so far. I also had no negative side effects from it.,Panic attacks
6,Buspar,Panic Disorder,2.0,Taken for less than 1 month,"September 25, 2021",2,"I have panic disorder and anxiety issues. I currently take buspar and for some reason every now and then I get brain zaps or an electrical shock feeling from my head to the tips of my fingers. It's a very strange sensation. It wears off after about an hour or so. I've been on it for almost 3 weeks and I take 15 mg 3x a day like every 4 hours. When I first started taking it, it was just numbness and tingling in my hands. I thought it would eventually stop but no it's almost every other time I take it. It is comparable to brain zap withdrawals from Effexor or Paxil (antidepressants). I still have anxiety and on the edge of panic so I don't think it is actually helping me at all. And I also get numbness in my inner calf muscles which is weird. I can't feel my skin when I touch my legs or shave",Nikki
7,Buspar,Panic Disorder,10.0,Taken for 1 to 2 years,"September 14, 2021",5,"About a few years ago I started having such bad anxiety I couldn’t eat, couldn’t sleep, would be so anxious every night I’d become nauseous. I had trips to the emergency room to calm myself down because it was so terrible. Then I started taking the combination of lexapro and Buspar and no anxiety attacks and amazing sleep now it changed my life seriously. My anxiety was making it hard to live everyday normal life. Thank gosh for Buspar!!! No side effects either!",Malia
8,Buspar,Panic Disorder,9.0,,"August 13, 2021",9,"I have gotten to the point where I felt like I wouldn't survive my anxiety. My doctor put me 10 mg twice a day. I was hesitant to take it, because it's not a benzo, I didn't think it could help my severe anxiety, and I didn't think I could handle the despair from another failed medication. I've been on it for about a week and I felt relief from day 1. So far there have been no bad side effects. I am able to eat again. I still am not sleeping well but I am at least able to lie down and relax. Before, I was lying down with my heart pounding, racing thoughts, overwhelmed by fear, just waiting for the sun to rise. Buspar, in my opinion, works better than benzos. Because it gets me to a place where I don't need to take them to begin with. I still get mildly triggered but it goes away as quickly as it starts. I am very surprised at it's effectiveness. The only real side effect I've noticed is chronic snacking. Which is good for now as I had lost 30lbs due to my anxiety. Give it a chance.",Today can be a good day
9,Buspar,Panic Disorder,1.0,Taken for 1 to 6 months,"July 11, 2021",7,"Buspar is a complete waste of time. I took it for 3 months on all different sorts of doses, 5mg-15mg and it did NOTHING to help my anxiety/panic. Complete placebo pill. What it did give me was, tremors, dizzyness, noise sensitivity, disassociation and made me angry BEYOND belief. Waste of time. If you do want to try to try it, take it 2-3 hours before you actually have to go to work or accomplish something, bc it makes you feel like rubbish for that long after you take your dose. Might have worked for some people, but def didn't for me.",G
