,drug,condition,rating,duration,review_date,upvotes,review,username
0,Clonazepam,Panic Disorder,10.0,Taken for 10 years or more,"March 9, 2022",1,Klonopin (clonazepam):Only medication that gave me my life back by taking away my panic attacks from panic disorder. I've tried every other benzodiazepine and SSRI combination. Klonopin is the most effective and efficient for me. 1mg three times daily. Very easy to take. No negative side effects,John
1,Clonazepam,Panic Disorder,10.0,,"March 9, 2022",0,"Klonopin (clonazepam):I have had severe anxiety my whole life. I work extremely hard and I am very successful at work because of my anxiety I am told. But when I am off work or not busy I have absolutely horrible panic attacks that have put me in the hospital. It makes me not want to go to the store, travel, do anything but try and stay calm. I would have heart palpitations, trouble breathing, stomach bloating. You name it, I had it. Klonopin took all those symptoms away. I take .5mg in the morning and 1mg at night. Sometimes I don't take it in the morning. I have used this drug in the past for a year and stopped cold turkey with no withdrawal because I was not feeling anxious anymore. This drug is great if you need it. Don't abuse it, take as prescribed and don't take it if you don't need it.",Rekkitrob
2,Clonazepam,Panic Disorder,10.0,Taken for 5 to 10 years,"March 2, 2022",1,"Clonazepam is the only medication that helped me deal with panic disorder, agoraphobia, and social anxiety. I take 1mg 4x daily and I’m doing much better now. I haven’t had a full on panic attack in a long time!",Moab00
3,Clonazepam,Panic Disorder,,Taken for 6 months to 1 year,"February 19, 2022",0,"II have Agoraphobia, anxiety, panic disorder ptsd and I have been on every benzo there is I'm pretty sure even rohypnol. I have midazolam, xanax, clonazepam, diazepam, lorazepam and flurazepam. The one the works best for me is clonazepam. 4mg in the morning 2mg at night and I am a normal functioning person.",Tried everythin
4,Clonazepam,Panic Disorder,9.0,Taken for 1 to 6 months,"February 15, 2022",0,Klonopin (clonazepam):I’ve been taking Klonopin as needed since about December. I haven’t experienced any side effects and it has greatly decreased my symptoms of panic. I am prescribed .50 mg but sometime I only need .25mg. The only thing I would advise people to be cautious of is that it is extremely habit forming and shouldn’t be something you rely on for everyday use. TAKE IT ONLY WHEN REALLY NEEDED!,Anonymous
5,Clonazepam,Panic Disorder,10.0,Taken for 2 to 5 years,"February 15, 2022",0,"Klonopin (clonazepam):I have severe PTSD and have taken this for about 3 years. 1 to just a half a tab at night. I've tried EMDR, Ketamine and a large amount of anti depressants. The dependency I understand but if your responsible and it helps so I can rest I don't see the problem. My primary just sends me off to mental health clinics and I do this circle again the same drug road with side effects to add and numerous doctor bills. To add some of these medications are not covered by insurance. I'm not 100% perfect and understand my disorder, why add insult to injury. I found a something that cuts through so I can sleep. The insurance company only allows me a limited amount at a time. I sleep ,I'm rested and take care of my responsibilities effectively. Without sleep life would be a nightmare. And just create more havoc on my body.",JKN
6,Clonazepam,Panic Disorder,10.0,Taken for 1 to 6 months,"February 12, 2022",2,"Klonopin (clonazepam):I was always so anxious. I tried to take myself out. I was hospitalized and given antidepressants, they didn’t help until I got klonapin for my anxiety.  Now I am doing well sleeping and can handle life",Pauline
7,Clonazepam,Panic Disorder,10.0,Taken for 5 to 10 years,"February 2, 2022",0,"Klonopin (clonazepam):I was put on this medication about 10 years ago I was taken only a quarter of .25mg for sleep anxiety it was such a small amount I didn't think much of it took it for a few years I even got off of it for a full year never had a problem. Then one day my world flipped upside down. Events in my life cause extreme anxiety which cost me to have zero sleep. I’ve heard so many bad things about Klonopin that I was scared to start it again. The doctors tried every SSRI, every sleep med and I went deeper deeper into crazy land. I ended up breaking down and taking .5mg a night, which I’ve stayed on that amount now for 5 years and it helps along with a half pill of unisom. I can’t take any ssri and at times I beat myself up about having to take it but it works so well for me. I did have issues with the generics so name brand only works well... I will probably be on them for life and right now I’m ok with that",Cole
8,Clonazepam,Panic Disorder,9.0,Taken for 2 to 5 years,"February 2, 2022",0,Helps me return to a normal functioning life with others,Chris
9,Clonazepam,Panic Disorder,10.0,Taken for 1 to 2 years,"February 1, 2022",1,"The breakup of my engagement to my ex-fiancee triggered my panic disorder, and I was in absolute nightmare for months. At my worst I hadn't slept for four days straight...not a single wink of sleep...and I was suicidal from the constant state of anxiety that I found myself in. I got in with a psychiatrist who prescribed clonazepam, and it made me feel normal again within hours of taking it for the first time. It gave me my life back. I've been taking it for 2 years, 0.5 mg twice daily, no increase in dosage...and it still works like it did on day 1. Only side effects I experienced initially were some slight dizziness, daytime drowsiness (naps helped!), and sexual dysfunction (it was hard to maintain an erection, I'm a male in my 20's) for the first week of use. My body got used to the drug very quickly and now I have had no side effects whatsoever. Clonazepam gave me my life back. It's a shame that benzodiazepines are so stigmatized now...they can be so helpful for so many people.",JPTexas
