,drug,condition,rating,duration,review_date,upvotes,review,username
0,Effexor XR,Panic Disorder,10.0,Taken for 6 months to 1 year,"March 18, 2022",1,"This medication has been an answered prayer for me. I lived in fear for almost 2 years, couldn’t go anywhere. I would think I was dying all the time, I went countless visits to the ER just for them to tell me it was panic attacks. This medication has turned me to a complete 180. I enjoy life again, I am no longer afraid, I can do the things I love to do again. I feel myself again for the first time in a long time. Effexor has helped set me free. Medicine is not a one size fits all, I definitely went through trial and error with many different meds. SSRI’s have a very negative effect on me so that’s why my doctor suggested an SNRI and that’s exactly what I needed. this is the one for me and the answer to my prayers. So thankful for it and don’t plan on getting off of it.",Life changing
1,Effexor XR,Panic Disorder,10.0,Taken for 1 to 6 months,"October 1, 2021",31,I have had panic attacks for many years along with agoraphobia. In August the attacks were unbearable and my NP put me on Sertraline. I was so ill and after three weeks said I would  not take it anymore. He then put me on Effexor which I was really uneasy taking because of the side effects I had read about. Well I am here to say it has been a miracle drug for me. I had no side effects starting it and noticed a major improvement the second week. Now I am almost a month in and no panic attacks or anxiety at all! This is major for me. Now I am working on getting out more and driving. Please if  you have major panic then this medication may be for you. Please Please give it a try. I am so very happy I did.,cricket
2,Effexor XR,Panic Disorder,7.0,Taken for 2 to 5 years,"January 6, 2021",13,Effexor XR saved my life for years! When I was going through a rough time with panic disorder! It took time to work but when it fully kicked in I had my life back. I really had no side effects from this medication that I can remember. But this can really help for you for a while. Only thing that I don't like is you need an increase like once a year and I'm on the max dose and my anxiety came back !!!**But now currently I'm on the max dose 300 mg and it lost it effectiveness so my anxiety is back and it's getting hard again. Not sure what to do. Afraid of change and other meds.,Randomgirl888
3,Effexor XR,Panic Disorder,10.0,Taken for 1 to 2 years,"December 15, 2020",53,"Effexor XR is the best drug! I have tried Zoloft, Lexapro and Prozac and none of them helped me. I was nervous to start Effexor because of the reviews and side-effects if you miss a pill. I took a leap of faith and started Effexor, and I have been on it for two years now! I have never felt more like myself. Set a reminder if you are nervous you might miss a pill. Every body reacts differently to every drug so please, give Effexor a chance! It’s a miracle drug for my panic disorder. Don’t let the reviews scare you!",Anonymous
4,Effexor XR,Panic Disorder,10.0,Taken for 5 to 10 years,"November 4, 2020",32,"I took Effexor for 8 years and it changed my life. I started taking it because I had crippling panic attacks. I could barely eat or enjoy the simple things in life. I had brain zaps when I first started but they went away completely. I never lost my sexual desires or had any yucky side effects. I weaned myself off this summer due to personal reasons. Weaning off was a nightmare but I got through it! Slowly tamper off, drink a lot of water and take multiple vitamins.",Bridge
5,Effexor XR,Panic Disorder,6.0,,"September 30, 2020",13,"I started Venlafaxine in July 2020 after having a series of terrible panic attacks. I eventually increased the dose to 150mg. The panic attacks were less severe since being on the medication and I only had them after increasing doses. Two reasons I got off of it: sex life diminished horribly and it increased my blood pressure. I was given Metoprolol to help with that and it just made me gain weight, while still having high blood pressure. I was put on Prozac (Fluoxetine) and I’ve got my sex life back and no more high blood pressure. I didn’t have withdrawal symptoms because my doctor had me take Prozac while tapering off Venlafaxine. I only tapered down to 75 mg from 150mg, I had forgotten a dose and just quit taking it altogether (while still on the Prozac). I was only on Venlafaxine a total of 2 1/2 months. The meds do work, every person is different. I just switched meds because of my own personal reasons. I’ll never forget that it made me feel good for the first time in 10 years.",Wetty Bhite
6,Effexor XR,Panic Disorder,2.0,,"September 13, 2020",14,"I’m not going to come on here and be dramatic and tell you to absolutely stay away from Effexor XR because it’s the drug from nightmares. Every person’s body is unique and everybody responds to medicine different ways. However, effexor xr absolutely did not work for me. From day 1, it has caused more problems that it solved. Not only did it not help with my panic/anxiety disorder, but it made me get my period 3 times in 6 weeks and I only know this because every time my dosage was switched, I would get my period again which was also awful because I have PMDD. I’ve tried several medications. Last but not least, I’m currently coming off of it and the withdrawal is awful. I’ve been sick and throwing up for 2 days straight with HORRIBLE panic attacks and headaches. I’m super lethargic and honestly just feel like I have the flu and was told by my primary that it was all from stopping this medicine. Like I said, everybody is going to react different. It was not the drug for me.",HNG
7,Effexor XR,Panic Disorder,1.0,,"April 18, 2020",15,"I'm 50 suffering from severe panic attacks and anxiety with depression its hereditary in my family started around when I was around 13 years old went to doctor and put me on pamelor did not work, than buspar that did not work, then lithium that made me feel like I was going crazy, than paxil, than zoloft, than prozac and nothing worked. Then I got by with alcohol and it worked better than any of the drugs the dr prescribed and I know it was not good self medicating but it worked for years. Than it came back as my doctor said this will only get worse as you get older now I have not drank any beer in about a year in a half the doctor put me on celexa which did nothing, he than he put me on effexor 37.5 for 7 days than bump it up to 75 and I been on it for little over a year and truthfully it really helped my depression but not for my panic or anxiety now I'm trying to come off of it and its been nothing but a nightmare",Geno
8,Effexor XR,Panic Disorder,9.0,Taken for 1 to 6 months,"March 1, 2020",17,"This drug Effexor literally saved my life, I was prescribed in for depression, anxiety and panic!! Side effects weren’t too bad taking 75 mg. Drowsiness, increased heart rate, increased tinnitus, nausea, bad night time sweating, increased anxiety at first, head felt a bit spaced out and crazy bad insomnia. Most of these subsided after about 8 days, dosage change amped it up again for about another week. If you can work through it, it’s so worth it! After three weeks basically feeling like myself again. A little more time will tell if my anxiety subsides further.",Anonymous
9,Effexor XR,Panic Disorder,1.0,,"February 2, 2020",14,"I'm going to be honest here it's not pretty. My Dr. prescribed this to me for anxiety after a death in the family. Two hours after taking it I was trying to get from the bathroom (felt like puking and diarrhea at the same time) to the couch crawling on the floor.Needless to say after being asked by a family member (7 yr old daughter) ""should I call an ambulance"" I kept saying no. I just need to get to the couch. Remember I'm crawling. Finally, she said you look so pale are you sure you're ok Mommy? I said yeah just need to get to the couch. My heart was pounding and I was losing consciousness. Daughter called ambulance anyway and the main EMS gentleman said any later I would've suffered a heart attack. I was in a-fib. My BP was dangerously high. Had no previous issues. This drug was almost the end of me! Kudos to those it works for. But not me, never again.",Anna
