,drug,condition,rating,duration,review_date,upvotes,review,username
0,Klonopin,Panic Disorder,10.0,Taken for 10 years or more,"March 9, 2022",1,Only medication that gave me my life back by taking away my panic attacks from panic disorder. I've tried every other benzodiazepine and SSRI combination. Klonopin is the most effective and efficient for me. 1mg three times daily. Very easy to take. No negative side effects,John
1,Klonopin,Panic Disorder,10.0,,"March 9, 2022",0,"I have had severe anxiety my whole life. I work extremely hard and I am very successful at work because of my anxiety I am told. But when I am off work or not busy I have absolutely horrible panic attacks that have put me in the hospital. It makes me not want to go to the store, travel, do anything but try and stay calm. I would have heart palpitations, trouble breathing, stomach bloating. You name it, I had it. Klonopin took all those symptoms away. I take .5mg in the morning and 1mg at night. Sometimes I don't take it in the morning. I have used this drug in the past for a year and stopped cold turkey with no withdrawal because I was not feeling anxious anymore. This drug is great if you need it. Don't abuse it, take as prescribed and don't take it if you don't need it.",Rekkitrob
2,Klonopin,Panic Disorder,9.0,Taken for 1 to 6 months,"February 15, 2022",0,I’ve been taking Klonopin as needed since about December. I haven’t experienced any side effects and it has greatly decreased my symptoms of panic. I am prescribed .50 mg but sometime I only need .25mg. The only thing I would advise people to be cautious of is that it is extremely habit forming and shouldn’t be something you rely on for everyday use. TAKE IT ONLY WHEN REALLY NEEDED!,Anonymous
3,Klonopin,Panic Disorder,10.0,Taken for 2 to 5 years,"February 15, 2022",0,"I have severe PTSD and have taken this for about 3 years. 1 to just a half a tab at night. I've tried EMDR, Ketamine and a large amount of anti depressants. The dependency I understand but if your responsible and it helps so I can rest I don't see the problem. My primary just sends me off to mental health clinics and I do this circle again the same drug road with side effects to add and numerous doctor bills. To add some of these medications are not covered by insurance. I'm not 100% perfect and understand my disorder, why add insult to injury. I found a something that cuts through so I can sleep. The insurance company only allows me a limited amount at a time. I sleep ,I'm rested and take care of my responsibilities effectively. Without sleep life would be a nightmare. And just create more havoc on my body.",JKN
4,Klonopin,Panic Disorder,10.0,Taken for 1 to 6 months,"February 12, 2022",2,"I was always so anxious. I tried to take myself out. I was hospitalized and given antidepressants, they didn’t help until I got klonapin for my anxiety.  Now I am doing well sleeping and can handle life",Pauline
5,Klonopin,Panic Disorder,10.0,Taken for 5 to 10 years,"February 2, 2022",0,"I was put on this medication about 10 years ago I was taken only a quarter of .25mg for sleep anxiety it was such a small amount I didn't think much of it took it for a few years I even got off of it for a full year never had a problem. Then one day my world flipped upside down. Events in my life cause extreme anxiety which cost me to have zero sleep. I’ve heard so many bad things about Klonopin that I was scared to start it again. The doctors tried every SSRI, every sleep med and I went deeper deeper into crazy land. I ended up breaking down and taking .5mg a night, which I’ve stayed on that amount now for 5 years and it helps along with a half pill of unisom. I can’t take any ssri and at times I beat myself up about having to take it but it works so well for me. I did have issues with the generics so name brand only works well... I will probably be on them for life and right now I’m ok with that",Cole
6,Klonopin,Panic Disorder,8.0,Taken for 10 years or more,"January 18, 2022",0,"I don’t know how many years ago that I suffered from a severe panic attack but I can say it’s an awful experience and something I will never forget. I felt like an impending sense of doom come over me, my heart was racing, I’m pretty sure I was hyperventilating, felt like I was dying. The next day I was in my general practitioner’s office and he prescribed 2mg at bedtime and 1mg if needed. Rarely do I take the as needed as this drug keeps me on an even keel. I’m pretty sure I’ve had small panic attacks if there is such a thing but overall this drug has treated me well. Thank you Klonopin.",Rustynail
7,Klonopin,Panic Disorder,10.0,Taken for 1 to 6 months,"January 7, 2022",4,"This medication gave me back my life. It took me a long time to try it as there is an overwhelming stigma associated with benzodiazepines. I'm happy I finally caved as I'm back to enjoying life and raising my children as a healthy minded mother. I have GAD and Panic disorder. I had days I couldn't drive or shop, living was so much work. I've tried SSRI's witch only caused worsening symptoms. I take .5 2 x's daily (morning and night).",Game changer
8,Klonopin,Panic Disorder,8.0,Taken for 2 to 5 years,"January 6, 2022",0,"I've been taking this drug since Nov 2018 for general anxiety disorder. Started at 0.5mg at night and went up to 1mg at night in 2020. Most initial side effects go away within a couple weeks. I am dependent but not addicted. It makes me so tired, I have no desire to take it during daytime plus it has a long half life and manages my anxiety. I started off with Teva brand and then Accord in 2019 when Teva dropped the drug. Teva last month re-introduced its version and its not as good as the older version. I've swapped over to brand name at my own expense. It is worth the cost to have control of my anxiety. It doesn't work for everyone and I would exercise self control while taking it (no extra doses, alcohol, drugs, etc.). Also, it is technically not for insomnia so it won't help everyone with sleep issues.",Jackson
9,Klonopin,Panic Disorder,10.0,Taken for 2 to 5 years,"December 28, 2021",9,"I have been on klonopin .25 now for over 3 years. I was having bad panic attacks, anxiety, thoughts of just DOOM! I mean the worst. This hit me like a ton of bricks and for NO reason. I have been a nurse for 20 years. I had to quit my job, I quit driving, I lost 20 lbs that I didn’t need to due to nausea from anxiety attacks, always shaking, couldn’t sleep. Like my life went from one extreme to the next. Night waking, my body would go numb. Any pain or problem I thought I was dying. My Dr. Had me see a Psychiatrist because an SSRI she prescribed was not working at all. It actually made me worse. My Psych. prescribed me the klonopin for the attacks and I was to take it 2 x a day. I only take .25 once and it changed.my.life!!!! I mean changed my life!! I do not like taking medication, even Tylenol but I was at my wits end and I was desperate to get help. Diagnosed with GAD and panic disorder. Klonopin and other benzos get a bad reputation but IDC, if this helps me then I am taking it.",Jen
