,drug,condition,rating,duration,review_date,upvotes,review,username
0,Clonidine,Perimenopausal Symptoms,,Taken for less than 1 month,"March 5, 2022",0,Been on clonidine for two weeks now take two at night but no changes yet to the horrendous flushes .I'm hoping it gets better and will get a good nights sleep fingers xd.,Linda
1,Clonidine,Perimenopausal Symptoms,10.0,Taken for 5 to 10 years,"January 22, 2022",0,"I have been taking clonidine for 10 years now.  I am 63 this year, yes I started hit flushes when I was 32 which seem to be a family thing. I used to take two at night for number of years, then just one past 3 years then went down to just half of the 25mgs and I have  been doing this for around 6 weeks now. Hot flushes are hitting me bad now, needed to come off them because only got around 3-4hours sleep a night due nightmares all the time.  I feel so strange trying to come off due to the dizziness and strange feeling that keeps passing through my body which is horrible and causing  a lot of anxiety now.  I feel so strange in my self.",Liz
2,Clonidine,Perimenopausal Symptoms,,Taken for less than 1 month,"November 11, 2021",0,"After the first dose Clonidine worked for me.  I had to up the dose a little, but then no more hot flushes.  I also have to mention that I was on Lyrica 300 mg twice a day and started titrating down.  When I was finally off the Lyrica is when the hot flashes started.  I was on Lyrica for something else and I didn't know I was having hot flashes as Lyrica is one of the meds that they give you for hot flushes.  I went back on the Lyrica and had to go right back up to my regular dose and I was still having hot flushes.  Then I started Clonidine.  Wow.  Took everything away.  I can drink or eat hot or spicy foods without fear of a HF.  I can even soak in a hot bath again.  My hope is that I might be able to titrate down the Lyrica again as far as I can go if the Clonidine will work as well without the Lyrica.",Misty
3,Clonidine,Perimenopausal Symptoms,2.0,Taken for 1 to 6 months,"September 17, 2021",1,I started off 4 months ago taking one 25m tab in the morning and one in the evening. I am now on 4 morning and evening and two midday and still getting hot flushes. I think it's time the Dr had a rethink and tried me on other medication.,Missy
4,Clonidine,Perimenopausal Symptoms,8.0,Taken for less than 1 month,"April 6, 2021",16,Taken out of work for what Dr called fatigue but spent a lot of time feeling down and crying. Ended up going through surgery for female issues which bought on very bothersome menopausal symptoms and worsening what appeared to be turning into depression and anxiety. Dr had given me clonidine to treat hot flashes but I began to notice that I didn’t feel as anxious or moody anymore. I even was able to get good sleep at night. My thoughts no longer seem to run away with me!,Terry
5,Clonidine,Perimenopausal Symptoms,3.0,Taken for 1 to 2 years,"March 2, 2021",1,I have been taking clonidine for 2 years I'm 55 and my doctor has put me on HRT yesterday but I've stopped the clonidine and I'm scared that I have stopped has I have read you shouldn't stop taking them suddenly,Shaunala
6,Clonidine,Perimenopausal Symptoms,10.0,Taken for less than 1 month,"February 9, 2021",8,I started with perimenopausal  symptoms late last year but didn't realize that I was going into menopause.   Only last month did I realize that it was menopause and it become worse.  The sweating was unbareable coupled with severe headaches.   My pharmacist suggested I use menograin (a brand of clonidine) and my sweating has subsided tremendously.   Great product,Vani
7,Clonidine,Perimenopausal Symptoms,10.0,,"November 19, 2020",14,"I was put into medical menopause due to cancer. The night sweats were absolutely horrible, and I was having issues falling asleep. And if I did, it was only for 3 hours broken up, throughout the night. I went to see my regular dr multiple times and was put on several prescriptions for the hot and night flashes - nothing worked. I then called my GYN dr and he prescribed me Clonidine HCL 0.1mg Tabs. I was to take 1 tablet at night daily for the first 2 weeks, then increase to 2 tabs.  I have been taking 1 tab at night for 3 weeks now, and have been sleeping without night sweats. I was only on them for 1 week before I noticed a change. HOWEVER, I did not increase my dose to 2 tabs because 1 tab is working well for me. If this stops happening, then I will increase to 2 tabs, but for now, 1 is doing the trick, and I am so happy and back to my normal self.  I have not noticed any side-affects at all.",Amber
8,Clonidine,Perimenopausal Symptoms,5.0,Taken for less than 1 month,"September 24, 2020",5,"I took this clonidine for 3 weeks, work well for hot flashes but side effects were so hard on me - blurry eyes , numbness of finger.  Than I stopped taking it. I start yoga LADIES plz plz do yoga it work amazing on  hot flashes. i am back in my life .",nichi
9,Clonidine,Perimenopausal Symptoms,10.0,Taken for less than 1 month,"August 23, 2020",76,"I was having hot flashes between 30 and 50 per day. I was miserable, they came with a sense of doom,  it was impossible to be social, and work was a nightmare. I was bringing 4 changes of clothes with me. So embarrassing. I started clonidine, .025 x 4 per day, and I'm only 3 days in, but the hot have flashes practically ceased. I've only had 2 in the last 24 hours! I'm not sure what the future holds, but I'm so grateful right now to have some relief. It's worth a shot ladies, if you're suffering.",Anonymous
