,drug,condition,rating,duration,review_date,upvotes,review,username
0,Gabapentin,Postherpetic Neuralgia,10.0,Taken for 6 months to 1 year,"December 18, 2021",0,"I am a 74 year old woman and I got shingles in Feb. of 2021. Mine started as excruciating pain in my forehead, as if a horn was trying to push through my skull. Two trips to the ER before the lesions came out and I was diagnosed. I now have PHN and was initially given OxyContin, but while it helped minimally I was afraid of becoming addicted. I called my doctor again and asked to be put on something non-addictive. She prescribed gabapentin in 100 mg 3 times a day. No relief. She upped me to 300 MG 3 times a day. No relief. Finally I was put on 600 MG 4 times a day, so 2400 a day total. Finally I can say I'm pain free! My pain has changed to extreme itching now though, but the gabapentin takes care of that also. I've been on it for 11 months, and there doesn't seem to be an end in sight. But at least I can live normally with this miracle drug. The only minimal side effect is I get drowsy about a 1/2 hour after taking it, but nothing serious. Also occasional word lapse. Miracle drug!",June
1,Gabapentin,Postherpetic Neuralgia,,,"February 16, 2021",3,"Dr put me on gabapentin 100mg, one capsule three times a day, after 2nd pill the pain stops, worked great for 4 days, then pain returned. What to do?",Jawbo
2,Gabapentin,Postherpetic Neuralgia,10.0,Taken for 1 to 2 years,"September 13, 2020",16,"Gralise (gabapentin):My issues are Fibromyalgia, Neuropathy, herniated and bulging disks, spinal stenosis, Tinnitus. I started off on Lyrica about 10 yrs ago from my Neurologist - it didn't help.  Finally I was put on Gabapentin for 3 years - still no change.  So finally Spine specialist switched me to Gralise 600 mg - 3 with dinner.  I couldn't believe it!!!  Something that finally worked so wonderfully!!!!  It even seems to help the Tinnitus which can drive a person insane!!!!",FLash
3,Gabapentin,Postherpetic Neuralgia,4.0,Taken for 1 to 2 years,"July 25, 2020",9,Neurontin (gabapentin):After  having severe and painful shingles I am now on Neurontin 600 mg/day and my pain is as it was at the very beginning.,michael
4,Gabapentin,Postherpetic Neuralgia,2.0,Taken for less than 1 month,"June 10, 2020",7,"I was prescribed Gabapentin at the lowest dose of 200mg a day, and increased the dosage all the way to 800-900mg a day but still felt no relief for my post viral neuropathy.It seemed to provide me pain relief for the first hour, but it didn’t do much afterwards.I am currently trying Cymbalta right now.Good luck to all trying out Gabapentin :)",Lisa11
5,Gabapentin,Postherpetic Neuralgia,10.0,Taken for 2 to 5 years,"June 7, 2020",32,"Neurontin (gabapentin):Due to a loss of oxygen to my brain (hypoxia) and 2 minor strokes I have no feeling in my feet.  My hands have some feeling, but only about 40%.  Hands hurt really bad.  Using Neurontin for 4 years.  Pain is almost gone.  I can flex my fingers.  I take a high dose as I also have chronic neck and back pain.  800 mg 3x a day.  I have had no side effects whatsoever.  Very safe and effective.",Ajay
6,Gabapentin,Postherpetic Neuralgia,10.0,Taken for 5 to 10 years,"September 18, 2019",35,"Neurontin (gabapentin):I had an accident and broke my leg in half and had to be life flighted to Pittsburgh hospital.  I live in West Virginia. They wanted to amputate my leg but I said no and ended up with 15 surgeries and 20 pins. I am disabled due to it but I have my leg. The pain was the worst I have ever felt. I was on oxycontin  40 MG 3 x day with 30 MG oxycodone 8 x daily instant release tabs,with neurontin as well. But as I was wean down on pain meds I was left with neurontin. I have severe nerve damage to my whole leg. I'm on two 400 MG tabs 3 x daily. So 2400 MG total daily. I will be on for rest of my life. It is made my life so much better.  I can walk without pain but sleep is rough with nite terror for me. But short of that I would recommend it for nerve damage. It helps me function mentally as well. It's great!",Steamroller
7,Gabapentin,Postherpetic Neuralgia,7.0,Taken for 1 to 6 months,"May 12, 2019",37,"I was given gabapentin  for shingles nerve pain.  If I take 100 mg I go to sleep.  I only take 50 mg a day.  Everybody is different on this drug, and if you are having side effects, and a doctor is telling you to keep taking it...I would either lower the dosage and or get a second opinion.  Too many drugs are given out at a dose that somebody said is the norm.  Well, we are each unique.  If you are ever uncomfortable or having bad side effects I would read up on the drug, and talk to you doc again, and....in the end, only you know exactly how you feel.  If side effects are not getting better, not going away, and they are interfering too much in your life, not the correct drug or dose for you.",Cindy
8,Gabapentin,Postherpetic Neuralgia,,Taken for less than 1 month,"December 7, 2018",17,"Was given medicine for itching due to shingles. Within 3 days of taking it developed sore throat then coughing, runny nose and sneezing. Doctor claimed it was not from medicine but these side effects are listed. Very miserable to deal with pain of shingles and then this.",Ncgirl
9,Gabapentin,Postherpetic Neuralgia,5.0,Taken for less than 1 month,"May 22, 2018",21,"Prescribed for nerve pain due to shingles attack. The C5 C6 nerve branch is what this first (and I pray last) attack of shingles is following. The pain is indescribable! I haven't slept much in the last two weeks. I was told this needs to build up in your system before full advantage is realized. I am still waiting!! I added extra strength Tylenol to mix but true relief hasn't come!! For nerve pain due to shingles, I must say---thumbs down!",pj
