,drug,condition,rating,duration,review_date,upvotes,review,username
0,Sertraline,Postpartum Depression,9,Taken for 1 to 6 months,"March 8, 2022",1,"Zoloft (sertraline):I started having panic attacks 3.5 months postpartum. I had a difficult time finding a trigger (probably hormonal shifts) so it was hard to be able to avoid. My doctor gave me a prescription for hydroxyzine to use as needed until the Zoloft kicked in and Zoloft. I did not want to start the Zoloft. I was super-concerned about having to be on it forever and I am also breastfeeding and worried about transfer to baby. I tried to just use the hydroxyzine, but it did not stop them, it just calmed me down after they had started and I started getting anxious about the next panic attack. I was super-worried about being emotionally blunted as well as not being able to perform at a high level (have a demanding, technical job). I have been taking for a little over 6 weeks and it is a game-changer. I haven't had a panic attack since I started taking it. It doesn't eliminate anxiety, it just dampens it. If you are debating taking, don't. Just take the meds. You will be happy you did.",genomescientist
1,Sertraline,Postpartum Depression,10,Taken for 1 to 6 months,"February 22, 2022",4,"Zoloft (sertraline):Take this med!!!!! I promised myself I would come review this if it worked and wow does it work! I never realized how much I sabotaged my life before because of the anxiety I had on a daily basis.  Anxiety had become a normal feeling for me.  I had some severe postpartum depression that set in about 7-8 weeks post baby. I had lost interest  in everything, couldn’t connect with my baby, couldn’t sleep, was just wishing away time.  I decided to see a psychiatrist and she prescribed Zoloft.  I expressed my fear for this medication and she made me a plan to start at 12.5 mg until I could move on gradually to 50 mg.  The first week was tough.  My brain felt heavy, I had insomnia, was tired…. But after the first week all side effects disappeared.  I'm one month in and I am living life again.  I’m enjoying everything, I am no longer anxious, I’m sleeping, I am enjoying motherhood, I am just a brand new person.  Wish I had taken this medication years ago.",Mari
2,Sertraline,Postpartum Depression,8,Taken for 6 months to 1 year,"February 7, 2022",1,"I’ve dealt with anxiety and depression since I was little. I’ve always been sensitive. I cried easily. I started experiencing anxiety in the 8th grade when I was stressed really bad. Ever since I had anxiety but it was every blue moon. I knew my triggers so I was ok with it. I had my son at the end of 2020 and my anxiety got worst and I was in and out of the hospital. I was so hard headed because I didn't wanna take medicine because I felt like I could get through it. I felt like I was crazy. I got angry, cried, couldn't sleep, I was loosing my mind! I finally told my self you need rest! And I started taking the medicine and after 2 weeks I’ve been good! I can enjoy my baby boy and my boyfriend. I still cry a little and having anxiety but its not as bad as it was before. Sertraline helped me a lot! I'm thinking about getting into therapy and taking a lower dose because I'm at 100mg and I wanna be able to go lower so my anxiety and depression won't get bad!",tianne_love15
3,Sertraline,Postpartum Depression,8,Taken for 1 to 6 months,"February 3, 2022",1,"If you are reading this I would like to tell you there is hope. It has been 5 months since I have started on this medication. I had a baby in Feb 21 and 6 weeks later it all started. I became agitated, restless, fidgety, constantly crying for no reason and feeling extremely anxious. I wasn’t coping with myself but I was trying to keep it undercover so that no one around me know what I was going through. I had so much pressure feeling in my head that it came to a point that I couldn’t remember stuff or concentrate. I went though so much mentally. My health visitor advised me to speak to gp and I didn’t want to go on medication. I started sertraline 6 months after going all though this and it is the best decision I made, I wish I took it as sooner. I didn’t think I would be able to back to work but I have returned to work. Side effects were horrific for 8 weeks at least if not longer. 5 months on I feel like me. Feel as thought I am ready to slowly wean off.",Nelly123
4,Sertraline,Postpartum Depression,10,Taken for 1 to 6 months,"January 17, 2022",9,"Zoloft (sertraline):With my second child, I started experiencing severe anxiety about the three week mark post partum. At first I thought it was the baby blues, but quickly realized something was wrong. I didn't feel like this after the birth of my first child. The anxiety got more and more intense and then the depression kicked in. I wasn't sleeping and I felt like I regretted my decision to have a second child. I wasn't bonding with her and I felt like I just needed to disappear and escape. It was a very scary feeling I immediately called the doctor around 4 weeks post partum after staying awake for 48 hours unable to sleep ( even though baby was sleeping). She prescribed me 50 mg of Zoloft immediately. The first week the anxiety was more intense (but that's common). By week 3 I felt almost normal again, and by week 6 I felt like myself. I started bonding with my baby (now 5 months and obsessed with her). This medication saved me. Please don't hesitate/ wait. You will be okay and feel like you again.",Amanda
5,Sertraline,Postpartum Depression,9,Taken for less than 1 month,"January 4, 2022",2,"I started on zoloft 4 weeks ago start for 7 days on 12.5 mg then upped to 25mg for 3 weeks and now I'm on 50 mg for postpartum depression , anxiety , PTSD and somatisation disorder its helping some how and the side effects diarrhea and mild headaches now its getting better and I'm waiting for more  improvements . Give it a try",Bibi
6,Sertraline,Postpartum Depression,10,Taken for 1 to 6 months,"October 21, 2021",12,"Zoloft (sertraline):I was terrified to start this medication, but I knew I needed it. It took me a few months to muster up the courage to take the first pill. After I had my baby I had intense anxiety, intrusive thoughts, depression and rage. Everything would annoy me so, so much. I lived like this for months and it was ruining my relationship with my husband. I called my doctor and said I needed help I didn’t feel like myself. I am on 25 mg and it took 2 months for me to feel the full effects... I was doubtful it would work at first. So glad I feel like myself again, I want to cry with happiness because I haven’t felt like this in so long. Please, if you are suffering don’t be afraid to try this medication. I believe it saved me and my marriage.",Luna
7,Sertraline,Postpartum Depression,10,Taken for 1 to 6 months,"October 12, 2021",1,"Echoing other reviews on here, I started to get PND around 8 weeks after my 2nd child was born. I felt irritable constantly, snappy with my older child, I had very irrational behaviour, I’d come up with scenarios in my head and think they were real, I wasn’t enjoying being a mum (something I’d always enjoyed before) and I didn’t feel like I wanted to live my life anymore (I wasn’t suicidal but I just wanted to disappear far away somewhere away from my family) Since starting Zoloft/Setraline I honestly can had on heart say I feel so much better. Not high or elated but I feel like myself! Which is exactly what I wanted. I’m calmer, have more patience, I don’t wake up in the morning hating my life and I am enjoying being around my children and partner again. I feel like my temper is under control and I can process things more easily without going 0-100. I would definitely recommend this antidepressant and it’s something I will certainly be continuing with",Sophie
8,Sertraline,Postpartum Depression,1,Taken for less than 1 month,"September 20, 2021",0,Ladies if you are reading this I hope you aren’t in as dark of a place as I was from this medication. This made my anxiety/depression go into a severe panic state. Luckily my OBGYN helped me (my regular doctor prescribed me the sertraline) ask about trintillex and Resperidal (it’s called an anti psychotic but in low does helps tremendously with anxiety) Us mommas can’t afford medications to make things worse before it gets better Trintillex is an anti depressant which used with the resperidol took the anxiety away by THE NEXT DAY!! Good luck people anxiety/depression goes hand in hand and is no joke but it does get better,Anonymous
9,Sertraline,Postpartum Depression,10,Taken for 6 months to 1 year,"August 26, 2021",7,"Zoloft (sertraline):I should’ve been on this for years. It saved me from postpartum anxiety, intrusive thought loops, and crushing depression. I didn’t realize how bad my sleeping habits were due to depression until I started treating myself with Zoloft. My anxiety is completely manageable now and the thought loops have stopped.",Anxious Mama
