,drug,condition,rating,duration,review_date,upvotes,review,username
0,Eliquis,Prevention of Thromboembolism in Atrial Fibrillation,10.0,,"February 14, 2022",1,"In 2018, I had awful experiences (side effects) with competitive blood thinner, Xarelto.  In early February 2022, my Cardiologist prescribed Eliquis.  What a difference! Even though twice the co-pay, absolutely worth the extra out-of-pocket expense.",A Godsend
1,Eliquis,Prevention of Thromboembolism in Atrial Fibrillation,10.0,Taken for 1 to 2 years,"December 10, 2021",1,"I was diagnosed with aFib 2 years ago. Initially, my primary care physician prescribed eliquis. Initially, I said, I'm not taking that. When I researched it and what it prevents decided to. The cardiologist who performed the cardioversion told me that I can go off of it 9 months after the procedure but she said most people decide to stay on it. I'm 68 and Eliquis is the ONLY drug I take. I take 5mg twice per day.  I have no ill effects from it. The aFib has not returned. I do have vein issues in my legs and that is another reason I'm staying on it.",Bob
2,Eliquis,Prevention of Thromboembolism in Atrial Fibrillation,1.0,Taken for 5 to 10 years,"September 3, 2021",12,"I've been on Eliquis for more than 5 years [5mg twice a fay]. Worst medication devised by mankind!  From bruises to discolored skin, and painful skin to the touch.  If anyone including myself touches my skin, it causes me pain. My cardiologist says the benefits outweigh the side effects. Maybe he'll end up on it some day, and then if I'm still alive he can get in touch with me with his experiences.",Reverend
3,Eliquis,Prevention of Thromboembolism in Atrial Fibrillation,9.0,Taken for less than 1 month,"August 13, 2021",2,Just started and so far not bad. However this medicine company is all about making money. Overly priced and it's said because most insurance company's only cover a small portion of them cost. The average before deductible is 560 dollars for 30 2.5 milligrams pills. It's really not right how they hold your life hostage to get rich. You will lose your house after paying for this medicine. So many people are complaining about the price yet they still hold your life in their hand.,Mike lowry
4,Eliquis,Prevention of Thromboembolism in Atrial Fibrillation,1.0,Taken for less than 1 month,"August 9, 2021",5,I had a TIA in October 2020 and was diagnosed with Atrial fibrillation. I was prescribed Clopidogrel and 60mg Lixiana an anticoagulant. Ended up in A&E with severe vaginal bleeding. Am now on 5mg of Eliquis twice per day (no clopidogrel) and again after 2 weeks experienced heavy bleeding and ended up in hospital for 3 days having saline drip to 'irrigate' my bladder until my urine ran clear. Have not been fortunate to see a cardiologist (he has a waiting list of 38 weeks) but was under care of urologist in hospital.My GP insists taking Eliquis is preventing me from having a stroke or heart attack. But I am frightened of these  severe side effects and fear a cranial bleed . Feel tired and listless and as a formerly fit 74 year old now have no energy and trouble walking far. Am between a rock and hard place and think this drug is lethal and not fully understood by the medics. There must be an alternative as life is not worth living like this.,Jamie
5,Eliquis,Prevention of Thromboembolism in Atrial Fibrillation,6.0,Taken for 1 to 6 months,"July 29, 2021",2,"First dose Eliquis  Mar 25, final covid injection April 22, heart ablation May 6, then May 12 I could not walk. Have all symptoms mentioned in reviews I have read. The pain in the feet was unbelievable , bedridden for almost 4 months, spent 3 days in ER test after test, all come back clear .",Bubba
6,Eliquis,Prevention of Thromboembolism in Atrial Fibrillation,1.0,Taken for 6 months to 1 year,"July 22, 2021",2,Suppose to be the better blood thinner I think warfarin is way better. The bruising and potential lethal side effects are incredible vs warf,RMC
7,Eliquis,Prevention of Thromboembolism in Atrial Fibrillation,4.0,Taken for 1 to 6 months,"July 20, 2021",17,While on this I developed gastrointestinal problems which my gastroenterologist put me on 35 mg pepcid at night it stopped then.  Next my ankles became swollen. my big toe swollen and hurt.  I felt bad every am.   I decided to cut my dose in half am and pm.  I found myself feeling good again and wondered what it was then it dawned on me I couldn't take 5 mg twice a day of eliquis.  Feel so much better,Ellie
8,Eliquis,Prevention of Thromboembolism in Atrial Fibrillation,10.0,Taken for 1 to 2 years,"July 9, 2021",19,I have been on Eliquis (5mg x 2 a day) for 14 months due to an A-fib diagnosis and so far have not experienced any adverse side effects. While on Eliquis I did notice that when I cut myself shaving that I bleed less than when I was previously on a 325 mg aspirin.,pbaehnman
9,Eliquis,Prevention of Thromboembolism in Atrial Fibrillation,10.0,Taken for 5 to 10 years,"April 4, 2021",22,"I am now 76 and I have had Atrial Fibrillation since 2006. In 2007 I got Apocard (Flecainide) 250 mg and Asaflow 160 mg, then 80 mg until 2012-2013 when I got a gastritis largely because of the Asaflow (practically Aspirin). Since 2013 I am on Eliquis 5 mg twice a day. From day one I had no adverse effects whatsoever. In the meantime I also had an ablation which really produced wonders: I reduced the Apocard to the minimum dose of 100mg and hardly get any palpitations anymore. I take large daily doses of magnesium (400-500 mg) with Vitamine B6. On days when predisposition to palpitations is higher I also take Calmday 5 mg one or twice. Other days I take Valium 10 mg (at night time).",Dan L
