,drug,condition,rating,duration,review_date,upvotes,review,username
0,Lupron Depot,Prostate Cancer,5.0,Taken for 1 to 6 months,"January 15, 2022",0,"76 yrs. white male. PSA 200. Cancer spread to back and shoulders ( according to PET scan). Got the 6 month injection. No pre advice, oral or otherwise. Been 1 month so far. Side effects minimal, hot flashes, etc. So far so good but it’s still early. I attribute many of the negative effects discussed here by others as merely attributable to their ageing. I'm not having anger problems or lack of sex drive that I can’t pin on simply being an old man. I find many of these reviews based on lack of objectiveness. Let’s see what I say in two more months. As far as the doctors prognosis, I believe they are helpless against PC and reckless with others lives. They will get old too.",Doberman Den
1,Lupron Depot,Prostate Cancer,,,"August 19, 2021",2,"Have had lymphoma for many years from Agent Orange exposure in Vietnam.  Had exam and PSA test annually until I was 75 and doc says you have prostate the size of 15 year old and PSA is normal, so you don’t need to come back.  Now 80 and PC metastasized to lymph nodes in neck.  PC is also related to Agent Orange.  Started with 30-days of Casodex and 90-days of Lupron.  PSA went from 75.5 to 0.06.  Lupron side effects not too bad, but seem to be getting worse as I approach next injection in a couple of days.  I’m hoping to switch to a mCSPC (castration sensitive) medicine, instead of the Lupron, which is mCRPC (castration resistant).",Dave
2,Lupron Depot,Prostate Cancer,8.0,Taken for 6 months to 1 year,"July 11, 2021",6,"I have been on lupron for 6 months (2 of the three month injections). This drug is very effective in slowing the prostate cancer growth. Testosterone is the fuel for PC. My testosterone level went from 840 to 11 in three weeks after my first injection!  However, there surely are side-effects. Mine are: 1. Fatigue and low energy with breathlessness upon exercise. 2. Hot flashes 3. low red blood cell count (anemia). 4. Lack of sexual desire and unable to perform. 5. Shrunken testicles and penis. The side-effects are frustrating...but you can tough them out. God has given me strength, and without my faith...this would be much tougher. My wife has been an angel with her constant support. Goodluck!",duckman
3,Lupron Depot,Prostate Cancer,8.0,,"July 10, 2021",5,"I'm 57 and diagnosed in Apr with tumor confined in one lobe only, a Gleason of 7 (3+4), and a PSA of 9.22.  I received a 4 month, (30mg) injection on May 19 and started radiation on June 21.  As of this writing I'm into my 8th week on this drug.So far my side effects have been minimal with very mild hot flashes, (about 2-3 times a day but very subtle), loss of sex drive and some ED at this point.  I get about 6-7hrs decent sleep a night, haven't had to get up to pee in the middle of the night much, no vision, confusion, brain fog issues, ect as others describe but I'm not long term therapy either.  Doc said the 'kick-in' with side effects is typically at the 3 week point so, so far, I'm doing pretty well. Doc says I should regain most, if not all, my ED function when the drug wears off after the 4 month time frame.  A definitive change in my diet and exercise has also helped a great deal with limiting my side effects.  Hope this helps anyone in similar circumstances.",Dufrain
4,Lupron Depot,Prostate Cancer,7.0,Taken for 1 to 2 years,"March 27, 2021",10,"Had a prostatectomy in Oct. 2019 and PSA rose in April 2020. Took bicaltumide pills and a lupron injection in Aug 2020. second injection in Jan 2021. The next injection is May 2021.  My side effects are mostly really bad hot flashes day and night, extra fat around waist, got the mood thing going. My wife said I should talk to doc before next dose. I also got an inguinal hernia after surgery . It is a hard drug to live with but at 71 years old I'll take every day. I see the doc next month for a checkup after a blood test. I also had 39 radiation visits in Jan 2021.  I hope my PSS is still around 0.034 due to lupron. I have to take a total of 5 injections which have been every 4 months.    Good luck to people who have to take this route.",surferman
5,Lupron Depot,Prostate Cancer,1.0,Taken for 1 to 2 years,"March 6, 2021",28,"I completely agree with Rob, if i had have known the consequences of taking this drug, I would probably done the same as him. It takes away everything that being a man is.He does not however mention the sex word, from my first injection 5 years ago there has not been any, plenty of everything else that he states but no kind of love making. Probably he did not take enough to cause e/d, if not good on him.Not enough information is given to us about the FULL effects of this drug, men are not made to live a good QOL without testosterone, because after you have been castrated that is it. As far as I can tell very few men have good sex and real happiness after having the drug.",geezer46
6,Lupron Depot,Prostate Cancer,7.0,Taken for 1 to 2 years,"July 24, 2020",16,Taking Lupron injections for 7 months out scheduled 18 months for Prostate Cancer. Experiencing common side effects like the hot flashes weight gain reduction in size of testicles. Completed 28 treatments of radiation this past May. Taking injections in the buttocks every 3 months. Injections are not bad. A little soreness for a couple of days. The side effects are manageable so far.,Tony
7,Lupron Depot,Prostate Cancer,9.0,Taken for 6 months to 1 year,"April 9, 2020",24,"I’m a 66 yo male who was diagnosed with moderately aggressive prostate cancer with Gleason score of 8 and PSA of 7.2. I’ve had 2 Lupron injections which have caused the following side effects: a chemical smell, muscle weakness, hot flashes, fatigue, PSA - <.01, insomnia, anemia, decreased leukocytes, decrease size of penis and testicles, bone pain in back and sacrum. I have one more shot  in July. I was taking Zytiga for a while.",Woody
8,Lupron Depot,Prostate Cancer,8.0,,"January 10, 2020",24,"69 years old. Had seed implants 16 years ago . PSA slowly creeped up and due to an incompetent doctor, it spread to my spine before getting any treatment...Thankfully , I made a visit to another MD and got 1st class care.I just had my 2nd Lupron injection (3 month interval). No side effects other than mild hot flashes. I keep a strenuous exercise program in place and I thinks that helps a great deal . On Zuniga  also. PSA  down to .50 from high of 17",bluechip56
9,Lupron Depot,Prostate Cancer,,Taken for 1 to 2 years,"October 28, 2019",30,"On lupron beginning July 2017. Now 2019 and still on 3 month dose. I experience all the known side affects and it is not much fun.  I am 66 years old and have advanced prostate cancer stage 3. My PSA undetectable since surgery and 40 radiation treatments. Hot flashes, weight gain, fatigue, tingle in feet, itching, impotence and bone aches. PSA is still undetectable...going off lupron in May 2020...we will see what happens then.",Marcus
