,drug,condition,rating,duration,review_date,upvotes,review,username
0,Sulfamethoxazole and trimethoprim,Prostatitis,7,Taken for 1 to 6 months,"November 4, 2021",0,"In situations where Levofloxacin and Cefaclor are not available, this drug is a good substitute for prostatitis.",none
1,Sulfamethoxazole and trimethoprim,Prostatitis,1,Taken for less than 1 month,"October 24, 2021",0,"Bactrim (sulfamethoxazole / trimethoprim):I developed a case of prostatitis. Was given Bactrim and told to take 2 pills for 30 days. After about day 3 or 4, I started getting flank pain. I called the doc and he said Bactrim won't cause that. Maybe I have a stone forming. Did some research online and found that Bactrim is not recommended for people with kidney issues. It can cause them to shut down. I'm currently out of town, 5 hours from home, and in quite a bit of pain. I plan to head home in the morning without taking my morning dose and go straight to the hospital.",Warning
2,Sulfamethoxazole and trimethoprim,Prostatitis,2,Taken for less than 1 month,"October 2, 2021",0,Bactrim (sulfamethoxazole / trimethoprim):Was prescribed bactrim 2x/day for 30 days for prostatitis symptoms.First day fine but by third day throbbing neck pain that aspirin or tylenol didn't take care of. No excessive leaning forward or sleeping on my stomach to crank the neck so I believe it was from the drug. Little bit of nausea and anxiety at the same time.Hard to say if it did much for my prostate because by the time I started I was 70% better from my initial doctor visit.,Meme
3,Sulfamethoxazole and trimethoprim,Prostatitis,3,Taken for less than 1 month,"August 25, 2021",1,"Bactrim (sulfamethoxazole / trimethoprim):I went to the doctor for Prostatitis and was RX Bactrim (sulfamethoxazole).  Some background, I have high functioning anxiety and decided to write this review while I wait for my DR to call me back about changing ABX.  These other reviews are 100% accurate about severe anxiety (heart rate over 90 BPM 24/7), headaches, loss of appetite, and nausea....nothing better than throwing up stomach bile because you can't eat.  I thought I had COVID but tested negative...On the bright side, after 3 days my prostatitis went away, I guess it's a double edge sword.",scarypay90
4,Sulfamethoxazole and trimethoprim,Prostatitis,7,Taken for less than 1 month,"March 30, 2021",0,Started twice daily. Plan was for 50 days. Was getting sick after 5 days. Figured my body would sort it out and deal with it. At 12 days uncontrollable diarhea and too sick to move out of bed. Even uncontrollable diarrhea in bed. Stopped it 15 hours ago. Feel slightly better. Now to research the next horrible drug.  It actually did help the prostate problems somewhat. Wish I could have stayed on it. God knows I tried.,Sick as a dog
5,Sulfamethoxazole and trimethoprim,Prostatitis,1,Taken for less than 1 month,"February 28, 2021",1,Ok so went to the doc cause I was having some funny pains down stairs Told me he thought it might be some kind of infection prescribed sulpha and off. I went not thinking much of it at all after 3 days I told my wife I didn’t feel rite was shaky had no appetite nothing tasted good I couldn’t sleep had severe anxiety that I’ve never experienced before with two hard core panic attacks and I also had some thoughts of suicide especially on New Year’s Day. My last dose was Dec 4 and I dealt with the side effects till early February and for 3 to 4 weeks my body felt like it was poisoned I don’t know if this medicine even helped cause everything else was so bad it took my attention away from the pain,Jbad
6,Sulfamethoxazole and trimethoprim,Prostatitis,10,Taken for 6 months to 1 year,"December 24, 2020",9,"Bactrim works great for me when I have prostatitis, no side effects. Clears infection fast.",kenny
7,Sulfamethoxazole and trimethoprim,Prostatitis,7,Taken for 1 to 6 months,"December 17, 2020",0,"SMZ-TMP DS (sulfamethoxazole / trimethoprim):24 yo Male, No side effect symptoms on this, while I had moderate symptoms with Doxy. While it did not completely clear up the main issue (yet, still have about 5 days left on it out of a 45 day supply), it did help",AM
8,Sulfamethoxazole and trimethoprim,Prostatitis,8,Taken for 1 to 6 months,"September 17, 2020",1,"I was prescribed SIX WEEKS treatment of Bactrim for prostatitis.  (The additional two drugs intended to treat the urination issues were so terrible that I stopped them after a few days).  My symptoms improved dramatically by the second week of Bactrim, but I was experiencing the headaches, which were manageable.Worse were the gastrointestinal problems. I was familiar with these from Augmentin, but they are common with all broad-spectrum antibiotics.  Fortunately, it occurred to me to take PRObiotics to restore the GOOD bacteria in the gut that the ANTIbiotics were killing.  This has eliminated the diarrhea. In retrospect, I probably should have tried the Urologist's suggestion of Levaquin, but I had had a reaction to it years ago, and I didn't want to try that again.",dogtags40i a
9,Sulfamethoxazole and trimethoprim,Prostatitis,3,Taken for less than 1 month,"June 30, 2020",13,"Bactrim (sulfamethoxazole / trimethoprim):Took Bactrim forte for prostatitis 2x a day, at the beginning I just had a mild itch but by day 5 my eyes became red and started seeing floaters in my vision, at this point I had to stop. Be careful with this drug .",Dan
