,drug,condition,rating,duration,review_date,upvotes,review,username
0,Ropinirole,Restless Legs Syndrome,8.0,Taken for 2 to 5 years,"March 5, 2022",0,I have been taking this med for 4 years. It use to work a lot better than it does now. I did end up with Parkinson's but my restless leg is worse. I think I may be asking my Dr to change my medication.,Sheree B
1,Ropinirole,Restless Legs Syndrome,1.0,Taken for less than 1 month,"March 3, 2022",0,0.5 mg tablet made my legs really go crazy at bedtime. Did not work for  me.,Nancy
2,Ropinirole,Restless Legs Syndrome,9.0,,"December 15, 2021",0,Requip (ropinirole):It works! No restless leg symptoms during the night.,Lynnea Honn
3,Ropinirole,Restless Legs Syndrome,1.0,Taken for 1 to 2 years,"October 11, 2021",0,I was prescribed a lot of this drug for many years and I couldn't tell that it did anything at all for me.   As far as I could tell it was useless.  I didn't feel any difference between the nights I took it and the nights I forgot to take it.,It did not help
4,Ropinirole,Restless Legs Syndrome,2.0,Taken for 6 months to 1 year,"October 6, 2021",1,"After 6 months of suffering crippling panic attacks I realized that they were being caused by this medication. They would start every day at about noon, when the medication was fully out of my system. I think that my dopamine receptors were dependent on it, and without it they would cause me to experience extreme physical anxiety. It worked wonders for my Restless Leg, but it made the daytime hours unbearable!",Sleepy
5,Ropinirole,Restless Legs Syndrome,10.0,Taken for less than 1 month,"October 1, 2021",0,"I was apprehensive about using a drug primarily used for parkinsonism disease to treat my RLS. I persisted for years without any treatment.Years of poor sleep, unable to sleep in the same bed as my wife due to disturbing her. I feel emotional writing this, happy tears that I've found something which has made the condition effectively disappear as soon as I took it but sadness that I didn't do something sooner.This is a miracle drug, the side effects are worth battluig through whilst your body gets used to the drug. Bare with it.All aspects of my life have improved. My relationships, mood, relationships and performance in work.I know still have the condition but this drug has made the debilitating aspects of RLS disappear.Thank you Ropinrole, thank you so much!",Requip
6,Ropinirole,Restless Legs Syndrome,9.0,Taken for 1 to 6 months,"September 30, 2021",0,"I've been taking ropinirole for about 6 months. It's changed my life. I've had RLS to some degree since I was a child. I'm 46, and for the last 10 years prior to taking the drug I seldom slept for more than an hour at a time, getting up to do wall-sits, planks and pushups just to buy another hour of sleep.  I started with one .25 mg pill but added a second pill after the 3rd night and that did the trick. Ropinirole doesn't last me the whole night but getting 5 or 6 hours of uninterrupted sleep is still miraculous to me. So far as I can tell I've had no side effects except a little dizziness at night.  I feel like its effects are diminishing, so the doctor may up my dose soon.",LBJ
7,Ropinirole,Restless Legs Syndrome,8.0,Taken for 10 years or more,"September 27, 2021",0,"I have had restless legs since childhood.  When I first saw a TV commercial about requip I realized my condition had a name and it was the symptoms I had experienced.  I have taken ativan, neurontin for relief but ropinirole has been the most effective .",Anonymous
8,Ropinirole,Restless Legs Syndrome,9.0,Taken for 10 years or more,"September 18, 2021",1,"I have had RLS for over 40 years, I had no idea that my jerking legs were not just muscle spasms. Finally about 15 years ago while I was getting steroid injections for my back and hip due to severe pain. I have bursitis and arthritis of my back and hips. My spinal doctor when I told him about my restless legs he put me on Requip. I started out at .25mgs. I thought it a God send. I have had to have my dose increased. I take 6mgs. daily. I think I need another increase. I am having occasional bout. When I was married my husband would make me go outside and walk it off even in the snow. I felt like a fish out of water. I am well aware that every medication effects every one differently. I have never had an issue of weight gain, or any other side effects as I have read here. know what I am currently experiencing would be 100 times worse than what it is. However was one of the longest attacks I have 3 hours of torture.",GRAMMY
9,Ropinirole,Restless Legs Syndrome,3.0,Taken for 2 to 5 years,"August 21, 2021",0,I've had RLS for awhile now my doctor started me on pramipexole x 3 a day and that was not cutting it. So she had to put me on ropinirole also. I take both medications and I still have the jerks and wakes me up out of a dead sleep. I wish I could find something to stop them.,Trisha Burkhard
10,Ropinirole,Restless Legs Syndrome,10.0,Taken for 10 years or more,"August 10, 2021",0,I have suffered with Restless Legs along with Parkinson's Disease for 20 yrs and have been taking Ropinirole. My mother also suffered from restless legs for years.  I had know idea the suffering she endured without any medication.   Ropinirole has been totally working for me and I would not want to continue living without it.,Mrs. B
