,drug,condition,rating,duration,review_date,upvotes,review,username
0,Etanercept,Rheumatoid Arthritis,,Taken for less than 1 month,"March 4, 2022",1,Enbrel (etanercept):Is it possible to be feeling better after one dose. Pain and weakness almost gone. I don’t have to fight the stiffness in the morning.  Only concern is the low immunity side effect.,Anonymous
1,Etanercept,Rheumatoid Arthritis,2.0,Taken for 6 months to 1 year,"January 18, 2022",0,"Enbrel (etanercept):I am a former athlete and the onset of arthritis has been terrible for me.  Sulfasalazine  helped a lot but then I had to have a new rheumatologist due to retirement of the previous and she recommended Enbrel, informing me I could discontinue the Sulfasalazine.  This was a bad idea, substantial pain returned which was alleviated but starting the Sulfazine again.  I have no idea if this very expensive drug is worth the cost.",Anonymous
2,Etanercept,Rheumatoid Arthritis,1.0,Taken for 6 months to 1 year,"January 3, 2022",1,"Enbrel (etanercept):Lost my toe nails, body hair, my skin looks 20 years order than it is.  It ruined my mife",Elounda
3,Etanercept,Rheumatoid Arthritis,2.0,Taken for 10 years or more,"December 15, 2021",2,Enbrel (etanercept):Have been on Enbrel for at least 10 yrs +. Have been using the new mini Cartridge for about 2 months (did away with the 2 shot a week vial) I dread getting this shot once a week. Application is very easy to use but the medication going into the area is extremely painful. I use an ice pack up to 1/2 hr before use and it still hurts. Anyone else have this problem?,Mag
4,Etanercept,Rheumatoid Arthritis,9.0,Taken for 10 years or more,"November 17, 2021",1,"Enbrel (etanercept):I have been taking this med for over 16 years and it works great BUT the company has recently stop making the dosage you have to mix and have gone to prefilled syringes.  It sucks, the needles are horrible and it hurts to use this new kind.  I do not recommend this if you can take another route.  I am contemplating  changing to another medication.",vanellp
5,Etanercept,Rheumatoid Arthritis,5.0,Taken for 10 years or more,"November 12, 2021",2,"Enbrel (etanercept):I had used Enbrel for over 19 years and it has been effective at controlling my RA.  They recently have discontinued the reconstitutable form of the drug I had been using.  The new formulation, according to the company has a lower pH, which means a higher acidity and wow does it BURN after injection.  I had been delighted with the medication, but now the pain after injection is intolerable.  I am talking to my doctor about alternatives.",Jane
6,Etanercept,Rheumatoid Arthritis,10.0,,"September 10, 2021",1,"Enbrel (etanercept):I started out on Enbrel with Methotrexate. The Methotrexate made me feel sick. My Enbrel was increased to 50 MG twice a week . Since then I have been in remission. No need for methotrexate. Now, after 3 years of twice a week, my insurance will not cover that dose. Since when could insurance companies prescribe?  I am going to have to switch, and it is scary.",Anonymous
7,Etanercept,Rheumatoid Arthritis,9.0,Taken for 1 to 2 years,"August 30, 2021",0,Enbrel (etanercept):Is there a drug that you can take with Enbrel that would help besides Methotrexate? I love Enbrel and it has helped immensely but I was on Methotrexate and another drug and I had some bad side effects - now just on Enbrel but still pretty sore- any advice? Thanks Tracy,Anonymous
8,Etanercept,Rheumatoid Arthritis,,Taken for less than 1 month,"July 9, 2021",2,"Enbrel (etanercept):I have recently been diagnosed...is only in this day and age that we as patients reach out to our Doctors and tell them what medications we should be on because of an ad we saw on TV. My followup with the doctor is in one week when these decisions will be made. I have been watching pharmaceutical ads on TV much more closely these days. I will not ask my medical care provider to recommend  Enbrel. The ads as with many many other like minded ads for so many pharmaceuticals treating so many diseases or illnesses. Why should we as real patients with real diseases believe your ads full of ""actor portrayals"" telling us how much better they feel and how improved their quality of life is. If I want acting I will go to the movies. What would be so wrong with featuring actual patients on the actual medications telling us their true experiences?",Peeks
9,Etanercept,Rheumatoid Arthritis,7.0,Taken for 2 to 5 years,"May 12, 2021",25,Enbrel (etanercept):Do not start this drug if you are not wealthy or if you are near retirement. It did help me while I was working and had commercial insurance. Enbrel gave me copay assistance. However when I retired I was on Medicare and used tufts insurance for prescriptions. Enbrel is a specialty tier drug and the insurance pays 70% However that still leaves you with a $1700 copay which is crazy. Enbrel does not assist you if you're on medicare. Don't start this because then you have to be suddenly cut off and feeling in worse condition than before.,Candy
