,drug,condition,rating,duration,review_date,upvotes,review,username
0,Methotrexate,Rheumatoid Arthritis,1.0,Taken for 1 to 6 months,"December 27, 2021",0,"This drug has had devastating results for me and I found this drug so scary it should absolutely take off the market. After starting it, not more than two weeks of taking it, I noticed mental instability and immediately stopped. I was never warned about any related major medical complications. All I was told to watch for was psychosis which I’d told them had been an issue w similar drugs. I was never warned about lung toxicity, that RA patients can develop RA-ILA. At the moment I’m waiting to have one final chest CT to compare with one a month ago. I had reoccurring pulmonary complications where I’d been hospitalized, several ER visits. Never told about folic deficiency and even after I had poor liver function my physicians never mentioned that, my low blood cell count or the pulmonary complications being possibly related. Or the GI complications. And why would they? That would acknowledge their liability. I then was giving another med with some same related issues.",Jules021775
1,Methotrexate,Rheumatoid Arthritis,10.0,Taken for 1 to 6 months,"September 9, 2021",0,"53years old diagnosed in 2010 with RAPrior to taking this was taking Plaquenil 400mg and Prednisone 5mg daily. Had to discontinue the Plaquenil (5-2021) due to constant lower GI bleeding and diarrhea. I've been on MTX 25mg (6×2.5mg) once per week and it is helping. I had been in near constant flares after getting Covid (6-2021) and had so much pain and stiffness that I cried any time I had to move around. Now I only flare once maybe twice a week, or if I over do it. I do have some side effects, fatigue (up two days after dose) but a few short naps help, a little nausea (I found six smaller meals and saltines helped with it.) The biggest one I had was hair loss, during dose week three. My scalp got really itchy and felt really dry and tight, so I wet my hair thinking it was just dry and was just going to wash it after. Nope, about 50% of it fell out as soon as it was wet, which was a bit of a shock, but it's slowly growing back. Small prices to pay to be almost flare free and have mobility back.",Misa
2,Methotrexate,Rheumatoid Arthritis,3.0,Taken for 1 to 6 months,"September 4, 2021",0,"Methotrexate, 15 mg  injections, Helped tremendously with degeneration of joints,  stiffness and pain but has debilitating profound fatigue. I take 5 mg of folic acid a day and even have added post injection Leucovorin. With no reduction of fatigue, and brain fog/ short term memory loss. Taking  for several months along with prednisone and hydroxychlorquin, I am surprised the company, Pfizer, has not by now found something to help with this.",MDB
3,Methotrexate,Rheumatoid Arthritis,1.0,Taken for 1 to 2 years,"August 1, 2021",0,My husband was on this drug for about 18 months and it became the worst times of our life. We had been told it had minimal side effects but his depression became debilitating and the tiredness and hopelessness overwhelming. His health got worse and he ended up having to leave his job. Luckily when he stopped taking it he started to improve after two weeks. There was no serious withdrawal from it.,restrec
4,Methotrexate,Rheumatoid Arthritis,1.0,Taken for 6 months to 1 year,"July 19, 2021",0,This medication is TERRIBLE. I took it for RA and it made me a total emotional wreck. As soon as I took it I felt anxious and tired. Like someone ran me over with a truck. Stay away.,Karen O
5,Methotrexate,Rheumatoid Arthritis,10.0,Taken for 5 to 10 years,"July 13, 2021",3,"My Rheumatologist prescribed methotrexate for me and I had been on it for about 10 years.  It helped with less pain, and better movement of my joints.Then he moved and I got a new dr. he said it was just the weather, and I did not have arthritis at all, and stopped my pills.Then about 4-5 months later, joints started hurting, and now I have nodules in my hands, bone spurs in my knees, and hip pain too.I found a new dr. he has put me back on methotrexate and took x-rays of my joints, which the other dr never did labs or xrays, just said I looked like I didn't have arthritis.  Good to find a dr that helps. and one that listens",Susan
6,Methotrexate,Rheumatoid Arthritis,10.0,,"January 24, 2021",102,"Im on methotrexate 2.5 mg four pills 1x a week for around 5-6 years  for RA. I feel good when taking this medicine correctly and on time. I had got sick from taking too many antibiotics for urinary track infection and was told to stop taking methotrexate because I had to take a powerful medicine  to get my health back to normal and methotrexate may interact with that medicine. I went off for almost 1 1/2 months and RA kicked in bad, I was finished with the other medicine  so I went back on methotrexate and the RA subsided. My point is, this medication really does help and never just go off it because you don’t feel any pain anymore, and you think you are cured believe me it’s the medication that’s working, you are not cured you’ll always have  RA. I take mine once a week every Saturday and I feel great, if you skip a dose or 2 believe me ,you will know you skipped it, take it every week same day same time and you’ll feel as though you are cured , and I have had no side affects what so ever.",Ducky
7,Methotrexate,Rheumatoid Arthritis,8.0,Taken for 6 months to 1 year,"January 14, 2021",44,"Started methotrexate in April for RA, pain in hands, knees, hips, fingers and toes. Started on 7.5mg injections but didn't see any difference. Slowly progressed to 15 mg and I'm now just having odd pains here and there, mainly if I've overdone things. Started on folic acid 5mg ever day but it made me feel so ill, now only take it once a week which my rheumatologist is fine with and I feel absolutely fine. No adverse side effects from methotrexate either. Yes my hair is thinner but no so anyone notices, eyelashes a bit sparse now but still there. I was so apprehensive to try this drug but at 45 I didn't want it to progress to the stage where I couldn't live a normal life. I know it's not for everyone but for me it's really helped.",Mel
8,Methotrexate,Rheumatoid Arthritis,9.0,,"November 6, 2020",58,I have been on methotrexate for almost two months now for RA. I was petrified to take it but so glad I did now. I am feeling a lot better and I have NO side effects. Wishing you the best!,SwollenSue
9,Methotrexate,Rheumatoid Arthritis,1.0,,"November 4, 2020",19,"Hi all. Methotrexate - don't take it full stop.  Leflunimide - don't take that either!    I'm now about 38 kg Dr are hopeless and I feel like life is dissipating out of me in front of my children.  You can't help yourself on methotrexate as you don't know what you're doing.  It's like auto pilot,  surviving not living and your still in pain.  Better to eat no gluten no dairy no night shades.  Look up what causes inflammation.  Rest, eat well, make love, laugh, dance don't stress have good people around you.  Love yourself.  My daughter lost her first baby at birth two years ago.  Now her mum may go before her grandmother. So sad as I found a nice man, finally good people friends around me and isn't it the way.  Then you die at 46",christy
10,Methotrexate,Rheumatoid Arthritis,5.0,Taken for 1 to 6 months,"February 18, 2020",51,"Been on methotrexate for five months now.  It still makes me nauseous, and I hate continuing with these injections. I see my doctor in March.  If I have to continue with them, I'm going to ask for oral instead.  I still have a lot of pain in my hands, hips, back knees.  Everywhere.  Is this medication helping anybody?",Nana
