,drug,condition,rating,duration,review_date,upvotes,review,username
0,Mobic,Rheumatoid Arthritis,10,Taken for less than 1 month,"February 13, 2022",0,"This is a wonder drug. Having broken both of my ankles in my early 20’s, I am usually in a lot of pain. Especially now that I’m 36 and work in the service industry and am on my feet 13 hours at a time. Before mobic I would come home at night crying and unable to walk the arthritis was so bad. Nothing helped... not ibuprofen not lorcets not anything. My doctor prescribed me Mobic and all I can say is wow. Not only am I completely pain- free at the end of my shifts, my usually awful period cramps are now nonexistent. I was skeptical at first but if you have issues like info, I absolutely cannot recommend this stuff enough:",Gigi5406
1,Mobic,Rheumatoid Arthritis,8,,"December 13, 2020",9,"I have been on mobic about 18 months.  I didn’t think it was doing much till I ran out.  Then I realised, mobic has reduced my pain and morning stiffness substantially.  Very good and doesn’t bother my stomach.  I take it after meals in the evening with my plaquenil.  Also on plaquenil and prednisolone in the mornings.  Trying to get away without using methotrexate",Sue
2,Mobic,Rheumatoid Arthritis,2,Taken for 1 to 6 months,"April 27, 2020",10,"I have been prescribed 4 different arthritis medicines... Mobic being one of them. Took as directed and took for a minimum of 3 weeks. It didn't help me at all. Steroids seems to be the only thing that help. Had fluid removed from both knees within a week of each other, and then knee surgery (subchondroplasty) in February. I have found no surgery and no medicine has helped. Within a couple days of being off the steroids, both my knees will swell up and I have to use a walker or crutches to walk more than 2 feet.",Steeleone
3,Mobic,Rheumatoid Arthritis,1,Taken for 1 to 2 years,"October 26, 2016",30,I have tried mobic for quite some time and just recently switched to celebrex.  Pros mobic is cheap but ineffective.  Pain is still horrible.  When I switched to celebrex made a huge difference.  Con of celebrex is its expensive but effective.,Lower back pain arthritisL3-5
4,Mobic,Rheumatoid Arthritis,1,,"October 19, 2016",36,"Took Mobic after 2 days had to go to the ER,had bad rash, eye & face swelling.really terrible drug for me.",BARKER222
5,Mobic,Rheumatoid Arthritis,6,,"September 22, 2016",9,Works ok,Shondac
6,Mobic,Rheumatoid Arthritis,10,Taken for less than 1 month,"April 13, 2016",60,Developed a significant limp from severe arthritic pain in right foot.  Since taking mobic for 2 weeks the pain has virtually disappeared.   I have my life back.,Mjimenez05
7,Mobic,Rheumatoid Arthritis,8,Taken for 2 to 5 years,"January 7, 2016",50,"I have taken Mobic sporadically for the last 3 years.  I only take it when I'm really in pain and cannot manage the pain through natural methods.  It helps me to sleep, and it helps the pain in my hands and hip.  I do not feel groggy when I wake up, but sometimes I am stiff and hurting from sleeping so deeply.",JodyE
8,Mobic,Rheumatoid Arthritis,2,Taken for less than 1 month,"December 14, 2015",28,Have been taking it for 2 weeks  and now wake up stiff and in a lot of pain. I can barely walk because  I have arthritis in my ankle I'm going to have to go back to my other medicine because  this one does not work at all for me.,Nicole1920
9,Mobic,Rheumatoid Arthritis,8,Taken for 1 to 6 months,"June 25, 2015",29,Dry MouthSevere Gum Soreness and pain,Himshah
