,drug,condition,rating,duration,review_date,upvotes,review,username
0,Naproxen,Rheumatoid Arthritis,2.0,Taken for less than 1 month,"March 17, 2021",2,"I just started taking naproxen 375 mg twice a day and at first the pain in my hand went away. But then the side effects kicked in. Nauseated, dizzy, lethargic, black stool, vomiting, headaches and horrible neck pain. I am done with these pills. I am going back to Advil. That also worked for me. Even after both my hip replacements.",Atn
1,Naproxen,Rheumatoid Arthritis,10.0,,"January 31, 2021",7,Aleve (naproxen):When I have a severe onset of arthritis pain I take an Aleve. After about an hour I begin to feel relief and can start moving again. It has been a great product for me.,CJ
2,Naproxen,Rheumatoid Arthritis,5.0,Taken for 1 to 6 months,"February 15, 2020",5,"Started having naproxen 500 mg twice a day with Omeprazole for the last five weeks it seemed to work well  with my arthritis  in my hands, and with my new replacement knee. I now have had to stop this medication  due to stomach issues. Pain in the stomach and Tar like stools (gastric bleed?). So it os  back to the Doctor to seek an alternative medicine.",Julio
3,Naproxen,Rheumatoid Arthritis,9.0,,"August 26, 2018",22,"I have had rheumatoid arthritis for over 25 years. I have always found that if I take only 200 mg naproxen or ibuprofen with water and some food an hour before going to bed, I have very little morning stiffness in my hands or feet. It makes a world of difference to me taking it before bed time.",Annie
4,Naproxen,Rheumatoid Arthritis,,,"December 4, 2017",5,"After five consecutive days of being in constant and intolerable pain, the only medicine that reduced my pain was Naproxen 500 mg. No other medication or herbal medicine or ice helped me previously until I took Naproxen maybe because I have Celiac Disease  Today after taking Naproxen is the first day I feel with less pain! after taking one pill.",Chiquita_1
5,Naproxen,Rheumatoid Arthritis,7.0,Taken for 2 to 5 years,"February 5, 2017",8,"Have taken Naproxen 750mg slow release for Psoriatic arthritis for about 2 years as daily pain relief, good efficacy but gradually diminishes over time. Still overall positive.",Aussie Beau
6,Naproxen,Rheumatoid Arthritis,4.0,Taken for less than 1 month,"January 5, 2017",14,"I took Naproxen for a week without taking Omeprazole.  The doctor had said I should only take the Omeprazole if needed. By the time I needed it , the damage had been done.  I had chronic gastritis (inflammation of the stomach lining) caused by the Naproxen. You must take both at the same time. I was in agony.",downhillafter50
7,Naproxen,Rheumatoid Arthritis,9.0,,"December 15, 2016",18,"Aleve (naproxen):I have R.A and I was skeptical at first but I was in so much pain in my wrist and hand I wanted to scream. Well I took a 250 mg Aleve and it took 2 hours to kick in but I must say thank goodness for Aleve. I still feel a small amount of discomfort but its nothing that will interfere with my day, I recommend this. Normally I take Tylenol but I think I like Aleve better. My first time taking it. Put it this way it won't hurt to try and I'm glad I did.",Mona Lisa
8,Naproxen,Rheumatoid Arthritis,6.0,Taken for 6 months to 1 year,"July 7, 2016",33,Aleve (naproxen):It does help a bit on stiffness and swelling. Please be sure to drink plenty of water as it can rise your creatine levels and lead to kidney problems if you don't stay hydrated.,JBK62
9,Naproxen,Rheumatoid Arthritis,8.0,,"April 25, 2016",24,I have been using this for about a week now and it has completely changed my life.  I am more or less free of pain. The side effects are a little worrying but as long as you watch out for these it should be ok.  I am now able to go to work and actually function without being in pain.  For me it is working.,Maddy V
10,Naproxen,Rheumatoid Arthritis,8.0,,"December 8, 2015",17,Naprosyn (naproxen):This medicine made a great difference overnight for me.,Anonymous
11,Naproxen,Rheumatoid Arthritis,7.0,,"November 3, 2015",11,yes I find this drug ok for my condition. Thankfully I haven't experienced any side effects at moment. I have lost weight and pain has been reduced.,Anonymous
12,Naproxen,Rheumatoid Arthritis,9.0,Taken for 1 to 2 years,"March 12, 2014",21,I only use when doing physical activity,Thib
13,Naproxen,Rheumatoid Arthritis,5.0,Taken for 1 to 2 years,"November 8, 2013",21,This pill is a super strength Rx form of Aleve. If you have chronic pain it's good for inflammation of the joints that narcotic meds just cover up. Take them for breakthrough pain prn with food. They can be hard on your tummy like Tylenol type meds. I've lived with severe pain since 1989. In 2003 I was crushed between my back bumper of my car after running outta gas and the front grill of a Blazer SUV. My left leg was degloved. After a long hospital stay and many surgeries they saved my leg by reconstruction. I finally found a pain management Dr after jumping thru lots of hoops. I always fear loosing my meds before. I get where I no longer needs. them one day ( I hope). Good luck to those that aren't so fortunate as to find a compassionate Dr.,katz_trippin
