,drug,condition,rating,duration,review_date,upvotes,review,username
0,Simponi,Rheumatoid Arthritis,1.0,Taken for 1 to 6 months,"March 17, 2022",1,"I started Simponi infusions , just recently my first infusion was fine, made me a bit tired but no side effects and no effects at all, my 2nd infusion was 3 weeks ago, I again was tired after the infusion but I was more tired than usual , I started not feeling real great, the next day I felt even worse I believe every side effect that this drug has I had, fever, cold chills, nausea, extremely fatigued, headache, my whole body has and still is swelled up 2 x more than normal, having trouble breathing I then ended up with sinus infection and then pneumonia. Let me say that I have been dealing with RA/Fibromyalgia for the past 23 years, I have been on everything and anything that is available as suffice to say nothing has worked for me, however I never had any side effects to this magnitude with the others. I am glad this works for others and was really hoping to finally get some relief but I guess my body is rejecting this medication so I feel I had better listen to it.",Anonymous
1,Simponi,Rheumatoid Arthritis,10.0,Taken for 6 months to 1 year,"August 28, 2021",2,"Diagnosed with RA March of 2020 at age 65, hit me like a Mach Truck. Would have been in a wheelchair within a year. Started on methotrexate, which got me maybe 90% there. After 6 months started the Simponi, feel completely normal now. Stopped  the methotrexate in February.  It is now August 2021 and feeling great, no restrictions - workout all the time. Do it as  an IV every 60 days.",Circuit Rider
2,Simponi,Rheumatoid Arthritis,4.0,Taken for 2 to 5 years,"April 27, 2021",2,Does not to work as well as other medication,Lulu
3,Simponi,Rheumatoid Arthritis,1.0,,"November 9, 2020",5,"I've had 2 Simponi infusions. Recently I started breaking out with hives, especially  on my legs and feet. Sometimes on my arms and backs of my hands. It itches terribly, but clears up within 30 minutes to an hour. But it's been happening everyday for about 2 weeks now. Is this a common side effect of this drug?",Jojo
4,Simponi,Rheumatoid Arthritis,5.0,Taken for 1 to 2 years,"June 16, 2020",9,"I started taking infusion about 20 months ago.First year things appeared to go smoothly.  Then I started experiencing weakness in right shoulder. Physical therapist diagnosed muscle deterioration and spent 3 months in therapy. Regained some of the strength then slipped and fell breaking ankle bone on both sides requiring surgery, pins, and plate in ankle. Never had a broken bone before!!It went down hill from there. Have had 2 infusions since and have had weakness in other shoulder, urinary infection. Horrible headaches, knees giving out and painful, sore wrists.  Tire easily, weight gain, Blu-ray vision at times.  I think it’s time to re-evaluate the benefits of this drug as I have went downhill quickly the past year",Cooper
5,Simponi,Rheumatoid Arthritis,4.0,Taken for 1 to 6 months,"May 4, 2020",15,"I am 59...diagnosed with RA at 53. Started with Methotrexate for 6 months, added Enbrel...worked great for 4 years and then nothing worked for more than a couple months.  I just started first ever IV infusions in doctors office. Simponi Aria and also still on Methotrexate. First dose in Feb, 4 weeks later 2nd dose in March - nothing! Can’t walk on my feet and can’t use my hands. Worse shape I have been in.  Had the3rd dose is this first week of May 2020. Both my RA doctor and my regular doctor say don’t give up and that we need 4 doses to see if this medicine will work. I am hanging in there but life is passing me by right now. After 34 years as an Analyst at a Hospital who works on spreadsheets all day I am on a leave while we see if this Simponi Aria is going to help me. I am HOPEFUL!",Glittergirl
6,Simponi,Rheumatoid Arthritis,5.0,Taken for 1 to 6 months,"November 28, 2019",8,It seems to have calmed down inflammation in my hands but my feet and knees and elbows still hurt.,Margaret
7,Simponi,Rheumatoid Arthritis,2.0,Taken for 1 to 6 months,"August 26, 2019",17,"I came off Rituxan after several successful years of treatment for RA (almost in remission) when I experienced 12-18 months of chronic infection in my lungs and ears. Diagnosed at age 53, 17 years ago. Have had both knees replaced and have carpal tunnel pain in one thumb. At same time as the infections  it was discovered I had a cat allergy. These two factors together meant my body could not get rid of the chest infections & ear infections because of the constant cat allergy creating stuffed up conditions#5 Simponi Infusion in Sept to give it one last chance but since #1 Infusion was in April I have developed finger movement and pain. bunions. RA flares in second toe and a foot joint,  plus fatigue has sucked the interest in life right out of me. I felt great for 10 days this month on a Prednisone burst but am weaning off it next week. I do not have a lot of faith that Simponi will ‘kick in’ after 5 months and hope for something else soon that is more effective for me.",MarigoldNZ
8,Simponi,Rheumatoid Arthritis,1.0,Taken for 1 to 6 months,"August 22, 2018",74,My wife was administered simponi infusionsPrior to the infusions she was a healthy active lady. She suffered from RA which was addressed with methatraxe and predozon..The she was switched to Simponi.She started exhibited all the side effects of this drug. She detetiorated very fast.Today she's laying in an ICU fighting for her life. Doctors claim the major contributor to her ailing health was the Simponi. It's effects etc are irreversible. So. If you intend to go on this drug. Please research it and be very carefully monitored. It creeps on you and could kill you. It has turned my wife from a healthy active working woman to a physically and mentally incapacitated. Even if she pulls through this ICU nightmare. We have years of recovery. If any.It is a shame these kind of drugs are allowed.Even if it effects/kills/handicaps on person it should be  removed from the shelf,George
9,Simponi,Rheumatoid Arthritis,10.0,,"February 7, 2018",33,"I have had Juvenile rheumatoid arthritis (JRA) 49 years.  I have tried every biologic there is and Simponi has been the first drug to work for me within a few hours. I take simpono and self inject every 2 weeks, I also take low dose prednisone. I was diagnosed at age 6,  have many replaced joints and still some active joints with severe RA. I have been on Simponi for 18 months now, even though I have never had a remission, my symptoms have been the most controlled on this drug! :)Pray it keeps working this well.",Kar1123
