,drug,condition,rating,duration,review_date,upvotes,review,username
0,Xeljanz,Rheumatoid Arthritis,7.0,Taken for 6 months to 1 year,"September 20, 2021",1,"When I started taking Xeljanz I was also on Methotrexate and hydroxychloriquin (Plaquenil). I was having GREAT results! My doctor had me slowly taper off the Plaquenil and Methotrexate and I was still doing really well. BUT, then came Covid-19 and I was told to stop the Xeljanz for two weeks prior and following my vaccinations (Moderna two shot vaccine). So, I was off Xeljanz  for two months. The pain that returned was so severe. Once I could restart the Xeljanz my doctor also put me on low dose Prednisone to speed up my recovery. However, it's been 5 months back on Xeljanz and I'm only getting very, VERY minimal  relief from my pain. It seems that being off Xeljanz for those two months caused my body to not react the same as before. It's very frustrating. I hope my doctor can figure out a new way forward soon. PS- I had no known side effects from taking Xeljanz .",Elspeth
1,Xeljanz,Rheumatoid Arthritis,2.0,Taken for less than 1 month,"July 31, 2021",0,I just started on xeljanz 2 days ago.,Julie
2,Xeljanz,Rheumatoid Arthritis,2.0,Taken for 6 months to 1 year,"July 30, 2021",0,"Ineffective for me. While it was great not to have infusions, I had the worst flares I'd had since my onset.  Huge, awful flares that steadily increased in frequency, duration and severity.  Was happy to return to Remicade.  I guess it works for some people, but for me it was a long, painful disaster.",BeachMR
3,Xeljanz,Rheumatoid Arthritis,1.0,Taken for 2 to 5 years,"February 12, 2021",19,"Do not take this pill. Took it since it came out, I've had a lot of side effects, it is not good stay away.",Al
4,Xeljanz,Rheumatoid Arthritis,1.0,Taken for 1 to 6 months,"December 29, 2020",25,my rheumatologist prescribed Xeljanz almost immediately I knew something was wrong long story short I had blood clots in my lungs twice within 3 months. And now I am on blood thinners for the rest of my life!,MzLady
5,Xeljanz,Rheumatoid Arthritis,3.0,Taken for 1 to 6 months,"December 10, 2020",14,"I was diagnosed with RA when I was 15 years old, I am now 22. I started Xeljanz after trying methotrexate(pill form) and Enbrel (injectable). I’m trying to find an arthritis medication that is in a pill form rather than injection. I was only on Xeljanz for about 4 months and did not have any noticeable improvement. What did happen was my face broke out in what appeared to be acne. Before this medication I never had issues with my skin, never had to use any special products. At first I thought it was due to having to wear a face mask 10hours a day at my job(due to covid) but as soon as I stopped the xeljanz my skin went back to normal. I was really disappointed as methotrexate did a similar thing to my skin but not as bad. Now I am trying Arava and hoping for the best.",Pepper
6,Xeljanz,Rheumatoid Arthritis,2.0,Taken for 1 to 6 months,"November 28, 2020",1,"I was getting Orencia infusions for a few years and was pain free from my RA. Started on Xeljanz due to the covid situation (I didn't want to risk going to hospital.) I'm taking 10mg. twice a day. So far, I'm still barely able to function. I am hoping that it just needs to build up in my system. Male, 63, 180#.",Lefty
7,Xeljanz,Rheumatoid Arthritis,10.0,Taken for 2 to 5 years,"November 8, 2020",9,"Have been taking Xeljanz for RA for over 2 years.  It has changed my life, pain and fatigue are greatly diminished.  I am 68 and probably more active than most women my age.  I have had two total knee replacements which helped greatly with activity, too.",Deeya
8,Xeljanz,Rheumatoid Arthritis,8.0,Taken for less than 1 month,"October 24, 2020",6,"I was on prednisone for 6 mo then did Cimzia injections no improvement Xeljanz- I am on month 2 so far so good, I did develop a sinus infection but I dealt with it I am not giving up just because of that. I will keep you posted feeling good today",Jenny
9,Xeljanz,Rheumatoid Arthritis,9.0,Taken for 6 months to 1 year,"September 20, 2020",9,"62 years old and have had RA for 22 months.Tried methotrexate pills and then injections.Next, I tried Humira injection with limited relief.Switched to Xeljanz XR and found immediate relief.I have had no known side effects except some skin rash and the rash might not be associated with Xeljanz.I am able to function in life again.",Jack
10,Xeljanz,Rheumatoid Arthritis,3.0,Taken for 1 to 6 months,"June 10, 2020",11,"Took Xeljanz for 2.5 months. Got UTI (urinary tract infection), then yeast infection. Then another UTI, vaginal infection and yeast. This is still going on regularly for one year after quitting this drug. My immune system is compromised now. But my inflammation is gone. Now I have to worry about chronic infections and possibly a really bad virus. Xeljanz is dangerous and I only took it 2.5 months. I'm 61 female. 130 lbs average. No other health issues except inherited  high cholesterol.",Flora
11,Xeljanz,Rheumatoid Arthritis,,,"June 8, 2020",33,"I am currently on lefunimide only and my symptoms are getting worse so doctor prescribes xeljanz.  I have taken every injectable including remicade infusions that eventually all stopped working. I have to say I am scared to take this drug. I have read all your reviews and it doesn't make me feel any better. For those of you who take prednisone on a regular basis, I just wanted to share with you that my bones got so brittle from having to take prednisone to get flares down. I am an avid walker and my fibula just ended up breaking because of steroid usage.  Currently I have inflammation in my neck so badly that I cannot turn my head at all but I just don't think I want to try this xeljanz pill.  Still searching for thea better way.",Sienna
12,Xeljanz,Rheumatoid Arthritis,1.0,Taken for 1 to 6 months,"March 27, 2020",47,"Been on this Xeljanz poison for 3 and a half months. I got worse and worse with pain. Muscle weakness. Enlarged liver. Terrible stomach problems excruciating pain in my guts and constant nausea.Liver pain, swelling in feet, hands, wrist and general unwell feeling. Developed chest infections. The chemist ran out so I was without it for 3 days. Stomach...good! No liver pain!!! Not one ounce of swelling. Night sweats stopoed. Burning up feeling stopped. Day one back on it...all symptoms back!!!Dreadful poison. I'm stopping it.",Bridge
13,Xeljanz,Rheumatoid Arthritis,9.0,Taken for 1 to 6 months,"March 15, 2020",51,"To begin with, everyone who has RA needs to choose between quality of life or quantity of life.  You can't have both.  The meds used to treat RA are very strong and have side effects.  Period.  I have been on XeljanzXR since early January and have not experienced any of the bad side effects yet.  It is controlling my RA well, in conjunction with Methotrexate, folic acid and leucovorin.  Previously, I have been on Enbrel and Humira.  Enbrel worked for a long time, Humira was okay but not as good and now XeljanzXR.",Husker
14,Xeljanz,Rheumatoid Arthritis,1.0,Taken for less than 1 month,"March 2, 2020",15,"I am on 11mg  Xeljanz for RA and it has only been five days. I had diarrhea several times a day since starting it. I really hope that goes away or I will have to stop it. My upper body is really hurting since starting this medication. Nothing is helping. I take pain medication, methotrexate, and prednisone also. The pain isn’t subsiding.",Sunny
15,Xeljanz,Rheumatoid Arthritis,1.0,Taken for 1 to 6 months,"February 18, 2020",33,"This drug like so many RA drugs is awful and may be the end of you. I was on this drug and was promised the doctor only had one failure? Did that mean death? I have a history of heart disease on both sides of my family. Within one week my blood pressure was up by more than 20 points, I had palpitations, and was sick all the time due to stomach complaints. This is one of many RA ""drugs"" I have tried with limited to no effect except worsening pre-existing conditions. Get a CLUE doctors. Prescribing steroids like prednisone which only lead to further bone degeneration in a population with this problem? Doctors do not know WHAT they are doing. Remember, there is NO CURE for RA. Do not trust your DR. That is my advice. They do not have time to deal with you, they have patients booked back to back due to insurance. You are lucky if they really know your name without your chart or nurse telling them. ",RAWoman123
16,Xeljanz,Rheumatoid Arthritis,2.0,Taken for 1 to 6 months,"January 22, 2020",23,I began using Xeljanz 5mg in February 2019 and stopped using it September 2019 after feeling no relief from the medicine. It seemed as if my rheumatoid arthritis was worst than ever while on the xeljanz. I noticed that I suffered with acid reflux after I started the medicine.  I was diagnosed with acid reflux and the only thing that I can attribute it to is Xeljanz because I never had an issue with hearth burn or acid reflux prior to the medicine and this is one of the side affects of this drug.,liznita68
17,Xeljanz,Rheumatoid Arthritis,1.0,Taken for 1 to 6 months,"January 7, 2020",29,"Woke up with severe migraine morning after starting treatment. Took it for 4 weeks, headaches constantly, like my head and eyes were in a vice. Back ache. Nausea burning in stomach chest and throat. Stopped after 6 as i couldn't stand it any more, quality of life was zero by then.",SHELLY 51
18,Xeljanz,Rheumatoid Arthritis,2.0,Taken for 1 to 6 months,"December 8, 2019",25,Chronic fatigue aches pain and feeling sick and toxic without much change. The first couple of months created  more problems then improvement,Babe
19,Xeljanz,Rheumatoid Arthritis,1.0,Taken for less than 1 month,"November 11, 2019",43,I took this drug for 2 weeks (5mg dose twice daily) and had a heart attack ,Anonymous
20,Xeljanz,Rheumatoid Arthritis,1.0,Taken for less than 1 month,"October 22, 2019",72,I do not recommend his drug to anyone! I have been on leflunomide for the last 4 months and it didn’t help so my doc put me on Xeljanz and immediately I started having sinus pressure and my eyes burning and developed bronchitis and upper respiratory infection.  The fatigue is unimaginable and severe headaches along with body aches and my anxiety has increased to the point it’s intolerable. I ended up in the ER tonight due to the pain I was in and coughing up blood! I really just want relief from my RA symptoms but the side effects are far more worse than the RA pain itself!,Me
21,Xeljanz,Rheumatoid Arthritis,2.0,Taken for 6 months to 1 year,"September 29, 2019",27,Xeljanz for arthritis has caused stomach aches so bad I crying in pain . Feel very weak and fatigue all the time . Very bad back pain and blood pressure  very high.,Anonymous
22,Xeljanz,Rheumatoid Arthritis,,Taken for 1 to 6 months,"September 19, 2019",85,"My wife passed away on 3/30/16. She was on Xeljanz for about three months before she became ill. Xeljanz lowers your immune system, and for that reason that she contracted Encephalitis. Sepsis ended up killing my wife. While she was on a respirator in her final days, she was diagnosed with slits in her intestines which caused her to bleed. One of the warnings published by Xeljanz.",Rose's Husband
23,Xeljanz,Rheumatoid Arthritis,5.0,,"August 28, 2019",63,"Same as many others. First two months were terrific. Inflamation and joint pain nearly all gone. Great energy. Felt years younger. Then came the throat/sinus infections with headaches and increased blood pressure. The latter scared me the most. Quit taking drug and called doctor. It’s sad. This drug holds so much promise but if it turns on you, look out.",Rob
24,Xeljanz,Rheumatoid Arthritis,,Taken for 1 to 6 months,"August 24, 2019",24,"For the 1st two months, I felt great, energy, gardened, worked more physically than I have done in a long time.  Then the sinus infections came, Dr took me off. Still trying to get sinuses straightened out.",Dink
