,drug,condition,rating,duration,review_date,upvotes,review,username
0,Fluticasone nasal,Rhinitis,1.0,Taken for less than 1 month,"March 22, 2022",0,Flonase (fluticasone):Used two days. Gave me severe headaches and insomnia.,Anonymous
1,Fluticasone nasal,Rhinitis,1.0,Taken for less than 1 month,"March 7, 2022",0,"Flonase (fluticasone):Made my sinuses hurt more! Not just this time but every time I use it, also gives me  a nasty headache and makes my eyes feel strained",Loni0215
2,Fluticasone nasal,Rhinitis,3.0,Taken for 2 to 5 years,"January 23, 2022",0,"Was prescribed this a few years ago.  I suffer from severe panic disorder and general anxiety disorder.  I was told that I had a sinus infection.  Started taking this.  I would take it for a few weeks out of the year and if I had symptoms I'd take it again, so I never took it constantly.  A year ago I told my doctor I was experiencing shortness of breath, just randomly.  She asked me if I was taking my flonase.  So I started taking it again.   She never told me to stop taking it, so I've been taking it for about a year straight. I stopped taking it recently because I read that it lowers immunity and with covid going around, I don't need that.  Fast forward 3 days and wow, I'm experiencing fatigue... brain fog.  Headache.  I hope it goes away because it's REALLY annoying..",Namaste
3,Fluticasone nasal,Rhinitis,1.0,Taken for less than 1 month,"January 14, 2022",0,"Flonase (fluticasone):I took this for my inner ear infection and swollen lymph node. After 3rd day of one squirt in left nostril, I started getting anxiety and panic attacks. It worked great to relieve ear symptoms but definitely not worth the anxiety, and panic attacks.",Do Not Use This
4,Fluticasone nasal,Rhinitis,7.0,Taken for 1 to 6 months,"November 25, 2021",0,"Hi. I started off with mild allergies that hurt my eyes. In 2015; I then started developing more moderate seasonal allergies that would clog my nose, but salt spray would help. Then in 2018 I developed really bad sinuses where I can't breathe out my nose, and it lasts all year. My nostrils get so dry that it make me unintentionally sleep with my mouth open at night, which has led me to becoming a 'mouth breather'",Sinus girl
5,Fluticasone nasal,Rhinitis,5.0,Taken for 1 to 6 months,"October 26, 2021",5,"Flonase (fluticasone):The disappointing thing is how effective Flonase is at immediately reducing my sinus inflammation / congestion. I say this because - through trial and error - I've determined that Flonase causes me too many adverse effects to continue use. Much like an episode of anxiety, it comes with racing heart and jittery feeling. My impression is that many doctors are either unaware of how common this tends to be, or presume that a certain number of patients are hypochondriacs. To be fair, health-care professionals do have to deal with their fair share of hypochondriacs. But I would still make the argument that this medication is not ideal for patients sensitive to Steroids (in general). Which is a widely accepted side-effect of Steroid medications - you're not crazy!",fleurfleur
6,Fluticasone nasal,Rhinitis,1.0,Taken for less than 1 month,"October 26, 2021",2,"Flonase (fluticasone):I have chronic sinus congestion without explanation, and it interferes with me being able to use my new CPAP.  A friend recommended Afrin, and it works great, but my sleep specialist warned me to not use it more than three days in a row, and I haven't.  She also recommended that I switch to Flonase.  Well, I'm about to go to bed, and it's day 4 in my rotation, so I decided to try Flonase.  Well, instead of taking my congestion from 50% to 0% like Afrin, I now have a splitting headache, and my congestion went from 50% to 100%.  Now I won't be able to sleep at all, because I can't use Afrin tonight, and instead of being partially blocked (which I can kind of deal with), I am completely blocked.",daybreaker1998
7,Fluticasone nasal,Rhinitis,1.0,Taken for less than 1 month,"October 18, 2021",7,"Flonase (fluticasone):It works well, however causes AWFUL MENTAL SYMPTOMS. Mostly feeling off/depressed. I'm 100% it is Flonase. I stopped and they all left. I tried it again couple weeks later, BOOM, 5th day - when it starts working - depression. A side note that other similar class nasal sprays did EXACTLY the same to me. So all steroids do this to me.",Lukas
8,Fluticasone nasal,Rhinitis,1.0,Taken for less than 1 month,"October 8, 2021",1,"Horrible experience on fluticasone. It is packaged as Avamys where I live. I've decided to stop using the nasal spray only after 4 days of usage due to anxiety symptoms. I was told to take 2x sprays on each nostril, but I took 1x each to be safe. I'm glad I didn't follow the doctors' direction.Night 1 - Mild anxiety affecting the quality of my sleep.Night 2 - Worsen anxiety. Woke up in the middle of the night with a racing heartbeat.Night 3 - Same as night 2, but with a dry mouth!Night 4 - Same as night 3, but the anxiety has worsen.I must add that I also suffer from anxiety disorder, and the symptoms caused by the medication are similar to one of my worst anxiety symptoms.Please be cautious with this medication. The experiences shared here are real, and seem to be very common.. too common for this medication to be over-the-shelves.",Moon
9,Fluticasone nasal,Rhinitis,1.0,,"September 5, 2021",3,"Flonase (fluticasone):I already suffer with anxiety and allergies I've tried this the last two days and my anxiety levels have shot through the roof. Palpations, shortness of breath, elevated blood pressure. Unable to sleep until the early hours despite taking medication, then on edge all day long feeling anxious and irritable. If you're already suffering from anxiety issues I'd be very careful about taking this if at all. Whether it's had any impact on my nasal congestion I don't know because I've been overwhelmed with anxiety",Paddy
