,drug,condition,rating,duration,review_date,upvotes,review,username
0,Seroquel,Schizoaffective Disorder,5.0,Taken for 1 to 6 months,"November 4, 2021",4,"If you are forced to pick an anti-psychotic then take this one. You can sleep through the hospital or jail time when you take seroquel extended release. Avoid aripiprazole, haldol, paliperidone and all the other ones. Seroquel is most least worse of all anti-psychotics doesn't block dopamine as much as all the others. Sedation is pretty heavy so take it at night time.",Doug
1,Seroquel,Schizoaffective Disorder,1.0,Taken for 1 to 6 months,"October 3, 2021",3,1 of the worst meds I've ever taken was only on 25-50 milligrams a day made me extremely tired and my eyes black.  I'd wakeup feeling like I was being choked.  If I was trying to workout doing push ups for instance I'd get a sharp pain in my head and either my arm or leg or both would give out and I'd fall to the floor almost hurting myself.  I thought it was bad for me or I must be allergic to it so I had to refuse to take it anymore after a couple months. I can't believe they are still giving this to people without knowing how destructive it can be to people's lives. It's an older antipsychotic medicine they claim so how could they not know the brutal side effects it causes.,Survivor
2,Seroquel,Schizoaffective Disorder,10.0,Taken for 5 to 10 years,"August 4, 2021",1,"If my diagnosis of schizoaffective disorder (bipolar type) is correct .... then Seroquel is working better for me, than Invega did. Invega is the only drug currently approved for schizoaffective disorder, but .... I predict, in 2021, that Seroquel WILL eventually be approved for schizoaffective disorder too. I am allowed to take 600mg to 800mg of Seroquel daily/nightly, and it works better, and more consistently for me than taking Invega daily by pill or capsule.",Stusky
3,Seroquel,Schizoaffective Disorder,8.0,Taken for 6 months to 1 year,"July 13, 2021",2,"I had a nervous breakdown February 2020. I had to do 20 days inpatient. They gave me Invega, which did not work at all. After I was released, I still wasn't right at all. I ended up even getting arrested for criminal trespassing. I started doing therapy, and met with a medical provider. I asked to be put on Seroquel, because I could not sleep at all. I take 200mg a day, and it's very effective in stopping racing thoughts. You have to really watch what you eat on it. I have worked very hard to have gained zero weight. I also continue to take Doxepin, which I was previously prescribed.",Lou
4,Seroquel,Schizoaffective Disorder,10.0,Taken for 6 months to 1 year,"April 22, 2021",1,Seroquel works,Britney Michele
5,Seroquel,Schizoaffective Disorder,6.0,Taken for 5 to 10 years,"January 19, 2021",6,"I started seroquel when I was 13 after 7 years of talking to people who weren't there. I'm 18 now. I heard it's not possible to need this at that age but here I am. I think at first I was kinda empty, didn't talk, kinda a vegetable. Took about a while to get used to, maybe a week, then I remember completely losing it and attacking my brother and also feeling suicidal, but I didn't stop taking it when I was put in inpatient. Then everything got better, now I still hear and see things but only specific things and I talk to people more even though I have social anxiety. So it didn't really work for my hallucinations just maybe depression and anxiety.",Bunny
6,Seroquel,Schizoaffective Disorder,5.0,Taken for 10 years or more,"January 3, 2021",20,"I have been on Seroquel 600 mg a day for  over 15 years. During that time, the drug has been effective. However, towards the end of 2020, I decided to have my eyes checked for the first time. I was having some farsightedness in my left eye. I am 37 years old and I have never had eye problems. Never been to an eye doctor. The doctor told me I had a cataract which is unusual for my age. She was baffled.  It wasn’t until later that I learned that cataracts are a rare side effect of seroquel. Not only that, Seroquel increased my AST/ liver enzymes and decreased my T4 levels, both rare side effects. It is even possible that it has contributed to my acid reflux.  The herculean effort is tapering off this medication while being able to sleep. I can’t give this drug a high score because of the problems it has caused and the extreme difficulty of getting off of it.  The drug has been very effective, but that has come at a high price.  I can’t get off Seroquel fast enough.",Patient#139
7,Seroquel,Schizoaffective Disorder,10.0,,"October 15, 2020",18,"I started this drug at age 19 when I was first diagnosed with schizotypal personality disorder and been taking it for 5 years. I haven’t noticed any positive changes at first since you have to give the drug couple of weeks to kick in. When it did kicked in, this drug changed my life. I was more positive, outgoing and overall in the elevated state of mind. The only downside to this drug was weight gain and too much sleep time. I’d still keep taking but it stopped working for me. Now I just feel really horrible on it. Definitely give this drug a try though.",Bruce
8,Seroquel,Schizoaffective Disorder,9.0,Taken for 6 months to 1 year,"September 13, 2020",71,"Seroquel saved my life. I was diagnosed with schizoaffective disorder at 16 ( I'm 18 now) and I’ve tried almost all second-generation antipsychotics since I was 13. ALL made me experience horrid side effects (extrapyramidal effects, paranoia, vomiting, emotionally flat). Seroquel within 2 days of taking it helped me feel relatively normal...with NO akathisia/extrapyramidal effects. I can sleep, I don’t feel anywhere as paranoid, the delusions have significantly decreased. The only thing that is a little funky is the hunger, but I can manage that. This drug has helped me live a normal life. I’m at 300mg now and this is my safe spot. For anyone considering this medication, go for it. It’s the only antipsychotic that has not made me crawl out of my skin and die mentally. Genuinely a wonderful drug.",Matt
9,Seroquel,Schizoaffective Disorder,10.0,Taken for 2 to 5 years,"September 12, 2020",41,"My experience with quetiapine is amazingly positive. I tried, invega (that was bad) with unsuccessful results.I take Queatipine at a dose of 50mg at night and it makes me so much more relaxed and without any kind of bad feelings or thoughts. If you wanna be healthy and active during your days, this drug is highly recommended. In my case is used during night before sleep. It works!",lipelips
