,drug,condition,rating,duration,review_date,upvotes,review,username
0,Caplyta,Schizophrenia,6.0,Taken for 6 months to 1 year,"March 24, 2022",0,"I have tried trialed this medication for 8 months and previously had a raving review about weight loss and more manageable symptoms. Problems have risen since my initial review that have changed my opinion. It costs $2000 out of pocket and is not available in generic so it is also not the most accessible. This medication raised my prolactin levels outside of normal range, resulting in visible hair loss (I am a young woman). Raised prolactin levels can also affect fertility and I could not tolerate either. Taking this medication while in school negatively impacted my schedule and caused me to have to take a medical leave. Immediately after taking the drug, I am extremely exhausted and cannot think. I could not dedicate evenings to getting school work done as needed, due to slow cognition and lethargy immediately after taking. With this medicine there is initial weight gain & then eventual weight loss, but if you miss a dose or doses, the weight comes right back.",Liv
1,Caplyta,Schizophrenia,1.0,Taken for less than 1 month,"March 15, 2022",0,"My son who has bipolar with some schizophrenic symptoms (schizoaffective) did not do well on this medicine.  He was hearing people calling him insulting names 24/7!  I took him back to his psychiatrist yesterday.  He put him back on his original medication, Risperidone, and so far, the voices have already stopped.  Thank God!  Caplyta. Did not work for him AT ALL!",Phil
2,Caplyta,Schizophrenia,1.0,Taken for less than 1 month,"February 22, 2022",2,"I’ve been on Caplyta for two weeks. I only sleep 5 hours a night and have headaches, brain fog and extreme fatigue as well as depression. I’m stopping it,",Anne
3,Caplyta,Schizophrenia,10.0,Taken for less than 1 month,"February 18, 2022",10,"I have had a very positive experience with Caplyta so far. I have been on several antipsychotics that worked but had side effects that were not tolerable. On the first day of taking this, I had dry mouth and a headache. Since then, I have not had a single side effect. After a week on it, I feel great. I haven't gained weight on it which is a good sign. I have more motivation and am sleeping normally after having those problems on Vraylar. My mood is also not flat like it was on the other medications that I had been on previously. I am not normally the person to write reviews but I saw all of the bad reviews and thought that maybe by sharing my experience it would help others. Maybe many people don't write reviews unless they have a bad experience? I am not sure but my experience on it has been very good. Would recommend to anyone who couldn't tolerate the side effects of other antipsychotics.",Caplyta Fan
4,Caplyta,Schizophrenia,10.0,Taken for 2 to 5 years,"December 13, 2021",22,"I would often complain to my psychiatrist about how many meds I was taking for my schizoaffective bipolar. He'd always assure me that brains and meds are like locks and keys; sometimes you only need one key to open the lock, and other times you need multiple keys at once. I'm a multiple keys type of girl. I've been on a myriad of psych meds, but slowly found out that I needed several at once to keep things steady, but I still felt ""crazy"". I was angry, extremely paranoid, sleepy, hallucinating constantly, and I felt so unsafe in the world, like everyone was out to get me. I read about a new med coming out and begged my psychiatrist to let me take it. ""Okay, we'll see how it works for you,"" he said. It was slow at first, or so I thought. I didn't realize the small changes that were happening. I became less angry, less paranoid. I stopped hallucinating. But most of all, I started to feel happy. I never realized life could be so peaceful.",Happy
5,Caplyta,Schizophrenia,2.0,Taken for 1 to 6 months,"December 7, 2021",1,My experience with Caplyta has been terrible. I was on Latuda for years and my doctor thought I should try Caplyta because of the wonderful reviews she had been getting about the drug. I have had breakthrough psychosis on and off now for about three months. I never had breakthrough psychosis with Latuda. I think for me Latuda is the drug that help that will help me the most. I've also been Prescribed Viibryd for anxiety. I do not like Viibryd either as it causes me very restless nights being unable to sleep.,My 3 dogs
6,Caplyta,Schizophrenia,10.0,Taken for 1 to 6 months,"November 13, 2021",3,I was put on this for my psychotic disorder. It was very easy to go on this med.  The only side effect was sedation. I take it at night so it helps me sleep but I don't feel drowsy in the morning.  There is only one dose so you don't have to figure out the right dosage to treat the condition.  That made it much easier to go on. Great med.,Lib44
7,Caplyta,Schizophrenia,10.0,Taken for 1 to 6 months,"November 10, 2021",17,"Absolutely GODSEND!!! I have been on every drug for my schizophrenia up to clozapine and nothing worked without making me an emotionless drooling void. I have been on Caplyta for about three months and my quality of life has improved exponentially. My schizo was so bad I had by and large stopped all hygiene, never left the house, and was consumed by paranoia and voices that no one but me could hear. I am now extremely hygienic, I have set routines and schedules again, I am able to go out in public, I converse with complete strangers every day, and I am so optimistic and happy again. I am on no anti depressants anymore, my anxiety is much lessened, and am happy again.",BubsDaddy
8,Caplyta,Schizophrenia,,Taken for 1 to 6 months,"September 6, 2021",9,"The main psychotic symptom I experience is paranoia. I have cycled through 9 different antipsychotics until I was finally prescribed Caplyta. Past drugs caused extreme weight gain without overeating (40 lbs), major sedation, restlessness, tongue swelling (allergic reaction), akathisia, tardive dyskinesia, impulsiveness, compulsiveness, and terrifying depersonalization & derealization.On Caplyta I experienced extreme sedation and difficulty being productive in the beginning. After 2 months, the sedation went away then I could get tasks done and wake up early. After 5 months I lost 13 lbs without trying. My paranoia is minimized and manageable. This drug is one simple pill that must be taken once a day with the only minor inconvenience of having to be taken with food.",Liv
9,Caplyta,Schizophrenia,7.0,Taken for 1 to 6 months,"July 31, 2021",4,I am trying this medication for the second time.  I was experiencing being off balance and dropping things a lot! I had a couple embarrassing falls. One in my huge driveway! People actually stopped their cars to check on me. My husband seems to think this med helps me more than hinders me. So I'm back on this med. It needs to help me because I'm at my wits end!!!!,Dreamer4real
