,drug,condition,rating,duration,review_date,upvotes,review,username
0,Ziprasidone,Schizophrenia,6.0,,"January 29, 2022",0,I was started on ziprasidone 20mg 2x daily for racing thoughts for bipolar 1. For a few weeks my racing thoughts did not go away so my doctor kept increasing my medication all the way to 80mg 2x daily within 4 weeks. My racing thoughts stopped but I felt very drugged and like I saw life from a strange perspective. I would forget where I was or what I was doing had terrible crying and/or panic attacks. I could not drive anymore for almost 2 months cause I felt drunk. My doctor lowered it to 40mg morning and 80 at night I instantly felt more myself. Now on 20 mg morning and 80 mg at night I feel normal again. Hopefully my racing thoughts don’t return. I also have heart palpitations and very restless legs from this medication. I say tinker with your dosage to best suit you. And every time I increased it my brain felt like it shut off intermittently. I was very out of it each increase. Everyone trying to change meds hang in there,It takes time
1,Ziprasidone,Schizophrenia,3.0,Taken for 1 to 6 months,"November 23, 2021",0,"This medication was suggested on my sons Genesight for his MDD with psychotic features. I just knew it was going to be a game changer until.. it took away his appetite. Food is necessary in order for the medication to work properly. He also couldn’t sleep on this med. No appetite and no sleep for a person struggling with MDD with psychotic features is a no no. He was Olanzapine at first which took him out of psychosis, he slept great but did nothing for his auditory hallucinations. I will now try to find an all natural appetite stimulant and something to help him sleep. They should probably add an antidepressant to his cocktail. Maybe that will help with the auditory hallucinations. This medication could be a 10 if the person keeps their appetite.",J.B
2,Ziprasidone,Schizophrenia,2.0,Taken for 1 to 6 months,"August 5, 2021",0,Geodon (ziprasidone):did not work to stop or reduce my delusional thinking and voices. Also made me extremely restless I hated it and wanted to die.,Trappedinmymind
3,Ziprasidone,Schizophrenia,7.0,Taken for 1 to 6 months,"July 19, 2021",8,"Geodon (ziprasidone):I switched to this medication from olanzapine due to the weight neutral benefit. I did lose 5 pounds, however I had a lot of muscle tension and pain. Voices and hallucinations did not return so I guess it does work for the actual sickness. The muscle pain is too much so I will be trying another more tolerable med.",Anonymous
4,Ziprasidone,Schizophrenia,1.0,Taken for less than 1 month,"February 26, 2021",1,Geodon for me was a nightmare. I had all the side effects and they are still happening today and I’m off it,Girl
5,Ziprasidone,Schizophrenia,1.0,Taken for 1 to 6 months,"November 28, 2020",2,This medicine ziprasidone did nothing to stop racing thoughts doctor suggested to increase to max therapeutic dose so I did gave me terrible akathisia did not want to be alive on this medicine. Thank goodness I had some Ativan or I might not be here. Made me gain 50 pounds as well wouldn't matter to me if it actually treated what doctor said it would. This is no good.,Anonymous
6,Ziprasidone,Schizophrenia,,,"October 29, 2020",4,"Ziprasidone has been a slight game changer for me. Although the game is still the same, it's been able to level the playing field a bit and make things seem a lot easier. It doesn't feel like I'm taking a serious drug, it just feels like I'm taking something mild that takes the edge off. My psychotic episodes are more manageable and life is getting better. I've gained weight but I needed to gain weight anyways. I was underweight and taking Adderall everyday to now gaining weight and feeling more normal and just taking Ziprasidone (80mg/day). It's a mild drug that if you give a chance can really help things feel better.",mushrooms
7,Ziprasidone,Schizophrenia,2.0,Taken for less than 1 month,"August 17, 2020",5,"Geodon (ziprasidone):Only on geodon for 2 weeks and I had a headache for 2 weeks, then terrible withdrawal symptoms. Back on zyprexa",Charles
8,Ziprasidone,Schizophrenia,1.0,Taken for 1 to 6 months,"August 9, 2020",7,Geodon (ziprasidone):Geodon was a BAD DRUG for me!!! Made me gain a bunch of weight and didn't even touch my symptoms. I was put on this during my second hospitalization and got up to a really high dose and still didn't work but was kept on it after discharge. Caused my moods to be really unstable and led to a misdiagnosis of bipolar. Made me feel like such a zombie and made me miss Abilify which also made me a zombie but Geodon was so much worse. Beware!,Rose
9,Ziprasidone,Schizophrenia,1.0,Taken for 10 years or more,"June 30, 2020",3,"My mom has been on it a good 13 years. Over the years I've watched my mom turn into a zombie-like person who can't do anything for herself. She barely eat but constantly needs to drink fluids. She hallucinates all day & night when she's not asleep talking to people who aren't alive or thinking babies are in her bed. I'm studying up hoping to make a change to her meds. In my opinion geodon slowly kills the body. Geodon, Haldol, Benztropine slowly kills.",Anonymous
10,Ziprasidone,Schizophrenia,5.0,Taken for 6 months to 1 year,"April 24, 2020",14,"Geodon (ziprasidone):I have been on Geodon for 9 months now and though I have lost 30 pounds of the Risperdal weight I gained I am now experiencing  a condition called Anhedonia and I am absolutely ruined. Now that I see the world this way I can never go back to the way I was,  I get no pleasure out of life whatsoever.  ",Manhattannoire
11,Ziprasidone,Schizophrenia,1.0,,"April 24, 2020",11,"Geodon (ziprasidone):My doctor put me on Geodon 3 days before I got out of the hospital for mental health..3 days later I was back in the hospital  because that medication gave me So many side effects.. shakiness, in and out of consciousness, blurred vision, seeing things that are not there ( I.e It the clown and other things) sweating, feeling like I can’t calm down, swelling of throat and lips, ETC. I’m still dealing with them.. IF ANYONE IS TAKING THIS I TELL YOU PLEASE PLEASE PLEASE BE CARFUL!! I don’t want any of that happening to you!!!!",Mickey
12,Ziprasidone,Schizophrenia,5.0,Taken for 1 to 6 months,"November 28, 2019",11,"Geodon (ziprasidone):This medicine can cause unwanted sleepiness. Going out in public in the middle of the afternoon, I experienced akathisia, restlessness and the desire to sleep. I also get wicked dry mouth every night and head flashes. I still am hearing voices on this medication and am taking 160 mg a day. 80 in the morning and 80 at night. My doctor added on cogentin to help with the akathisia and it makes me feel even sleepier. Also the cogentin causes serious vision blur so much so that my eyes won't focus when I try to read.",Lasllaves
