,drug,condition,rating,duration,review_date,upvotes,review,username
0,Phenergan,Sedation,9.0,Taken for 1 to 6 months,"March 27, 2022",0,Take 50mg at night to help me sleep as it takes away the anxiety. It works a treat. I'm very sedated and calm after 1 hour and can sleep 8 hours. Only down side I seem to crave sugar foods like chocolate so I tend to binge (can eat whole entire packet of biscuits in 10 mins),Mike87
1,Phenergan,Sedation,1.0,Taken for less than 1 month,"March 12, 2022",0,"As others have commented, this is completely useless for people with insomnia. Don't waste your time with it",Redbull1412
2,Phenergan,Sedation,9.0,Taken for 1 to 6 months,"December 28, 2021",11,"I found half a 25mg tablet good for sleep. Can take hours before it starts working . The first time you take it, it works wonderfully. Be mindful it is an old anti psychotic and has a long half life, so what that means is it builds up in your body. Always start on a low dose of 10mg and increase when needed. High doses can give you restless leg syndrome as it drops your dopamine level. It can also suppress breathing - not ideal!. Best taken an hour before bed as its plasma peak is approx. 2 to 3 hours (the most affect) although that time level is dependent on your rate  of metabolism. I am horrified reading how many people double the max. recommended dose when they take the first time, not knowing how it affects you.",Yol
3,Phenergan,Sedation,10.0,Taken for 1 to 6 months,"October 17, 2021",2,"I have really bad insomnia. I can not get to sleep at all. I take 50 mg of phenergan. And it takes a while to work like 4 hours then I fall asleep. I have tried other meds and they work for a short time but it is slow to work so  that I lay in bed for at least 4 hours till I fall asleep, but hey least it works.",xxxnsh
4,Phenergan,Sedation,1.0,Taken for 1 to 6 months,"October 15, 2021",9,"I got these over 4-5 months. I started with 25 mg and ended up taking 2 every evening before bed. I started getting restless legs to the point where I had to wander around in my flat for hours like a zombie, and I sometimes only got a few hours of sleep. Also I began to get a bloody nose. Every morning I had to clean my nose with tissues, and the paper was always bloody. And the weight gain. Gained 15 kilos in that time. Right before I quit taking them I was miserable. Almost every night I had restless legs and I didn’t get much sleep. I have been off Phenergan since the beginning of August - I lost 7.6 kilos, my nose is just fine and I haven’t had one second with restless legs since. I’m back to having trouble falling a sleep but I definitely prefer that from all the horrible side effects.",Marie
5,Phenergan,Sedation,5.0,Taken for less than 1 month,"October 11, 2021",1,"I have recently started taking phenergan, I take two 50mg tablets about 20 minutes before sleep. 9 times out of 10 I'm having the most intense nightmares! I've literally just woke up from another. These tablets do work however you need to be mindful nightmares can occur.",Nightmares!
6,Phenergan,Sedation,2.0,Taken for less than 1 month,"September 10, 2021",2,"Although this medication isn’t strong enough to sedate you, it gave me the most craziest/strangest dreams ever. The type of dreams you can remember every detail ....",Weirdest dreams
7,Phenergan,Sedation,1.0,Taken for 1 to 6 months,"June 12, 2021",16,"I don't know if I class myself as an insomniac but I usually wake up a load of times in the night which disturbs my sleep and makes me tired in the day so I decided to try Phenergan. This medication should really be taken just before you go to bed, I wouldn't recommend taking it while you're watching TV or anything because in my experience, you have to be trying to fall asleep for this to work. Even then, it's a horrible drug. 25mg is too little and I still wake up in the night a lot, 50mg is way too much and I'm pretty sure my throat closed up for a second in the middle of the night because I woke up gagging and I don't suffer from sleep apnoea so that was weird. Either way, any dosage of this stuff causes terrible daytime drowsiness the next day, I'm not sure if that's down to the half life of the medication or whether it is purely because it gives you really poor quality sleep.",scg123
8,Phenergan,Sedation,1.0,Taken for less than 1 month,"April 2, 2021",2,I tried to use 50mg to go to sleep and the medication had absolutely no affect on me other than heaviness in my legs. I guess it depends on who you are.,J
9,Phenergan,Sedation,6.0,Taken for 5 to 10 years,"March 24, 2021",11,"I have been taking these for almost 5 years what started as 1 x 10mg then turned into a huge dose. I have now dropped down to 3 x 10mg a night and have decided it’s time to go completely cold off them. I started taking these to sleep easier, as due to anxiety it was hard to fall asleep. I have made the decision to come off them as I was getting intense nightmares which made me afraid to fall asleep, my body was bruising extremely easily and my platelets were beginning to drop. Just be careful if you have an addictive personality",Anonymous
10,Phenergan,Sedation,6.0,Taken for less than 1 month,"March 21, 2021",2,I take phergan but they are making feel nervous,Lil
