,drug,condition,rating,duration,review_date,upvotes,review,username
0,Promethazine,Sedation,9.0,Taken for 1 to 6 months,"March 27, 2022",0,Phenergan (promethazine):Take 50mg at night to help me sleep as it takes away the anxiety. It works a treat. I'm very sedated and calm after 1 hour and can sleep 8 hours. Only down side I seem to crave sugar foods like chocolate so I tend to binge (can eat whole entire packet of biscuits in 10 mins),Mike87
1,Promethazine,Sedation,,Taken for less than 1 month,"March 27, 2022",0,"This drug has ruined my life. I have been researching it since..I’ve been on a Phyche ward as a direct result.  I  woke up extremely trippy & started trying to kill myself, my son had to go with my parents, he is heartbroken. I was fitting in the hospital as well.I  am now paranoid. I never sleep & my life as I know it is over. My whole personality has gone. I’m paranoid & after almost 2 months can still feel it in my face brain & body. My tongue swelled up & was hanging out I couldn't breath. I hallucinated & lost my cognitive abilities & my personality.  I know my son can’t come home as this has not got better. I cannot organise myself. I have autism & adhd-generalised anxiety. I felt dizzy everything wobbled & I now don’t know what to do with myself. All I could say when I woke up was  ""it just won’t go - and it still hasn’t",Nicky
2,Promethazine,Sedation,1.0,Taken for less than 1 month,"March 12, 2022",0,"Phenergan (promethazine):As others have commented, this is completely useless for people with insomnia. Don't waste your time with it",Redbull1412
3,Promethazine,Sedation,9.0,Taken for 1 to 6 months,"February 18, 2022",0,Take this as I struggle to sleep due to stress and horrendous anxiety.  My Dr wouldn't give me sleeping tablets so recommended phenergan. I take two 25mg before bed and it takes about 1 hour until I'm super chilled and sedated. Honestly best thing you can get over the counter.  Only slight issue is for some reason I get an hungry and tend to raid my kitchen but I'd still rather have this medication with me,Mike87
4,Promethazine,Sedation,3.0,,"February 16, 2022",3,I have used promethazine on and off for years to continue sleeping when I get broken sleep. But noticed recently that as well as feeling drugged all day it leaves me with low mood and irritability too. Just wanted to warn others of being careful specially if you suffer from depression or going through difficult time.,Samy
5,Promethazine,Sedation,2.0,Taken for less than 1 month,"February 5, 2022",0,"I have had an ongoing ear Infection for 18 months and sleep just doesn't happen!  Doctors prescribed these to help me get some sleep. First night I took two as it said take 1 or 2..... I had zero sleep! Took kids to school and struggled to drive. Came home sat down and slept for 4 hours and woke feeling like death, that night I took just 1 and went off very quick, I woke an hour later thinking I'd slept for 8 and I was absolutely soaked in sweat,  didn't get back to sleep! That day I sat down again and must have fell asleep with in seconds as can't actually remember anything. We are on day 3 now and I am still going to try 1 more as I soooo need to sleep.",Daz
6,Promethazine,Sedation,5.0,Taken for 6 months to 1 year,"February 4, 2022",0,It gets me off to sleep but doesn’t keep me asleep it takes me two days to recover after taking it I get a spaced out feeling,Anonymous
7,Promethazine,Sedation,9.0,Taken for less than 1 month,"February 1, 2022",0,"Taking 25mg promethazine for insomnia due to anxiety/panic/ocd since a week or 2 now for insomnia. It helps me well, it helps me fall asleep without any significant side effects (I nod off a bit more easily during the day but that's OK). Only downside is that I'm not allowed to drive with it in my country.",Rik9497
8,Promethazine,Sedation,8.0,Taken for 1 to 2 years,"January 16, 2022",0,"I have used this medication for three different purposes, in syrup form combined with Dextromethorphan and the one with codeine for cough, I was given this once IM injection at urgent care and sent home with a 5 day supply of 25mg twice a day to be taken as needed for nausea and vomiting, the first time I took this in tablet form it was 25mg, and I slept for 12 hours, uninterrupted sleep for 12 hours, I woke up on my friend's couch very confused and disoriented. My psychiatrist has given it to me a few times when my insomnia is really bad, and sedation is just absolutely necessary. It is not used for insomnia in the United States, but it is used for insomnia in Europe. I can't drive a car the next day if I take this at night, it makes me extremely sleepy, and I really don't think it is a safe drug for me to take at home. If I was in the hospital, I would not care if it was given to me because who wants to be in the hospital, right? mostly used for nausea/vomiting and cough syrup combo",3purposes
9,Promethazine,Sedation,9.0,Taken for 1 to 6 months,"December 28, 2021",11,"Phenergan (promethazine):I found half a 25mg tablet good for sleep. Can take hours before it starts working . The first time you take it, it works wonderfully. Be mindful it is an old anti psychotic and has a long half life, so what that means is it builds up in your body. Always start on a low dose of 10mg and increase when needed. High doses can give you restless leg syndrome as it drops your dopamine level. It can also suppress breathing - not ideal!. Best taken an hour before bed as its plasma peak is approx. 2 to 3 hours (the most affect) although that time level is dependent on your rate  of metabolism. I am horrified reading how many people double the max. recommended dose when they take the first time, not knowing how it affects you.",Yol
