,drug,condition,rating,duration,review_date,upvotes,review,username
0,Biaxin,Sinusitis,1.0,,"September 29, 2019",15,"One dose of this medicine  Biaxin left me with severe heart arythmia and messed with my mind. I felt like I was on LCD. I took it once before a couple decades ago and had similar but lesser side effects. I'm not sure if I was prescribed a larger than normal dose since I was in Germany, but the side effects are very dangerous.",James
1,Biaxin,Sinusitis,10.0,,"April 30, 2019",15,"I just came down with sinusitis, something I've had in past years.  I'm now in the second day of taking Biaxin's generic (Clarithromycin )  and on day one, several hours after the first dose I began to feel better.  Now into day two the symptoms have lessened but they're still there.  I've had good luck with Biaxin in the past, and its generic is living up to that performance.  10 days should clear this up completely.",Prof321
2,Biaxin,Sinusitis,9.0,Taken for less than 1 month,"April 11, 2019",14,"I started coming down with a chest cold that I knew would turn into bronchitis.  I called my doctor and he prescribed Biaxin 500mg twice daily as I ended up having sinusitis as well. After the 3rd day of taking this med, I was feeling better and not coughing quite as much. I had no side effects and rated this a 9 because of the after taste it leaves in your mouth. I always ate something before taking it and had no stomach issues. Overall, this really helped me get through my sickness.",Daisy
3,Biaxin,Sinusitis,10.0,Taken for less than 1 month,"March 30, 2019",11,I battled a sinus infection for almost 3 months.  I had pain above my eye and maxillary sinuses.  I had green/yellow thick discharge coming out of my nose from the front and back.  At the beginning of the infection at about 2 weeks in I took Augmentin with no luck.  I suffered for almost 2 more months until going on the Biaxin.  After 1 week of the medication all of my symptoms were gone.  I was worried I would need surgery if this didn't work.  As for side effects the only one I noticed was the taste in my mouth but it was subtle and not that bad.  Stomach was fine as I took a probiotic yogurt every day.  This drug was amazing.,George
4,Biaxin,Sinusitis,10.0,,"May 4, 2018",11,"I have had sinus surgery due to chronic sinus infections that would not relent. (turns out I had an abscess)After three different antibiotics the ENT finally cultured my sinuses and Biaxin was the big winner!It works for me every time and I can tell a difference within 12 hours of taking first dose.If you have chronic sinus infections, get an ENT.",Michelle
5,Biaxin,Sinusitis,5.0,Taken for less than 1 month,"February 1, 2018",4,"Since taking clarithromycin, I have lost 3 pounds in a single week and I struggle to regain weight.  I'm already thin and this stuff has lasting effects which are undesired.",streible
6,Biaxin,Sinusitis,10.0,Taken for less than 1 month,"August 28, 2017",7,I used this twice and worked each time. However I used clav recently for swelling in my chin and while it the clav is bringing down the swelling. The sinusitis is coming back! I think I will need to go on a dose of biaxin after this clav.,Sinusitis King
7,Biaxin,Sinusitis,10.0,,"February 5, 2017",28,"After being sick for a month and a half, after a useless round of Amoxclav, my doctor finally prescribed Biaxin and Prednidone for my sinus infection.  Within a day I was able to breathe through my nose.  My only complaint is the absolutely disgusting aftertaste...and the occasional upset stomach.  I think the side effects are worth it as I finally feel good for the first time in weeks.",ElleMichelle999
8,Biaxin,Sinusitis,10.0,,"July 30, 2016",27,"i always get sinusitis on a yearly basis.  on my worst occasion, i tried 'em all from Zythromax to Ammoxicillian, etc.  none worked for me.  ONLY Biaxin works!!  MD says its not the most recommended antibiotic for sinusitis but does work and is the only one that works for me.Yes ~ it does leave a metallic taste in my mouth, but i like knowing its in my system and attacking my problem so i don't mind the taste at all...  i was also told it is a very old antibiotic, but its an ""Oldie but Goodie""!!Some insurance will cover it while others will not.","golden years, phooey"
9,Biaxin,Sinusitis,,Taken for less than 1 month,"April 6, 2016",27,"I read a bunch of reviews from people who have mentioned having upset stomachs and yeast infections. I used to have those issues on antiobiotics, but then I learned that taking a very strong probiotic (I take the refrigerated ones from Jarro) and a feminine probiotic with lactobaccilus eliminates or at least greatly reduces those issues. I strongly recommend taking both whenever you take antiobiotics.For this one, I agree that you definitely need to take it with a reasonable amount of food. The metallic taste comes and goes but is generally tolerable. I do feel loopy, but I am guessing that has more to do with how sick I am than anything else. Hope this helps.",erky
