,drug,condition,rating,duration,review_date,upvotes,review,username
0,Ciprofloxacin,Sinusitis,10.0,Taken for less than 1 month,"January 7, 2022",0,Developed chronic sinusitis in my teens. Not really sure the reason for it but it is what it is. Every time it got really bad my doctor would give me cipro. It was like being reborn. For the first time in years I could actually breathe through my nose without any issues. It was strange not having to worry about how to breathe. Then it wears off eventually and you’re back to being a mouth breather. It works so well I have often contemplated using it regularly,Frank
1,Ciprofloxacin,Sinusitis,5.0,Taken for less than 1 month,"September 23, 2021",0,"Cipro (ciprofloxacin):I was prescribed the cipro tablets for 10 days for a resistant bacterial sinusitus infection. The medication did work in clearing the infection when the other 2 medications previous had failed. While on Cipro I experienced extreme nightmares, very disturbing dreams and sleep interruptions. I experienced continual bitter taste in my mouth. I experienced abdominal discomfort, IBS and diarrhea. I also experienced ringing in my ears/tinnitus at the time of taking Cipro and ever since, which is a time span from 2009 to 2021. I have permanent damage to my hearing and quality of life since taking this drug.",Canada1984
2,Ciprofloxacin,Sinusitis,1.0,Taken for less than 1 month,"December 25, 2020",7,"Cipro (ciprofloxacin):Took this for a sinus infection.  Did not clear it up, but about 4 weeks later I had neuropathy in my face which then spread down over my whole body.  Muscle spasms, arthritis,  vertigo, blurred vision, headaches, burning nerve pain, tendonitis, even my hair started falling out.  Had to do PT just to use my right leg again.  Went to multiple neurologists and drs. But they could not figure it out.  Almost a year later I was given cipro again and immediately felt like my whole body was on fire.  This was around the time they were having hearings at the FDA to add all the black box warnings, so my new doctor figured it out.   5 years later and I'm better, but still cant hike or do things I used to love, and still have nerve and tendon issues  Don't ever take Cipro!",Melissa
3,Ciprofloxacin,Sinusitis,1.0,,"March 31, 2020",17,"DO NOT TAKE THIS MEDICATION CIPROFLOXACINE! I REPEAT, DO NOT TAKE THIS MEDICATION!Let's see where do I start? I was paranoid, did not go to sleep for 24 hours,  could not stop going to the bathroom, I had weird movements (my thumb would move for no reason), my fingers were tingling,  sometimes I was hot sometimes I was cold. I was nervous, anxious, scared, and could not keep still in the shower just to wash myself. 22 hours later I have a  smell that I can't get out of my nose that smells like bleach. I'm hoping it goes away. Oh, and let's not forget the tightness in my throat and how my bones would hurt to the point standing up was difficult. My husband said I woke up out of my sleep jumped out of the bed and got in the shower. I don't even remember doing that, which is another side effect called, ""confusion or memory loss"". Let's just say I said a lot of prayers that night because I thought I wasn't going to make it.",Halima
4,Ciprofloxacin,Sinusitis,8.0,,"January 22, 2020",7,"I took 2,500mg total over the course of 3 days which consisted of a 500mg dose twice a day .  On the third day I stopped my treatment after feeling extremely tired and fatigued from just the simplest of chores. Side effects I suffered are weakness, internal vibrations, de-personalization, immense dread, fear, depression, suicidal thoughts, nerve pain, tingling sensations, out of body sensations, memory loss, eye strain, dry eye, ear pressure, stomach problems, stiff joints, balance issues and that's all been on and off since I stopped taking the cipro. Many have been impacted in a negative way by this drug. Please, if you have the option go take another anti-biotic that is not a fluoroquinolone. I beg you to think twice about glancing over the warnings that come with your medication because this drug is no joke and can cause serious harm! I'm a year out and in some aspects I have improved but, in others I'm still healing and looking forward to the day I'm back to my previous bill of health.",Oel
5,Ciprofloxacin,Sinusitis,10.0,Taken for less than 1 month,"January 17, 2020",35,"While my heart breaks for the folks who have shared of terrible and enduring side-effects from using Cipro, for the the first time in my life I am posting on the internet, if I can help you decide.  I am elderly, frail, and have had to be hospitalized from several meds, due to toxic and enduring side-effects. But we are all different; Cipro works better for me on sinus & UT infections than ANY other med.  Relief in as little as 4 hours from severe pain. For me, it is great",disaster no more
6,Ciprofloxacin,Sinusitis,1.0,Taken for less than 1 month,"December 9, 2018",6,"Horrible antibiotics, took first pill at 5pm had loud ringing in left ear, 4 days later still faintly ringing. Also had nightmares all night. Didn't take another pill next day, went back to doctors and asked for a different one. Way too strong for me, glad I was wise to not finish these antibiotics",Mystique
7,Ciprofloxacin,Sinusitis,1.0,,"December 8, 2018",2,"After taking just 1 pill, a few hours later had severe ringing in left ear which practically lasted all night, nightmares when I finally fell asleep. No way was I going to carry on. I  went back  to the Doctor the next morning and asked for a different antibiotics.Still have slight tinnitus 2 days after, so lucky I didn't carry on obviously this antibiotics were too strong for me.",Mystique
8,Ciprofloxacin,Sinusitis,1.0,Taken for less than 1 month,"December 8, 2018",8,Cipro (ciprofloxacin):Cipro antibiotic gave me clostridium difficile colitis ... It was too harsh on the stomach and I was taking it for a sinus infection.,Anonymous
9,Ciprofloxacin,Sinusitis,1.0,,"November 15, 2018",12,"Cipro (ciprofloxacin):First of all I am a Certified Pharmacy Tech, I have taken Cipro so many times in the past for ear infections, UTIs, sinusitis and whatever else. Well that ALL changed! I was taking it for my sinuses and an ear infection. Just about as soon as I swallowed the pill I started breaking out in a rash and welts all over my body. I looked like I had been chemical burn, not to mention the itching! I let the pharmacy manager look at me and she said you are highly allergic to Cipro. I had never had a reaction like that before in the past. I don’t know if they changed up the chemicals to it or what. To this day I can’t even count out Cipro if a patient has a script for it!! I will immediately break out in welts on my hands and start scratching if any of the powder gets on my skin. I can’t even touch the stock bottle it’s that bad.",NotForMe
10,Ciprofloxacin,Sinusitis,3.0,,"October 8, 2018",3,"I have taken this drug many times due to my allergies to most families of antibiotics. I have always tolerated it generally well, however the last two times I took it, I had extreme anxiety and panic attacks, as well as feeling like crying even though I wasn't sad. The first time I completed my dose and assumed it was my anxiety disorder causing it. I felt better and better the next week or two after I was done with my dose, but didn't connect the two. However the next time I took the medication, I felt the exact same. Extremely anxious to the point where Klonopin wouldn't calm me down, and sadness for no reason. I stopped after 3 days in and noticed a great decrease in mental symptoms the next day, dissipating within a week or so. I am lucky to have no physical symptoms, as I still work out almost daily and had no tendon issues or soreness, however due to all of the complaints from others, and the mental effects it had on me, I won't take it again.",john
