,drug,condition,rating,duration,review_date,upvotes,review,username
0,Amoxicillin and Clavulanate,Skin or Soft Tissue Infection,5.0,Taken for less than 1 month,"November 14, 2021",0,"Ok so I have Severe Facial cellulitis due to tooth (need root canal) Taking 875-125 for 14 days. It took 6 days for swelling to go away. Breast feeding a new born as well we both had diarrhea I’m trying wean my baby. I have foggy brain and it’s hard to concentrate at times it’s really bad. Severe mood change, crying, confusion. I’m 36 years old and found my self crying out for my mom. I had panic attacks thinking I was dying I never had panic attacks in my life. Extremely, tired. After 7 days I think my body is adjusting and I feel better but extremely tired going to doctors tomorrow to figure out what to do.",Ali
1,Amoxicillin and Clavulanate,Skin or Soft Tissue Infection,3.0,,"September 18, 2021",0,"I have a huge swollen painful abscess on my bum, the hospital gave me these pills 875mg, 2 a day. To be honest this is the second pill I've taken ,1 with food and 1 without and it works so far but it doesn’t last. The first pill made the swelling go down but then it came back so we’ll see what happens later on. This abscess is huge and no sign of pus so it couldn’t be drained yet. No side effects from pills i just hope they work. I""m prone to boils not sure why but… yeah.",Anonymous
2,Amoxicillin and Clavulanate,Skin or Soft Tissue Infection,1.0,Taken for less than 1 month,"August 28, 2021",0,"Augmentin (amoxicillin / clavulanate):After taking Augmentin, the very next day, I had the worst migraine of my life. I don’t know how I powered through school but I did. The next day, the migraine was still very present. Woke up and vomited because my head was hurting so bad. I went back to the ER. They hospitalised me after that for four days. Had CT scans and everything. Worst experience ever on Augmentin, that is.",Girl
3,Amoxicillin and Clavulanate,Skin or Soft Tissue Infection,10.0,Taken for less than 1 month,"August 4, 2020",3,"Day 1 woke up with a horrible toothache..got so bad by the 2nd night I couldn't sleep at all. The pain was so bad I was crying and losing my mind..the only thing that helped was keeping ice in my mouth at all times to numb it..I was eating ice for 24 straight hours! :( Day 2 I did an online appointment and was prescribed Amox-Clav 875..2 times a day for 10 days. The first 2 pills I did not notice a difference at all but the morning of Day 3 about an hour after I took my pill the pain was 100% gone! I am on day 4 of this ordeal now..feels great and as of now I have had no side effects at all. I was concerned about this after reading the reviews. I did take my pill after I ate breakfast , drank lots of water all day and also took a probiotic pill every morning as well.",Cindy
4,Amoxicillin and Clavulanate,Skin or Soft Tissue Infection,8.0,Taken for less than 1 month,"May 22, 2020",9,"Augmentin (amoxicillin / clavulanate):Took Augment 10 days twice a day, 875mg. Great experience but did not fully get rid of my stubborn infection. It only made me a little gassy with no other side effects.",anon
5,Amoxicillin and Clavulanate,Skin or Soft Tissue Infection,10.0,Taken for less than 1 month,"May 10, 2020",16,"Augmentin (amoxicillin / clavulanate):I took augmentin for a nasty stye that was getting increasingly worse.  I do not have a good track record with antibiotics as I have either broken out in hives or it has caused some intolerable mood swings. I was nervous about taking it, but the stye caused me so much pain that I gave in. Hours after the first dose, the stye came to a head and immediately started draining. It felt like so much of the pain had finally left my eye. By day 4, other than the scar/scab, my eye looks and feels like normal. My digestion is a bit out of whack, but I deal with other complicated gastro issues, so this was not a big deal for me. Probiotics and kefir to help!",AllOkay
6,Amoxicillin and Clavulanate,Skin or Soft Tissue Infection,1.0,Taken for less than 1 month,"March 31, 2020",16,"Augmentin (amoxicillin / clavulanate):I was prescribed Àugmentin (Amox-Clav) 125mg every twelve hours for 10 days. Starting having diarrhea the day I started and by day five I became so sick I thought I was going to have to go to the ER. Horrible stomach pain and cramps, fever, extreme weakness, painful muscles mainly in legs, nasty sweat, nightmares, and I lost my sense of smell...which may have been a good thing since I was pretty much stuck in the bathroom. The fever and pain lasted two days after I stopped taking the augmentin on day five. The diarrhea has continued (on day eight after discontinuing drug) and is pretty much spontaneous. I can’t go anywhere. I have never had stomach issues in my life (I’m 50). I fear my gut is damaged beyond repair. This is a nasty, nasty drug. Also has worsened my depression and mental state in general.",Lacey
7,Amoxicillin and Clavulanate,Skin or Soft Tissue Infection,10.0,Taken for less than 1 month,"March 21, 2020",19,"Augmentin (amoxicillin / clavulanate):I had a stye that turned into cellulitis with extreme swelling, redness and pain. If you google the most extreme pics of periorbital cellulitis, I looked worse than those. My lower eyelid was so swollen that it was projected so far out that when I closed my eye, my inside tissue, the mucous membrane was completely exposed. It felt like my skin was ripping apart. I was prescribed 1000mg Augmentin and after the first tablet, I was about 25% better. After the second tablet, all pain was gone and it went down to looking like a normal stye again. This was in just 24 hours. By the end of day 3 you'd never know it happened. I've also been prescribed Augmentin for bronchitis and respiratory infections and it's quick and works great for those as well.",Riley
8,Amoxicillin and Clavulanate,Skin or Soft Tissue Infection,10.0,Taken for less than 1 month,"February 27, 2020",4,"My son diagnosed with facial cellulitis 5 day treatment completely healed 100% effective Excellent medication No side effects 100% covered NYS Community Plan",MN1818
9,Amoxicillin and Clavulanate,Skin or Soft Tissue Infection,1.0,Taken for less than 1 month,"January 23, 2020",10,"Augmentin (amoxicillin / clavulanate):I was prescribed Augmentin for what my doctor thought was a skin infection on my right leg. Well after taking my first dose within 2 hours my stomach became extremely upset... burning...nausea... diarrhea....bloating...and anxiety and panic has always been a issue for me but after Augmentin it was immediately 20 times worse. My Dr ended up telling me to stop taking it on day 5 cause it was getting worse and worse. My skin infection cleared up with some hydrocortisone cream and antibiotic ointment but its been over 3 months since stopping this med and I'm still having major stomach issues and mental isses, so please be careful people especially if you have anxiety or stomach issues before hand.",Bethel
10,Amoxicillin and Clavulanate,Skin or Soft Tissue Infection,6.0,Taken for less than 1 month,"November 19, 2019",0,"***Make Sure You Take amoxicillin and clavulanate With Food And A Lot Of Water***  Took this for a gum infection. Also had wheezing from previous pneumonia/bronchitis. Doctor gave me this 875mg, two times a day, for 14 days. Had problems all along with some acid reflux symptoms since starting the meds. I don't think I ate and drank enough with the medicine and it has caused acid reflux.  Day 8 and about seven hours had gone by since my last dose. I woke after being sleep about two hours with severe burning in throat.  Couldn't even sit down. Had to stand so it would calm down.  Took a probiotic and drank water. Not sure what I'm gonna do today since I need gum issue resolved.  One antibiotic I like is sulfamethoxazole.  Cleared my wheezing but treatment not long enough to completely clear it.",Btm66
11,Amoxicillin and Clavulanate,Skin or Soft Tissue Infection,8.0,Taken for less than 1 month,"October 22, 2019",4,"Augmentin (amoxicillin / clavulanate):When I received a shot of Novacaine at the dentist for one of my front teeth, it seems he hit the nerve going from the gums into my nose. My left nostril swelled so that it look like a pig nose and was extremely sore to the touch. After three days on the Augmentin, all the pain is gone and the swelling has come down to about half its original size, so my nose looks normal. I was particularly worried because I had to perform in two concerts two days after my first dose. The infection formed scabbing on both the outside and inside of the nostril. A little cover-up applied to the outside got me through both concerts. Still have swelling inside but it’s doable. High marks for this antibiotic.",USAMaid
12,Amoxicillin and Clavulanate,Skin or Soft Tissue Infection,,,"September 11, 2019",8,My butt feel as if it is on fire.,Anonymous
13,Amoxicillin and Clavulanate,Skin or Soft Tissue Infection,2.0,Taken for less than 1 month,"August 3, 2019",13,"Augmentin (amoxicillin / clavulanate):I started this 6 days ago for an infection for a knife cut on my thumb knuckle. It seemed to work and swelling is down however I was advised to stop using it due to the side effects. Severe nausea upon waking, chills, agitation, unable to keep still yet tired, lightheaded and fatigued. The panic attacks and constant catastrophic thinking really made me need to stop this med. I hope it killed the infection because I think I may need a medicated coma for my next round",Murphy
14,Amoxicillin and Clavulanate,Skin or Soft Tissue Infection,3.0,,"August 3, 2019",2,"Been suffering for years with what's said to be possibly either Crohn's disease or HS (Hidradenitis suppurativa ) on the vaginal, anal and butt crack. Always told this was folliculitis down there with bacterial staph and MRSA. No antibiotic has worked. I have lots of cuts deep holes pus swollen lymph nodes in pelvic with intense itching all day and night. I was prescribed this antibiotic for 10 days I am on day 5. Since day 1 first dose increased the itch and caused a heavy feeling in lower stomach and surrounding areas. Increased urination it has me feeling like I have now a UTI. I'm experiencing more itching swelling. Incomplete bowel movements and urination. Tired and now I'm noticing headaches. The thing is I had a bad cough for a very long time which is practically gone. And my ear that has always hurt has stopped. Wasn't prescribed for those things but it helped. Wish it helped with what it was initially given for this vaginal anal infection. Not working for me but I'm sure it may for others. Good luck",Jay
15,Amoxicillin and Clavulanate,Skin or Soft Tissue Infection,5.0,Taken for less than 1 month,"July 30, 2019",7,Augmentin (amoxicillin / clavulanate):Had Augmenting  a year ago for severe sinus infection..Just had again this time for a dog bite. 2 boxes and both times bp went up and takes ages to go back to normal after finish.,Cxtne
16,Amoxicillin and Clavulanate,Skin or Soft Tissue Infection,8.0,Taken for less than 1 month,"July 11, 2019",1,"During last  few years I have used this antibiotic amoxicillin with clavulanate and every time I used, it gave excellent results. if you feel diarrhea that should be managed separately, take probiotics etc, take it with food.",sami
17,Amoxicillin and Clavulanate,Skin or Soft Tissue Infection,1.0,Taken for less than 1 month,"June 10, 2019",6,Augmentin (amoxicillin / clavulanate):Bitten by a dog got prescribed this worst experience of my life. I cannot sleep and I feel like throwing up the entire time. I just close my eyes and wait till the sun rises. Lay in bed wake up eat take my course and repeat....hate this antibiotic...,Cole
18,Amoxicillin and Clavulanate,Skin or Soft Tissue Infection,10.0,,"March 20, 2019",3,Augmentin (amoxicillin / clavulanate):Augmentin has been a saving grace for my acne. It works so great when NOTHING else works. Unfortunately over the years it has lost its effectiveness. 10 years ago I would take  a course and have clear skin for months. Now a full coarse of aug 875mg will only last a few weeks after taking it before the unbearable itch and painful acne appear. Not sure what step to take next...,Cuzo
19,Amoxicillin and Clavulanate,Skin or Soft Tissue Infection,,Taken for less than 1 month,"December 16, 2018",0,"I been taking amoxicillin/clavulanate for 10 days, today is my last. After the third day of taking this my legs were very sore, I couldn't walk right & spent 3 days limping. I started getting bumps that looked like a rash on both my lower legs. The doctor had me finish the pills and gave me cream for the rash. Anybody else have this problem? I'm really curious because the rash look more like bites and I'm very scared.",Spanishbrat
20,Amoxicillin and Clavulanate,Skin or Soft Tissue Infection,9.0,Taken for less than 1 month,"November 14, 2018",34,Augmentin (amoxicillin / clavulanate):I feel like the people that come on here to read reviews are people like me who have anxieties about taking medications. I needed this medication for a skin infection after my c section. I was nervous about the symptoms after reading the comments on here but I had ZERO problems with this medication. I was prescribed 875mg 2x daily. I made sure I ate a pro-biotic yogurt before starting this med and had one every day for 7 days until I was finished. I had no upset stomach or diarrhea.,Gi
21,Amoxicillin and Clavulanate,Skin or Soft Tissue Infection,1.0,Taken for less than 1 month,"October 10, 2018",9,"Augmentin (amoxicillin / clavulanate):Throughout the whole course I had horrible nausea and diarrhoea :/2 weeks after finishing the course I'm still sick!So fatigued, flu like symptoms, chills and sweats, terrible cramps and always in the bathroom. I've now been diagnosed with colitis from augmentin.I'm more sick after the course than I was before I actually needed the antibiotics!!I've never had a reaction to any other antibiotic so would never ever take that again.",nauseousgirl
22,Amoxicillin and Clavulanate,Skin or Soft Tissue Infection,1.0,Taken for less than 1 month,"June 7, 2018",6,"Took for gum infection. 3 days in to the prescription, I started have major anxiety attacks. Heart Palpitations, HBP,  dizzy, shaky, clammy. Sent me to the ER as I thought I was having a heart attack. It was awful. I will never take again. If you have to take it, please be aware of these side effects. No one tells us about the panic, but upon doing some research, it's pretty common.",Debra
