,drug,condition,rating,duration,review_date,upvotes,review,username
0,Paxil,Social Anxiety Disorder,6.0,Taken for 1 to 2 years,"October 8, 2021",0,"I was on 3 SSRI  before Paxil for social anxiety and this one worked the best I was year and a half on it but unfortunately I started to shake to much and I got black spots on my legs like someone punched me. My psychiatrist told me it was from Paxil and I got hot, burning in some areas which hurt. I had to quit paxil I was on 30mg. Now I tried to quit and my anxiety is slowly coming back. I was thinking of trying zoloft because everyone is saying that it's great. So yeah sad but I  hope I will find some drug that will work great with me.",Mayah
1,Paxil,Social Anxiety Disorder,10.0,,"July 22, 2021",4,"This drug changed my life in a positive way. I was put on (10 mg) for depression and social anxiety disorder. The only side effects were drowsiness, and it was a bit rough in the beginning as described (Restlessness, loss of appetite symptoms got worse before they got better, brain fog, etc.) But it was worth it. I can finally live my life. My brain fog diminished by a tenfold and I was able to talk to people, I was surviving in situations that would make me have a nervous breakdown only months prior. My depression lessened and I felt more happy again; I feel like I'm allowed to live again. I was scared to take this after reading all the negative experiences, but I've had not one regret after going on Paxil. I finally feel positive for the future.Paxil is different for everyone, and you need to see which medication works for you. It may be either a great or a terrible fit; you'll never know until you try it.",Daisy
2,Paxil,Social Anxiety Disorder,6.0,Taken for 5 to 10 years,"January 17, 2021",4,Works quite well but it will induce fatigue if you have CYP2d6 enzyme problems,DeanBNE
3,Paxil,Social Anxiety Disorder,2.0,Taken for 1 to 6 months,"November 1, 2020",6,"I started taking paxil after being SSRI free for 8 months. Side effects of citalopram were worrying in the long run. My very good memory was suddenly poor and when I drank alcohol I  could barely remember the night. So I stopped the Paxil. But I could only live with my mind for 8 months. I had panic attacks at work daily and it was too much to take. I'm 25 so having social anxiety which is a nightmare. Paxil. Initial side effects of paxil were bad considering I only started on 5mg dosage ! Ringing in ears. Tingling in my arm. Constant and for weeks ! Side effects stopped and I really did feel better Until now. 3 months in. And my hair is falling out in chunks. I'M FEMALE. My hair is thick and curly and one of the only things I liked about myself. Liked, because now it is thinner by half. I googled a link between paxil and hair loss and although poorly reported I wasn't the only one that has experienced this. Pills are not a cure. This is not a cure. It's a disease.",Mm99
4,Paxil,Social Anxiety Disorder,10.0,Taken for less than 1 month,"October 17, 2020",59,"I was prescribed this about 10 yrs ago and I cannot remember why I was taken off it and put on Sertraline. However since then my social anxiety has been debilitating even on the highest dose Of  sertraline.  I was thinking and trying to remember a really relaxed happy time and I remembered the paroxetine period. My whole life  since then has been gripped by fear and anxiety and fear of scrutiny I rang my Dr and asked if I could try it again. He was a bit reluctant because of the withdrawal problems but agreed. My goodness, I am SO thankful, within a week the anxiety and constant fear and tension had gone. It is amazing and I have my life back again !!! My heart is singing with joy and the release is so fantastic. THANK YOU PAXIL, I have a future !!",Anonymous
5,Paxil,Social Anxiety Disorder,10.0,Taken for 6 months to 1 year,"June 5, 2020",53,"I’ve been taking Paxil for almost a year now. I struggled with social anxiety all my life, but it was manageable. But when I started college, it got really bad. It got to the point where I couldn’t order food at a restaurant or buy a bag of chips at the gas station without feeling nauseous. My doctor thought Paxil would and put me in 20mg. And it really has made a huge difference. I can function like a normal human now. I’m not suddenly a social butterfly or anything, I’m still a rather shy person. This drug won’t change your personality, but it does help alleviate anxious symptoms associated with social situations.",MaryMac
6,Paxil,Social Anxiety Disorder,9.0,Taken for 5 to 10 years,"April 17, 2020",19,"I need sunlight or D vitamin to work miracle with the Paxil !!!Not so good for Winter months, because they have sedating approach to CNS!Good for short or long term use!Every time works great! ps. Add some supplements of fish oil or natural vitamin d,for boost metabolism",Gordon
7,Paxil,Social Anxiety Disorder,9.0,Taken for 1 to 2 years,"April 1, 2020",23,"It has been many years since I took Paxil. I took Paxil as a child to help me with my anxiety, specifically social anxiety. I would have terrible stomach aches before and during school because I was so crippled with anxiety. I had a few friends, but never made an attempt to meet anyone new. I was prescribed Paxil and my life made a 180! I became very social and made a lot of friends very fast. I loved the life I was having! The downside and ultimately why I stopped was because I didn't have a care in the world and the hurt my schooling. I started to get behind on homework which hurt my grades.",B
8,Paxil,Social Anxiety Disorder,8.0,,"March 27, 2020",5,Every medicine is different and it also depends on what else are you taking with this medication..,Still There
9,Paxil,Social Anxiety Disorder,5.0,Taken for 1 to 6 months,"January 6, 2020",12,"My life is a little bit more complicated than just anxiety and depression. Paxil is good for depression and anxiety - I suppose, but it doesn't work by itself for me. Twenty years ago, my psychiatrist prescribed Paxil, but I continued to have intense anxiety in social situations as well as paranoia - no hallucinations; just delusional thinking which I THOUGHT was part of panic disorder. I'm trying Paxil again, but starting at lower dose due to ED. Currently, I take Lamictal, Klonopin, Paxil, Wellbutrin XL & Trazodone for sleep. Remember, if you don't get your anxiety under control, it will lead to social anxiety then agoraphobia and finally psychosis. Don't play around.",JC65
10,Paxil,Social Anxiety Disorder,6.0,,"January 3, 2020",8,"Recently, Paxil has two side effects that I can't stand: nightmares and erectile dysfunction. Two things that a 40 year old male doesn't need in life. I tried the newer AD but they cause nightmares and panic attacks.",Geaux Louie
11,Paxil,Social Anxiety Disorder,4.0,,"August 8, 2019",15,"Mine review is kinda short and sweet. I've been on Paxil for about 10 years. No sex drive at all, still anxiety but a few weeks ago I had forgotten to take for about 4 days, cried uncontrollably until I realized. Is this drug just supressing my feelings deep down, maybe that's why I still have extreme anxiety? Just a thought.",DD
12,Paxil,Social Anxiety Disorder,10.0,,"August 1, 2019",107,"Paxil has been life-changing. I've suffered crippling social anxiety for as long as I can remember. I've been on all kinds of combinations of SSRI's from age 16 to about 25. After a couple years on nothing, I decided to give it another try. My doctor put me on Paxil. I started on 10mg for two weeks, then upped it to 20mg for a two weeks then 30mg and 40mg.  After a couple weeks on 40mg I was starting to give up hope. After about 12 weeks, I decided it didn't work and was ready to stop usage. I knew the withdrawals were pure hell, so I wanted to taper off very slowly, then one night I woke up and had this incredible sense of well-being. It was like all my anxiety and depression had suddenly disappeared. Since that moment all my anxiety has been gone. I have no idea why it took 3 months before I noticed anything, but when I did, it was profound. The drug has saved my life. I'm so glad I didn't stop before that 12 week mark. I would have never known the miracle this med has given me.",TJ
13,Paxil,Social Anxiety Disorder,,Taken for less than 1 month,"July 18, 2019",9,"I'm on one month now on Paxil  prescribed by m psychiatrist, as I almost always had social anxiety and phobia. I feel more anxious on it but when I stop taking it I feel good but maybe is that because of medication idk. I just hope that this one will work. I  will give it a chance and I tried Zoloft which made me just tired.",Serey
14,Paxil,Social Anxiety Disorder,1.0,Taken for 10 years or more,"June 21, 2019",16,"Paxil is a terrible medication. It did not help made me, I was worse.  It  took 6 months to get side effects off and its been 1 and 1/2 years and I still have  panic attacks and claustrophobia they don't last long now. Don't take paxel or zoloft they are both bad meds.....",ron
