,drug,condition,rating,duration,review_date,upvotes,review,username
0,Venlafaxine,Social Anxiety Disorder,10.0,Taken for 1 to 2 years,"February 20, 2022",3,"This medication has been a game-changer for me. After 15+ years of social anxiety, generalized anxiety, bulimia, and pure O OCD symptoms I finally have freedom from obsessive, anxious thinking. I tried SSRIs and Wellbutrin with no significant reduction in symptoms but 150 mg daily of this really, truly helps. I haven’t tried to wean off so I cannot speak to the withdrawal, but if you are considering trying this med please don’t scare yourself with horror stories. Those exist for all psychiatric meds but you and your doctor CAN find something that works for you, and you owe it to yourself to keep trying! Good luck :)",SHB
1,Venlafaxine,Social Anxiety Disorder,10.0,Taken for 1 to 6 months,"February 19, 2022",1,"Okay so I had no idea this medication was used for migraines...cool cause I've had one for 3 days since I increased my dosage from 37.5 mg to 75 mg. Right now it's not bad just a little eye pain when I move my eyes hard down and up. Right so the reviews I've seen...I'm pretty sure this medicine is for people with social phobia and anxiety which I have. So the people saying they were outgoing and then started taking this...I don't understand why they needed this drug if they didn't have social anxiety to begin with. I legit have intrusive evil thoughts, social anxiety, introverted behaviors...I don't like people to put it bluntly and coronavirus made that more clear to me during the short lockdown we had. Going back into society after that was really hard for me cause not only did u not want people around me but I was freaked out about the virus. This drug has helped me so much so it depends on the person. Also sex drive went up A LOT big bonus",These reviews..
2,Venlafaxine,Social Anxiety Disorder,7.0,Taken for 6 months to 1 year,"February 9, 2022",0,"I’ve been on Venlafaxine XR for about 7 months now. It’s tremendously helped my depression. It’s also helped my social anxiety as well, I’m able to show my emotions way more and have a lot less intrusive thoughts at 150 mg. I still do have intrusive thoughts, but they’re greatly reduced. I’ll probably ask for a dose increase because it wasn’t until 150 mg which I noticed a general change in my social anxiety and I’ve seen people go as high as 300 mg for anxiety if need be, but likely I won’t go that high. Side effects: For a week or two after increasing the dose it gave me erectile dysfunction (I’m only a teenager..) & an inability to ejaculate, but it went away. Also I'm not sure if it’s the medication but it seems like ever since being on Venlafaxine XR I have a harder time controlling my anger.",joey_12346
3,Venlafaxine,Social Anxiety Disorder,6.0,Taken for 1 to 6 months,"November 19, 2021",1,"Effexor XR (venlafaxine):My social anxiety resolves around me feeling inept, boring, awkward, annoying & straight up unlikeable. Also resolves around me feeling judged harshly by others. It ruins social situations. Situations I experience this are around strangers, answering the door/phone, meeting new people, hanging out, shopping, school, the list goes on. I've been on Venlafaxine XR for depression and social anxiety since late July and it’s helped give my my emotions back so I feel less boring but I still overthink a ton, albeit less. My anxious thoughts are somewhat suppressed but they’re still there. It’s been helpful for depression but for social anxiety I feel maybe an increased dosage to 225 would benefit me since I feel it working just not enough.",Joey
4,Venlafaxine,Social Anxiety Disorder,8.0,,"November 9, 2021",0,"It helped with social anxiety. But for orgasm was problem , and erection too . So there is pros and cons",Kudos
5,Venlafaxine,Social Anxiety Disorder,10.0,Taken for 1 to 2 years,"April 5, 2021",29,Effexor XR (venlafaxine):Effexor has absolutely changed my life for the better.  It's massively helped with my social anxiety.  I used to dread going out for even the simplest things.  Now I am able to go out without feeling extremely stressed and I even make small talk sometimes.,B
6,Venlafaxine,Social Anxiety Disorder,10.0,,"November 24, 2020",25,"Effexor XR (venlafaxine):Literally, I was having a meltdown. Until I sought help, and this angel of a woman prescribed me with mirtazapine + Effexor combo  ( commonly known as California Rocket Fuel) + Rivotril and my life is now changed. I feel like I haven’t felt in decades. I got my life back. I almost didn’t follow through with this because of the side effects you get in the beginning. But if you stick to it, 3 months in you’ll see for yourself! I seriously don’t give a damn if I need to take this the rest of my life. Well worth it!",Oooppot
7,Venlafaxine,Social Anxiety Disorder,10.0,Taken for 6 months to 1 year,"September 9, 2020",14,"Best medication for my social anxiety I’ve ever had. I have comorbid conditions, major depression and borderline personality disorder. The psychiatrist told me ideally it would work for both anxiety and depression, but for a lot of people it only helps one a bit more. My depression was still around, but my anxiety was better than ever before. It changed my life",Kr
8,Venlafaxine,Social Anxiety Disorder,1.0,Taken for less than 1 month,"August 19, 2020",3,"Took a single dose of venlafaxine 37.5mg that my doctor had prescribed me, naturally without telling me anything about the drug. What ensued was nothing short of the worst night of my entire life. Woke up at 2.00 sharp, had hot and cold sweats, diarrhea, brain zaps, weakness and numbness in the limbs, constipation, dizziness to the point where the world was spinning around me and I very nearly fainted, and last but not least, vomit-inducing nausea. This horrible little pellet of awfulness feels like no medicine I've ever had.",onedaypatient
9,Venlafaxine,Social Anxiety Disorder,7.0,Taken for 6 months to 1 year,"March 21, 2020",6,I've been on venlafaxine a year and am slightly happier more perked up 8/10! I have slight stomach aches urinating frequently horrible withdrawal 7/10,Corey
