,drug,condition,rating,duration,review_date,upvotes,review,username
0,Hydroxychloroquine,Systemic Lupus Erythematosus,9.0,Taken for 5 to 10 years,"December 10, 2021",1,The generic Hydroxychloroquine made me ill and hospitalized. The coating is different than  the brand drug. Prasco labs had an authorized generic of Plaqunil they sold until COVID that was reasonably priced but they removed it and now my only option is the brand Plaquenil which costs me a fortunate in a monthly basis. I wish these companies would not play games with our health. Since COVID the price on Plaquenil has also increased. I wish they would help an average American than needs this medication at a reasonable price. Very disappointed.,Plaqunil
1,Hydroxychloroquine,Systemic Lupus Erythematosus,8.0,Taken for 1 to 6 months,"November 23, 2021",0,"I've been taking this drug for about three months for lupus, the only  symptoms I had was nausea but I took it on a empty stomach I also experienced darkening on certain parts of my body but the main symptoms I'm getting are psychological it makes me kind of foggy headed . But when I'm on it my lupus malaise and pain are really under control and my liver function goes down to normal. The benefits are worth the brain fog",Kat
2,Hydroxychloroquine,Systemic Lupus Erythematosus,1.0,Taken for less than 1 month,"August 24, 2021",0,"I was put on hydroxychloroquine for my lupus and arthritis. I have pain mostly in my upper back, neck and shoulders and left arm, wrist, and hand. I was prescribed to take two 200mg pills once a day. I took it only twice and my reaction was beyond terrible It started off with a rash on my stomach which later spread to my entire body. Little did I know I would be in for the worst 2 1/2 months of my life. See with this medication the half life is so long that one pill stays in your system for at least 40 days. So this rash was with me for weeks and weeks on end. I had to be put on prednisone for my severe reaction (which caused weight gain and severe permanent stretch marks). The rash made it impossible to shower, I couldn't sleep, my skin was peeling everywhere, I was hospitalized for anaphylaxis. I cried for hours everyday. I wanted to die. Never again! Please get tested for allergies before ever using this medication if you want to be seriously safe. I am scarred for life!",Mar
3,Hydroxychloroquine,Systemic Lupus Erythematosus,4.0,Taken for 1 to 6 months,"July 4, 2021",5,Plaquenil (hydroxychloroquine):Started plaquenil a little over 30 days ago. I was so excited because I started to have more energy very early on. About a week in I did a bunch of stuff at my mothers house —outside!!—-and didn’t have to go hide in a hole for 3 days to recover. I started rethinking my whole life again. I thought maybe I could go back to school or work…. Life could be normal again?I thought too soon. The last three weeks have been a whirlwind of negative thinking and random outbursts. I rarely get mad at anyone and found myself annoyed at the whole world. The final straw was a visit from my grandson. I was so irritated I could barely watch him. I am not willing to accept this. The trade off is too great. What’s life if you can’t enjoy family visits? I won’t be taking it anymore as of today.,Ahendricks79
4,Hydroxychloroquine,Systemic Lupus Erythematosus,10.0,Taken for 1 to 2 years,"April 17, 2021",3,"I have been taking Hydroxychloroquine for two years. Has helped significantly with my Lupus symptoms (joint pain). Looking into changing my diet and healing my gut, so I can get off my medication, but I’ve had no known side effects and the medicine has done nothing, but help!!",Carrah
5,Hydroxychloroquine,Systemic Lupus Erythematosus,10.0,Taken for 10 years or more,"March 21, 2021",1,have taken this medicine for 15 years to avoid lupus flare ups...no side effects but do need to have eyes checked yearly.,mg
6,Hydroxychloroquine,Systemic Lupus Erythematosus,1.0,Taken for 2 to 5 years,"November 16, 2020",16,"Plaquenil (hydroxychloroquine):I took Plaquenil for Lupus for 4 years.  It causes eye pain, chest pain, stomach pain and gave my face a melasma appearance that is irreversible. It did NOT help with RA or Lupus symptoms at all, but my doctor wants me to stay on it or see a different doctor.",Raye
7,Hydroxychloroquine,Systemic Lupus Erythematosus,10.0,Taken for 10 years or more,"November 15, 2020",12,"Hello. I diagnosed with lupus, RA, sjogrens when I was around late 40's.  The lupus came first and the rest thereafter. I was given Hydrochloquine after a year of diagnoses and within days got my life back. I had fever and pain, etc for years prior to this. I am active.I am now 68 and thank goodness for this drug hydroxychloroquine. I do have mild tinnitus since taking it but that is minor as I AM FUNCTIONING like I need to be and I have a good life back.",louisiana girl
8,Hydroxychloroquine,Systemic Lupus Erythematosus,10.0,Taken for 10 years or more,"September 28, 2020",10,"I have used this drug for many years now without any problems. I get regular eye exams every 6 mths. The normal is 1 year, just my eye Dr likes to check on his patients on it every 6 months.  I can only base my opinion on what I know about my experience with it. I have been blessed. If it was this easy for everyone I’d say by all means take it, however I know that sometimes it not this simple. The best advise I can give is to research and talk it over with your Healthcare provider. If you feel it’s right for you try it, who have you to lose?I wish you the very best.",Char
9,Hydroxychloroquine,Systemic Lupus Erythematosus,2.0,Taken for 1 to 2 years,"June 6, 2020",17,"Having taken Plaquenil for several years 20 years ago, and had stopped for reasons I don't remember (I am 79 yr old woman), My rheumatologist prescribed it for SLE and Sjogren's.  I have been taking it for a little over a year again.  After taking it for a little over a year, I recently began having irregular heart beats, and the fatigue has returned with a vengeance.  Last night I was unable to sleep due to my flip flop heart beats, and my blood pressure was elevated considerably.  Unable to reach my rheumatologist after several days and numerous calls, I did not take my Plaquenil today, nor will I continue on it...and will be looking for another rheumatologist. Fatigue is unbearable, and hope I can find a serious doctor to help me until I can leave Arizona for a cooler climate.  I moved back to Arizona a couple of years ago after living in a much cooler climate, and it has bothered my SLE and Sjogrens enormously.  Utah here I come!",OLDCowgirl
10,Hydroxychloroquine,Systemic Lupus Erythematosus,1.0,Taken for 1 to 6 months,"May 5, 2020",12,"my ears still ringing with using hydroxychloroquine  over a year ago - they just haven't stopped and nobody can seem to help me. I think that's really messed up I've seen an ear, nose and throat doctor I've seen my primary care doctor and nobody can help me and the medication did nothing but make me feel worse.",GRosas
11,Hydroxychloroquine,Systemic Lupus Erythematosus,5.0,Taken for 1 to 6 months,"April 5, 2020",7,Plaquenil (hydroxychloroquine):I have been in Plaquenil (Generic) 200 mg for the last month.  I have not felt any different since I started.  I hope to start feeling better soon and the medication starts to do something for my (R) shoulder/arm pain.  I live with pain since I have suffered an accident that caused my RSD (CPS) over 20 years ago.  But this pain is a little bit different from it because of way the pain reflex in my body.,Rubynsky
12,Hydroxychloroquine,Systemic Lupus Erythematosus,8.0,Taken for 5 to 10 years,"April 1, 2020",17,"My husband has crest syndrome, lupus, scleroderma, he has been on hydroxychloroquine for 5 plus years, and has had Rocky MTN fever, lock jaw, legoinares disease, and bullous lupus and has got really good results from hydroxychloroquine",J
13,Hydroxychloroquine,Systemic Lupus Erythematosus,,Taken for less than 1 month,"March 22, 2020",22,Plaquenil (hydroxychloroquine):I started taking plaquenl about 2 weeks ago  for SLE and if I had been drinking around the time I’m suppose to take my pill I just wouldn’t take it and I missed about 2 days and this has been my worst flare up. No side effects. I’m moody but that’s just a normal 21 yr old female. Don’t be hesitant to try this because anything is better than the pain of chilblains and joint pain. Will update in a few months.,Bell
