,drug,condition,rating,duration,review_date,upvotes,review,username
0,Mesalamine,Ulcerative Colitis Maintenance,10.0,Taken for 1 to 2 years,"July 5, 2021",2,"Pentasa (mesalamine):Been on Pentasa for a couple of years. Everything great. Had a bit of a relapse so was prescribed pentasa as a suppository. Worked immediately on first one and been absolutely fine for over a year. Can eat what I want and drink in moderation. Everything normal. Do not hesitate, gives you your life back!!",Amanda29
1,Mesalamine,Ulcerative Colitis Maintenance,6.0,,"March 12, 2021",21,"Salofalk (mesalamine):I've used both the Salofalk Foam &  the liquid Salofalk enema & recommend trying this if you are struggling. It takes longer to administer, but is easier to keep in.If you're having issues with the foam, I recommend the following:- Make sure to release the foam slowly. It's less of a shock to the system & helps reduce that reflex muscle action that makes you want to evacuate it.- Wait at least 30 secs before the 2nd dose otherwise you just feel too full when the 2nd dose is released.- After the 2nd dose, don't withdraw the nozzle immediately. Wait at least 30 secs. When you withdraw it, do so as fast as possible. This stops any residual foam coming into contact with (for want of a better word) your anus & causing a burning sensation.-  Finally  it doesn't say this on the foam instructions, consider lying on your left side for 30 mins after your treatment. This helps the foam get to where it needs to go & makes it easier to keep in.Hope this helps someone & good luck!",GT
2,Mesalamine,Ulcerative Colitis Maintenance,1.0,Taken for 6 months to 1 year,"December 5, 2020",1,I think that the mesalamine from Mylan was totally ineffective - it is the M1200 version. My pharmacy switched me over to this from Lialda without my permission.  3 months later I had a serious UC (Ulcerative Colitis) flareup without any other conditions that would have caused that.,Jonesie
3,Mesalamine,Ulcerative Colitis Maintenance,2.0,Taken for less than 1 month,"March 27, 2020",7,"I've been on mesalamine for a week for  Microscopic colitis. My bathroom runs have increased to 20 times a day. I can't sleep because when I lay down it is bathroom time!  I've been so exhausted I have been sleeping an average of 12 hours a day and I have a constant headache. Add on a bit of a fever and my butt feels like someone blowtorched it.   The meds are worse than the disease for me right now so I am going to try steroids though they are bank-breaking.  If it actually helps, better than mesalamine, worth it",Djt
4,Mesalamine,Ulcerative Colitis Maintenance,7.0,Taken for 1 to 2 years,"March 14, 2020",3,"Generic Mesalamine helps reduce my UC symptoms.   Spicy foods, fatty foods, alcohol and especially stress cause outbreaks.  Mesalamine acts to coat the bowel and makes passing waste more smooth and less of an ordeal.  I don't know of any side effects. I also use generic Gas Relief (found at Kroger) containing Simethicone 180 mg.  This helps reduce the horrid smell of flatulence during an attack,  Combined with a careful diet, calming your mind and normal sleep,  Mesalamine can be most effective.  And it's not costly.  Be well.",Cincinnati
5,Mesalamine,Ulcerative Colitis Maintenance,1.0,,"February 6, 2020",4,"Supposedly diagnosed with Segmental Colitis and after my colonoscopy I was started on Lialda. Now 6 months later I have seen no improvement, however I think I am experiencing bloating, knee pain and I am still bleeding. My doctor suggested prednisone. At this point my trust in her is gone and decided to stop the medication.  6 months of bleeding, numerous call to her office / visits and a ton of blood work and nothing has changed. Side effects can be increased bleeding.",Rea
6,Mesalamine,Ulcerative Colitis Maintenance,3.0,Taken for 1 to 6 months,"September 19, 2019",26,"Lialda (mesalamine):I’ve tried taking Lialda 1.2g several times in a 3 months time frame. It really seems to help with my ulcerative colitis. It improved my diarrhea (7/10) and stomach pain (8/10). It pretty much does it’s job of keeping me in remission.But,Every time I take this, my mood changes, my jaws and cheek hurt, I can’t speak properly, I can’t focus, and I just don’t feel like doing anything.At first I thought it was all in my head (pigeon superstition). And so I experimented with it about 6 times and it happened every single time. Even as I’m writing this my jaws hurt, I can’t focus, don’t wanna talk and I’m avoiding doing my homework and I have a 3 hour class to go to!Maybe I’m an exception to the common side effects. I think it’s worth writing this review just in case someone else have the similar side effects.",Made a mistake!
7,Mesalamine,Ulcerative Colitis Maintenance,7.0,Taken for 6 months to 1 year,"August 7, 2019",14,"Has anyone had issues with their sinuses and throat on mesalamine?  I already had post nasal drip and allergies.  However, I feel like the mesalamine has heightened it.  My throat never feels 100% either!  Just curious.",KBD
8,Mesalamine,Ulcerative Colitis Maintenance,9.0,Taken for 10 years or more,"August 2, 2019",7,Asacol (mesalamine):I am 58 and have had colitis for 16 years I take asacol every day two three times daily and I do not get any side affects but I do not find they help when it flares up but keeps it under control when trying to get on with life!!! My flare up has lasted three months as yet but I am told it will go!!!,twicks
9,Mesalamine,Ulcerative Colitis Maintenance,10.0,Taken for 10 years or more,"July 12, 2019",25,I was diagnosed with Ulcerative Colitis in 2007.  I was originally put on 4.8 gm/day of mesalamine.  After a year on it my colitis was non-detectable and I was put on 2.4 gm/daily for maintenance.I've been taking this medication for over 10 years now with no complications or side effects.  I've have had occasional flare-ups and simply increased the dosage back to the original 4.8 gm/daily until the symptoms cleared (usually within a week).  My last colonoscopy in 2018 also showed no signs of the colitis.  I've had very good results with this medication.,Chuck
