,drug,condition,rating,duration,review_date,upvotes,review,username
0,Entyvio,Ulcerative Colitis,4.0,Taken for 1 to 6 months,"October 18, 2021",1,"I have received my first three infusions and my hair is falling out so badly. I have lost at least half my hair. I use to have think beautiful curls. I was so sick before the Entyvio. It’s working but after the third infusion I experienced joint pain that made it difficult to walk, fatigue, aches that felt like the flu was setting in. Symptoms continued for two solid weeks. I just wish my hair would stop falling out. I wake up in the middle of the night thinking about it. I’m 47 and devastated that I am on my way to being bald.",Anonymous
1,Entyvio,Ulcerative Colitis,1.0,Taken for 1 to 6 months,"October 13, 2021",0,"I had really thick hair, I started Entyvio, and it made my hair shed so much that I lost probably 30% of my hair. I wasn't too concerned about it at first because I used to have to get my hair thinned because I had so much hair. I stopped Entyvio 3 months ago and my hair is still thinner than it used to be and I am still shedding probably more than the average person but not nearly as bad as when I was on it. I could put my hands through my hair and see so much falling out. Entyvio stays in your system for at least a month after your last dose so I'm hoping my hair will become healthier again. I'm on Humira now so hopefully it doesn't cause it too but it's gotten MUCH BETTER being on Humira. Also Entyvio didn't work for me for UC, it only has a 40% success rate. I was on it for 6 months.",Anonymous
2,Entyvio,Ulcerative Colitis,9.0,Taken for 1 to 6 months,"September 25, 2021",0,"Had serum sickness on Remicaide due to extended gap in treatment, after failed treatment to conventional therapy. Rash and fever to Humira.I did very well on SYMPHONI. But....insurance refused to pay for the monthly injections (Medicare/supplement) 3  doses in. So I had  fatigue, hot flashes, minimal joint pain. Good results so far. I don't like going to office for infusions when self injection was going well.Company that produces this drug refused financial assistance. I retired from nursing after 46y in hospital setting.X",Deb
3,Entyvio,Ulcerative Colitis,1.0,Taken for 1 to 2 years,"July 8, 2021",1,"Was diagnosed with Ulcerative Colitis (UC) 3 years ago. Put off entyvio again and again with my doctor but he kept pushing it and I finally gave in after a second hospitalization. I honestly can’t say if it helped my UC much at all. I lasted a little over a year on the infusions but wish I would have stopped it sooner.Tons of fatigue the day of/after infusions that seemed to steadily build with time into constant extreme fatigue. Hair loss (that hasn’t returned), general autonomic/CNS symptoms - migraines, numbness, worsening insomnia, and aching all over my body. I’d lie in bed at night and feel like my brain was on fire. I’ve been off of it a year and although my doc will deny lasting symptoms from the entyvio, a lot of the neurological symptoms have remained.Wish I hadn’t given in to my doc and stayed off of it by any means necessary. I was supposed to start medical school and likely won’t be able to now. Would highly advise against using it.",Andrew
4,Entyvio,Ulcerative Colitis,10.0,Taken for 1 to 2 years,"May 12, 2021",4,"After several years on Humira, I finally stopped receiving any benefit from it.  So, Entyvio was suggested.  I have been receiving Entyvio infusions for about 1.5 years.  The medicine worked right away for me and continues to be very effective.",Pleased
5,Entyvio,Ulcerative Colitis,2.0,,"March 12, 2021",24,"I’ve had UC for 37 years.I’ve been on Entyvio for 12 months. I chose to stop due to the debilitating side effects. I am in remission now, however the side effects are not worth it. After my first infusion I felt I was having a heart attack. The EMTs said my heart was fine but I was close to having a stroke. Cortisone injections eliminated this symptom. Over 8 treatments I developed severe bone and joint pain, some hair loss, major skin dryness and bruising, extreme fatigue, extreme chills and sweats, mouth sores constantly, 24/7 nausea and loss of appetite, some tremors, depression, boils appeared including around my eyes. I developed a serious eye infection after the 8th injection.The ophthalmologist said he’s only seen this type of eye infection in chemo patients .My olfactory senses became affected. Food started tasting different and fragrances seemed off. Entyvio did work but it’s clearly a toxic drug to where the quality of life is impacted severely in my case.",Peanut
6,Entyvio,Ulcerative Colitis,1.0,Taken for 1 to 6 months,"January 22, 2021",3,It did absolutely nothing for my UC. I was unable to get off my Uceris without going into a serious flare again. I stayed on Entyvio for 5 months with no help. Waste of time and money. Disappointed.,Sara
7,Entyvio,Ulcerative Colitis,10.0,,"January 19, 2021",11,"This is the first UC drug that I've seen an immediate and significant improvement from. It has given me my life back. After a nasty flare over a long period of time, Entyvio had me feeling better within the first few weeks. I have been in remission for over a year taking this every 8 weeks, this is the longest remission streak I've ever had since being diagnosed 15 years ago. For a day or two after the infusion I am VERY tired, have some joint pain and headaches, but they are relatively mild compared to a UC flare. I also find if I am sufficiently hydrated before and after the infusion the side effects are far less severe.",Brak102
8,Entyvio,Ulcerative Colitis,1.0,Taken for less than 1 month,"November 2, 2020",5,I’ve had ulcerative colitis for 16 years I just got my first dose of Intivio and 3 days later I had 2 seizures and Dr is denied that Intivio was the reason. Now my brain is foggy and I don’t feel normal. I will now have to go back to mesalamine   Beware and ask your Dr a lot of questions as this drug is really unproven. I know a person that had seizures after first dose of Humira and Dr also denied it had anything to do with Humira   These are similar compounds. Don’t be an experiment,Bob
9,Entyvio,Ulcerative Colitis,10.0,Taken for 1 to 6 months,"August 12, 2020",47,"Entyvio was prescribed for my 8yr old son who was diagnosed with UC a little over a year ago. We have tried mesalamine, Remicade, Humira, budesonide, enemas, prednisone, GAPS / SCD diet. Mesalamine helped for a very short time, as did prednisone. My son is a primary non responder to both Remicade and Humira. He’s been hospitalized twice since diagnosis and his UC became much worse over the last 6 months. He was given Entyvio off label as it’s not typically prescribed for children. So far it has been a miracle drug for my child. After his second infusion he is so so much better. He has energy, a good appetite, and much less frequency. We can actually leave the house again for longer than 30 minutes. His only side effect so far is chronic runny / stuffy nose. Though he had this with both Remicade and Humira. He also suffered horrible migraines with previous biologics. None so far with Entyvio.",UCmom
