,drug,condition,rating,duration,review_date,upvotes,review,username
0,NP Thyroid,Underactive Thyroid,8.0,,"March 31, 2022",0,"I’ve been on this medication for about 2 years for Hashimoto’s. I’m not experiencing the negative side effects that everyone is reporting. I feel a lot more energy and more normal. However, I have been gaining weight. I’m not sure if this has to do with the medication or just a by product of ageing.",Np thyroid
1,NP Thyroid,Underactive Thyroid,1.0,Taken for 1 to 6 months,"March 22, 2022",3,"I have taken this for a month now 60mg- within the first 2/3 days I could tell it was working well. I felt drastically better, then a few more days my stomach started to bother me for a few hours after taking the meds. Then my stomach pain starting growing to hurting more painfully and longer, every couple of days it was intensifying. I'm in my 4th week taking it and I started to become bloated and gassy. Like I can feel and actually hear it moving through me and getting gas pains now too. Last nights pain topped it all- severe pain, nausea, running to the toilet because I really thought I was about to throw up. I was rolling over, curled in a ball in my bed for 12hrs in serious pain. Took mylanta, pepto, tums, tylenol and gas pills, even rubbed aspercream lidocaine on my stomach and back over the course of those 12 hours desperate for any relief and am just now starting to get some. Also I have had lower back pain that started maybe 2 weeks ago and was also very bad during this 12hr episode.",Ashleylauren
2,NP Thyroid,Underactive Thyroid,1.0,Taken for less than 1 month,"March 13, 2022",2,"My doctor put me on 60 mg of NP thyroid. First couple of days I was ok, on day 4 I start having extremely High Blood pressure, barely able to walk and had a migraine headache. Called my doctor and lower my dose to 30 mg. After 3 days I started experiencing same things. Do not take this medication. Something seriously wrong. And smell of Np Thyroid is awful.",NP thyroid
3,NP Thyroid,Underactive Thyroid,1.0,Taken for 2 to 5 years,"February 28, 2022",2,I started taking it summer of 2018- for a year I had benefits - then I began having IBS in 2020- since then I have done everything I can to find out why.I stopped taking NP Thyroid after going gluten free- dairy free and low Fodmap.I finally feel betterI am so angry I was to sue them,Meg
4,NP Thyroid,Underactive Thyroid,1.0,Taken for 6 months to 1 year,"February 15, 2022",5,I was on np thyroid for 6 months I was told it was better than Levo. It seemed to work the first few months the last couple of months I have been extremely tired severe joint pain and occasional flu symptoms just out of curiosity my wife looked up the side effects and after that I quit using it and in a few days am feeling better. This stuff is garbage.,Anonymous
5,NP Thyroid,Underactive Thyroid,10.0,Taken for less than 1 month,"February 2, 2022",0,"I was originally prescribed 30mcg of NP and while it put me in normal range, it was on the very low end of normal. I told my doctor that I didn't feel a difference at all. So he upped my dose to 60mcg and wow! I feel myself again! So much more energized and motivated for the day. I wake up feeling more alert and ready for the day. The first couple of days I had some lingering headaches and some wild dreams at night but that was it. I will say, I read these reviews before taking it and was terrified but what you new takers need to account was most of these reviews were made when taking the NP during a recall of the med. Which obviously isn't their fault I'm not placing blame. But of course the side effects were awful and I sympathize with those that had to deal with that, but it is no longer recalled and works great! I felt like a whole new woman! Definitely recommend :)",EmSax
6,NP Thyroid,Underactive Thyroid,10.0,Taken for 5 to 10 years,"December 24, 2021",2,"I don't understand these poor reviews. Sounds to me that the prescribing physician is more likely the problem. In a lot of these reviews, sounds to me like over prescribing issues and I'm not even a doctor myself.  I've been on NP thyroid so several years after armour thyroid became ridiculously expensive and occasionally unavailable. My TSH levels have been right on target and I experience no side effects or symptoms described in many of these reviews.",Danielle
7,NP Thyroid,Underactive Thyroid,1.0,Taken for 6 months to 1 year,"November 21, 2021",8,"I started taking NP Thyroid April of 2021, so a little over 7 months... I have gotten married and all in this time being on the new med. I literally felt like I was dying with the amount of panic and anxiety attacks I was having, not feeling myself, brain fog, feeling doomed, exhausted, overwhelmed and overall just off. Instead of checking on the thyroid medication because I have taken a few different kinds since I was 11 years when I was originally diagnosed (I’m 35 now) and never having any side effects, I completely regret it. I literally thought I was losing my mind.. the waves of emotions along with the ups and downs, just brutal. I had complete loss of my sex drive along with any feelings at all. I thought that it was stress from work and my wedding, thought I had a mental breakdown, I went as far as therapist to a psychiatrist trying multiple medications trying to fix this. I stopped taking the NP THYROID and the rest a few days ago, feeling better and better every day!",Juliana
8,NP Thyroid,Underactive Thyroid,1.0,Taken for 1 to 2 years,"November 2, 2021",6,"Was okay until the company making it stopped putting the correct amount of thyroxine in the pills. I was falling asleep all the time, everywhere! And had absolutely no energy for anything. The Company making the drug, finally talked & I had to go back to levothyroxine. Things have been a little better, but not great. Throw out this medication when you get a different one, but follow up on all the things that are contraindicated to taking synthetic thyroid for Low thyroid. Your doctor probably has NOT researched or even read the accompanying information concerning the drug he/she is prescribing.  DO YOUR OWN research, no one else bothers!!!",Palatine
9,NP Thyroid,Underactive Thyroid,1.0,,"October 25, 2021",10,"I was on Armour Thyroid for many years. Pharmacy recommended NP, because of price difference, so switched me to NP and I noticed extreme flu-like symptoms, head aches, hair loss, insomnia, swelling, (even facial swelling), all-over body pain and constant exhaustion. I asked to be switched back to Armour after a month of misery on NP, and to please make note on my account to NEVER give me NP again, because of the terrible reactions. After new bloodwork, I unknowingly was given NP again, and took it without realizing that it wasn’t Armour. My life became a living nightmare! The anxiety attacks have been awful. My nails break easily, hair falls out in alarming amounts, continuous dull headaches, accompanied by brain fog that has been very concerning. The feeling of exhaustion is unbelievable and I cannot sleep. Joint pain, miserable indigestion & reflux, profuse sweating, inflammation, and muscle aches. My energy is ZERO and the crying makes me feel crazy! NP Thyroid is HORRIBLE!!",Anonymous
