,drug,condition,rating,duration,review_date,upvotes,review,username
0,Hydroxychloroquine,Undifferentiated Connective Tissue Disease,,,"December 28, 2021",0,"I have been diagnosed with Undifferentiated Connective Tissue Disease (UCTD) since July 2021 and was put on hydroxychloroquine. I don’t have the regular symptoms such as joint pain, rash, swelling around the joints and sleeping a lot so I’m not sure if my condition is UCTD . Instead I am experiencing insomnia, burning sensation pain mainly from my lower back to my thighs, hot flushes, chills, rapid weight loss and weakness in my body for part of each  day. For the first 2 months of taking the medication pain was all over my body, dizzy, loss of appetite so I guess it helps slightly with the pain since it not so bad now and the earlier side effects are gone. It is difficult to rate it because I am feeling just a little better but I don’t know if it contributes to the drastic weight loss and the GI issues am experiencing .Dosage — 1st Month 1 tablet every other day thereafter a tablet daily—- 200 mg",VB Jamaica
1,Hydroxychloroquine,Undifferentiated Connective Tissue Disease,8.0,Taken for 6 months to 1 year,"November 27, 2021",0,I can definitely tell that this med calmed my symptoms and actually gave me about a two month break between flares.  Highly recommend,OEE
2,Hydroxychloroquine,Undifferentiated Connective Tissue Disease,9.0,Taken for 1 to 6 months,"December 27, 2020",12,"It took several doctors and approximately 3 years before I was properly diagnosed with UCTD (Undifferentiated Connective Tissue Disease). My rheumatologist prescribed 200mg of HCQ (hydroxychloroquine) twice a day I’ve been taking it religiously since the middle of July 2020. It took exactly 10 weeks to the day to kick in, but after that I felt much better and almost normal again. I began running again starting at 3-5 km a run and got up to 8.5 km. Then, the day after that 8.5 km run, I started to feel worse. It’s been a week now and I still feel horrible. Muscle weakness, slight nausea, muscles aches. Hopefully, this is simply a flare up and will go away again. The only side-effect I have from HCQ is the occasional itching on my arms and legs. It happens about every 3 or four days. That is sometimes unbearable, but disappears in 20 minutes. I will continue taking HCQ and see where the journey takes me. I get my eyes checked regularly due to the HCQ therapy.",Pete
3,Hydroxychloroquine,Undifferentiated Connective Tissue Disease,5.0,,"November 21, 2020",8,"Plaquenil (hydroxychloroquine):George: just read your review and had to reply. Hope u read this. I’m the same age; similar exp w/ symptom prog. over a 10 year span. But with AS, I got a few diff opinions (also HLA-B27- but very high pos ANA). My rheum still wanted imaging of my Sacroiliac Joints. 10 yrs of drs never suggested it. It’s diff than just your spine/pelvis. If you haven’t had it specifically, look for a rheum who works with a radiology center. Bc I’ve had an MRI to check prog.; report came back clean. Luckily had a rheum who said no way, got the disc & said it was the worst MRI ever. If it had been first & trusted report, I would have never known I had damage. Didn’t respond well to anti-TNF (for AS). 3 yrs ago was dx’d  w/ UCTD/EDS Hypermobility Type. If you haven’t had a rheum check you for that, find a new one. Changed my life. No cure, but finally have right treatment team. I really hope you read this and it helps. If you have any questions let me know I would love to help.",EB
4,Hydroxychloroquine,Undifferentiated Connective Tissue Disease,9.0,Taken for 1 to 6 months,"November 15, 2020",6,I have noticed an improvement in my energy level and not as many rash flare ups. I have had no bad side effects and have been on it for almost 2 months,Anonymous
5,Hydroxychloroquine,Undifferentiated Connective Tissue Disease,10.0,Taken for 6 months to 1 year,"September 25, 2020",7,"It took 30 years to finally get a diagnosis of UCTD. My rheumatologist trialed me on hydroxycholoroquine. I didn't have high hopes, as I generally react badly to pretty much all medications. He said it would take at least three months to see if it worked for me. But lo and behold!!! I noticed a difference only a couple weeks in. Now I'm on 200mg 2x/day, and have been taking it for nine months. It's a total game changer.I am getting my retinas checked by a specialist once a year.",greenjelloland
6,Hydroxychloroquine,Undifferentiated Connective Tissue Disease,10.0,,"September 23, 2020",8,"This medication hydroxychloroquine has been an absolute lifesaver for me! I was diagnosed with Undifferentiated Connective Tissue Disease 10 years ago. I've been taking Plaquenil for 8 years. I take 400 mg 5 days per week. It took about 4 months to build up enough in my system to start working. By the time I had been on Plaquenil for a year, I felt back to normal. This is a drug that takes time to work -- be patient and don't give up too early. I get a full eye exam annually and also do a visual field test (peripheral vision) every 6 months.I went off of Plaquenil for about 6 months in 2018 and all of my symptoms came back with a vengeance! I will NEVER stop this medication again unless my doctor advises me to for a serious medical reason. Fortunately I have no side effects from it. I have the occasional bad day where I feel achy, tired, and unwell, but most of the time I feel normal and fine with no pain or other debilitating symptoms.",Lifeline
7,Hydroxychloroquine,Undifferentiated Connective Tissue Disease,10.0,Taken for 2 to 5 years,"April 11, 2020",22,"I've been on hydroxycloroquine for 2.5yrs for undifferentiated connective tissue disease. I started in my mid 20s, and I have noticed a significant difference in my overall general well being. I still get flares and I still suffer pain but it doesn't leave me in bed for weeks, I'm not having month long flare ups, they last a day maybe which is usually triggered by excessive stress or a long hard strenuous day on my body. I am thankful that this medication was prescribed to me and that I pushed through the hardest part of the first few months and gave it a good chance.  At first my body was a little all over the place but now I have no real side effects that I know of, and I'm much better for taking it.",Saz
8,Hydroxychloroquine,Undifferentiated Connective Tissue Disease,1.0,,"March 30, 2020",17,"Plaquenil (hydroxychloroquine):Took plaquinil for two months had to stop because of the reaction I had started getting very itchy. I didn't realize what it was at first it was just my back that would last 20 minutes, then the longer I took it the worse it got ended up stinging itch all over that was lasting over an hour and half unbearable nasty drug I will never take again",CL
9,Hydroxychloroquine,Undifferentiated Connective Tissue Disease,1.0,,"January 11, 2020",36,"Plaquenil (hydroxychloroquine):Horrible drug for me. I was on it for about three days when I noticed a spotty rash everywhere on my face. On day six I was out and about when I started sweating, lost hearing, got very nauseous and then collapsed. I started convulsing on the ground. Fortunately this happened right outside of an allergy clinic and they were trained in first aid and had supplies. I had a cannula for a saline drip put in right there on the hallway floor, an oxygen mask put on my face, and they tried to intubate so that I could breathe. I had very low blood pressure and heart rate when the paramedics arrived. There was so little blood pumping that their finger heart rate monitor couldn't pick it up and they had to do it manually! On the way to the ER my glucose levels were VERY low and heart rhythms wonky. After hours in the ER they determined it was an allergic reaction/adverse effects from Plaquenil. Disclaimer: This was just my experience and was a fairly experimental choice of treatment in my case!",Juelle
