,drug,condition,rating,duration,review_date,upvotes,review,username
0,Amoxicillin,Upper Respiratory Tract Infection,3.0,,"December 12, 2021",0,I'm on 500mg x 3 times a day for chest infection and after ten days has not worked!!!,Anna brown
1,Amoxicillin,Upper Respiratory Tract Infection,,Taken for less than 1 month,"August 11, 2021",0,Have used other brands in past but this case used sandboz 500g absolutely rubbish shocked that they are aloud to sell this product,Sean
2,Amoxicillin,Upper Respiratory Tract Infection,10.0,Taken for less than 1 month,"February 1, 2021",4,"I am so bad at taking medication I need. Nothing bad has happened on amoxicillin, no side effects. You can do this. Get off of here and take your meds lovely.",Shell
3,Amoxicillin,Upper Respiratory Tract Infection,1.0,,"November 7, 2020",0,Got vomiting and cramps from amoxicillin,James
4,Amoxicillin,Upper Respiratory Tract Infection,9.0,Taken for less than 1 month,"May 18, 2019",8,Went to the urgent care and got prescribed 850mg dosages for my URTI and on the first dose of the day already have some relief in my throat.,Anonymous
5,Amoxicillin,Upper Respiratory Tract Infection,1.0,,"April 21, 2019",6,Amoxil (amoxicillin):I have asthma since I was 7 years old. Now I have a URTI and I was given this.  I have never tried amoxil before I got it earlier this week from my GP not working at all on me.,Anonymous
6,Amoxicillin,Upper Respiratory Tract Infection,6.0,,"November 29, 2018",4,"Prescribed 15 tablets of amoxicillin to take over 5 days.  Prior to commencing the course, I suffered a very excruciating chest pain, which disappeared after taking 2 tablets.  However, after taking a further 6 tablets I suffered 4 severe attacks of very watery diarrhea so, on my doctors advice, I discontinued the treatment.  For clearing the severe pain I would give it 10/10, for the diarrhea 0/10.",tudor
7,Amoxicillin,Upper Respiratory Tract Infection,8.0,,"May 31, 2017",5,"Many more side effects than usual. (875 MG for 10 days)I always ask for this, and I normally give this antibiotic a 10/10 because it cures anything for me by the morning of day 3. I'm on the morning of day 4, and I only feel slightly better because of the side effects I've never had:Too much fatigueComplete loss of appetiteLightheaded in the sunNoticeably unfocusedCramps so bad, that I'm too afraid to eat solid food.Canker Sores healing too slowlyPoor sleep.Will be going to back to Urgent Care if I still feel this tired by day 5.",KaiDee
8,Amoxicillin,Upper Respiratory Tract Infection,7.0,Taken for less than 1 month,"July 16, 2016",11,"The drug was effective after the seventh day , I was suffering from tonsil stones and sore throat , probably strep throat , on the 7 day it's gone and the only reaction I had with the drug was a upset stomach.",Sartaj Singh
9,Amoxicillin,Upper Respiratory Tract Infection,10.0,Taken for 2 to 5 years,"September 20, 2015",23,"Amoxil (amoxicillin):I am a patient with a cold and cough. Whenever I am exposed to cold for more time without proper covering my body, I get cold and coughing. I immediately start bronchitis effect. I start coughing. I feel very nervous and feeling very sick. No mood for doing any activity. Feel tired and body ache. This situation remains for very long time if I don%u2019t take medicine and ultimately it goes away quickly if I start antibiotics. Amoxicillin is the most effective drug for my bronchitis. It starts effect from the very 1st pill. I feel very comfortable after the prescribed dose is finished. I take MOXIKIND-CV 625 in India. It does not have any side effect to me.I wonder why Indian doctors treat me with the drug contains Cefixime, whenever I suffer from bronchitis. It is never effective at all and ultimately I need to take Amoxicillin and immediately I get relief from my painful bronchitis.Thanks to Amoxicillin.",Pramukh
10,Amoxicillin,Upper Respiratory Tract Infection,9.0,Taken for less than 1 month,"June 3, 2013",73,"I took a 500mg Amoxicillin (3x/day) course of 9 days to treat upper respiratory tract infection in 2012, and it worked well. The month long coughing with phlegm was gone.",golfgeek
11,Amoxicillin,Upper Respiratory Tract Infection,10.0,Taken for less than 1 month,"April 25, 2013",32,"Works great with almost no side effects. Causes diarrhea in dosage of 1000 mg, but none at lesser dose. No yeast infection.",fredswife
12,Amoxicillin,Upper Respiratory Tract Infection,1.0,,"March 2, 2012",29,"Caused severe vomiting, stomach upset, and diarrhea. Unfortunately, I was unable to finish the full course.",Sara86
13,Amoxicillin,Upper Respiratory Tract Infection,7.0,,"April 5, 2008",137,"Amoxil (amoxicillin):no side effects, gentle but efective. Feelings of relief began a few hours after the first pill.",Anonymous
