,drug,condition,rating,duration,review_date,upvotes,review,username
0,Ciprofloxacin,Urinary Tract Infection,3.0,Taken for less than 1 month,"February 23, 2022",0,"I was prescribed it for a kidney infection that I may or may not have had. They did no further testing besides a urinalysis to see if I had an STI. I took it from Wed to Sun and stopped taking it Sunday due to nausea. Now it is Tuesday evening and I am still nauseous, feel dissociated and weak. This drug is the only antibiotic with a BLACK BOX WARNING it should not be prescribed unless very serious. Try bactrim for that. The adverse reactions are muscle pains, tendon rupture, GI upset, nausea, vomiting, low blood sugar, and mental health effects. I have been struggling with my mental health and now this is added on top of it. I should have known better than to take this med.",Olivia
1,Ciprofloxacin,Urinary Tract Infection,9.0,Taken for less than 1 month,"February 11, 2022",0,"I woke up one morning with sharp UTI pain out of nowhere. I was prescribed Cipro and because am phobic to drugs side effects I came here to read Cipro reviews and was stunned at the negative experience that I decided not to take it. But after comparing it to other antibiotics I thought it Cipro might be  less harmful so I decided to give it a try. My Dr said I should take 2 tablets one in the morning, one at night. The first pill caused some bloating but nothing major. The second one was tolerable too. I am now on day 4 and Zero side effects. I should stop on day 5 as per my Dr but I will go for two more days to avoid recurrence. To sum it up, everyone reacts differently to a certain drug, so you have to tread carefully.I am on Cipro for 4 days now and all pain has gone. It works so far. Will update this post in a month from now to give you long term results. Be safe you all.",Meema2007
2,Ciprofloxacin,Urinary Tract Infection,1.0,Taken for less than 1 month,"January 25, 2022",0,"Taken 500 mg twice daily for three days and absolutely no relief. No side effects, just did not help.",Suze
3,Ciprofloxacin,Urinary Tract Infection,10.0,Taken for 10 years or more,"January 23, 2022",0,good for upper urinary track infection but know most cases are resistance to ciprofloxaxin,mahmoud
4,Ciprofloxacin,Urinary Tract Infection,1.0,Taken for less than 1 month,"December 20, 2021",0,"Prescribed ciprofloxacin 500 mg twice a day for UTI.   Bad experience.  Had 90% of side affects.  Had side affects before reading what they may be.  Aches, pains, rash and not sleeping at all.  Stopped taking and got a new antibiotic.  Felt better 2 days later.  I will never take Cipro again.  Seems it works for some people.  Not for me.",BDT
5,Ciprofloxacin,Urinary Tract Infection,1.0,Taken for less than 1 month,"December 10, 2021",2,"Cipro XR (ciprofloxacin):Please don’t take these pills, the damages it causes is irreversible!  I took two pills one in the morning and another in the evening and I started feeling tingling and burning in my lower arms and legs that night. The next day I couldn’t walk and had to crawl to the bathroom and had pain in all my joints. In the weeks and months following I experienced neuropathy in my hands a feet, blurred vision, tendinitis, tinnitus, insomnia, anxiety, panic attacks, nightmares, unable to regulate my body temperature, cracking joints throughout my entire body anytime I moved, my hair got very corse like brush bristles,  my nails became deformed and brittle, and many of my teeth broke or cracked. Cipro combined with NSAIDs, steroids and other drugs that cross the blood brain barrier are deadly.",Anonymous
6,Ciprofloxacin,Urinary Tract Infection,1.0,Taken for less than 1 month,"December 4, 2021",0,"Cipro (ciprofloxacin):Took this drug two times. One time I ended up puking non stop and the doctor felt it was a fluke but prescribed me something else. Second time when I got a bladder infection and was prescribed Cipro, I had extreme leg pain. Barely could walk so the doctor sent me to the ER thinking it was a blood clot. Nope. Stopped Cipro and I got better. Apparently this is not unusual with Cipro. Not comfortable at all using this drug and do not recommend it. It was a nightmare. I believe this drug is a black box drug if I remember correctly",Dog lover
7,Ciprofloxacin,Urinary Tract Infection,1.0,Taken for less than 1 month,"October 25, 2021",0,"I was given cipro 500mg 2x day for 10 days for a UTI. After the first day of taking this medicine, I was running a high fever, had severe migraines, could barely walk and no energy at all. I went back to the dr who retested for the UTI and also did a CBC and said everything was normal and to finish out the antibiotic. Even though I was still having the burning sensation from the UTI, and the high fever and migraines I was told everything was normal from their tests. Later that day I was in the ER from my temp being almost 103. They did every test under the sun including more blood work, CT scan of my stomach plus several other tests. They ended up telling me it was a fever of unknown origin and back spasms but couldn't explain the rest of my symptoms. I was sent home and told to continue the cipro and tylenol for the fever. After 2 more days of this fever and pain I was in, I decided to stop the cipro myself. Almost immediately started feeling better. This med is dangerous!",Tngirl
8,Ciprofloxacin,Urinary Tract Infection,1.0,Taken for less than 1 month,"October 14, 2021",2,"I was prescribed this 6 years ago and haven't been able to work since. I've experienced severe Achilles problems, joint pain and tendon pain which I still have, and suicidal depression. This drug should be illegal and taken off the shelves!",Ciproflaxin dan
9,Ciprofloxacin,Urinary Tract Infection,10.0,Taken for less than 1 month,"October 12, 2021",2,"I had reoccurring UTI infections on and off for months that didn’t go away with nitro, so urgent care gave me CIPRO 1 pill every 12hours for 7days. I was terrified at first because of all the terrible reviews, and Im a hypochondriac. I had minor stomach issues but that’s cause I didn't eat! You need to eat a big meal 30min before you take the meds, & you’ll be GOOD! I’m 27, 93lbs female. This medicine took care of my symptoms with one pill, but I finished all 6 days. Like many have said, urgent care tends to over-medicate, so I felt that 6 days was more than enough since I caught the UTI super early. So far I have had no other side effects, beside a minor case of itchy vagina, which is common because this medication gets rid of both bad and good bacteria. 2.5L of water a day should care of any potential yeast overgrowth. DO NOT BE AFRAID OF THIS PILL lol relax and follow instructions of your doctor and you will survive this easily. Don’t do any excessive exercises though.",Happygal
10,Ciprofloxacin,Urinary Tract Infection,10.0,Taken for less than 1 month,"October 4, 2021",2,"I fought a UTI for nearly 2 months after having bladder surgery. Two rounds of Bactrim and a round of Keflex didn’t knock it. I was prescribed Cipro and it seems to have done the trick. Finally! I did not suffer any side effects from the Cipro, and very grateful that it worked!",Anonymous
