,drug,condition,rating,duration,review_date,upvotes,review,username
0,Fluconazole,Vaginal Yeast Infection,9.0,Taken for less than 1 month,"March 14, 2022",0,"I am one day into treatment and the side effects are wiping me out! I can hardly get out of bed I’m so fatigued, body aches, headache. Not sure if that is normal, plus after about 12 hours no results but that is probably normal. Side effects are a real trip though, I had to cancel going to work.",Anonymous
1,Fluconazole,Vaginal Yeast Infection,9.0,Taken for less than 1 month,"March 11, 2022",0,"I am 43 female and this was my first yeast infection. I was reluctant on taking this med because I am typically an all natural remedy person but the itching and burning was so intense I thought I was going to go insane! After reading reviews I thought I would give it a try. I did not get relief like some within hours, it took 1 day to feel a little relief but still very itchy. It took almost 4 days before the itchy part went away. I am on day 6 and about 95% better. I did not have any side affects except day 3 there was a little time I felt dizzy and had diarrhea, not horrible though. All in all I would take this med again if I had another yeast infection. I also cannot swallow pills, but was able to break this in half (I was told I could crush it otherwise). I did also have a couple drinks and no side affects and didn't have any bad interaction. I would recommend.",Missy
2,Fluconazole,Vaginal Yeast Infection,8.0,Taken for less than 1 month,"February 4, 2022",1,"I tried the one day Monistat, symptoms came back, tried the seven day monistat, better for a few days, symptoms came back with a vengeance! It took some days to get into my doctor so the itching and burning was beyond intense. I’m hyper sensitive to most medications and was really apprehensive about taking the pill. My lady regions were completely itch free 8 hours later… Eureka! I am experiencing a severe headache and feel dizzy, and my brain just feels weird in general so I’ve kept it to light duty today and drank over 80 ounces of water so far. I’m optimistic that tomorrow I’ll wake up feeling better in that regard. This medicine for a yeast infection by far has been the best !",Anonymous
3,Fluconazole,Vaginal Yeast Infection,4.0,Taken for less than 1 month,"February 2, 2022",2,"Since November I've been battling my first yeast, just 1 symptom, burning. Thought was a UTI given antibiotics by day 4, burning got worse, nausea & vomiting. Two doctors one specialist. No STD, healthy cervix just what appears to be a ""mild"" yeast. Well if this is mild I shudder at severe.  Meds given flagyl 5 pills at once, sporanox 14 days, 14 day prescribed  suppositories. Canestan 3 & 7, boric acid 4 days, probiotic suppositories 3 days, monistat 7, sporanec 3 day 12 pills. Nothing worked, Diflucan 150 mg for 3 days no change as yet, burning continues now slight fever and body aches. Called doctor says more test for Candida die off and Covid, Ha! Are doctors helping me or  harming me????I read reviews says it gets worse before it works, so I'm hopeful the Diflucan works. I'll stick this out and no more meds, as this is tiring and driving me nuts.",Anonymous
4,Fluconazole,Vaginal Yeast Infection,10.0,Taken for less than 1 month,"January 20, 2022",0,"Diflucan (fluconazole):I had a UTI which I’m prone too I tend to hold my pee when I am sleeping. I know I know it’s a bad habit lol anyways. I have keflex for UTI, and that caused a yeast infection. I thought I’d try some monistat 7 and it only got worse. Finally like three days into the monistat I was like I have to take the diflucan. I was putting it off because apparently it interacts with Zoloft but I called the pharmacist and she was like nope you’re fine take the pill. I would say about an hour after the pill, I felt relief. I was so freaking swollen, irritated, and just in pain down there. I literally wanted to cry before taking the pill. I'm so happy to finally feel relief. For me I had an upset stomach for like 30 mins, then it went away. A day or two later had a bad headache but took some ibuprofen. Also the dosage was 150 mg. Took it in the afternoon like around 3pm. Felt relief around 5pm. Easy to use, not messy like the cream, actually will work…",demtonez
5,Fluconazole,Vaginal Yeast Infection,5.0,Taken for less than 1 month,"January 11, 2022",0,"I was prescribed 150mg on day 1 and 150mg on day 3 for a yeast infection I had had for 3 years, I took 150mg and instantly broke out into a freezing cold sweat, the worst fatigue, feelings of depression, pain all over body, tremors and internal body shakes, pains in legs this all went on for 48 hours just laid there in fatigue and depression. I then felt very well after coming out of that nightmare by day 3 but it was time to take my next one, my yeast infection had all but cleared but I wanted to make sure it was gone, I was very very scared taking it and had to talk myself into it, the 2nd round was also fatigue this time depression more severe, I felt like my whole body felt like a damp house and I just didn't feel well but this was less intense, this time with chest pains, its been 4 days since this has finished, I took the last pill on Thursday at 3pm, its now Tues the following week and I have arm pain down my left arm, chest pain and I'm in a cold sweat, I'm worried about my heart now",Charlotte
6,Fluconazole,Vaginal Yeast Infection,10.0,Taken for less than 1 month,"December 24, 2021",1,"I read the reviews of Fluconazole and I felt scared to take this pill because I’m a really anxious/panic person in my everyday life. I did not feel ANY side effects when taking this one dose of Fluconazole. I’m 25 years old and weigh 145 pounds. I don’t take any other medication or have any medical problems. I’ve had reoccurring yeast infections these past couple months and this pill has truly worked wonders for me! Just because someone had a bad experience doesn’t mean you will! I would take the pill anytime of the day with water and just go on about my life. The first time I took it, I had so much anxiety because of the reviews that I started to think that the physical anxiety symptoms were from the pill, but they really were not. I realized that when I take medication, I need to separate my own anxiety from it. I hope anyone who takes this gets the relief they need!",Anastasia
7,Fluconazole,Vaginal Yeast Infection,8.0,Taken for less than 1 month,"December 16, 2021",0,"I had a total hysterectomy on Dec 9th 2020, and have had 3 yeast infections since then, never in my life did I ever have yeast infections. I was getting concerned been prescribed fluconzole every time and it has worked for me. This time I had an appointment with my doctor but the irritation was so bad I went and bought monistat 3 and it gave me abdominal pain severely, and other symptoms,  then went to the doctors and got prescribed fluconzole 2 pills, I am feeling better but still have the discharge which I hope since I just took it yesterday afternoon that will clear up soon...",Anonymous
8,Fluconazole,Vaginal Yeast Infection,5.0,,"December 9, 2021",0,"Took 150mg for vulvovaginal thrush infection on Monday evening. By Wednesday morning symptoms were much worse with elbows feeling itchy, so had to buy canasten duo which sorted it out better.",Jan
9,Fluconazole,Vaginal Yeast Infection,1.0,Taken for less than 1 month,"November 29, 2021",0,Diflucan (fluconazole):I have taken diflucan twice and been using ministry and still severe itching. What do I do??,Anonymous
10,Fluconazole,Vaginal Yeast Infection,10.0,Taken for less than 1 month,"November 27, 2021",0,Males can get yeast infection too..Men with thread veins on foreskin and penis gland with moldy or curd like smell then you  should do this. flucanzole 150mg 3 dose. One each three days apart each i e 1 per day repeat after 3 days. Might get wore 2-3 day starting this but will surely get better after 3rd day. I hope I will get rid of it. All other test came negative for me.,male27
11,Fluconazole,Vaginal Yeast Infection,8.0,Taken for less than 1 month,"November 24, 2021",0,Severe upper stomach pain and bloating. I will be contacting my Dr in the morning as it has been a little over 24 hrs since my stomach started hurting. Definitely helped with the yeast infection but the discomfort is something that may prevent me from using it in the future.,Lokey
